"firm","lookup_firm","lookup_firm_web","firm_length","name_clnd","name_length","manual_fix","hit_url","hit_url_length","rank","matches","public","acquired_merged","Votes","Group","nano","green","synbio","count_all_ind","max_emps","size_state","sme","first_year","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"Aerosol Dynamics Inc.","Aerosol Dynamics","Aerosol Dynamics",16,"Modal aerosol dynamics model for Europe: development and ...",60,1,"",67,4,2,0,0,0,78,1,0,0,1,5,"FirmSize.MICRO_FIRM",1,1976,14,1,1.28571428571429,1,2.78571428571429,3
"AFMODEL","AFMODEL","AFMODEL",7,"AF Models UK | Find out how AF Models can help you to ...",57,NA,"afmodels.com/",21,1,0,0,0,5,17,0,1,0,1,0,"FirmSize.UNDEFINED",1,2016,1,1,1,1,2,2
"AG ENERGY SOLUTIONS","AG ENERGY SOLUTIONS","AG ENERGY SOLUTIONS",19,"Ag-Energy  Harvesting Residue Yield Returns",43,NA,"ag.energy/",18,1,2,0,0,5,18,0,1,0,1,14413,"FirmSize.LARGE_FIRM",0,2012,3,1,1,1,3.66666666666667,6
"AGC Flat Glass North America","AGC Flat Glass North America","AGC Flat Glass North America",28,"AGC Inc. - Official Site",24,NA,"agcglass.com/",25,1,1,0,0,5,19,0,1,0,1,584,"FirmSize.LARGE_FIRM",0,2008,45,1,1.66666666666667,1,2.68888888888889,2
"Agena Bioscience","Agena Bioscience","Agena Bioscience",16,"Agena Bioscience - Official Site",32,NA,"agenabio.com/",20,1,2,0,0,5,79,1,0,0,1,177,"FirmSize.EU_MEDIUM_FIRM",1,2014,10,1,1,1,2.7,2
"AGFA-GEVAERT N.V.","AGFA-GEVAERT NV","AGFA-GEVAERT NV",15,"Home - Agfa Corporate",21,NA,"agfa.com/corporate/",30,1,1,0,0,5,20,1,0,0,1,153,"FirmSize.EU_MEDIUM_FIRM",1,1976,2553,3,1.00509204857031,1,2.73756365060713,2.33333333333333
"Agienic","Agienic","Agienic",7,"Agienic Antimicrobials",22,NA,"agienic.com/",23,1,1,0,0,5,80,1,0,0,1,0,"FirmSize.UNDEFINED",1,2010,6,1,1,1,4.16666666666667,4
"Agilent Technologies","Agilent Technologies","Agilent Technologies",20,"Chemical Analysis, Life Sciences, and Diagnostics | Agilent",59,NA,"agilent.com/",24,1,1,0,0,5,81,1,0,0,1,13500,"FirmSize.LARGE_FIRM",0,1990,4274,1,1.01801591015442,1,2.18507253158634,3
"Agrigenetics","Agrigenetics","Agrigenetics",12,"Mycogen Seeds - Official Site",29,1,"",20,2,0,0,0,2,82,0,0,1,1,26,"FirmSize.SMALL_FIRM",1,1983,289,13,1.00692041522491,1,1.7923875432526,2.38461538461538
"Agrivida","Agrivida","Agrivida",8,"Agrivida",8,NA,"agrivida.com/",20,1,1,0,0,5,83,0,1,1,2,31,"FirmSize.SMALL_FIRM",1,2010,16,3,1.0625,1.5,3.3125,5.5
"AgroFresh Inc.","AgroFresh","AgroFresh",9,"AgroFresh - Official Site",25,NA,"agrofresh.com/",26,1,1,0,0,5,84,0,0,1,1,284,"FirmSize.US_MEDIUM_FIRM",1,2001,8,1,1,1,3.375,1
"AIR PRODUCTS AND CHEMICALS","AIR PRODUCTS AND CHEMICALS","AIR PRODUCTS AND CHEMICALS",26,"Air Products & Chemicals - Official Site",40,NA,"airproducts.com/",27,1,3,0,0,5,21,1,0,0,1,15225,"FirmSize.LARGE_FIRM",0,1976,2986,3,1.01640991292699,1,2.83517587939699,4
"Ajinomoto Althea","Ajinomoto Althea","Ajinomoto Althea",16,"Aji Bio-Pharma | Home",21,NA,"ajibio-pharma.com/",26,1,0,0,0,5,85,0,0,1,1,210,"FirmSize.EU_MEDIUM_FIRM",1,2015,4,1,1,1,5.25,3
"Akron Polymer Systems","Akron Polymer Systems","Akron Polymer Systems",21,"Akron Polymer Systems",21,NA,"akronpolysys.com/",24,1,3,0,0,5,86,1,0,0,1,16,"FirmSize.SMALL_FIRM",1,2010,15,1,1,1,7.13333333333333,6
"Alcatel Lucent","Alcatel Lucent","Alcatel Lucent",14,"ALE Home | Alcatel-Lucent Enterprise",36,NA,"al-enterprise.com/",30,1,2,0,0,5,87,0,1,0,1,2087,"FirmSize.LARGE_FIRM",0,2007,4429,1,1.00903138405961,1,2.59132987130278,2
"Alcon Research","Alcon Research","Alcon Research",14,"Alcon - Official Site",21,NA,"alcon.com/",22,1,1,0,0,5,88,1,0,0,1,21766,"FirmSize.LARGE_FIRM",0,2009,324,1,1.01234567901235,1,2.65123456790123,4
"Alcotek","Alcotek","Alcotek",7,"Home - Alcotek",14,NA,"alcotek.com/",20,1,1,0,0,5,89,0,1,0,1,90,"FirmSize.EU_MEDIUM_FIRM",1,1982,57,1,1.07017543859649,1,2.2280701754386,2
"Alencon Acquisition Co.","Alencon Acquisition Co","Alencon Acquisition Co",22,"Utility Scale Solar | Solar Power System | Alencon Systems",58,NA,"alenconsystems.com/",26,1,2,0,0,5,90,0,1,0,1,13,"FirmSize.SMALL_FIRM",1,2012,5,1,1,1,1.6,2
"Alexion Pharmaceuticals","Alexion Pharmaceuticals","Alexion Pharmaceuticals",23,"Alexion - Official Site",23,NA,"alexion.com/",19,1,1,0,0,5,91,0,0,1,1,2760,"FirmSize.LARGE_FIRM",0,1996,105,1,1.04761904761905,1,3.32380952380952,3
"ALF OPERATING PARTNERS","ALF OPERATING PARTNERS","ALF OPERATING PARTNERS",22,"Alf Operating Partners, Ltd. - Company Profile",46,1,"",85,1,3,0,0,0,22,0,1,0,1,14,"FirmSize.SMALL_FIRM",1,2010,4,1,1,1,1.75,3
"Algenol Biotech LLC","Algenol Biotech","Algenol Biotech",15,"Algenol - Official Site",23,NA,"algenol.com/",19,1,1,0,0,5,92,0,0,1,1,127,"FirmSize.EU_MEDIUM_FIRM",1,2015,18,6,1.11111111111111,1,5.05555555555556,5.16666666666667
"ALGETERNAL TECHNOLOGIES","ALGETERNAL TECHNOLOGIES","ALGETERNAL TECHNOLOGIES",23,"AlgEternal  Harnessing the planet's primary producers",53,NA,"algeternal.com/",23,1,1,0,0,5,23,0,1,0,1,6,"FirmSize.MICRO_FIRM",1,2017,1,1,1,1,4,4
"All Power Labs","All Power Labs","All Power Labs",14,"All Power Labs - Official Site",30,NA,"allpowerlabs.com/",28,1,3,0,0,5,93,0,1,0,1,43,"FirmSize.SMALL_FIRM",1,2014,4,1,1,1,3,5
"Allertein Therapeutics","Allertein Therapeutics","Allertein Therapeutics",22,"Home | Allergy Therapeutics PLC",31,NA,"allergytherapeutics.com/",36,1,1,0,0,5,94,1,0,0,1,0,"FirmSize.UNDEFINED",1,2012,5,1,1.4,1,3.8,3
"Alliance for Sustainable Energy","Alliance for Sustainable Energy","Alliance for Sustainable Energy",31,"Alliance for Sustainable Energy - Official Site",47,NA,"allianceforsustainableenergy.org/",44,1,4,0,0,1,95,1,1,1,3,3,"FirmSize.MICRO_FIRM",1,2008,183,17,1.15300546448087,1.26666666666667,3.53005464480874,3.86666666666667
"Allison Transmission","Allison Transmission","Allison Transmission",20,"Allison Transmission - Official Site",36,NA,"allisontransmission.com/",32,1,2,1,0,5,96,1,0,0,1,2600,"FirmSize.LARGE_FIRM",0,2011,189,1,1.00529100529101,1,2.36507936507937,3
"Alnylam Pharmaceuticals","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals",23,"Alnylam Pharmaceuticals - Official Site",39,NA,"alnylam.com/",23,1,2,0,0,5,97,1,0,1,2,1198,"FirmSize.LARGE_FIRM",0,2008,233,5,1.09012875536481,1,4.068669527897,4.8
"Alpha and Omega Semiconductor Incorporated","Alpha and Omega Semiconductor","Alpha and Omega Semiconductor",29,"Alpha and Omega Semiconductor",29,NA,"aosmd.com/",17,1,4,0,0,5,98,1,0,0,1,2670,"FirmSize.LARGE_FIRM",0,2006,405,10,1,1,3.21234567901235,2.9
"ALSTOM Technology Ltd","ALSTOM Technology","ALSTOM Technology",17,"Alstom - Official Site",22,NA,"alstom.com/",23,1,1,0,0,5,24,1,1,0,2,34500,"FirmSize.LARGE_FIRM",0,1989,1372,4,1.00874635568513,1,2.73032069970845,2.5
"AltaRock Energy","AltaRock Energy","AltaRock Energy",15,"AltaRock Home - AltaRock",24,NA,"altarockenergy.com/",26,1,1,0,0,5,99,0,1,0,1,14,"FirmSize.SMALL_FIRM",1,2012,7,1,1,1,2.14285714285714,2
"Altex Technologies Corporation","Altex Technologies","Altex Technologies",18,"Altex Technologies",18,NA,"altextech.com/",21,1,2,1,0,5,100,0,1,0,1,12,"FirmSize.SMALL_FIRM",1,1998,7,1,1,1,2.28571428571429,3
"Altivera","Altivera","Altivera",8,"Best Restaurant Lloyd District Portland - Altabira City Tavern",62,NA,"altabira.com/",21,2,0,0,0,3,101,1,0,0,1,26,"FirmSize.SMALL_FIRM",1,2006,6,1,1.33333333333333,1,1.33333333333333,1
"Amazon Technologies","Amazon Technologies","Amazon Technologies",19,"Amazon Technologies, Inc.: Private Company Information ...",58,1,"",81,1,2,0,0,0,102,1,0,1,2,0,"FirmSize.UNDEFINED",1,2002,6060,2,1.00082508250825,1,3.12194719471947,1.5
"Ambature","Ambature","Ambature",8,"Ambature | Clean, Inexpensive and Abundant Electricity",54,NA,"ambature.com/",20,1,1,0,0,5,103,1,0,0,1,18,"FirmSize.SMALL_FIRM",1,2012,10,1,1,1,1.8,2
"Amberwave Inc.","Amberwave","Amberwave",9,"AmberWave",9,NA,"amberwave.com/",25,1,1,0,0,5,104,0,1,0,1,9,"FirmSize.MICRO_FIRM",1,2015,2,1,1,1,2.5,3
"American Air Liquide","American Air Liquide","American Air Liquide",20,"Air Liquide USA | Gases, technologies & services for ...",56,NA,"industry.airliquide.us/",31,1,2,0,0,5,105,1,0,0,1,32900,"FirmSize.LARGE_FIRM",0,1989,327,2,1.45871559633028,1,2.90825688073395,2.5
"AMERICAN BIO ENERGY CONVERTING CORP.","AMERICAN BIO ENERGY CONVERTING CORP","AMERICAN BIO ENERGY CONVERTING CORP",35,"AMERICAN BIO ENERGY CONVERTING CORP., 08012530 | Georgia ...",60,1,"",77,1,5,0,0,0,25,0,1,0,1,39,"FirmSize.SMALL_FIRM",1,2012,2,1,1,1,1,1
"American Piledriving Equipment","American Piledriving Equipment","American Piledriving Equipment",30,"APE - Official Site",19,NA,"apevibro.com/",24,1,0,0,0,5,106,0,1,0,1,85,"FirmSize.EU_MEDIUM_FIRM",1,1993,45,1,1,1,1.15555555555556,1
"American Science and Technology Corporation","American Science and Technology","American Science and Technology",31,"American Science and Technology",31,NA,"amsnt.com/",21,1,4,0,0,5,107,0,1,0,1,3738,"FirmSize.LARGE_FIRM",0,2016,2,2,1,1,6,6
"Amgen Fremont Inc.","Amgen Fremont","Amgen Fremont",13,"Amgen - Official Site",21,NA,"amgen.com/",22,1,1,0,0,5,108,0,0,1,1,27187,"FirmSize.LARGE_FIRM",0,2006,72,2,1.58333333333333,2,7.38888888888889,7
"Amgen Inc.","Amgen","Amgen",5,"Amgen - Official Site",21,NA,"amgen.com/",22,1,1,0,0,5,109,0,0,1,1,27187,"FirmSize.LARGE_FIRM",0,1985,1241,1,1.08219178082192,1,5.25463336019339,7
"Amicus Therapeutics","Amicus Therapeutics","Amicus Therapeutics",19,"Amicus Therapeutics - Official Site",35,NA,"amicusrx.com/",25,1,2,0,0,5,110,0,0,1,1,512,"FirmSize.LARGE_FIRM",0,2009,45,2,1,1,2.48888888888889,3
"Amkor Technology","Amkor Technology","Amkor Technology",16,"Amkor Technology - Official Site",32,NA,"amkor.com/",18,1,2,0,0,5,111,1,1,0,2,25100,"FirmSize.LARGE_FIRM",0,1989,880,3,1.06022727272727,1,2.83068181818182,4
"AMO Wavefront Sciences","AMO Wavefront Sciences","AMO Wavefront Sciences",22,"AMO WaveFront Sciences, LLC: Private Company Information ...",60,1,"",81,1,3,0,0,0,26,1,0,0,1,777,"FirmSize.LARGE_FIRM",0,2008,39,1,1,1,3.46153846153846,2
"Ampio Pharmaceuticals","Ampio Pharmaceuticals","Ampio Pharmaceuticals",21,"Ampio Pharmaceuticals - Official Site",37,NA,"ampiopharma.com/",24,1,2,0,0,5,112,0,0,1,1,17,"FirmSize.SMALL_FIRM",1,2013,17,1,1,1,2.11764705882353,1
"Amprius","Amprius","Amprius",7,"Amprius: Next-Generation Lithium-Ion Batteries",46,NA,"amprius.com/",19,1,1,0,0,5,113,0,0,1,1,44,"FirmSize.SMALL_FIRM",1,2005,66,2,1.09090909090909,1,3.16666666666667,5
"AMPT","AMPT","AMPT",4,"Ampt",4,NA,"ampt.com/",20,1,1,0,0,4,27,0,1,0,1,33,"FirmSize.SMALL_FIRM",1,2003,23,5,1,1,1.78260869565217,1.8
"Amtech Systems","Amtech Systems","Amtech Systems",14,"Amtech Group - Official Site",28,NA,"amtechsystems.com/",29,1,1,0,0,5,114,0,1,0,1,468,"FirmSize.US_MEDIUM_FIRM",1,1988,46,1,1,1,2.97826086956522,1
"Analog Devices","Analog Devices","Analog Devices",14,"Analog Signals - Analog Devices",31,NA,"analog.com/en/index.html",36,1,2,0,0,5,115,1,0,0,1,15300,"FirmSize.LARGE_FIRM",0,1976,2931,5,1.01637666325486,1,2.10167178437393,4.8
"Andritz Inc.","Andritz","Andritz",7,"ANDRITZ GROUP",13,NA,"andritz.com/group-en",32,1,1,0,0,5,116,0,1,0,1,15075,"FirmSize.LARGE_FIRM",0,2000,153,4,1,1,2.22875816993464,3.25
"Aneeve LLC","Aneeve","Aneeve",6,"Aneeve (@aneebabe)  Instagram photos and videos",47,1,"",35,2,1,0,0,0,117,1,0,0,1,4,"FirmSize.MICRO_FIRM",1,2017,2,2,2,2,2.5,2.5
"Anelva Corporation","Anelva","Anelva",6,"CANON ANELVA CORPORATION",24,NA,"canon-anelva.co.jp/english/",39,1,1,1,0,1,118,1,0,0,1,37,"FirmSize.SMALL_FIRM",1,1976,2052,1,1.05116959064327,1,2.69590643274854,2
"Angaza Design","Angaza Design","Angaza Design",13,"Angaza",6,NA,"angaza.com/",23,1,1,0,0,4,119,0,1,0,1,67,"FirmSize.EU_MEDIUM_FIRM",1,2016,1,1,1,1,7,7
"Angiotech Pharmaceuticals (US)","Angiotech Pharmaceuticals (US)","Angiotech Pharmaceuticals (US)",30,"angiotech.com - KNOTLESS TISSUE-CLOSURE DEVICE",46,NA,"angiotech.com/",21,1,1,0,0,5,120,0,0,1,1,1364,"FirmSize.LARGE_FIRM",0,1999,25,1,1.04,1,3.12,5
