count(epa.id),lookup_firm
3,nanoComposix
1,"Sienna Labs"
2,"Avello Bioenery"
1,"Ansun Biopharma"
14,"Monsanto Technology"
1,AgroFresh
4,"Singular Bio"
1,GEN-PROBE
1,"Swagelok Company"
20,"Lockheed Martin"
2,Yamaha
1,"Gemex Systems"
6,"adidas AG"
3,JSR
33,Xerox
5,EMC
2,MAXLINEAR
8,"Winbond Electronics Corp"
8,NanoMech
3,"Carver Scientific"
21,"Lam Research"
1,"LGS Innovations"
1,"Hynix Semiconductor"
46,"LG Display Co"
14,NICHIA
19,Denso
6,"Solar Junction"
14,Solexel
1,"OSI Optoelectronics"
8,"SolAero Technologies Corp"
2,"Oki Data"
13,"Phillips 66 Company"
1,"Solarmer Energy"
1,"Siemens Industry"
6,Omron
1,PetraSolar
2,"Cooper Technologies Company"
1,"Intuitive Surgical Operations"
2,MCI
1,Mallinckrodt
1,"COOK MEDICAL TECHNOLOGIES"
5,"Abbott Cardiovascular Systems"
2,PortaFire
5,SDCmaterials
1,"Diamond Innovations"
15,"Toyota Motor Engineering & Manufacturing North America"
8,"Cool Planet Energy Systems"
12,Celanese
6,"Yeda Research and Development Co"
8,DIC
1,"AMERICAN BIO ENERGY CONVERTING CORP"
1,Handylab
1,Qiagen
4,AC
2,"MBC Ventures"
120,GLOBALFOUNDRIES
2,"SAE Magnetics (HK)"
2,"Siemens Energy"
12,"Tigo Energy"
2,"Amazon Technologies"
20,"Infineon Technologies AG"
1,"FastCAP Systems"
5,Invensas
6,"Fuji Xerox Co"
1,"Neutronic Perpetual Innovations"
2,"Bruin Biometrics"
2,NANOPHARMACEUTICALS
3,"Acushnet Company"
9,CERION
4,"Canon US Life Sciences"
5,"Furukawa Electric Co"
19,"Guardian Industries"
10,"ExxonMobil Research and Engineering Company"
6,"Archer Daniels Midland Company"
2,DISCOVERYBIOMED
2,"Toda Kogyo"
3,"Kansai Paint Co"
1,"Transilwrap Company"
4,UOP
1,"Two Blades Foundation"
16,"Pacific Biosciences of California"
5,"Sharp Laboratories of America"
7,"Chevron USA"
8,"McAlister Technologies"
40,"Sumitomo Electric Industries"
24,Apple
4,Brother
7,"HGST NETHERLANDS BV"
3,"Brewer Science"
20,"Texas Instruments"
5,"Microchip Technology"
11,"PPG Industries Ohio"
3,"BRIGHTLEAF TECHNOLOGIES"
1,"Triune IP"
10,"Dow AgroSciences"
1,Agienic
2,"Englewood Lab"
4,Zygo
8,"Rohm and Haas Electronic Materials"
2,"Canon Nanotechnologies"
4,"SanDisk 3D"
1,"Dresser-Rand Company"
17,"Empire Technology Development"
6,"SABIC GLOBAL TECHNOLOGIES BV"
9,Bridgestone
1,"Senga Advisors"
5,"Alnylam Pharmaceuticals"
6,"Bayer Cropscience AG"
21,"Life Technologies"
4,"ALSTOM Technology"
1,"Sick AG"
2,"Research Triangle Institute"
13,NEC
1,"Advanced Fusion Technologies"
1,Pansonic
1,"St Microelectronics"
1,"Conexant Systems"
13,"Semiconductor Components Industries LLC"
9,"Seiko Instruments"
22,"Cypress Semiconductor Corp"
2,"Suncore Photovoltaics"
5,"Semileds Optoelectronics Co"
1,"D-Wave Systems"
5,"HRL Laboratories"
5,"InVisage Technologies"
3,"Sunlight Photonics"
1,SolarLego
2,"BOLTIER R&D"
1,"SPICE SOLAR"
1,"Turtle Beach"
1,"The Iams Company"
2,"Bend Research"
1,"Luna Innovations"
13,"Honda Motor Co"
8,Google
10,"Robert Bosch"
13,"Samsung Electro-Mechanics Co"
11,"Sima Therapeutics"
2,"Amgen Fremont"
6,Pfizer
2,"IMRA America"
5,"AZ Electronic Materials (Luxembourg) SARL"
7,"POET Research"
1,Interez
1,"APPLIED STEMCELL"
1,"Intrexon CEU"
1,"System Biosciences"
2,"BP North America"
6,"ENI SpA"
1,"SeQual Technologies"
8,Sumco
2,"THE SWEET LIVING GROUP"
2,Eaton
3,"JFE STEEL"
1,"L-3 Communications Cincinnati Electronics"
2,"STMicroelectronics Limited"
19,"Industrial Technology Research Institute"
5,"Novellus Systems"
5,"Delta Electronics"
4,"Nexcom Technology"
2,"UWM Research Foundation"
1,KT
3,"Applied Optoelectronics"
2,"Avago Technologies General IP (Singapore) Pte"
1,Bisco
2,Kerr
2,Novon
2,ACell
1,"Basell Polyolefine"
19,"Lawrence Livermore National Security"
2,"Novozymes A/S"
6,"Syngenta Participations AG"
2,"The Samuel Roberts Noble Foundation"
4,"Applied Biosystems"
1,"Midori USA"
1,Simbol
1,"k-Space Associates"
1,Singulex
7,Shimadzu
4,CyboEnergy
1,Revera
3,"AGFA-GEVAERT NV"
19,"Cheil Industries"
1,"Sagacious Investment Group LLC"
1,ElectraTherm
20,"Murata Manufacturing Co"
8,"KOLON INDUSTRIES"
2,"PELLION TECHNOLOGIES"
19,"HAMAMATSU PHOTONICS KK"
1,"Integrated Device Technology"
16,"Raytheon Company"
14,QUALCOMM
2,"FutureWei Technologies"
3,"Applied NanoStructured Solutions"
6,"Los Alamos National Security"
8,"The Procter & Gamble Company"
1,"GOJO Industries"
13,"Siemens Aktiengesellschaft"
1,"AMO Wavefront Sciences"
1,"RP Scherer Technologies"
1,"KJ BIOSCIENCES"
1,"Colgate-Palmolive Company"
2,"Bemis Company"
5,"Tanaka Kikinzoku Kogyo KK"
2,"Johnson Matthey PLC"
3,"Boehringer Ingelheim"
2,Kao
2,"Joule Unlimited Technologies"
2,"S C Johnson & Son"
4,"Pioneer Hi Bred"
9,Instron
1,"Biozoom Technologies"
10,TDK
11,VMware
2,"Cross Match Technologies"
6,"Seagate Technology"
3,"Richtek Technology ROC"
5,Tamura
4,"Atomic Energy Council-Institute of Nuclear Energy Research"
15,Kaneka
9,Intermolecular
1,"HARMAN INDUSTRIES"
1,Parker-Hannifin
3,"Previvo Genetics"
7,"Covidien LP"
3,"Adhesives Research"
1,Nanocopocia
2,"Waters Technologies"
2,Markel
1,"Texas Research"
2,"GlaxoSmithKline Biologicals SA"
3,Genentech
1,"RINAT NEUROSCIENCE CORP"
5,"Sarepta Therapeutics"
1,Envisionit
3,"Fina Technology"
9,"Pacific Light Technologies Corp"
3,"The Charles Stark Draper Laboratory"
2,"New England Biolabs"
1,"Abbott Point of Care"
3,Agrivida
2,Magna
1,Microsurge
1,"CARBO Ceramics"
1,"Red Hat"
2,"Gula Consulting Limited Liability Company"
2,"GE-Hitachi Nuclear Energy Americas"
16,"STATS ChipPAC"
3,"Nissan Motor Co"
1,"Daikin Industries"
11,"First Solar"
4,"Flextronics AP"
16,"Samsung SDI Co"
2,Hosiden
1,GOLBA
1,"St Jude Medical"
4,"Proton Power"
1,"LG NANOH2O"
1,Uni-Charm
3,Genzyme
6,"JX Nippon Mining & Metals"
1,"Rolls-Royce PLC"
1,"Confluence Energy"
1,MEDport
4,Honeywell
1,"Xenogenic Development Limited Liability Company"
11,Hoya
1,Nvidia
9,"Hewlett-Packard Development Company LP"
1,"Cima NanoTech Israel"
10,"Crystal Solar"
2,"Silicon Genesis"
2,Mediatek
4,"Heraeus Precious Metals North America Conshohocken"
1,"FRONT EDGE TECHNOLOGY"
2,"Gilead Sciences"
1,"PluroGen Therapeutics"
1,"Dow Technology Investments"
10,"Northrop Grumman Systems"
1,"Graphene Technologies"
1,"Parion Sciences"
2,"Gilead Biologics"
5,"International Technology"
1,"DPx Holdings BV"
2,"CP Kelco US"
2,"Caribou Biosciences"
2,"Abbott Molecular"
1,"AGC Flat Glass North America"
1,"Sun Synchrony"
4,"Hitachi High-Technologies"
4,"Sanken Electric Co"
2,"Atotech Deutschland"
8,"ZENA TECHNOLOGIES"
2,Energen
2,"Hewlett Packard Enterprise Development LP"
5,"Clean Energy Labs"
3,"RJ Reynolds Tobacco Company"
1,Nordson
4,"Selecta Biosciences"
1,"Cardiac Pacemakers"
1,"Little Kids"
6,BASF
6,FPInnovations
1,"Minebea Co"
2,Energysolutions
4,"BASF Coatings"
4,"Sun Drilling Products"
6,"Synthetic Genomics"
2,"BASF Plant Science"
3,"Plant Sensory Systems"
1,TheGreenCell
1,"Da Yu Enterprises LLC"
2,"Complete Genomics"
6,Innolux
1,"Solight Solar"
1,"Wentworth Laboratories"
4,"FEI Company"
2,"PDF Solutions"
1,"DECA Technologies"
5,"Analog Devices"
1,Crossbar
2,"Johns Manville"
1,TMC
1,"Polaris Products"
2,"Cook Biotech"
3,DPD
1,"Medicis Pharmaceutical"
1,Pharmatrophix
1,"PAX Scientific"
16,"GM Global Technology Operations"
2,Ferro
1,"Star Technology and Research"
1,"SEaB Energy Holdings"
4,"THYSSENKRUPP INDUSTRIAL SOLUTIONS"
5,"Danisco US"
2,"Kawasaki Jukogyo Kabushiki Kaisha"
1,"Nanoridge Materials"
1,"Meyer Tool"
1,"UVIC INDUSTRY PARTNERSHIPS"
1,VALTED
2,HTC
4,"Sumitomo Rubber Industries"
2,"VivaLnk Limited (Cayman Islands)"
2,"Western Digital Technologies"
1,"ADVANCED CERAMIC FIBERS"
1,"ABB Research"
1,"Midrex Technologies"
39,"The Boeing Company"
2,"FLIR Systems"
1,"Fairchild Semiconductor"
1,"Green Box Batteries"
1,SUNSALUTER
1,"JSI Equipment Solutions"
1,"ABL IP Holding"
2,"Innovation Hammer"
1,"Rohm and Haas Chemicals"
3,Sanofi
2,"Atrium Medical"
3,"BAE Systems Information and Electronic Systems Integration"
4,"Carestream Health"
4,IMEC
1,Crestovo
3,"Paratek Pharmaceuticals"
2,"Amicus Therapeutics"
3,"Sun Chemical"
2,"Autonomic Materials"
1,"kSep Systems"
2,"Ibis Biosciences"
1,Quantapore
1,"Nano Technics Company"
1,SunLink
2,SOL-ELECTRICA
1,Sungevity
1,"Olympus NDT"
2,mVerify
1,Siemens
1,"Accuri Cytometers"
6,"Opel Solar"
6,"Nthdegree Technologies Worldwide"
1,"Texas Instruments Deutschland"
8,"Battelle Memorial Institute"
1,"Rapamycin Holdings"
1,"Hollingsworth & Vose Company"
3,"SICPA Holding SA"
2,"Bigelow Aerospace"
1,"Bayer Materialscience"
6,"Chevron Phillips Chemical Company LP"
1,Cabot
2,Novozymes
1,Fluidigm
1,PACCAR
1,"CLEARSIGN COMBUSTION"
1,"CoolEarth Solar"
2,"Bio-Rad Laboratories"
5,"Lumentum Operations"
2,"DHPC TECHNOLOGIES"
1,Veracode
1,"ALF OPERATING PARTNERS"
12,"Merck Patent"
3,BROADCOM
7,"Sumitomo Electric Device Innovations"
7,"Sensor Electronic Technology"
4,"Global OLED Technology"
6,"Nippon Chemi-Con"
1,"Disney Enterprises"
3,Dentsply
2,"Johnson & Johnson Consumer Companies"
1,"Boehringer Ingelheim Vetmedica"
1,GangaGen
1,Greatbatch
1,Cyberonics
1,PolyOne
1,Nokia
1,"Linne Industries"
1,"STANDARD ALCOHOL COMPANY OF AMERICA"
1,Bi-Modal
6,"Mitsubishi Metal"
2,"WiSys Technology Foundation"
1,"Oceanit Laboratories"
1,"BASF Enzymes"
1,Adynxx
5,"Battelle Energy Alliance"
2,"Nalco Company"
2,"Cellular Research"
1,"WCA Group"
1,"One Earth Designs"
1,"Formula Plastics"
1,"Unistrut Corp"
3,Pixar
3,"Tyco Electronics"
6,"Silicon Storage Technology"
3,"Intellectual Keystone Technology"
1,SPC
1,"BLANC VINEYARDS LLC"
1,Delavau
1,EXOS
1,"Claret Medical"
2,"Coloplast A/S"
3,"United Technologies"
1,"McElroy Manufacturing"
1,"Handstand Innovations"
2,"The Goodyear Tire & Rubber Company"
1,"Pentron Clinical Technologies"
6,Lintec
1,"Starlight Energy Holdings"
1,"SC Johnson & Son"
2,Valicor
1,"CMC ICOS BIOLOGICS"
1,"Domtar Paper Company"
1,"ConocoPhillips Company"
2,Harris
1,"Suganit Systems"
1,"Nordic Technologies"
1,"Rockwell Automation Technologies"
4,"Unity Semiconductor"
2,"Hamilton Sundstrand"
2,Elwha
8,"OmniVision Technologies"
2,"Maxout Renewables"
1,"Kodak Alaris"
2,"TP Solar"
1,PLEX
1,"ENERGY INDEPENDENCE OF AMERICA CORP"
1,Relypsa
3,Immunolight
3,PQ
1,"SUMITOMO WIRING SYSTEMS"
1,"Tesla Nanocoatings"
2,"Arcturus Therapeutics"
1,"Areesys Technologies"
3,Ecolab
1,"National Education"
1,"Mainstream Engineering Corp"
2,MonoSol
2,"Delphi Technologies"
1,Hysitron
1,Fike
1,"Teradata US"
1,"J E WHITE"
5,"Hunt Energy Enterprises"
1,Moxtek
1,"Agena Bioscience"
1,"Advanced Analogic Technologies"
15,"United Microelectronics Corp"
5,Cbrite
1,Fianium
2,Embro
1,"Christie Digital Systems"
1,MicroContinuum
2,"Chipmos Technologies"
2,Humanetics
1,"Biosphere Medical"
8,"Abraxis Bioscience"
1,Livetv
1,Fenwal
7,"Vadient Optics"
1,"Intercontinental Great Brands"
1,"Tersus Environmental"
1,Winecom
1,"Beryllium Discovery Corp"
2,"UCB Pharma SA"
1,"Ethox Chemicals"
1,CELLTRION
2,Sensor-Kinesis
1,"BioNano Genomics"
2,"Johnson &#x26; Johnson Vision Care"
1,"Taiyo Ink Mfg Co"
2,Nanoholdings
1,"ASM America"
4,Pegatron
2,"SunCulture Solar"
1,"Cetac Technologies"
2,"Callahan Cellular LLC"
1,"Toshiba America Electronic Components"
1,"Transposagen Biopharmaceuticals"
2,"Liquidia Technologies"
1,"Karsten Manufacturing"
1,"Roche Diabetes Care"
4,"ENI Technology"
1,"Green Solar Transportation"
2,"MicroLink Devices"
2,"Component Re-Engineering Company"
1,"Nant Holdings IP"
5,"Dow Corning"
2,Dymax
1,"Renewable Opportunities"
14,"API Intellectual Property Holdings"
6,"Algenol Biotech"
1,"Praxair Technology"
1,"Echogen Power Systems"
2,Floadia
7,Dexerials
1,"Tessera Advanced Technologies"
1,Xintec
3,"Maxim Integrated Products"
3,"Phoseon Technology"
1,Finisar
1,"Globus Medical"
2,"ESCAPE THERAPEUTICS"
1,"Thermoretinary Technologies"
1,"Heidelberger Druckmaschinen AG"
1,"Unifrax I"
2,"Arpin Renewable Energy"
1,"OPTERRA ENERGY SERVICES"
2,"Korea Kumho Petrochemical Co"
5,Genomatica
5,"Vorbeck Materials"
1,"Kraton Polymers US"
2,"SAINT-GOBAIN ABRASIFS"
2,"Koch Biological Solutions"
1,"Microchips Biotech"
3,"Advanced Aqua Group"
1,"Locus Energy"
2,"Brother Kogyo Kabushiki Kaisha"
2,"TRI ALPHA ENERGY"
1,"Lextar Electronics Corp"
1,Electrovaya
1,"Microsemi SoC"
1,"FLOW CONTROL"
1,"InView Technology"
1,"Gestion Ultra"
1,"Dynamic Solutions Worldwide"
1,"Grain Processing"
1,"ELC Management"
2,"OTSUKA PHARMACEUTICAL CO"
1,"The Gates"
2,"Avantor Performance Materials"
1,"Owens-Brockway Glass Container"
1,"GCP Applied Technologies"
1,"FULL CIRCLE BIOCHAR"
3,Metabolix
2,Chemtreat
2,"Arrowhead Center"
1,"Buckman Laboratories"
1,"GREENHILL ANTIBALLISTICS"
1,"Met Tech"
1,"Zyvex Labs"
2,"Beijing BOE Display Technology Co"
4,"KYOCERA DOCUMENT SOLUTIONS"
4,"Headway Technologies"
1,Quallion
1,"Volterra Semiconductor"
1,"Ion Power Group"
1,"Stablcor Technology"
2,"Magnachip Semiconductor"
1,Aseptia
2,"Ethicon Endo-Surgery"
6,"Boston Scientific Scimed"
2,"Abengoa Bioenergy New Technologies"
11,"Inaeris Technologies"
1,Pharmion
2,Conoco
1,Aerogen
4,Andritz
2,MirTech
2,"Lake Lite"
1,"Strategic Solar Energy"
1,"Takara Bio"
2,"ZIH Corp"
1,"TRITON MICROTECHNOLOGIES"
9,"SII Semiconductor"
1,Ferric
1,"Ideal Power"
1,"POLAR LIGHT TECHNOLOGIES AB"
1,"Medtronic Vascular"
2,"Arch Biosurgery"
3,Poly-Med
1,"Courtagen Life Sciences"
1,"Applied Membrane Technologies"
5,"Henkel AG & Co KGaA"
3,"Gas Technology Institute"
2,"Cornell Research Foundation"
1,"Braun Intertec Geothermal"
1,iNanoBio
3,"Banpil Photonics"
1,"Wireless Environment"
9,"ASM IP HOLDING BV"
1,"Saint-Gobain Ceramics & Plastics"
1,"Siliconware Precision Industries Co"
1,OLYMPUS
1,"Power Integrations"
1,"CYKL Technology"
1,"Ovonic Battery Company"
1,"Schneider Electric Solar Inverters USA"
2,"Lattice Semiconductor"
1,"Pulse Therapeutics"
1,"LifeNet Health"
1,"Smart Planet Technologies"
1,"Federal Signal"
3,"Deployable Space Systems"
1,"Heat Seal"
2,"Georgia-Pacific Gypsum"
1,"Integrated Nano-Technologies"
1,"Adaptive Biotechnologies Corp"
1,"Weatherford Canada Partnership"
1,"Babcock Power Services"
2,Atonometrics
1,"Redwood Systems"
7,KLA-Tencor
2,"Riverbed Technology"
1,"ASCENT SOLAR TECHNOLOGIES"
4,"Osram Sylvania"
1,"TRIDONIC & CO KG"
1,"Solar Tectic"
1,"Alencon Acquisition Co"
1,"Blue Sea Systems"
1,"Armageddon Energy"
5,Nikon
1,"Tata Consultancy Services Limited"
1,"ATC Technologies"
1,"Silicor Materials"
1,"GED Intergrated Solution"
1,"CAMBRIDGE ENTERPRISE LIMITED"
1,"Bell Helicopter Textron"
1,"Big Belly Solar"
1,"Angiotech Pharmaceuticals (US)"
3,"NOVA Chemicals (International) SA"
1,CPC
1,"BERKEN ENERGY"
1,"Ortho-Clinical Diagnostics"
1,"VERLASE TECHNOLOGIES"
2,Oracle
3,Solutia
1,"Thermo Finnigan"
2,Vizio
1,"Saint-Gobain Performance Plastics"
2,"Astex Pharmaceuticals"
2,"Hadasit Medical Research Services & Development Company"
2,NanoOncology
1,"Renewable Algal Energy"
1,"Faurecia Interior Systems"
1,"Cura Vac"
1,"Teal Sales"
1,"Synaptic Research"
1,Synthezyme
1,"Glucan Biorenewables"
1,Adtran
1,"WestPoint Home"
1,"OAS Design Group"
2,"GREENFIELD MASTER IPCO LIMITED"
3,Synopsys
1,"Western Digital (Fremont)"
2,Semprius
5,"Acorn Technologies"
4,Nantero
4,"Total Marketing Services"
3,"Amkor Technology"
1,WAFERTECH
3,QuantumScape
2,"CPT IP Holdings"
2,"Dermazone Solutions"
2,"OrbusNeich Medical"
1,AccuRay
4,"Eastman Chemical Company"
2,"American Science and Technology"
1,"Excelsior Nanotech"
2,Prosoft
1,"GROW ENERGY"
3,"Integrated DNA Technologies"
1,"Longhorn Vaccines and Diagnostics"
5,"Kimberly-Clark Worldwide"
3,"Stora Enso Oyj"
1,ADASA
1,"Pentair Thermal Management"
5,AMPT
1,"ACACIA RESEARCH GROUP"
1,"Antaya Technologies"
1,"Masimo Semiconductor"
1,"PolyPlus Battery Company"
1,"NANO CELL SYSTEMS"
1,"Inventus Holdings"
2,"BlackBerry Limited"
1,"KS CO"
1,"RF Micro Devices"
1,"Helios Focus"
2,"LG Bionano"
1,"LATITUDE PHARMACEUTICALS"
1,"THE BOARD INSTITUTE"
2,"Dana-Farber Cancer Institute"
1,"Nova Technologies"
2,"American Air Liquide"
3,Tosoh
5,"Halliburton Energy Services"
4,Calysta
9,"Novartis AG"
2,Infinera
2,Bridgelux
1,"Sila Nanotechnologies"
1,VIASAT
1,nLIGHT
1,"ABB Technology"
1,WHATSAPP
1,"FUJIFILM Dimatix"
1,Aadigen
1,"Ajinomoto Althea"
1,"Tufts Medical Center"
1,"AltaRock Energy"
1,"APPLIED SUNSHINE"
7,"Genia Technologies"
4,"Ventana Medical Systems"
2,"Atom Nanoelectronics"
2,"QUALCOMM MEMS Technologies"
2,Bakersun
1,"RADIANCE SOLAR"
1,Semics
1,"MILLENIUM SYNTHFUELS"
1,"H R D"
1,"Avant Garde Therapeutics & Technologies"
2,"IDEX Health &#x26; Science"
2,"NeuMoDx Molecular"
2,"GE Healthcare Dharmacon"
2,Nokomis
2,Grandis
1,"Micro Cooling Concepts"
1,"George Mason Research Foundation"
1,"CellPrint IP Holding"
1,"VIOLIN MEMORY"
2,"MATERIALS ANALYSIS TECHNOLOGY (US) CORP"
2,"Ignis Innovation"
1,"Alcatel Lucent"
1,"BROOKLYN QUANTUM WORKS"
1,"Pyrexar Medical"
2,"GR Intellectual Reserve"
1,"Pacific Industrial Development"
1,"Biological Dynamics"
1,Gtech
3,"Biogenic Reagents Ventures"
1,Yageo
1,"Biocon Limited"
2,Genesco
1,Amgen
1,DiscoveRx
1,"Applied Nanostructures"
1,"Bausch & Lomb"
2,"Tela Innovations"
5,"Infineon Technologies Americas Corp"
1,IntriEnergy
1,"ASM IP Holdings"
1,"Electronic Warfare Associates"
1,"Wizard Labs"
1,"WELL Shield"
1,"ProNAi Therapeutics"
1,"SonoGene LLC"
1,"GENERAL MOTORS"
1,Epizyme
1,"Lyotropic Therapeutics"
2,"Novus Technology"
2,PNM
3,Crepaco
1,"Deep Well Power"
1,"Industrial Solar Heating Systems"
1,"OFS Fitel"
1,"UTC FIRE & SECURITY"
1,Gracenote
1,"Mattson Technology"
2,Tessera
1,AVOGY
3,Adeka
2,"Sola USA"
1,"Universal Display"
1,"Sion Power"
1,BCE
2,"Boston Scientific Neuromodulation"
1,"Toray Plastics (America)"
1,Roll-N-Lock
2,JNC
1,"aTyr Pharma"
1,Cetus
1,"Magnolia Optical Technologies"
1,"Propagation Research Associates"
1,Musco
2,"Nanotech Biomachines"
1,"eSionic Corp"
2,CAPAT
1,Kajima
1,Wenger
3,"Transtron Solutions"
1,Bostik
1,Galemed
3,Soraa
1,Pardev
2,"Rima Enterprises"
1,Anelva
1,"Hewlett-Packard Indigo BV"
1,"SD Technologies"
1,"Dongbu Hitek Co"
2,ATOMERA
1,QUSWAMI
1,Wikipad
1,"KOLO TECHNOLOGIES"
1,"NuOrtho Surgical"
1,"ENERGY ENGINEERING SYSTEMS"
1,"Triple Ring Technologies"
1,Egenera
1,Gardner-Gibson
3,"Ensyn Renewables"
1,"Thermo Fisher Scientific"
2,Amprius
4,"Brookhaven Science Associates"
1,"Integrated Solar Technology"
2,"NGK Spark Plug Co"
1,Seetron
1,"ExxonMobil Upstream Research Company"
1,Polysar
1,Sysmex
2,Ceramatec
2,"RA Miller Industries"
1,Thorlabs
1,"Combined Energies"
1,"The Jackson Laboratory"
2,"US NUTRACEUTICALS"
1,"Warsaw Orthopedic"
2,"Sundrop Fuels"
1,"Novozymes North America"
1,"American Piledriving Equipment"
1,"Entech Solar"
1,"Hunter Douglas"
1,"Extech/Exterior Technologies"
2,NOK
1,"TT Technologies"
2,"Johnson Controls Technology Company"
1,"KR Design House"
1,"Haier US Appliance Solutions"
2,"VINDICO NANOBIO TECHNOLOGY"
12,"Sienna Biopharmaceuticals"
1,"Roche Diagnostics"
1,"Soliton Lasers"
1,"Green Extraction Technologies"
1,"Cristal USA"
1,"Element One"
2,INENTEC
2,"22nd Century Limited"
1,AxioMx
1,TRANE
1,"Teledyne Scientific & Imaging"
2,"Casio Computer Co"
1,Symantec
5,NetApp
1,"Adobe Systems"
1,"AAC Technologies Pte"
1,"Monolithe Semiconductor"
1,Crystalplex
1,"Industrial Origami"
1,NeoPhotonics
1,NANOPHTHALMICS
