"lookup_firm","mean_cd_index","imputed"
"ASTUTE MEDICAL",-0.013262599469496,0
"AT&T",-0.0177304964539007,0
"ATC Technologies",0,0
"ATI Technologies ULC",0,0
"Atleisure",0.027027027027027,0
"Atom Nanoelectronics",-0.032258064516129,0
"ATOMERA",-0.185309973045822,0
"Atomic Energy Council-Institute of Nuclear Energy Research",0,0
"Atonometrics",0.00378787878787879,0
"Atotech Deutschland",0,0
"Atrium Medical",-0.00134223065296864,0
"ATTOSTAT",-0.0427350427350427,0
"aTyr Pharma",-0.0101010101010101,0
"Aurora Alage",0,0
"Aurrion",-0.102941176470588,0
"Aushon Biosystems",0,0
"Auterra",-0.013215859030837,0
"Autonomic Materials",0,0
"Avago Technologies General IP (Singapore) Pte",-0.0357142857142857,0
"Avalanche Technology",0.00354609929078014,0
"Avant Garde Therapeutics & Technologies",-0.0123456790123457,0
"Avantor Performance Materials",1,0
"Avello Bioenery",0,0
"Avertech",0.02,0
"Avery Dennison",-0.000479386385426654,0
"AVI BioPharma",-0.0062111801242236,0
"AVOGY",0,0
"Avon Products",0.181818181818182,0
"Avtaec Limited",0,0
"AxioMx",0,0
"AZ Electronic Materials (Luxembourg) SARL",0.0144444444444444,0
"Babcock Power Services",0,0
"BAE Systems Information and Electronic Systems Integration",0.0476190476190476,0
"Baker Hughes",0.0740852933262851,0
"Bakersun",-1,1
"Banpil Photonics",-0.222222222222222,0
"Basell Polyolefine",1,0
"BASF",-0.0271448663853727,0
"BASF Coatings",0,0
"BASF Enzymes",0,0
"BASF Plant Science",-0.05,0
"BASF SE",0.022302745194489,0
"Battelle Energy Alliance",0.0311526479750779,0
"Battelle Memorial Institute",0.0132288226831199,0
"Bausch & Lomb",0,0
"BAXALTA",-0.0909090909090909,0
"Baxter",0,0
"Baxter Healthcare SA",0,0
"Bayer Cropscience AG",0,0
"Bayer Materialscience",0.333333333333333,0
"BCE",0.761904761904762,0
"Bechtel Hydrocarbon Technology Solutions",0,0
"Beijing BOE Display Technology Co",1,0
"Bell Helicopter Textron",0,0
"Bemis Company",-0.00714285714285714,0
"Bend Research",0,0
"BERKEN ENERGY",-0.0204081632653061,0
"Beryllium Discovery Corp",0,0
"Bestway",0,0
"BG Negev Technologies and Applications",-1,1
"BHA Technologies",0,0
"Bi-Modal",0,0
"Big Belly Solar",0.15625,0
"Bigelow Aerospace",0.00320423516299805,0
"BIND Therapeutics",-0.00482689890380452,0
"Bio-Rad Laboratories",0.0340434419381788,0
"Biocare Medical",-0.0062111801242236,0
"Biocon Limited",0,0
"Biogenic Reagents Ventures",0.319593238785158,0
"Biological Dynamics",-0.0255102040816327,0
"BioNano Genomics",-0.00651890482398957,0
"Bioneer",0.126794258373206,0
"Biosense Webster (Israel)",-0.0041371158392435,0
"Biosphere Medical",0,0
"Biotechnology Foundation",-1,1
"bioTheranostics",1,0
"Biotta",0.411764705882353,0
"Biozoom Technologies",0,0
"Bird-B-Gone",-0.0166666666666667,0
"Bisco",0,0
"Bitrode",0,0
"BlackBerry Limited",0,0
"BLANC VINEYARDS LLC",0,0
"Blue Sea Systems",0.0476190476190476,0
"Bluestar Silicones France",-1,1
"BOE Technology Group Co",0.288442313144488,0
"Boehringer Ingelheim",-0.0257443622269204,0
"Boehringer Ingelheim Vetmedica",0.00380228136882129,0
"BOLTIER R&D",0,0
"Bosch Energy Storage Solutions",0.00879765395894428,0
"Bostik",0,0
"Boston Scientific Neuromodulation",-0.0237021073761522,0
"Boston Scientific Scimed",0.163990596238495,0
"BP North America",0.015625,0
"Braun Intertec Geothermal",0,0
"Brewer Science",0.0136872353297036,0
"Bridgelux",0.165191740412979,0
"Bridgestone",0.00791749208014059,0
"Brightfield Transportation Solutions",-0.0169491525423729,0
"BRIGHTLEAF TECHNOLOGIES",0,0
"Bristol-Myers Squibb Company",-0.0137931034482759,0
"BROADCOM",0.666666666666667,0
"Brookhaven Science Associates",0.25,0
"BROOKLYN QUANTUM WORKS",0,0
"Brother",0,0
"Brother Kogyo Kabushiki Kaisha",0.0576923076923077,0
"Bruin Biometrics",-0.0661290322580645,0
"BTPATENT",0.0630630630630631,0
"BTU",0.142857142857143,0
"Buckman Laboratories",-0.0285714285714286,0
"Building Envelope Innovations",-0.0526315789473684,0
"Butamax(TM) Advanced Biofuels",-0.0227143770529891,0
"CA",0.533333333333333,0
"Cabot",-0.0476190476190476,0
"Cadence Design Systems",-0.133333333333333,0
"Calient Technologies",0,0
"California Industrial Facilities Resources",0.0153846153846154,0
"Callahan Cellular LLC",0.00177935943060498,0
"Calysta",0.00704225352112676,0
"Cambridge Electronics",0.0508474576271186,0
"CAMBRIDGE ENTERPRISE LIMITED",0,0
"Canon",-0.0144927536231884,0
"Canon Kabushiki Kaisha",0.196701739055289,0
"Canon Nanotechnologies",0,0
"Canon US Life Sciences",-0.000147415167178013,0
"CAPAT",-0.00418410041841004,0
"CARBO Ceramics",1,0
"Carbon3D",-0.0334122947583548,0
"Cardiac Pacemakers",0,0
"Cardiva Medical",-0.00250806162665711,0
"Carestream Health",0.166666666666667,0
"Caribou Biosciences",-0.0152072902859703,0
"Carl Zeiss Meditec AG",0.0526315789473684,0
"Carl Zeiss Microscopy",1,0
"Carver Scientific",-0.0215537821431007,0
"Casio Computer Co",-0.125,0
"Cavium",0,0
"Cbrite",0.205204737245877,0
"Cedar Ridge Research",1,0
"Celanese",0.329214084307043,0
"CellPrint IP Holding",-1,1
"CELLTRION",0,0
"Cellular Research",-0.0271232876712329,0
"Centre de Recherche Industrielle du Quebec",0.128521126760563,0
"Ceramatec",-0.00396825396825397,0
"CERION",0.103398782525662,0
"Certain-teed",-0.00164473684210526,0
"Cetac Technologies",0,0
"Cetus",-0.0675675675675676,0
"Cheil Industries",0.189583333333333,0
"Chemtreat",0,0
"Chevron Oronitz Company",0,0
"Chevron Phillips Chemical Company LP",-0.0565656855598796,0
"Chevron USA",0.142857142857143,0
"Child Laboratories",-0.00854700854700855,0
"Chipmos Technologies",0,0
"Chiron",0.032258064516129,0
"Christie Digital Systems",0,0
"Chromalox",0.00423728813559322,0
"Cima NanoTech Israel",-0.05,0
"Cisco Technology",0.0932568149210904,0
"Claret Medical",0,0
"Clean Energy Labs",0.414011896893589,0
"Cleanvantage",0,0
"Clearside Biomedical",-0.00150375939849624,0
"CLEARSIGN COMBUSTION",-0.100574712643678,0
"CMC ICOS BIOLOGICS",0.125,0
"CNH Industrial America",0,0
"Coactive Drive",0.00121802679658952,0
"Codexis",0,0
"Coleman Cable",1,0
"Colgate-Palmolive Company",0.0072463768115942,0
"Coloplast A/S",0,0
"Columbia Insurance Company",0,0
"Combined Energies",-0.00234741784037559,0
"Commonwealth Scientific & Industrial Research Organization",-0.00198364630482441,0
"Community Power",0,0
"Complete Genomics",0,0
"Component Re-Engineering Company",0.0186820652173913,0
"Conexant Systems",0,0
"Confluence Energy",0,0
"Conoco",0.0227272727272727,0
"ConocoPhillips Company",-0.00909090909090909,0
"Continental Manufacturing",0.0769230769230769,0
"Conversant Intellectual Property Management",0.00288461538461538,0
"Cook Biotech",-0.00371542093589691,0
"COOK MEDICAL TECHNOLOGIES",0,0
"Cool Planet Energy Systems",-0.0617386853435248,0
"CoolEarth Solar",0.00558659217877095,0
"Cooper Technologies Company",0.03125,0
"Copernicus Therapeutics",0,0
"Coriant Advanced Technology",-0.0538461538461538,0
"Cornell Research Foundation",-0.000366568914956012,0
"Corporation for National Research Initiatives",0,0
"Courtagen Life Sciences",-0.0053475935828877,0
"COVERIS FLEXIBLES US",0,0
"Covidien LP",-0.00197676873615485,0
"CP KELCO APS",-0.00035561877667141,0
"CP Kelco US",-0.0416666666666667,0
"CPC",-0.0108225108225108,0
"CPT IP Holdings",-0.0111111111111111,0
"Cree",0.0673782225792971,0
"Crepaco",0.00181159420289855,0
"Crestovo",0,0
"Cristal USA",0.0277777777777778,0
"Cross Match Technologies",0.0138888888888889,0
"Crossbar",0,0
"Crystal Solar",-0.0138888888888889,0
"Crystalplex",0,0
"CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement",0,0
"CUMMINS FILTRATION IP",0,0
"Cura Vac",-1,1
"Custom Electronics",0.00806451612903226,0
"CYBERCITY 3D",0.0476190476190476,0
"Cyberonics",0,0
"CyboEnergy",0,0
"CYKL Technology",-1,1
"Cymatics Laboratories Corp",0,0
"Cypress Semiconductor Corp",0.0895614699577349,0
"D-Wave Systems",0,0
"Da Yu Enterprises LLC",0,0
"Daikin Industries",0,0
"Dana",-1,1
"Dana-Farber Cancer Institute",0.5,0
"Danisco US",-0.00625388004646955,0
"Daylight Solutions",0.015625,0
"DCG SYSTEMS",0,0
"DECA Technologies",-0.0769230769230769,0
"Deep Science",0,0
"Deep Well Power",0,0
"DEKA Products Limited Partnership",-0.00960799385088393,0
"Delavau",0,0
"Dell Software",0,0
"Delphi Technologies",0.00193798449612403,0
"Delta Electronics",-0.00648591174906965,0
"Denso",0.387111111111111,0
"Dentsply",0,0
"Deployable Space Systems",-0.0128086419753086,0
"DePuy Synthes Products",-0.00146198830409357,0
"Dermazone Solutions",-0.0136111111111111,0
"Dexerials",0.149068322981366,0
"DHPC TECHNOLOGIES",0,0
"Dialight",0,0
"Dialogic",0.0357142857142857,0
"Diamicron",0,0
"Diamond Innovations",0,0
"DIC",-0.0833333333333333,0
"Digital Wind Systems",-0.00775193798449612,0
"DiscoveRx",0,0
"DISCOVERYBIOMED",0.0625,0
"Disney Enterprises",-0.548387096774194,0
"DNA Twopointo",0,0
"DNA20",-0.527651515151515,0
"Dogwood Pharmaceuticals",0,0
"Dolby Laboratories Licensing",-0.00567815521943962,0
"Domtar Paper Company",0,0
"Dongbu Hitek Co",1,0
"Dow AgroSciences",0.0277777777777778,0
"Dow Corning",0.0134029596625905,0
"Dow Global Technologies",0.053500649166439,0
"Dow Technology Investments",0.0178571428571429,0
"DPD",0.00141750806307768,0
"DPx Holdings BV",0,0
"Dr Reddy's Laboratories",0,0
"Dresser-Rand Company",1,0
"DRS Network &#x26; Imaging Systems",0,0
"DSP Group",0,0
"DuPont Teijin Films US Limited Partnership",0.0220588235294118,0
"Dymax",0,0
"Dynamic Solutions Worldwide",0,0
"E I du Pont de Nemours and Company duPont Displays",0,0
"E Ink",-0.00276092889684262,0
"E Techorporation",1,0
"Easel Biotechnologies",-0.0204081632653061,0
"Eastman Chemical Company",-0.0185810810810811,0
"Eastman Kodak Company",-0.00378462496109555,0
"Eaton",0.5,0
"Echogen Power Systems",-0.0006635700066357,0
"EchoStar Technologies",0.0555555555555556,0
"Ecolab",0.00157728706624606,0
"ECOSYNTHETIX",-0.00574712643678161,0
"Ecovative Design",-1,1
"Egenera",0,0
"Eisai Co",-1,1
"ELC Management",0,0
"Elcriton",-1,1
"ElectraTherm",0.0333333333333333,0
"Electrix",-1,1
"Electronic Warfare Associates",0,0
"Electrovaya",0,0
"Element One",0.0172413793103448,0
"Elenion Technologies",0,0
"Elwha",-0.0206207482993197,0
"Em-Tech",-1,1
"Embro",-0.026618542747575,0
"EMC",-0.0146177272861909,0
"EMD Technologies",0,0
"Empire Technology Development",0.00129349816849817,0
"Energen",0,0
"ENERGY ENGINEERING SYSTEMS",0,0
"ENERGY INDEPENDENCE OF AMERICA CORP",0,0
"Energysolutions",0.00943396226415094,0
"Enginuity Worldwide",0,0
"Englewood Lab",-0.00154320987654321,0
"ENI SpA",1,0
"ENI Technology",-0.00770209677122958,0
"eNow",-0.00900900900900901,0
"Ensyn Renewables",-0.000397228148424321,0
"Entech Solar",-0.333333333333333,0
"Entegris",0.0555555555555556,0
"Envision Solar",0,0
"Envisionit",0,0
"EPCOS AG",-1,1
"Epizyme",-0.148148148148148,0
"ESCAPE THERAPEUTICS",0.0263157894736842,0
"eSionic Corp",0,0
"Esolar",0,0
"Ethicon Endo-Surgery",-0.0180128706321044,0
"Ethox Chemicals",0.5,0
"Evernote",0.111111111111111,0
"Everspin Technologies",0.51063829787234,0
"Evoqua Water Technologies",0.015625,0
"Evri",-0.0138888888888889,0
"Exatec",0,0
"Excelsior Nanotech",1,0
"EXOS",-0.00454545454545455,0
"Express Imaging Systems",0.00104977355669876,0
"Extech/Exterior Technologies",0,0
"ExxonMobil Chemical Patents",0.165775401069519,0
"ExxonMobil Research and Engineering Company",0.0277323717948718,0
"ExxonMobil Upstream Research Company",0.0645161290322581,0
"Facebook",0,0
"Fairchild Semiconductor",0,0
"FastCAP Systems",-0.00965250965250965,0
"Faurecia Interior Systems",0,0
"Federal Signal",0.00105820105820106,0
"FEI Company",0,0
"Fenwal",0,0
"Ferric",0,0
"Ferro",0.0535714285714286,0
"Fezza Family Properties",0,0
"FHT",-0.333333333333333,0
"Fianium",-1,1
"Fike",0,0
"Fina Technology",0,0
"Finisar",0.2,0
"First Solar",-0.0226718667504369,0
"Flextronics AP",-0.00390625,0
"FLIR Systems",0,0
"Floadia",1,0
"FLOW CONTROL",0.0121951219512195,0
"Fluidigm",-0.0153846153846154,0
"Ford Global Technologies",0.0124965717512301,0
"Forest Concepts",0,0
"Foret Plasma Labs",-0.00127551020408163,0
"Formula Plastics",0.125,0
"FPInnovations",0.0126984126984127,0
"Freescale Semiconductor",0.0788279512009175,0
"FRONT EDGE TECHNOLOGY",0,0
"Fuji Electric Co",0.252757780612254,0
"Fuji Xerox Co",-0.156862745098039,0
"FUJIFILM",0.270907364128982,0
"FUJIFILM Dimatix",0.00769230769230769,0
"Fujitsu Limited",0.136567945911218,0
"Fujitsu Semiconductor Limited",0.0526667882989722,0
"FULL CIRCLE BIOCHAR",-0.0159574468085106,0
"Furukawa Electric Co",0.0258620689655172,0
"FutureWei Technologies",0,0
"fybr",-0.072992700729927,0
"Galectin Therapeutics",-0.0303030303030303,0
"Galemed",0.1,0
"GangaGen",0,0
"Gardner-Gibson",0,0
"Garland Industries",-0.00407331975560081,0
"Garrity Power Services",0.5,0
"Gas Technology Institute",0,0
"GCP Applied Technologies",0,0
"GDO",0,0
"GE Healthcare Dharmacon",0,0
"GE Healthcare Limited",-1,1
"GE-Hitachi Nuclear Energy Americas",0,0
"GED Intergrated Solution",0,0
"Gemex Systems",0,0
"GEN-PROBE",0,0
"GENCO SCIENCES",-0.00212314225053079,0
"Genentech",-0.00148776528784703,0
"GENERAL ELECTRIC COMPANY",0.0931037784724041,0
"GENERAL MOTORS",0.0337078651685393,0
"Genesco",-0.125,0
"Genia Technologies",-0.115949160081034,0
"Genisphere",0,0
"Genomatica",0.000759510816982081,0
"Genomic Health",0.0666666666666667,0
"Genzyme",-0.0273094688221709,0
"George Mason Research Foundation",1,0
"Georgia-Pacific Gypsum",0,0
"GeoSynFuels",0,0
"GEOTHERMAL ENERGY PROJECT",-0.00980392156862745,0
"Gestion Ultra",0,0
"GIGA SOLAR FPC",0.0384615384615385,0
"Gilead Biologics",0.499414176918571,0
"Gilead Connecticut",-0.0511811023622047,0
"Gilead Sciences",0.0476190476190476,0
"GlassPoint Solar",-0.00235863576199711,0
"GlaxoSmithKline Biologicals SA",0.5,0
"GLIKNIK",-0.0869565217391304,0
"Global Eagle Entertainment",0,0
"Global Filtration Systems",-0.00575539568345324,0
"Global OLED Technology",0.0350063131313131,0
"Global Solar Water Power Systems",1,0
"GLOBALFOUNDRIES",0.0717258311850517,0
"Globus Medical",0,0
"Glucan Biorenewables",0.0769230769230769,0
"GLYCON",-0.162698412698413,0
"GM Global Technology Operations",0.198132823986953,0
"GOAL ZERO",0.216216216216216,0
"GOJO Industries",-0.0050251256281407,0
"GOLBA",-0.0427098674521355,0
"Google",0.121654254560224,0
"GOOGLE TECHNOLOGY HOLDINGS",0,0
"GOSOLARLIFE",0,0
"GR Intellectual Reserve",0,0
"Gracenote",0.00448430493273543,0
"Grain Processing",-0.25,0
"Gram Power",0,0
"Grandis",-0.0125293606197848,0
"Graphene Technologies",0.00242718446601942,0
"Great American Duck Races",0.032258064516129,0
"Greatbatch",0,0
"Green Box Batteries",1,0
"Green Extraction Technologies",-0.00719424460431655,0
"Green Solar Transportation",0,0
"GREENFIELD MASTER IPCO LIMITED",-0.0176799007444169,0
"GREENHILL ANTIBALLISTICS",-0.00480769230769231,0
"Greyrock Energy",-1,1
"GROW ENERGY",0.0714285714285714,0
"Gtech",0,0
"GTherm",0,0
"Guardian Industries",-0.00202100479710108,0
"Gula Consulting Limited Liability Company",-0.00228727310880285,0
"H R D",0,0
"Hadasit Medical Research Services & Development Company",0.0113671274961598,0
"Haier US Appliance Solutions",0.010752688172043,0
"Halliburton Energy Services",-0.00115629984051037,0
"HAMAMATSU PHOTONICS KK",0.0718005952380952,0
"Hamilton Sundstrand",-0.00977710233029382,0
"Handstand Innovations",0,0
"Handylab",-0.00586756077116513,0
"HARMAN INDUSTRIES",0,0
"Harris",-0.00454545454545455,0
"Headway Technologies",-0.00824926439680538,0
"Heat Seal",0,0
"Heidelberger Druckmaschinen AG",0,0
"Heliae Development",0.00102354145342886,0
"Helios Focus",0.00833333333333333,0
"Henkel AG & Co KGaA",0,0
"Heraeus Precious Metals North America Conshohocken",0.375,0
"Hewlett Packard Enterprise Development LP",0.357142857142857,0
"Hewlett-Packard Development Company LP",0.021187353303438,0
"Hewlett-Packard Indigo BV",-0.5,0
"HGST NETHERLANDS BV",0.00370961352934787,0
"HIQ SOLAR",0,0
"Hitachi",0.149074958857568,0
"Hitachi High-Technologies",0.00675675675675676,0
"Hitachi Metals",0.339622641509434,0
"HM&#xb3; ENERGY",0.1,0
"HNO Greenfuels",0,0
"Hollingsworth & Vose Company",-0.00768491834774256,0
"Hollywood Trucks",0.0540540540540541,0
"Hon Hai Precision Industry Co",0.0890129316651617,0
"Honda Motor Co",0.129307568438003,0
"Honeywell",0,0
"Hosiden",-0.25,0
"HOWARD INDUSTRIES",0.0206185567010309,0
"Hoya",0.0454545454545455,0
"HRL Laboratories",-0.0121951219512195,0
"HTC",0.583333333333333,0
"HTS",-1,1
"Humanetics",-0.0927218344965105,0
"Hunt Energy Enterprises",0.382716049382716,0
"Hunter Douglas",-0.00403225806451613,0
"Hynix Semiconductor",0,0
"Hysitron",-0.0125786163522013,0
"Hyundai Motor Company",0.165903540903541,0
"IBC Pharmaceuticals",0,0
"iBio",0,0
"Ibis Biosciences",0,0
"IDEA TREE",-1,1
"Ideal Power",0.1,0
"IDEALAB",0,0
"IDEX Health &#x26; Science",-0.00464059606356863,0
"Ignis Innovation",0.00170842824601367,0
"II-VI",0.0114503816793893,0
"III HOLDINGS 1",0,0
"Illinois Tool Works",0,0
"IMEC",-0.00323355506282335,0
"Immunolight",-0.0016260162601626,0
"Immunopath Profile",0,0
"Imperial Innovations Limited",-1,1
"IMRA America",0.1,0
"Inaeris Technologies",0.00258873820024899,0
"iNanoBio",0.107142857142857,0
"Incept",-0.000602112260850299,0
"Incyte Holdings",0,0
"Industrial Origami",0,0
"Industrial Science & Technology Network",0.05,0
"Industrial Solar Heating Systems",0.0303030303030303,0
"Industrial Technology Research Institute",0.00378021846334086,0
"INENTEC",-0.0154728503053309,0
"Infineon Technologies AG",0.163203463203463,0
"Infineon Technologies Americas Corp",0.273864809081527,0
"Infinera",0.0674242424242424,0
"INFINEUM LIMITED",0,0
"Innolux",0.170454545454545,0
"Innovalight",0,0
"Innovation Hammer",-0.0281845448129852,0
"Inphenix",0,0
"Instron",0.0045252269509869,0
"Integrated Device Technology",-0.00427350427350427,0
"Integrated DNA Technologies",0,0
"Integrated Nano-Technologies",-0.00606060606060606,0
"Integrated Solar Technology",0.0277777777777778,0
"Intel",0.133878885941638,0
"INTEL IP",0.0731707317073171,0
"Intellectual Keystone Technology",0.0296296296296296,0
"Intercontinental Great Brands",0,0
"Interez",-1,1
"Interface Performance Materials",0,0
"Intermolecular",0.0445549242424242,0
"International Business Machines",0.0312965006636807,0
"International Technology",-0.00666666666666667,0
"INTEVAC",0.0113636363636364,0
"Intrexon CEU",0.166666666666667,0
"IntriEnergy",-0.0120481927710843,0
"Intuitive Surgical Operations",0.00478468899521531,0
"Invensas",0,0
"Inventus Holdings",0.00892857142857143,0
"InView Technology",0.0340909090909091,0
"InVisage Technologies",-0.00519482510039121,0
"INVISTA North America Sarl",0,0
"Iogen",-0.0476190476190476,0
"Ion Power Group",0,0
"Isis Pharmaceuticals",0,0
"ITN Energy Systems",0.00549450549450549,0
"Ivoclar Vivadent AG",0,0
"J E WHITE",-0.00675675675675676,0
"JAC Products",-0.0410958904109589,0
"Janssen Biotech",0,0
"JFE STEEL",0,0
"JNC",0.5,0
"Johns Manville",-0.03125,0
"Johnson & Johnson Consumer Companies",0,0
"Johnson &#x26; Johnson Vision Care",-0.0376344086021505,0
"Johnson Controls Technology Company",0,0
"Johnson Matthey PLC",0,0
"JOLED",0.202750313237929,0
"Joule Unlimited Technologies",0,0
"JSI Equipment Solutions",0.0106382978723404,0
"JSR",0,0
"JX Nippon Mining & Metals",-0.257906558849955,0
"k-Space Associates",0.00671140939597315,0
"Kabushikikaisha Toshiba",0.0950917930231051,0
"KAI Pharmaceuticals",0.125,0
"Kajima",0,0
"Kala Pharmaceuticals",0.0866385372714487,0
"Kamtec",-1,0
"Kaneka",-0.0454545454545455,0
"Kansai Paint Co",0,0
"Kansei",-1,1
"Kao",0.00909090909090909,0
"Karsten Manufacturing",0,0
"Kashiv Pharma",1,0
"Kawasaki Jukogyo Kabushiki Kaisha",0.0555555555555556,0
"Kemira OY",0,0
"Kerr",0,0
"Kia Motors",0.5,0
"Kimberly-Clark Worldwide",-0.00251119533354037,0
"Kinestral Technologies",-0.169811320754717,0
"Kinetech Power Company",0,0
"King Electric Vehicles",0.0194805194805195,0
"Kiverdi",-0.333333333333333,0
"KJ BIOSCIENCES",-0.25,0
"KLA-Tencor",0.17828313661647,0
"Kobe Steel Limited",0.179671157179485,0
"Koch Biological Solutions",0.5,0
"Kodak Alaris",-0.00274348422496571,0
"KOLO TECHNOLOGIES",-0.00772200772200772,0
"KOLON INDUSTRIES",0.325396825396825,0
"Korea Kumho Petrochemical Co",0,0
"KR Design House",-0.0105820105820106,0
"Kraton Polymers US",0.1,0
"Kronos",-1,1
"KS CO",-1,1
"kSep Systems",0,0
"KT",0.04,0
"KUBIX",0,0
"Kulite Semiconductor Products",0,0
"Kureha",0,0
"KYOCERA DOCUMENT SOLUTIONS",0.166666666666667,0
"L-3 Communications Cincinnati Electronics",0,0
"Lake Lite",-0.0397727272727273,0
"Lam Research",0.0322105973751204,0
"Landauer",0.0303030303030303,0
"Laserline Mfg",-0.00540540540540541,0
