"organization_clnd","mean_citations_3","first_year","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"Altivera",1,2006,6,1,1.33333333333333,1,1.33333333333333,1
"Amazon Technologies",1,2002,7700,2,1.00077922077922,1,3.1312987012987,1.5
"Ambature",0,2013,8,1,1,1,1.75,2
"Amberwave",0,2015,3,1,1,1,2,3
"American Air Liquide",1,1989,336,2,1.45833333333333,1,2.94047619047619,2.5
"AMERICAN BIO ENERGY CONVERTING CORP",0,2012,2,1,1,1,1,1
"American Piledriving Equipment",0,1993,47,1,1,1,1.17021276595745,1
"American Science and Technology",0,2016,2,2,1,1,6,6
"Amgen",0,1987,1272,1,1.08018867924528,1,5.5062893081761,7
"Amgen Fremont",0,2006,73,2,1.58904109589041,2,10.4520547945205,7
"Amkor Technology",1,1989,929,3,1.05495689655172,1,2.91594827586207,4
"AMO Wavefront Sciences",0,2008,42,1,1,1,3.4047619047619,2
"Ampio Pharmaceuticals",0,2013,22,1,1,1,2.13636363636364,1
"Amtech Systems",0,2000,1,0,1,0,4,0
"Analog Devices",0,1976,2929,5,1.01672925913281,1,2.13280983270741,4.8
"Andritz",0,2000,157,4,1,1,2.19108280254777,3.25
"Aneeve",0,2017,2,2,2,2,6.5,2.5
"Angaza Design",0,2016,2,1,1,1,7,7
"Angstron Materials",0,2016,1,1,1,1,2,2
"Anlinx",0,2016,1,1,1,1,1,1
"Annam Biosciences",0,2016,1,1,1,1,1,1
"Ansun Biopharma",0,2013,6,1,1,1,2,2
"Antaya Technologies",0,2000,45,1,1,1,2.33333333333333,3
"API Intellectual Property Holdings",1,2012,34,14,1,1.27272727272727,2.5,4.09090909090909
"Apple",0,1999,4,0,1.5,0,3.75,0
"Applied Biosystems",1.5,1987,480,4,1.04166666666667,1,3.175,6.75
"Applied Genetic Technologies",0,2005,7,1,1,1,1.71428571428571,2
"Applied Materials",0,2001,49,0,1.10204081632653,0,3.02040816326531,0
"APPLIED MATERIALS ISRAEL",0,2004,281,1,1.06405693950178,1,3.16370106761566,2
"Applied NanoStructured Solutions",0,2012,34,3,1,1,3.47058823529412,3.66666666666667
"Applied Nanostructures",0,2011,6,1,1,1,1.66666666666667,4
"APPLIED STEMCELL",0,2016,1,1,1,1,2,2
"APPLIED SUNSHINE",0,2016,1,1,1,1,1,1
"ARBOR THERAPEUTICS",0,2013,6,1,1,1,4,4
"Arch Biosurgery",2,2015,5,2,1,1,3,3
"Archer Daniels Midland Company",0,1976,211,6,1.07109004739336,1.16666666666667,2.92417061611374,3
"Arcturus Therapeutics",0,2015,17,2,1,1,2.23529411764706,2.5
"Areesys Technologies",0,2016,1,1,1,1,6,6
"Arizona Board of Regents",1,1984,976,4,1.1844262295082,1,5.76229508196721,3
"Arizona Board of Regents acting on behalf of Arizona State Univ",0,1990,0,0,1.12345679012346,1,2.64197530864198,2
"Arkema",0,2004,55,0,1,0,2.54545454545455,0
"Arkival Technology Corp",0,2014,4,1,1,1,1.5,1
"Armageddon Energy",0,2009,3,1,1,1,4,2
"Arpin Renewable Energy",2,2016,1,2,1,2,6,12
"Arrowhead Center",0,2005,47,2,1.02127659574468,1,2.63829787234043,3.5
"Asahi Kasei Kabushiki Kaisha",0,1981,433,1,1.0554272517321,1,2.57736720554273,2
"ASCENT SOLAR TECHNOLOGIES",0,2007,21,1,1.04761904761905,1,3.19047619047619,3
"Aseptia",0,2010,22,1,1.13636363636364,2,3.40909090909091,2
"ASM America",0,1988,313,1,1.01277955271565,1,2.86900958466454,2
"ASM IP HOLDING BV",4.16666666666667,2005,224,9,1.00446428571429,1,3.04910714285714,3
"ASM IP Holdings",0,2013,6,1,1,1,2.16666666666667,1
"ASML Netherlands BV",1,2002,3025,5,1.05421487603306,1,4.09785123966942,4.4
"Astech",0,2002,3,0,1,0,1.33333333333333,0
"AstenJohnson",0,2000,90,1,1,1,1.97777777777778,7
"Astex Pharmaceuticals",1,2006,12,2,1.25,1,4.33333333333333,2
"ASTUTE MEDICAL",1,2004,22,2,1,1,4.09090909090909,4.5
"AT&T",0,1976,2711,0,1.00995942456658,0,2.30173367760974,0
"ATC Technologies",0,1999,155,1,1.00645161290323,1,1.63225806451613,5
"Atleisure",0,2016,4,1,1,1,1,1
"Atom Nanoelectronics",1,2015,4,2,1,1,1.5,1.5
"ATOMERA",0,2016,8,2,1,1,2.375,2.5
"Atonometrics",0,2014,1,0,1,0,3,0
"Atotech Deutschland",0,1993,209,2,1.02870813397129,2,3.27751196172249,6
"Atrium Medical",1,1986,106,2,1,1,4.41509433962264,5
"ATTOSTAT",1,2016,6,1,1,1,1.16666666666667,1
"aTyr Pharma",0,2007,66,1,1.65151515151515,2,7.10606060606061,8
"Auburn University",0,1990,283,3,1.21554770318021,1.33333333333333,3.75971731448763,2.66666666666667
"Aushon Biosystems",0,2009,7,1,1,1,2.71428571428571,2
"Auterra",1,2012,18,1,1.05555555555556,2,5.77777777777778,8
"Authenex",0,2006,13,1,1,1,2.15384615384615,6
"Autonomic Materials",0,2016,3,2,1,1,1.66666666666667,1
"Avago Technologies General IP (Singapore) Pte",0,2006,1923,2,1.00208008320333,1,2.74362974518981,2
"Avalanche Technology",0,2010,243,2,1,1,2.95473251028807,3.5
"Avant Garde Therapeutics & Technologies",0,2012,3,1,1,1,1.66666666666667,2
"Avantor Performance Materials",0,2011,16,2,1,2,1.9375,4
"Avery Dennison",0,1991,1265,2,1.01501976284585,1,2.6498023715415,1.5
"AVI BioPharma",0,2000,49,1,1.12244897959184,1,2.91836734693878,5
"AVOGY",0,2013,78,1,1,1,5.23076923076923,6
"Avon Products",0,1976,372,1,1,1,2.61290322580645,2
"Avtaec Limited",0,1977,17,0,1,0,1.41176470588235,0
"AxioMx",0,2016,3,1,1,1,2.33333333333333,2
"AZ Electronic Materials (Luxembourg) SARL",0,2012,47,5,1.04255319148936,1.5,5.59574468085106,6.75
"Babcock Power Services",0,2011,27,1,1,1,3.37037037037037,7
"BAE Systems Information and Electronic Systems Integration",0,2001,1179,3,1.01187446988974,1,2.29177268871925,6
"Baker Hughes",3,1988,5524,28,1.0065170166546,1,2.5756698044895,2.14285714285714
"Bakersun",0,2016,2,2,1,1,1,1
"Banpil Photonics",2,2006,61,3,1,1,1.27868852459016,1.33333333333333
"Basell Polyolefine",0,2001,431,1,1.01624129930394,1,4.20185614849188,7
"BASF",0,1991,32,4,1.125,1,10.625,4
"BASF Enzymes",0,2015,17,1,1.05882352941176,1,6.23529411764706,6
"BASF Plant Science",0,2001,217,2,1.07373271889401,1,4.1889400921659,6.5
"BASF SE",1,2008,3471,43,1.05128205128205,1.44117647058824,4.91212906943244,6.20588235294118
"Battelle Energy Alliance",0,2005,405,5,1.01975308641975,2,3.45679012345679,7.66666666666667
"Battelle Memorial Institute",0,1976,1643,8,1.02921485088253,1.125,3.39622641509434,5.375
"Bausch & Lomb",0,1976,1041,1,1.00672430355427,1,2.28557692307692,5
"BAXALTA",0,2015,91,2,2.06593406593407,2,4.98901098901099,3.5
"Baxter",0,1988,2073,1,1.39315002411963,2,4.94787644787645,4
"Baxter Healthcare SA",0,1997,769,1,1.99869109947644,2,7.71989528795812,4
"Bayer Cropscience AG",0,2003,1084,6,1.03419593345656,1.16666666666667,5.38539741219963,3.33333333333333
"Baylor College of Medicine",0,1976,447,1,1.30872483221477,1,3.44295302013423,5
"BCE",4,1980,192,1,1.015625,1,2.75520833333333,1
"Bechtel Hydrocarbon Technology Solutions",0,2013,12,2,1,1,2.5,1
"Becton",0,1991,1,0,2,0,22,0
"Beijing BOE Display Technology Co",0,2013,381,2,2,2,3.22834645669291,4.5
"Bell Helicopter Textron",0,1984,474,1,1.0084388185654,1,2.82278481012658,2
"Bemis Company",1,1976,88,2,1,1,1.59090909090909,1.5
"Bend Research",0,1976,151,2,1,1,3.66225165562914,2
"BERKEN ENERGY",0,2015,2,1,1,1,1,1
"Beryllium Discovery Corp",0,2016,2,1,2,2,10,5
"Bestway",0,2007,7,1,1,1,2.57142857142857,3
"Beth Israel Medical Center",0,1978,9,1,1.22222222222222,2,2.55555555555556,2
"BG Negev Technologies and Applications",0,2007,8,1,1.375,2,4,6
"Bi-Modal",0,1977,17,0,1,0,2.17647058823529,0
"Big Belly Solar",1,2016,2,1,1,1,3,3
"Bigelow Aerospace",0,2005,24,2,1,1,1.20833333333333,1
"BIND Therapeutics",1,1981,30,8,1,1,4.26666666666667,4.625
"Bio-Rad Laboratories",0,1976,655,2,1.01679389312977,1,2.70839694656489,5
"Biocare Medical",4,2003,12,1,1,1,2.25,2
"Biogenic Reagents Ventures",0,2014,4,3,1,1,2.5,2.33333333333333
"Biological Dynamics",2,2013,15,1,1,1,9.73333333333333,6
"BioNano Genomics",1,2014,11,1,1.09090909090909,1,4.72727272727273,4
"Bioneer",0,1982,86,5,1.18604651162791,1.2,3.09302325581395,3.8
"Biosense Webster (Israel)",0,2012,241,1,1.00414937759336,1,2.65560165975104,4
"Biosphere Medical",0,2002,29,1,1,1,2.10344827586207,2
"Biotechnology Foundation",0,2014,2,2,2,4,6,6
"bioTheranostics",1,2009,5,1,1.6,2,4.6,3
"Biozoom Technologies",0,2014,2,1,1,1,6,6
"Bird-B-Gone",0,2006,50,1,1,1,1.08,1
"Bisco",0,1983,43,1,1.02325581395349,1,2.46511627906977,1
"BlackBerry Limited",0,2013,4496,2,1.01534697508897,1,2.83274021352313,3
"Blue Sea Systems",1,2001,12,1,1,1,2.58333333333333,2
"Board of Trustees of Michigan State University",1,1978,524,14,1.12022900763359,1.07142857142857,3.0324427480916,3.21428571428571
"Board of Trustees of Michigan State University and Vahid Sendij",0,2016,0,0,1,1,5,5
"Boehringer Ingelheim",1,1982,1130,3,1.03716814159292,1,5.34424778761062,1
"Boehringer Ingelheim Vetmedica",0,1986,214,1,1.07009345794393,1,3.75700934579439,5
"BOLTIER R&D",0,2016,4,2,1,1,1,1
"Bosch Energy Storage Solutions",0,2016,1,1,2,2,4,4
"Bostik",0,1991,46,1,1.06521739130435,1,2.26086956521739,3
"Boston Scientific Neuromodulation",7,2008,991,2,1.01412714429869,1,2.52976791120081,2.5
"Boston Scientific Scimed",1,2002,3873,6,1.00361476891299,1,2.87296669248644,3.16666666666667
"BP North America",0,2001,381,2,1.12335958005249,1,3.68766404199475,4.5
"Brandels University",0,2016,1,1,1,1,3,3
"Braun Intertec Geothermal",0,2015,2,1,1,1,1.5,1
"Brewer Science",1,1988,158,3,1.01898734177215,1,3.36708860759494,4
"Bridgelux",0,2008,206,2,1,1,1.88834951456311,2.5
"Bridgestone",2,1978,4129,9,1.04940663598934,1.125,2.31823686122548,4.25
"Brigham and Women's Hospital",4.2,1982,739,13,1.48443843031123,2.76923076923077,4.26251691474966,7.53846153846154
"BRIGHAM YOUNG UNIVERSITY",1,1977,327,4,1.217125382263,1.5,3.52599388379205,4
"Brightfield Transportation Solutions",0,2017,1,1,1,1,1,1
"BRIGHTLEAF TECHNOLOGIES",0,2015,7,3,1,1,2.71428571428571,3
"Bristol-Myers Squibb Company",0,1976,3893,1,1.04086353122591,1,4.22770496016448,3
"BROADCOM",0,1982,4,0,1,0,1.5,0
"Brookhaven Science Associates",1,1998,301,4,1.1328903654485,1.5,3.11295681063123,3
"BROOKLYN QUANTUM WORKS",0,2016,1,1,2,2,4,2
"Brother",0,1990,59,4,1,1,1.96610169491525,1.75
"Brother Kogyo Kabushiki Kaisha",0,1977,12658,2,1.00671512087218,1,1.82058777057987,2.5
"Brown University",1,1985,134,9,1.26865671641791,1.25,3.93283582089552,2.75
"Bruin Biometrics",2,2015,6,2,1.5,2,9.83333333333333,8
"BTPATENT",3,2011,8,1,1,1,1.75,1
"BTU",0,1994,84,1,1.07142857142857,1,2.20238095238095,1
"Buckman Laboratories",0,1976,39,0,1.02564102564103,0,2.35897435897436,0
"Building Envelope Innovations",0,2013,2,1,1,1,2.5,3
"Butamax(TM) Advanced Biofuels",4.3125,2010,135,23,1.00740740740741,1,3.85925925925926,4.60869565217391
"CA",4,1976,1310,1,1.00381679389313,1,2.39465648854962,1
"Cabot",0,1976,901,1,1.0110987791343,1,2.97891231964484,2
"Calient Technologies",0,2012,37,1,1,1,2.21621621621622,1
"California Industrial Facilities Resources",0,2013,5,1,1,1,1.2,1
"California Institute of Technology",2,1976,3344,40,1.11931818181818,1.16216216216216,3.34789111576428,3.59459459459459
"Calysta",0,2016,8,4,1,2,3.625,12
"Cambridge Electronics",1,2016,7,1,1,1,2.71428571428571,3
"CAMBRIDGE ENTERPRISE LIMITED",0,2008,179,1,1.36871508379888,1,4.20111731843575,3
"Canon",0,1976,86,1,1.18604651162791,1,2.87209302325581,11
"Canon Kabushiki Kaisha",1.33333333333333,1976,68327,50,1.00917659456137,1.04,2.45798632964009,2.62
"Canon Nanotechnologies",0,2014,29,2,1.72413793103448,1.5,6.51724137931035,4
"Canon US Life Sciences",1,2009,97,4,1.03092783505155,1,3.56701030927835,3.75
"CAPAT",0,1996,5,2,1,1,2.2,3
"CARBO Ceramics",1,1989,34,1,1.08823529411765,1,2.79411764705882,2
"Cardiac Pacemakers",0,1977,3440,1,1.00261627906977,1,3.16773255813954,2
"Cardiva Medical",0,2008,16,1,1,1,1.8125,2
"Carestream Health",1,2007,505,4,1.0039603960396,1,2.72277227722772,1.5
"Cargill",0,1977,549,5,1.04007285974499,1.25,3.54098360655738,7.5
"Caribou Biosciences",7.5,2016,20,2,1,1,3.45,4
"Carl Zeiss Microscopy",0,2013,303,1,1.06312292358804,2,3.35215946843854,4
"Carnegie Mellon University",1,1976,649,6,1.15100154083205,1.16666666666667,3.16486902927581,3.33333333333333
"Carver Scientific",1.66666666666667,1997,15,3,1,1,2.33333333333333,1.66666666666667
"Case Western Reserve University",0,1976,628,2,1.12420382165605,1.5,2.96496815286624,4.5
"Casio Computer Co",0,1976,4078,2,1.04168710152035,1,1.80701324178519,1
"Cavium",0,2011,311,1,1,1,2.91639871382637,3
"Cbrite",0,1997,61,5,1,1,2.42622950819672,3.2
"Cedar Ridge Research",1,2009,78,3,1,1,2.3974358974359,2
"Cedars-Sinai Medical Center",1,1985,332,2,1.10843373493976,1,2.57530120481928,3
"Celanese",0,1998,1868,12,1.02141327623126,1,8.60813704496788,3
"CellPrint IP Holding",0,2016,1,1,1,1,1,1
"CELLTRION",0,2010,17,1,1,1,5.29411764705882,6
"Cellular Research",10,2014,14,2,1,1,3.57142857142857,2
"Central Iowa Health System",0,2013,4,2,1,1,3,3
"Centre de Recherche Industrielle du Quebec",0,1976,77,2,1.06493506493506,2,2.72727272727273,5
"Ceramatec",0,1983,189,2,1.03174603174603,1,2.65608465608466,2.5
"Cheil Industries",1,1976,800,19,1.0775,1,5.26,5.52631578947368
"Chemtreat",0,1990,39,2,1,1,2.46153846153846,2
"Chevron Phillips Chemical Company LP",2,2001,640,6,1.0140625,1,4.00625,4.16666666666667
"Chevron USA",1,1989,1776,7,1.08671171171171,1,3.05968468468468,2
"Child Laboratories",1,1980,30,1,1.03333333333333,1,2.53333333333333,5
"Children's National Medical Center",0,2001,16,1,1.3125,1,4.4375,6
"Chipmos Technologies",0,1998,192,2,1.42408376963351,1,2.45026178010471,4
"Chiron",0,1976,2429,2,1.04281597365171,1,2.41128036228901,1.5
"Chromalox",0,1993,22,1,1,1,2.77272727272727,3
"Cima NanoTech Israel",0,2009,11,1,1,1,4.72727272727273,5
"Cisco Technology",0,2007,1,0,2,0,6,0
"City of Hope",0,1985,374,5,1.14171122994652,1.8,2.93048128342246,3.4
"CITY UNIVERSITY OF HONG KONG",1,2000,264,10,1.04545454545455,1,2.55681818181818,2.4
"Claret Medical",0,1998,42,1,1,1,2.83333333333333,2
"Clean Energy Labs",0,2012,21,5,1,1,2.28571428571429,2
"Clean Power Research",0,2012,16,1,1,1,1,1
"Clearside Biomedical",1,2015,11,1,1,1,5.81818181818182,6
"CLEARSIGN COMBUSTION",11,2014,48,1,1,1,3.5625,1
"Clemson University",0,1977,313,6,1.14696485623003,1.16666666666667,2.71565495207668,2.83333333333333
"Clemson University Research Foundation",0,2000,82,2,1.15853658536585,1.5,3.25609756097561,4
"CMC ICOS BIOLOGICS",1,2015,3,1,1,1,1,1
"CNH Industrial America",0,2014,846,1,1.01418439716312,1,2.96808510638298,3
"CNRS",0,1976,51,1,2.25490196078431,2,4.84313725490196,3
"Coactive Drive",0,1999,10,1,1,1,2.1,4
"Codexis",0,1996,235,2,1.02127659574468,1,5.75744680851064,6.5
"Coleman Cable",0,2007,20,1,1,1,1.25,1
"Colgate-Palmolive Company",1,1976,3856,1,1.00726141078838,1,2.57002074688797,6
"Coloplast A/S",0,1978,625,2,1.0016,1,2.352,3
"Colorado School of Mines",0,1985,112,5,1.08928571428571,1,2.61607142857143,2.4
"Colorado Seminary",0,1977,22,0,1.27272727272727,0,2.40909090909091,0
"Colorado State University Research Foundation",1.5,1980,279,3,1.32974910394265,1,3.41935483870968,3
"Columbia Insurance Company",0,1999,800,2,1.0025,1,1.4775,4.5
"Columbia University",1,1984,19,1,1.94736842105263,1,6.36842105263158,3
"Commissariat a l'Energie Atomique",0,1976,3279,3,1.14882586154315,1,2.60372178157413,3.66666666666667
"Commissariat a l'Energie Atomique et aux Energies Alternatives",1,2010,2199,56,1.27694406548431,1.38181818181818,2.88858572078217,3.16363636363636
"Commonwealth Scientific & Industrial Research Organization",1,1976,917,4,1.35986913849509,1.5,3.54089422028353,2.25
"Community Power",0,2010,3,1,1,1,7,4
"Compagnie Generale des Etablissements Michelin",0,1976,1114,2,1.72082585278276,2,3.89138240574506,2.5
"Complete Genomics",0,2008,54,2,1,1,2.2037037037037,1.5
"Component Re-Engineering Company",0,2014,7,2,1,1,6,6
"Conexant Systems",0,1980,783,1,1.00638569604087,1,2.26436781609195,2
"Confluence Energy",0,2014,2,1,1,1,1,1
"ConocoPhillips Company",0,2003,614,1,1.05211726384365,2,3.39087947882736,3
"Continental Manufacturing",1,1986,5,1,1,1,1.8,4
"Conversant Intellectual Property Management",3,2014,166,4,1,1,1.62650602409639,1
"Cook Biotech",3,2003,105,2,1.40952380952381,1,5.14285714285714,5.5
"COOK MEDICAL TECHNOLOGIES",0,2011,1359,1,1.0691685062546,1,2.67255334805004,5
"Cool Planet Energy Systems",2,2013,20,8,1,1,3.25,2.5
"CoolEarth Solar",0,2011,3,1,1,1,2.66666666666667,5
"Cooper Technologies Company",2,1998,1296,2,1.00308641975309,1,2.26311728395062,4
"Copernicus Therapeutics",0,2001,4,1,1.25,2,3.75,3
"Coriant Advanced Technology",2,2015,11,1,1,1,3.36363636363636,4
"Cornell Research Foundation",1,1976,1541,2,1.21414665801428,2,3.05,5.5
"Cornell University",1,1976,548,16,1.22445255474453,1.06666666666667,3.62591240875912,3.53333333333333
"Corning",5.5,1989,4749,12,1.0056854074542,1.09090909090909,2.99073489155612,3.09090909090909
"Corporation for National Research Initiatives",0,1998,40,1,1.025,1,1.725,2
"Council of Scientific and Industrial Research",1,1976,1690,22,1.03372781065089,1.04761904761905,4.7,3.95238095238095
"COVERIS FLEXIBLES US",0,2016,7,1,1,1,3.85714285714286,1
"Covidien LP",1.75,2010,3815,7,1.00419397116645,1,2.64193971166448,3.71428571428571
"CP KELCO APS",0,2002,16,2,1,1,2.5,2
"CP Kelco US",1,2001,51,2,1.05882352941176,1,4.01960784313725,3
"CPC",3,1976,377,1,1.03713527851459,1,2.42175066312997,5
"CPT IP Holdings",0,2016,1,2,1,2,3,6
"Cree",1.66666666666667,1988,2234,6,1.00671441360788,1,2.90957923008057,3.16666666666667
"Crepaco",0,1976,60,3,1.05,1,2.31666666666667,2.66666666666667
"Crestovo",0,2015,47,1,1.08510638297872,1,2.42553191489362,2
"Cristal USA",0,2009,30,1,1,1,2.5,1
"Cross Match Technologies",1,2000,77,2,1,1,2.38961038961039,2
"Crossbar",0,1997,166,1,1,1,2.0421686746988,3
"Crowder College",0,2016,1,1,1,1,3,3
"Crystal Solar",0,2012,40,12,1,1,7.6,2.66666666666667
"Crystalplex",0,2013,2,1,1,1,1.5,2
"CUMMINS FILTRATION IP",0,2007,306,1,1.01633986928105,2,4.54248366013072,6
"Cura Vac",0,2014,2,1,1,1,2,2
"Custom Electronics",0,2015,2,1,1,1,1,1
"CYBERCITY 3D",0,2017,1,1,1,1,2,2
"Cyberonics",0,1987,257,1,1.05058365758755,1,2.49416342412451,3
"CyboEnergy",0,2014,12,4,1,1,2.41666666666667,2.5
"Cymatics Laboratories Corp",0,2013,5,1,1,1,2.6,2
"Cypress Semiconductor Corp",2,1987,2873,22,1.00278454577097,1,2.24260355029586,2.45454545454545
"D-Wave Systems",0,1984,180,1,1.01111111111111,1,3.01111111111111,7
"Da Yu Enterprises",1,2007,4,1,1,1,1,1
"Daikin Industries",0,1986,19,0,1.21052631578947,0,3.15789473684211,0
"Dana",0,2018,1,0,2,0,3,0
"Dana-Farber Cancer Institute",0,1984,550,2,1.51818181818182,4.5,4.45818181818182,5.5
"Danisco US",1,2004,352,5,1.14772727272727,1.4,5.66477272727273,4.4
"Daylight Solutions",0,2008,41,1,1,1,2.70731707317073,2
"DCG SYSTEMS",0,2011,1,0,1,0,3,0
"DECA Technologies",1,1994,46,1,1,1,1.95652173913043,2
"Deep Science",0,2016,25,1,1,1,5.32,6
"Deep Well Power",0,2016,1,1,1,1,1,1
"DEKA Products Limited Partnership",3,1992,690,1,1,1,3.97101449275362,7
"Delavau",0,2007,45,1,1,1,3.22222222222222,2
"Dell Software",0,2013,159,1,1,1,2.79874213836478,1
"Delphi Technologies",0,1991,5127,2,1.01716403354788,1,2.72596060074117,3.5
"Delta Electronics",1.5,1979,2036,5,1.02013752455796,1,2.69646365422397,1.4
"Denso",1.16666666666667,1976,13703,19,1.16237320294826,1.47368421052632,2.86689046194264,3.10526315789474
"Dentsply",0,1985,207,3,1.0048309178744,1,2.38647342995169,4.66666666666667
"Deployable Space Systems",2,2014,13,3,1,1,3.07692307692308,3
"DePuy Synthes Products",0,2013,1300,2,1.01846153846154,1,3.28615384615385,5.5
"Dermazone Solutions",0,2013,6,2,1,1,1,1
"Dexerials",1,1993,240,7,1.00833333333333,1,2.96666666666667,2.71428571428571
"Dialight",0,1990,104,1,1,1,2.35576923076923,5
"Dialogic",0,2013,12,0,1,0,3.41666666666667,0
"Diamicron",0,1996,64,1,1.078125,1,4.5,4
"Diamond Innovations",0,2004,88,1,1.03409090909091,1,2.625,2
"DIC",0,1977,428,5,1.12383177570093,1.2,3.3481308411215,4
