"firm","lookup_firm","lookup_firm_web","firm_length","name_clnd","name_length","manual_fix","hit_url","hit_url_length","rank","matches","public","acquired_merged","Votes","Group","nano","green","synbio","count_all_ind","max_emps","size_state","sme","num_patents_all","pages","num_words","avg_words_per_page","first_year","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"Hewlett-Packard Development Company","Hewlett-Packard Development Company LP","Hewlett-Packard Development Company",35,"Laptop Computers, Desktops, Printers and more | HP ...",54,NA,"www8.hp.com/us/en/home.html",35,1,0,0,0,2,611,0,0,0,0,212204,"FirmSize.LARGE_FIRM",0,21017,102,2064543,20240.6176470588,2003,9,1.00190322120188,1,2.59504210876909,3.11111111111111
"United Technologies Corporation","United Technologies","United Technologies",19,"United Technologies - Official Site",35,NA,"utc.com/",19,1,2,0,0,5,1403,1,1,1,3,204700,"FirmSize.LARGE_FIRM",0,7660,64,1197895,18717.109375,1976,3,1.00522193211488,1,2.28623661530426,2.66666666666667
"Robert Bosch GmbH","Robert Bosch","Robert Bosch",12,"Bosch Global - Official Site",28,NA,"bosch.com/",22,1,1,0,0,5,1087,1,1,1,3,200283,"FirmSize.LARGE_FIRM",0,20689,56,2181428,38954.0714285714,1976,10,1.03272270288559,1.1,2.72311113259535,3.7
"International Business Machines Corporation","International Business Machines","International Business Machines",31,"IBM - United States",19,NA,"ibm.com/us-en/",26,1,0,0,0,5,678,1,1,1,3,183725,"FirmSize.LARGE_FIRM",0,111916,26,607715,23373.6538461538,1976,274,1.01566353336431,1.08550185873606,3.27077041299569,3.99256505576208
"Solan","Solan","Solan",5,"Salon - Official Site",21,NA,"salon.com/",22,2,0,0,0,3,1224,1,0,0,1,173212,"FirmSize.LARGE_FIRM",0,60,48,823051,17146.8958333333,2003,2,1,1,2.6,1
"Nokia Corporation","Nokia","Nokia",5,"Nokia Corporation",17,NA,"nokia.com/",21,1,1,0,0,5,919,1,0,0,1,172406,"FirmSize.LARGE_FIRM",0,8361,NA,NA,NA,1976,1,1.00275086712116,1,2.24159789498864,3
"Nokia Technologies Oy","Nokia Technologies Oy","Nokia Technologies Oy",21,"Nokia Corporation",17,NA,"nokia.com/",21,2,1,0,0,4,920,1,1,0,2,172406,"FirmSize.LARGE_FIRM",0,1522,NA,NA,NA,1995,4,1.00065703022339,1,2.76018396846255,3.75
"Magna International Inc.","Magna","Magna",5,"Magna",5,NA,"magna.com/",22,1,1,0,0,4,798,1,1,0,2,168000,"FirmSize.LARGE_FIRM",0,325,77,618493,8032.37662337662,1978,2,1.01230769230769,1,2.6,3
"Continental Manufacturing","Continental Manufacturing","Continental Manufacturing",25,"Continental Commercial Products - Official Site",47,NA,"continentalcommercialproducts.com/",45,1,1,0,0,5,338,0,1,0,1,162637,"FirmSize.LARGE_FIRM",0,5,16,164566,10285.375,1986,1,1,1,1.8,4
"Schneider Electric USA","Schneider Electric USA","Schneider Electric USA",22,"Schneider Electric | Global Specialist in Energy ...",52,NA,"schneider-electric.us/en/",37,1,2,0,0,5,1159,0,1,0,1,144001,"FirmSize.LARGE_FIRM",0,396,205,4296695,20959.487804878,1996,1,1.01010101010101,1,2.3510101010101,1
"Bridgestone Corporation","Bridgestone","Bridgestone",11,"Bridgestone - Official Site",27,NA,"bridgestone.com/",28,1,1,0,0,5,244,1,1,1,3,142669,"FirmSize.LARGE_FIRM",0,3946,48,392569,8178.52083333333,1978,9,1.04916371008616,1.125,2.29067410035479,4.25
"Fujitsu Limited","Fujitsu Limited","Fujitsu Limited",15,"Fujitsu - Official Site",23,NA,"fujitsu.com/global/",30,1,1,0,0,5,510,1,1,0,2,140000,"FirmSize.LARGE_FIRM",0,33876,135,1443725,10694.2592592593,1976,44,1.0551718030464,1.06976744186047,2.60462301470154,2.30232558139535
"Fujitsu Semiconductor Limited","Fujitsu Semiconductor Limited","Fujitsu Semiconductor Limited",29,"FUJITSU SEMICONDUCTOR - Fujitsu Global",38,NA,"fujitsu.com/jp/group/fsl/en/",39,1,2,0,0,2,511,1,0,0,1,140000,"FirmSize.LARGE_FIRM",0,1667,160,1294455,8090.34375,2001,23,1.04319136172765,1.04347826086957,2.01919616076785,2.30434782608696
"Johnson Controls Technology Company","Johnson Controls Technology Company","Johnson Controls Technology Company",35,"Our Company | Johnson Controls",30,NA,"johnsoncontrols.com/about-us/our-company",52,1,3,0,0,1,701,1,0,0,1,139000,"FirmSize.LARGE_FIRM",0,1062,39,353933,9075.20512820513,1998,2,1.02730696798493,1,3.2090395480226,4.5
"Oracle International Corporation","Oracle","Oracle",6,"Oracle - Official Site",22,NA,"oracle.com/index.html",33,1,1,0,0,3,957,1,0,0,1,137000,"FirmSize.LARGE_FIRM",0,5677,36,293306,8147.38888888889,1977,2,1.00070459749868,1,3.05883389113969,4.5
"Mitsubishi Electric Corporation","Mitsubishi Electric","Mitsubishi Electric",19,"Mitsubishi Electric - Official Site",35,NA,"mitsubishielectric.com/",34,1,2,0,0,5,845,1,1,0,2,136930,"FirmSize.LARGE_FIRM",0,6561,7,23837,3405.28571428571,1976,46,1.02743484224966,1,2.87075140984606,2.89130434782609
"ABB Research Ltd.","ABB Research","ABB Research",12,"ABB Corporate Research Center United States",43,1,"new.abb.com",102,1,2,0,0,0,6,1,0,0,1,134800,"FirmSize.LARGE_FIRM",0,948,4,55805,13951.25,1994,1,1.01476793248945,1,3.15295358649789,3
"ABB Technology Ltd.","ABB Technology","ABB Technology",14,"Technology and Innovation - ABB Group",37,NA,"new.abb.com/about/technology",35,1,2,0,0,5,7,0,1,0,1,134800,"FirmSize.LARGE_FIRM",0,1098,9,206172,22908,1989,1,1.00273224043716,1,2.74772313296903,3
"Johnson & Johnson Consumer Companies","Johnson & Johnson Consumer Companies","Johnson & Johnson Consumer Companies",36,"Consumer Products | Johnson & Johnson",37,NA,"jnj.com/healthcare-products/consumer",48,1,3,0,1,1,699,0,0,1,1,134000,"FirmSize.LARGE_FIRM",0,354,36,378060,10501.6666666667,1998,2,1.02542372881356,1,3.4406779661017,3.5
"Hyundai Motor Company","Hyundai Motor Company","Hyundai Motor Company",21,"Hyundai Motor America - Official Site",37,NA,"hyundaiusa.com/",27,1,2,1,0,5,628,1,1,1,3,133732,"FirmSize.LARGE_FIRM",0,5826,61,1142547,18730.2786885246,1988,25,1.35221421215242,1.63636363636364,2.45794713353931,5.40909090909091
"Disney Enterprises","Disney Enterprises","Disney Enterprises",18,"The Walt Disney Company - Official Site",39,NA,"thewaltdisneycompany.com/",37,1,1,0,0,5,402,1,0,0,1,133000,"FirmSize.LARGE_FIRM",0,1266,12,163868,13655.6666666667,1998,1,1.03001579778831,1,3.09952606635071,3
"Honeywell International Inc.","Honeywell","Honeywell",9,"Honeywell - Official Site",25,NA,"honeywell.com/",26,1,1,0,0,5,620,1,0,0,1,131000,"FirmSize.LARGE_FIRM",0,13972,53,1057303,19949.1132075472,1976,4,1.00293444030919,1,2.4482141578985,1.5
"Shell Oil Company","Shell Oil Company","Shell Oil Company",17,"Shell in the United States | Shell United States",48,NA,"shell.us/",21,1,1,0,0,5,1183,1,1,1,3,128776,"FirmSize.LARGE_FIRM",0,7190,229,3928418,17154.6637554585,1976,44,1.00236439499305,1,2.36138544999304,2.84090909090909
"Novartis AG","Novartis AG","Novartis AG",11,"Novartis - Official Site",24,NA,"novartis.com/",25,1,1,0,0,5,928,1,1,1,3,125000,"FirmSize.LARGE_FIRM",0,2837,62,405507,6540.43548387097,1997,9,1.06802960874163,1.33333333333333,4.11772999647515,3.44444444444444
"Apple Inc.","Apple","Apple",5,"Apple",5,NA,"apple.com/",22,1,1,0,0,4,127,1,1,0,2,123000,"FirmSize.LARGE_FIRM",0,14059,56,2628185,46931.875,1987,24,1.00099580339996,1,4.16060886265026,3.70833333333333
"Pfizer Inc.","Pfizer","Pfizer",6,"Pfizer - Official Site",22,NA,"pfizer.com/",23,1,1,0,0,5,1000,1,0,1,2,117107,"FirmSize.LARGE_FIRM",0,3933,181,3545504,19588.4198895028,1976,6,1.04424103737605,1.33333333333333,2.87719298245614,5.33333333333333
"GENERAL MOTORS LLC","GENERAL MOTORS","GENERAL MOTORS",14,"General Motors",14,NA,"gm.com/",19,1,2,0,0,5,523,0,1,0,1,116648,"FirmSize.LARGE_FIRM",0,11163,4,77194,19298.5,1976,1,1.02141001522888,1,2.11233539371137,3
"Sanofi","Sanofi","Sanofi",6,"Sanofi, a global biopharmaceutical company focused on ...",57,NA,"sanofi.com/en/",26,1,1,0,0,5,1152,1,0,1,2,106566,"FirmSize.LARGE_FIRM",0,834,14,134291,9592.21428571429,1982,3,1.0599520383693,1.66666666666667,4.43285371702638,7.33333333333333
"Mattson Technology","Mattson Technology","Mattson Technology",18,"Mattson Technology - Official Site",34,NA,"mattson.com/",24,1,2,0,0,5,813,1,0,0,1,106000,"FirmSize.LARGE_FIRM",0,154,20,86421,4321.05,1996,1,1.02597402597403,1,3.45454545454545,3
"BASF","BASF","BASF",4,"BASF - Official Site",20,NA,"basf.com/",21,1,1,0,0,5,174,0,1,1,2,105504,"FirmSize.LARGE_FIRM",0,9412,3,23019,7673,1976,12,1.01529961750956,1,2.57671058223544,6
"BASF SE","BASF SE","BASF SE",7,"BASF - Official Site",20,NA,"basf.com/",21,1,1,0,0,5,179,1,1,1,3,105504,"FirmSize.LARGE_FIRM",0,3145,NA,NA,NA,2008,43,1.04992050874404,1.44117647058824,4.83847376788553,6.20588235294118
"NEC Corporation","NEC","NEC",3,"NEC - Official Site",19,NA,"nec.com/",20,1,1,0,0,5,866,1,1,0,2,100914,"FirmSize.LARGE_FIRM",0,26979,15,67143,4476.2,1977,13,1.05003891915935,1.15384615384615,1.66391133516198,2.76923076923077
"Canon","Canon","Canon",5,"Canon U.S.A., Inc.",18,NA,"usa.canon.com/internet/portal/us/home",49,1,1,0,0,0,282,1,0,0,1,100638,"FirmSize.LARGE_FIRM",0,85,1350,41217225,30531.2777777778,1976,1,1.18823529411765,1,2.6,11
"ABB AB","ABB AB","ABB AB",6,"ABB Group - Official Site",25,NA,"abb.com/",19,1,2,0,0,5,5,1,0,0,1,100487,"FirmSize.LARGE_FIRM",0,378,NA,NA,NA,2000,1,1.00529100529101,2,2.78306878306878,4
"Lockheed Martin Corporation","Lockheed Martin","Lockheed Martin",15,"Lockheed Martin Corporation | Lockheed Martin",45,NA,"lockheedmartin.com/en-us/index.html",47,1,2,0,0,2,772,1,1,0,2,1e+05,"FirmSize.LARGE_FIRM",0,4355,75,586270,7816.93333333333,1996,20,1.0105625717566,1.10526315789474,2.32721010332951,2.89473684210526
"Abbott Molecular Inc.","Abbott Molecular","Abbott Molecular",16,"Abbott Molecular | Diagnostic Assays and Instruments",52,NA,"molecular.abbott/",29,1,2,0,0,5,51,1,0,0,1,99000,"FirmSize.LARGE_FIRM",0,24,22,253065,11502.9545454545,2014,2,1.16666666666667,1.5,3.41666666666667,5
"Ibis Biosciences","Ibis Biosciences","Ibis Biosciences",16,"Abbott Molecular | Diagnostic Assays and Instruments",52,NA,"molecular.abbott/int/en/home",40,1,0,0,0,4,644,1,0,1,2,99000,"FirmSize.LARGE_FIRM",0,87,24,272124,11338.5,2010,2,1,1,5.13793103448276,1.5
"The Procter & Gamble Company","The Procter & Gamble Company","The Procter & Gamble Company",28,"Procter & Gamble Company",24,NA,"pg.com/",19,1,3,0,0,5,1343,1,0,1,2,98781,"FirmSize.LARGE_FIRM",0,13130,NA,NA,NA,1976,8,1.0049504950495,1.125,3.21069469835466,5.125
"Intel Corporation","Intel","Intel",5,"Intel - Official Site",21,1,"intel.com/content/us/en/homepage.html",53,1,1,0,0,0,672,1,1,1,3,96350,"FirmSize.LARGE_FIRM",0,33603,29,1506660,51953.7931034483,1976,72,1.00714221944469,1.01388888888889,2.75088533761866,5.02777777777778
"Eaton Corporation","Eaton","Eaton",5,"EATON Powering Business Worldwide",33,NA,"eaton.com/us/en-us.html",34,1,1,0,0,2,435,1,1,0,2,96000,"FirmSize.LARGE_FIRM",0,5868,83,931133,11218.4698795181,1976,2,1.0040899795501,1,2.22464632691324,2.5
"Hynix Semiconductor Inc.","Hynix Semiconductor","Hynix Semiconductor",19,"SK Hynix - Official Site",24,NA,"skhynix.com/eng/index.jsp",37,1,1,0,0,5,626,1,0,0,1,95600,"FirmSize.LARGE_FIRM",0,6241,NA,NA,NA,2001,1,1.00512738343214,1,1.73145329274155,1
"SK Hynix Inc.","SK Hynix","SK Hynix",8,"SK Hynix - Official Site",24,NA,"skhynix.com/eng/index.jsp",37,1,2,0,0,3,1121,1,0,0,1,95600,"FirmSize.LARGE_FIRM",0,3632,NA,NA,NA,2012,149,1.02120044052863,1.00671140939597,1.79102422907489,1.52348993288591
"TDK Corporation","TDK","TDK",3,"TDK Corporation - global.tdk.com",32,1,"global.tdk.com/corp/en/index.htm",44,1,1,0,0,0,1289,1,1,0,2,93232,"FirmSize.LARGE_FIRM",0,5646,54,303955,5628.7962962963,1976,10,1.07421183138505,1.1,2.93358129649309,3.5
"Sanyo Electric Co.","Sanyo Electric Co","Sanyo Electric Co",17,"SANYO Electric Co., Ltd. - Panasonic",36,1,"panasonic.com/global/corporate/profile/group-companies/sanyo.html",77,1,3,0,1,2,1155,1,0,0,1,92675,"FirmSize.LARGE_FIRM",0,8238,8,52528,6566,1976,1,1.19082301529497,2,2.88176741927652,6
"Pegatron Corporation","Pegatron","Pegatron",8,"www.pegatroncorp.com",20,NA,"pegatroncorp.com/",28,1,1,0,0,5,990,1,0,1,2,91797,"FirmSize.LARGE_FIRM",0,519,34,62897,1849.91176470588,1979,4,1.0597302504817,1,3.65895953757225,3.75
"Google Inc.","Google","Google",6,"Home  Google.org",16,NA,"abc.xyz/",23,3,1,0,0,1,570,1,1,0,2,85050,"FirmSize.LARGE_FIRM",0,14372,2,10380,5190,2003,8,1.0003478986919,1,2.84247147230726,2.375
"MAHLE International GmbH","MAHLE","MAHLE",5,"MAHLE Group | Home",18,NA,"mahle.com/",22,1,1,0,0,5,783,1,0,0,1,78277,"FirmSize.LARGE_FIRM",0,684,110,692097,6291.79090909091,1976,1,1.08187134502924,2,2.60087719298246,2
"FUJIFILM Corporation","FUJIFILM","FUJIFILM",8,"Fujifilm - Official Site",24,NA,"fujifilm.com/",24,1,1,0,0,5,483,1,1,1,3,78150,"FirmSize.LARGE_FIRM",0,9514,82,673519,8213.64634146341,2006,49,1.01650199705697,1.08888888888889,2.04477611940298,2.91111111111111
"Northrop Grumman Systems Corporation","Northrop Grumman Systems","Northrop Grumman Systems",24,"Northrop Grumman - Official Site",32,NA,"northropgrumman.com/",31,1,2,0,0,5,924,1,1,0,2,73982,"FirmSize.LARGE_FIRM",0,524,9,109248,12138.6666666667,2004,10,1.02671755725191,1.1,2.79580152671756,4.1
"Chevron U.S.A. Inc.","Chevron USA","Chevron USA",11,"Chevron Corporation - Official Site",35,NA,"chevron.com/",24,1,1,0,0,5,311,0,1,1,2,73172,"FirmSize.LARGE_FIRM",0,1662,84,1214115,14453.75,1989,7,1.08423586040915,1,2.80204572803851,2
"Avon Products","Avon Products","Avon Products",13,"Avon Products - Official Site",29,NA,"avon.com/",21,1,2,0,0,5,169,1,0,0,1,72320,"FirmSize.LARGE_FIRM",0,361,232,13512282,58242.5948275862,1976,1,1,1,2.61495844875346,2
"EMC Corporation","EMC","EMC",3,"EMC Insurance Companies",23,NA,"emcins.com/",23,2,1,0,0,2,423,1,0,1,2,72000,"FirmSize.LARGE_FIRM",0,5181,30,15426,514.2,1976,5,1.00714147847906,1,3.01254584057132,3.4
"Roche Diabetes Care","Roche Diabetes Care","Roche Diabetes Care",19,"Roche - Diabetes care",21,1,"roche.com/partnering/diagnostics-areas-of-interest/diabetes-management.htm",86,1,3,0,0,0,1088,1,0,0,1,70192,"FirmSize.LARGE_FIRM",0,161,14,58275,4162.5,2015,1,1.03105590062112,1,3.29813664596273,2
"Roche Innovation Center Copenhagen A/S","Roche Innovation Center Copenhagen A/S","Roche Innovation Center Copenhagen A/S",38,"Roche - Copenhagen",18,1,"roche.com/research_and_development/who_we_are_how_we_work/rnd_locations/research_location.htm?id=c98f27ea-a769-48ee-b7ef-4441cf20e267",145,1,3,0,1,0,1090,0,0,1,1,70192,"FirmSize.LARGE_FIRM",0,11,13,116216,8939.69230769231,2015,1,1,1,4.81818181818182,9
"Roche Molecular Systems","Roche Molecular Systems","Roche Molecular Systems",23,"Roche - Official Site",21,NA,"roche.com/",22,2,1,0,1,3,1091,0,0,1,1,70192,"FirmSize.LARGE_FIRM",0,324,15,121580,8105.33333333333,1997,1,1.04012345679012,1,3.2037037037037,4
"Dana-Farber Cancer Institute","Dana-Farber Cancer Institute","Dana-Farber Cancer Institute",28,"Dana-Farber Cancer Institute - Cancer Treatment and ...",55,NA,"dana-farber.org/",28,1,4,0,0,3,381,1,0,1,2,69000,"FirmSize.LARGE_FIRM",0,498,75,751600,10021.3333333333,1984,2,1.49598393574297,4.5,3.33333333333333,5.5
"Tyco Electronics Corporation","Tyco Electronics","Tyco Electronics",16,"TE Connectivity - Official Site",31,NA,"te.com/usa-en/home.html",34,1,0,0,0,5,1384,1,1,0,2,69000,"FirmSize.LARGE_FIRM",0,2050,345,14703390,42618.5217391304,2000,3,1.04048780487805,1,2.70780487804878,1.66666666666667
"Tyco Electronics U.K. LTD","Tyco Electronics UK","Tyco Electronics UK",19,"TE Connectivity - Official Site",31,NA,"te.com/usa-en/home.html",35,1,0,0,0,5,1385,1,0,0,1,69000,"FirmSize.LARGE_FIRM",0,56,NA,NA,NA,1996,2,1.33928571428571,1,2.71428571428571,2
"Nissan Motor Co.","Nissan Motor Co","Nissan Motor Co",15,"Nissan Motor Corporation Global Website",39,NA,"nissan-global.com/EN/",33,1,3,0,0,5,917,1,0,0,1,68770,"FirmSize.LARGE_FIRM",0,8327,2,3373,1686.5,1976,3,1.14507025339258,1.33333333333333,2.60569300984867,5.33333333333333
"Murata Manufacturing Co.","Murata Manufacturing Co","Murata Manufacturing Co",23,"Murata Manufacturing - Official Site",36,NA,"murata.com/",23,1,2,0,0,5,859,1,1,0,2,67652,"FirmSize.LARGE_FIRM",0,5331,229,4168098,18201.3013100437,1977,20,1.01350590883512,1.05263157894737,2.40930407053086,3.73684210526316
"Seiko Epson Corporation","Seiko Epson","Seiko Epson",11,"Epson Corporate",15,NA,"global.epson.com/",25,1,1,0,0,5,1164,1,1,1,3,67605,"FirmSize.LARGE_FIRM",0,23298,56,296585,5296.16071428571,1986,35,1.01922911837926,1,2.07352878052968,1.6
"Atrium Medical Corporation","Atrium Medical","Atrium Medical",14,"Atrium Med - Official Site",26,NA,"atriummed.com/",25,1,1,0,0,5,155,0,0,1,1,65000,"FirmSize.LARGE_FIRM",0,97,13,20943,1611,1986,2,1,1,4.35051546391753,5
"Baker Hughes Incorporated","Baker Hughes","Baker Hughes",12,"Baker Hughes, a GE Company | BHGE | Fullstream Oil & Gas",56,NA,"bhge.com/",21,1,2,0,0,5,195,1,1,1,3,64000,"FirmSize.LARGE_FIRM",0,5456,83,1781431,21463.0240963855,1988,28,1.00696480938416,1,2.55883431085044,2.14285714285714
"Raytheon BBN Technologies Corp.","Raytheon BBN Technologies Corp","Raytheon BBN Technologies Corp",30,"BBN Technologies - Official Site",32,NA,"raytheon.com/ourcompany/bbn",39,1,2,0,0,1,1062,1,0,0,1,64000,"FirmSize.LARGE_FIRM",0,173,NA,NA,NA,2010,3,1.34682080924855,1,2.47976878612717,2
"Raytheon Company","Raytheon Company","Raytheon Company",16,"Raytheon - Official Site",24,NA,"raytheon.com/",25,1,1,0,0,5,1063,1,1,0,2,64000,"FirmSize.LARGE_FIRM",0,5926,11,93163,8469.36363636364,1976,16,1.00961862976713,1.0625,2.31488356395545,3.125
"The Goodyear Tire & Rubber Company","The Goodyear Tire & Rubber Company","The Goodyear Tire & Rubber Company",34,"Goodyear - Official Site",24,NA,"goodyear.com/",25,1,1,0,0,5,1338,0,0,1,1,64000,"FirmSize.LARGE_FIRM",0,6120,60,4013028,66883.8,1976,2,1.00915032679739,2,2.48709150326797,7.5
"Halliburton Energy Services","Halliburton Energy Services","Halliburton Energy Services",27,"Halliburton Oilfield Service - Halliburton",42,NA,"halliburton.com/en-US/default.html",45,1,1,0,0,4,598,1,0,0,1,63780,"FirmSize.LARGE_FIRM",0,5308,1,102,102,1993,5,1.01073850791258,1,2.80482290881688,2.8
"Daikin Industries","Daikin Industries","Daikin Industries",17,"Daikin - Official Site",22,NA,"daikin.com/",22,1,1,0,0,5,379,0,1,0,1,63252,"FirmSize.LARGE_FIRM",0,2457,96,792929,8259.67708333333,1985,1,1.06715506715507,1,3.12128612128612,5
"ExxonMobil Research and Engineering Company","ExxonMobil Research and Engineering Company","ExxonMobil Research and Engineering Company",43,"Research and development | ExxonMobil",37,1,"corporate.exxonmobil.com/en/energy/research-and-development",67,1,3,0,0,0,475,1,1,1,3,62362,"FirmSize.LARGE_FIRM",0,1342,11,339909,30900.8181818182,2000,10,1.02011922503726,1.11111111111111,4.01713859910581,4.22222222222222
"ExxonMobil Upstream Research Company","ExxonMobil Upstream Research Company","ExxonMobil Upstream Research Company",36,"ExxonMobil",10,NA,"corporate.exxonmobil.com/",33,1,1,1,0,3,476,1,0,0,1,62362,"FirmSize.LARGE_FIRM",0,800,7,223948,31992.5714285714,2000,1,1.02875,1,3.305,4
"3M Innovative Properties Company","3M Innovative Properties Company","3M Innovative Properties Company",32,"3M - Official Site",18,NA,"3m.com/",19,2,1,0,0,3,1,1,1,1,3,60593,"FirmSize.LARGE_FIRM",0,9688,252,4584071,18190.7579365079,1999,58,1.01001238645747,1.01754385964912,3.4364161849711,4.75438596491228
"Innolux Corporation","Innolux","Innolux",7,"Innolux Corporation",19,NA,"innolux.com/Pages/EN/Index_EN.html",45,1,1,0,0,2,663,1,0,0,1,60420,"FirmSize.LARGE_FIRM",0,402,74,362146,4893.86486486487,1978,6,1.14925373134328,1,2.79850746268657,3
"Xerox Corporation","Xerox","Xerox",5,"Xerox - Official Site",21,NA,"xerox.com/",22,1,1,0,0,5,1460,1,0,1,2,59211,"FirmSize.LARGE_FIRM",0,22238,62,2353059,37952.564516129,1976,33,1.00840902958899,1.0625,2.75815082969825,4.25
"Esolar","Esolar","Esolar",6,"Esolar",6,NA,"esolar.solar/",20,1,1,0,0,4,463,0,1,0,1,59100,"FirmSize.LARGE_FIRM",0,15,10,69159,6915.9,2011,1,1,1,3.66666666666667,5
"Becton","Becton","Becton",6,"Becton Dickinson - Official Site",32,NA,"bd.com/",18,1,1,0,0,5,207,1,0,1,2,58983,"FirmSize.LARGE_FIRM",0,1,38,502362,13220.0526315789,1991,NA,2,NA,11,NA
"adidas AG","adidas AG","adidas AG",9,"adidas - Official Site",22,NA,"adidas.com/us/",26,1,1,0,0,5,1478,1,0,0,1,56888,"FirmSize.LARGE_FIRM",0,159,NA,NA,NA,1992,6,1,1,2.42767295597484,1
