firm,firm_length,url,name_clnd,name_length,hit_url,hit_url_length,rank,matches,public,acquired_merged,outcome
"dcg systems, inc.",11,http://www.fei.com,Portland Frameless Shower Doors | Frameless ... - DCG Systems,61,https://www.dcgframelesssystems.com/home.html,45,5,2,1,1,0
"dcg systems, inc.",11,http://www.fei.com,Working at Dcg Systems | Glassdoor,34,"https://www.glassdoor.com/Overview/Working-at-Dcg-Systems-EI_IE279511.11,22.htm",79,6,2,1,1,0
"dcg systems, inc.",11,http://www.fei.com,DCG Systems - 10 Reviews - Glass & Mirrors - 9000 NE M L ...,60,https://www.yelp.com/biz/dcg-systems-portland,45,7,2,1,1,0
"dcg systems, inc.",11,http://www.fei.com,DCG Systems in Portland - Yahoo Local,37,https://local.yahoo.com/info-196172048-dcg-systems-portland,59,9,2,1,1,0
"dcg systems, inc.",11,http://www.fei.com,Dcg Systems LLC - buildzoom.com,31,https://www.buildzoom.com/contractor/dcg-systems-llc,52,10,2,1,1,0
quallion llc,8,http://www.quallion.com/,Quallion LLC: Private Company Information - Bloomberg,53,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=9477313,80,1,1,0,0,0
quallion llc,8,http://www.quallion.com/,EnerSys Advanced Systems: Powering Submarines to Satellites,59,https://www.enersys.com/advancedsystems/,40,2,0,0,0,0
quallion llc,8,http://www.quallion.com/,EnerSys Announces Agreement to Acquire Quallion LLC,51,https://www.prnewswire.com/news-releases/enersys-announces-agreement-to-acquire-quallion-llc-229589591.html,107,4,1,0,1,0
quallion llc,8,http://www.quallion.com/,Quallion LLC: CEO and Executives - Bloomberg,44,https://www.bloomberg.com/research/stocks/private/people.asp?privcapId=9477313,78,7,1,0,1,0
quallion llc,8,http://www.quallion.com/,"Quallion LLC in Sylmar, CA | Company Information & Reviews",58,https://www.bizapedia.com/ca/quallion-llc.html,46,8,1,0,1,0
sensor-kinesis corporation,14,http://sensor-kinesis.com/,Sensor-Kinesis Corp. | The Leader in Advanced Biosensor ...,59,http://sensor-kinesis.com/,26,1,2,0,0,1
sensor-kinesis corporation,14,http://sensor-kinesis.com/,Sensor-Kinesis Corporation: Private Company Information ...,59,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=312032161,82,2,2,0,0,0
sensor-kinesis corporation,14,http://sensor-kinesis.com/,Sensor-Kinesis Corporation | Crunchbase,39,https://www.crunchbase.com/organization/sensor-kinesis-corporation,66,3,2,0,0,0
sensor-kinesis corporation,14,http://sensor-kinesis.com/,Sensor-Kinesis Corporation: CEO and Executives - Bloomberg,58,https://www.bloomberg.com/research/stocks/private/people.asp?privcapId=312032161,80,4,2,0,0,0
sensor-kinesis corporation,14,http://sensor-kinesis.com/,Sensor-Kinesis Corp - CB Insights,33,https://www.cbinsights.com/company/sensor-kinesis-corp,54,5,2,0,0,0
sensor-kinesis corporation,14,http://sensor-kinesis.com/,Sensor-Kinesis Corporation in Los Angeles CA - Company Profile,62,https://www.corporationwiki.com/p/2jfpz4/sensor-kinesis-corporation,67,6,2,1,0,0
sensor-kinesis corporation,14,http://sensor-kinesis.com/,Sensor Kinesis Corporation - HealthPad,38,http://healthpad.net/provider/organisation/members/5250/sensor-kinesis-corporation/,83,7,2,1,0,0
gen-probe incorporated,9,https://www.hologic.com/,Hologic - Official Site,23,https://www.hologic.com/,24,1,0,0,0,1
gen-probe incorporated,9,https://www.hologic.com/,Gen-Probe Incorporated: Private Company Information ...,55,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=3053288,80,3,2,0,0,0
gen-probe incorporated,9,https://www.hologic.com/,Gen-Probe Incorporated | Encyclopedia.com,41,https://www.encyclopedia.com/books/politics-and-business-magazines/gen-probe-incorporated,89,4,2,0,0,0
gen-probe incorporated,9,https://www.hologic.com/,"Hologic Completes Acquisition Of Gen-Probe - Aug 1, 2012",56,https://investors.hologic.com/2012-08-01-Hologic-Completes-Acquisition-Of-Gen-Probe,83,5,2,1,1,0
gen-probe incorporated,9,https://www.hologic.com/,"Gen-Probe Incorporated in San Diego, CA | Company Info ...",58,https://www.bizapedia.com/ca/genprobe-incorporated.html,55,6,2,1,1,0
gen-probe incorporated,9,https://www.hologic.com/,Gen-Probe | Crunchbase,22,https://www.crunchbase.com/organization/gen-probe,49,7,2,1,1,0
gen-probe incorporated,9,https://www.hologic.com/,Gen-Probe Incorporated: CEO and Executives - Bloomberg,54,https://www.bloomberg.com/research/stocks/private/people.asp?privcapId=3053288,78,8,2,1,1,0
gen-probe incorporated,9,https://www.hologic.com/,Hologic | Careers,17,https://www.hologic.com/careers,31,10,0,1,1,0
"asm america, inc.",11,http://www.asm.com/,ASM International - Official Site,33,http://www.asm.com/,19,1,1,0,0,1
"asm america, inc.",11,http://www.asm.com/,"ASM America, Inc.: Private Company Information - Bloomberg",58,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=7641842,80,2,2,0,0,0
"asm america, inc.",11,http://www.asm.com/,Working at ASM America: Employee Reviews | Indeed.com,53,https://www.indeed.com/cmp/Asm-America/reviews,46,3,2,0,0,0
"asm america, inc.",11,http://www.asm.com/,"ASM America's Reviews, Salaries, Interviews & Resumes ...",57,https://company.livecareer.com/company/asm-america,50,6,2,0,0,0
"asm america, inc.",11,http://www.asm.com/,Home [www.asm.com],18,http://www.asm.com/en/careers,29,7,1,0,0,0
"asm america, inc.",11,http://www.asm.com/,"ASM America 3440 E University Dr, Phoenix, AZ 85034 - YP.com",60,https://www.yellowpages.com/phoenix-az/mip/asm-america-466084521,64,8,2,0,0,0
"fenwal, inc.",6,https://www.fresenius-kabi.com/us/,Fenwal Controls - Kidde Fenwal,30,https://kidde-fenwal.com/Public/Fenwalcontrols,46,1,1,0,0,0
"fenwal, inc.",6,https://www.fresenius-kabi.com/us/,Kidde Fenwal,12,https://kidde-fenwal.com/,25,2,1,0,0,0
"fenwal, inc.",6,https://www.fresenius-kabi.com/us/,FENWAL products - Grainger Industrial Supply,44,https://www.grainger.com/category/fenwal/ecatalog/N-1yztc71,59,3,1,0,0,0
"fenwal, inc.",6,https://www.fresenius-kabi.com/us/,Fenwal Parts | Fenwal Controls | Fenwal Ignitor | Fenwal ...,60,https://www.parts4heating.com/Fenwal-Ignitor-Controls-s/3270.htm,64,4,1,0,0,0
"fenwal, inc.",6,https://www.fresenius-kabi.com/us/,Fenwal Controls & Fenwal Detectors : Honeywell Fenwal ...,57,https://www.mouser.com/fenwal/,30,5,1,0,1,0
"fenwal, inc.",6,https://www.fresenius-kabi.com/us/,Fenwal Parts - Fenwal Wholesale Distributor,43,https://parts-hvac.com/fenwal.html,34,6,1,1,1,0
"nantero, inc.",7,http://nantero.com/,Nantero NRAM - Memory technology that is incredibly fast!,57,http://nantero.com/,19,1,1,0,0,1
"nantero, inc.",7,http://nantero.com/,"Nantero, Inc.: Private Company Information - Bloomberg",54,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=1083480,80,3,1,0,0,0
"nantero, inc.",7,http://nantero.com/,Memory biz Nantero is a right Dell raiser: IT giant ...,55,https://www.theregister.co.uk/2017/05/10/nantero_gets_dell_dev_dollars/,71,4,1,0,0,0
"nantero, inc.",7,http://nantero.com/,Nantero - Inc.com,17,https://www.inc.com/profile/nantero,35,5,1,0,0,0
"nantero, inc.",7,http://nantero.com/,Nantero | Crunchbase,20,https://www.crunchbase.com/organization/nantero,47,7,1,0,0,0
"nantero, inc.",7,http://nantero.com/,Nantero - hbr.org,17,https://hbr.org/product/a/an/809031-PDF-ENG,43,8,1,0,0,0
"nantero, inc.",7,http://nantero.com/,"Fujitsu now making DRAM killer with 1,000x performance ...",58,https://www.computerworld.com/article/3113822/data-storage/fujitsu-touts-dram-killer-with-1000x-performance-boost.html,118,9,0,0,0,0
"princeton optronics, inc.",19,http://www.princetonoptronics.com/,Applications - ams,18,https://ams.com/applications,28,1,0,0,0,0
"princeton optronics, inc.",19,http://www.princetonoptronics.com/,Princeton Optronics Overview - TI.com,37,http://www.ti.com/lsds/media/documents/3d-imaging-sensors/24128_Princeton_Optronics_TOF_Illuminator_Overview_for_TI_Rev1.pdf,124,2,2,0,0,0
"princeton optronics, inc.",19,http://www.princetonoptronics.com/,VCSEL maker Princeton Optronics acquired by ams,47,https://www.laserfocusworld.com/articles/2017/03/princeton-optronics-acquired-by-ams-to-enhance-3d-sensing-ar-vr-and-automotive-applications.html,145,3,2,0,1,0
"princeton optronics, inc.",19,http://www.princetonoptronics.com/,"Princeton Optronics, Inc.: CEO and Executives - Bloomberg",57,https://www.bloomberg.com/research/stocks/private/people.asp?privcapId=736928,77,6,2,0,1,0
"princeton optronics, inc.",19,http://www.princetonoptronics.com/,"Princeton Optronics, Inc.: Private Company Information ...",58,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=736928,79,7,2,0,1,0
"princeton optronics, inc.",19,http://www.princetonoptronics.com/,"Princeton Optronics 1 Electronics Dr, Trenton, NJ 08619 ...",59,https://www.yellowpages.com/trenton-nj/mip/princeton-optronics-9191715,70,8,2,0,1,0
"siemens energy, inc.",14,https://www.siemens.com/global/en/home/products/energy.html,Energy Products & Services - Siemens Global Website,51,https://www.siemens.com/global/en/home/products/energy.html,59,1,2,0,0,1
"siemens energy, inc.",14,https://www.siemens.com/global/en/home/products/energy.html,Energy Services - Building Technologies - Siemens,49,https://w3.usa.siemens.com/buildingtechnologies/us/en/energy-efficiency/energy-services/Pages/energy-services.aspx?sp_source=usbt100122,135,5,2,0,0,0
"siemens energy, inc.",14,https://www.siemens.com/global/en/home/products/energy.html,Energy Products & Services - siemens.com,40,https://www.siemens.com/us/en/home/products/energy.html,55,7,2,0,0,0
"ade, inc.",3,http://www.ade-usa.com/,ADEKA,5,https://www.adeka.co.jp/en/,27,1,1,0,0,0
"ade, inc.",3,http://www.ade-usa.com/,ADEKA USA - Official Site,25,http://www.adekausa.com/,24,2,1,0,0,0
"ade, inc.",3,http://www.ade-usa.com/,Food ProductsADEKA,18,https://www.adeka.co.jp/en/food/,32,3,1,0,0,0
"ade, inc.",3,http://www.ade-usa.com/,Adeka Corporation: Private Company Information - Bloomberg,58,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=8781360,80,4,1,0,0,0
"ade, inc.",3,http://www.ade-usa.com/,Adeka - Official Site,21,http://www.adeka.com/,21,5,1,0,0,0
"ade, inc.",3,http://www.ade-usa.com/,Home-Adeka Al Ghurair Additives LLC,35,http://adeka-alghurair.com/en/home.aspx,39,6,1,0,0,0
"ade, inc.",3,http://www.ade-usa.com/,4401:Tokyo Stock Quote - ADEKA Corp - Bloomberg Markets,55,https://www.bloomberg.com/quote/4401:JP,39,7,1,1,0,0
"ade, inc.",3,http://www.ade-usa.com/,ADEKA CORPORATION Company Profile | Key Contacts ...,52,http://www.hoovers.com/company-information/cs/company-profile.adeka_corporation.a717d43adba395f6.html,101,8,1,1,0,0
"ade, inc.",3,http://www.ade-usa.com/,ADEKA Corporation Product List supplier and distributor,55,https://www.parchem.com/specialty-chemical-supplier/adeka.aspx,62,9,1,1,0,0
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison - Official Site,30,http://www.averydennison.com/,29,1,2,0,0,1
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison Pressure Sensitive Labels & Adhesives ...,56,http://label.averydennison.com/,31,3,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison Corporation: Private Company Information ...,59,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=252978,79,4,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Home | Avery Dennison,21,http://printers.averydennison.com/en/home.html,46,5,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Home | Avery Dennison,21,http://rbis.averydennison.com/en/home.html,42,6,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Investor Overview | Avery Dennison Corporation,46,http://www.investors.averydennison.com/,39,7,2,1,0,0
avery dennison corporation,14,http://www.averydennison.com/,Products | Avery Dennison,25,http://printers.averydennison.com/en/home/products.html,55,8,2,1,0,0
"nantero, inc.",7,http://nantero.com/,Nantero NRAM - Memory technology that is incredibly fast!,57,http://nantero.com/,19,1,1,0,0,1
"nantero, inc.",7,http://nantero.com/,"Nantero, Inc.: Private Company Information - Bloomberg",54,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=1083480,80,3,1,0,0,0
"nantero, inc.",7,http://nantero.com/,Memory biz Nantero is a right Dell raiser: IT giant ...,55,https://www.theregister.co.uk/2017/05/10/nantero_gets_dell_dev_dollars/,71,4,1,0,0,0
"nantero, inc.",7,http://nantero.com/,Nantero - Inc.com,17,https://www.inc.com/profile/nantero,35,5,1,0,0,0
"nantero, inc.",7,http://nantero.com/,Nantero | Crunchbase,20,https://www.crunchbase.com/organization/nantero,47,7,1,0,0,0
"nantero, inc.",7,http://nantero.com/,Nantero - hbr.org,17,https://hbr.org/product/a/an/809031-PDF-ENG,43,8,1,0,0,0
"nantero, inc.",7,http://nantero.com/,"Fujitsu now making DRAM killer with 1,000x performance ...",58,https://www.computerworld.com/article/3113822/data-storage/fujitsu-touts-dram-killer-with-1000x-performance-boost.html,118,9,0,0,0,0
"siemens energy, inc.",14,https://www.siemens.com/global/en/home/products/energy.html,Energy Products & Services - Siemens Global Website,51,https://www.siemens.com/global/en/home/products/energy.html,59,1,2,0,0,1
"siemens energy, inc.",14,https://www.siemens.com/global/en/home/products/energy.html,Energy Services - Building Technologies - Siemens,49,https://w3.usa.siemens.com/buildingtechnologies/us/en/energy-efficiency/energy-services/Pages/energy-services.aspx?sp_source=usbt100122,135,5,2,0,0,0
"siemens energy, inc.",14,https://www.siemens.com/global/en/home/products/energy.html,Energy Products & Services - siemens.com,40,https://www.siemens.com/us/en/home/products/energy.html,55,7,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison - Official Site,30,http://www.averydennison.com/,29,1,2,0,0,1
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison Pressure Sensitive Labels & Adhesives ...,56,http://label.averydennison.com/,31,3,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison Corporation: Private Company Information ...,59,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=252978,79,4,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Home | Avery Dennison,21,http://printers.averydennison.com/en/home.html,46,5,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Home | Avery Dennison,21,http://rbis.averydennison.com/en/home.html,42,6,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Investor Overview | Avery Dennison Corporation,46,http://www.investors.averydennison.com/,39,7,2,1,0,0
avery dennison corporation,14,http://www.averydennison.com/,Products | Avery Dennison,25,http://printers.averydennison.com/en/home/products.html,55,8,2,1,0,0
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison - Official Site,30,http://www.averydennison.com/,29,1,2,0,0,1
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison Pressure Sensitive Labels & Adhesives ...,56,http://label.averydennison.com/,31,3,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison Corporation: Private Company Information ...,59,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=252978,79,4,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Home | Avery Dennison,21,http://printers.averydennison.com/en/home.html,46,5,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Home | Avery Dennison,21,http://rbis.averydennison.com/en/home.html,42,6,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Investor Overview | Avery Dennison Corporation,46,http://www.investors.averydennison.com/,39,7,2,1,0,0
avery dennison corporation,14,http://www.averydennison.com/,Products | Avery Dennison,25,http://printers.averydennison.com/en/home/products.html,55,8,2,1,0,0
"element one, inc.",11,http://www.e1lab.com/,ELEMENT ONE - Monitor Factory,29,http://elementonescreens.com/,29,1,2,0,0,0
"element one, inc.",11,http://www.e1lab.com/,element One | Specialist in Inorganics/Metals Analyses,54,http://www.e1lab.com/,21,2,2,0,0,1
"element one, inc.",11,http://www.e1lab.com/,Element One | Bozzuto,21,https://www.bozzuto.com/apartments/stamford/ct/element-one/,59,3,2,0,0,0
"element one, inc.",11,http://www.e1lab.com/,e1 Hydrogen Generators  Element 1 Fuel Reformers,48,https://www.e1na.com/,21,4,1,0,0,0
"element one, inc.",11,http://www.e1lab.com/,Element One Hydrogen Detection,30,http://elem1.com/,17,6,2,0,0,0
"element one, inc.",11,http://www.e1lab.com/,"Element One Apartments - Stamford, CT 06905",43,https://www.apartmentguide.com/apartments/Connecticut/Stamford/Element-One/100029728/,85,7,2,0,0,0
"element one, inc.",11,http://www.e1lab.com/,Retractable Monitors - ELEMENT ONE,34,http://elementonescreens.com/products/,38,8,2,0,0,0
"element one, inc.",11,http://www.e1lab.com/,company,7,http://www.e1lab.com/company,28,9,0,1,0,0
"element one, inc.",11,http://www.e1lab.com/,"Family Portraits, Children Photography in the Denver Area",57,https://www.elementonestudio.com/,33,10,0,1,0,0
optodot corporation,7,http://optodot.com/,Optodot | Separators with Superior Functionality and Heat ...,61,http://optodot.com/,19,1,1,0,0,1
optodot corporation,7,http://optodot.com/,Optodot Corporation: Private Company Information - Bloomberg,60,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=8213419,80,2,1,0,0,0
optodot corporation,7,http://optodot.com/,LG Chem Acquires Rights to Sion Power Technology,48,https://sionpower.com/2016/lg-chem-acquires-rights-to-sion-power-technology/,76,5,0,0,1,0
optodot corporation,7,http://optodot.com/,Working at Optodot Corp | Glassdoor,35,"https://www.glassdoor.com/Overview/Working-at-Optodot-Corp-EI_IE265769.11,23.htm",80,7,1,0,1,0
optodot corporation,7,http://optodot.com/,Optodot Corporation: CEO and Executives - Bloomberg,51,https://www.bloomberg.com/research/stocks/private/people.asp?privcapId=8213419,78,8,1,0,1,0
optodot corporation,7,http://optodot.com/,Optodot Corporation | www.inknowvation.com,42,https://www.inknowvation.com/sbir/companies/optodot-corporation,63,9,1,0,1,0
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison - Official Site,30,http://www.averydennison.com/,29,1,2,0,0,1
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison Pressure Sensitive Labels & Adhesives ...,56,http://label.averydennison.com/,31,3,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Avery Dennison Corporation: Private Company Information ...,59,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=252978,79,4,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Home | Avery Dennison,21,http://printers.averydennison.com/en/home.html,46,5,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Home | Avery Dennison,21,http://rbis.averydennison.com/en/home.html,42,6,2,0,0,0
avery dennison corporation,14,http://www.averydennison.com/,Investor Overview | Avery Dennison Corporation,46,http://www.investors.averydennison.com/,39,7,2,1,0,0
avery dennison corporation,14,http://www.averydennison.com/,Products | Avery Dennison,25,http://printers.averydennison.com/en/home/products.html,55,8,2,1,0,0
"integrated dna technologies, inc.",27,http://www.idtdna.com/,Integrated DNA Technologies - Official Site,43,http://www.idtdna.com/,22,1,3,0,0,1
"integrated dna technologies, inc.",27,http://www.idtdna.com/,"Integrated DNA Technologies, Inc.: Private Company ...",54,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=3678379,80,3,3,0,0,0
"integrated dna technologies, inc.",27,http://www.idtdna.com/,Integrated DNA Technologies Reviews | Glassdoor,47,https://www.glassdoor.com/Reviews/Integrated-DNA-Technologies-Reviews-E39806.htm,80,5,3,0,0,0
"integrated dna technologies, inc.",27,http://www.idtdna.com/,Integrated DNA Technologies Salaries | Glassdoor,48,https://www.glassdoor.com/Salary/Integrated-DNA-Technologies-Salaries-E39806.htm,80,8,3,0,0,0
"integrated dna technologies, inc.",27,http://www.idtdna.com/,Careers Center | Welcome,24,https://careers-idtdna.icims.com/,33,9,0,0,0,0
"integrated dna technologies, inc.",27,http://www.idtdna.com/,Integrated DNA Technologies - Official Site,43,http://www.idtdna.com/,22,1,3,0,0,1
"integrated dna technologies, inc.",27,http://www.idtdna.com/,"Integrated DNA Technologies, Inc.: Private Company ...",54,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=3678379,80,3,3,0,0,0
"integrated dna technologies, inc.",27,http://www.idtdna.com/,Integrated DNA Technologies Reviews | Glassdoor,47,https://www.glassdoor.com/Reviews/Integrated-DNA-Technologies-Reviews-E39806.htm,80,5,3,0,0,0
"integrated dna technologies, inc.",27,http://www.idtdna.com/,Integrated DNA Technologies Salaries | Glassdoor,48,https://www.glassdoor.com/Salary/Integrated-DNA-Technologies-Salaries-E39806.htm,80,8,3,0,0,0
"integrated dna technologies, inc.",27,http://www.idtdna.com/,Careers Center | Welcome,24,https://careers-idtdna.icims.com/,33,9,0,0,0,0
"ascent solar technologies, inc.",25,http://www.ascentsolar.com/,Ascent Solar - Official Site,28,http://www.ascentsolar.com/,27,1,2,0,0,1
