firm,firm_length,url,name_clnd,name_length,hit_url,hit_url_length,rank,matches,public,acquired_merged,outcome
quallion llc,8,quallion.com/,EnerSys Advanced Systems: Powering Submarines to Satellites,59,enersys.com/advancedsystems/,40,2,0,0,0,0
quallion llc,8,quallion.com/,EnerSys Announces Agreement to Acquire Quallion LLC,51,prnewswire.com/news-releases/enersys-announces-agreement-to-acquire-quallion-llc-229589591.html,107,4,1,0,1,0
quallion llc,8,quallion.com/,Quallion LLC: CEO and Executives - Bloomberg,44,bloomberg.com/research/stocks/private/people.asp?privcapId=9477313,78,7,1,0,1,0
quallion llc,8,quallion.com/,"Quallion LLC in Sylmar, CA | Company Information & Reviews",58,bizapedia.com/ca/quallion-llc.html,46,8,1,0,1,0
alliant techsystems inc.,19,northropgrumman.com/Pages/default.aspx,Alliant Techsystems Inc. Issues Its Last Earnings Release ...,61,fool.com/investing/general/2015/01/29/alliant-techsystems-inc-issues-its-last-earnings-r.aspx,105,2,2,0,1,0
alliant techsystems inc.,19,northropgrumman.com/Pages/default.aspx,Alliant Techsystems Operations LLC: Private Company ...,55,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=139606963,82,4,2,0,1,0
alliant techsystems inc.,19,northropgrumman.com/Pages/default.aspx,"Alliant Techsystems Inc's Reviews, Salaries, Interviews ...",59,company.livecareer.com/company/alliant-techsystems-inc,62,5,2,0,1,0
alliant techsystems inc.,19,northropgrumman.com/Pages/default.aspx,Alliant Techsystems | Military Wiki | FANDOM powered by Wikia,61,military.wikia.com/wiki/Alliant_Techsystems,50,6,2,0,1,0
alliant techsystems inc.,19,northropgrumman.com/Pages/default.aspx,"Alliant Techsystems Inc. - Locations, Sale & Lease ...",54,loopnet.com/locations/alliant-techsystems-inc_/listings/,67,8,2,0,1,0
alliant techsystems inc.,19,northropgrumman.com/Pages/default.aspx,Vista Outdoor - Official Site,29,vistaoutdoor.com/,25,10,0,0,1,0
sensor-kinesis corporation,14,sensor-kinesis.com/,Sensor-Kinesis Corp. | The Leader in Advanced Biosensor ...,59,sensor-kinesis.com/,26,1,2,0,0,1
sensor-kinesis corporation,14,sensor-kinesis.com/,Sensor-Kinesis Corporation: Private Company Information ...,59,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=312032161,82,2,2,0,0,0
sensor-kinesis corporation,14,sensor-kinesis.com/,Sensor-Kinesis Corporation | Crunchbase,39,crunchbase.com/organization/sensor-kinesis-corporation,66,3,2,0,0,0
sensor-kinesis corporation,14,sensor-kinesis.com/,Sensor-Kinesis Corporation: CEO and Executives - Bloomberg,58,bloomberg.com/research/stocks/private/people.asp?privcapId=312032161,80,4,2,0,0,0
sensor-kinesis corporation,14,sensor-kinesis.com/,Sensor-Kinesis Corp - CB Insights,33,cbinsights.com/company/sensor-kinesis-corp,54,5,2,0,0,0
sensor-kinesis corporation,14,sensor-kinesis.com/,Sensor-Kinesis Corporation in Los Angeles CA - Company Profile,62,corporationwiki.com/p/2jfpz4/sensor-kinesis-corporation,67,6,2,1,0,0
sensor-kinesis corporation,14,sensor-kinesis.com/,Sensor Kinesis Corporation - HealthPad,38,healthpad.net/provider/organisation/members/5250/sensor-kinesis-corporation/,83,7,2,1,0,0
epcot crenshaw corporation,14,epcotcrenshaw.com/,Epcot | Crenshaw,16,epcotcrenshaw.com/,29,1,2,1,0,1
epcot crenshaw corporation,14,epcotcrenshaw.com/,Cheyney University announces formation of Institute for ...,59,jefferson.edu/university/news/2018/07/31/cheyney-university-forms-institute-for-contemporary-african-american-experience.html,137,3,0,1,0,0
epcot crenshaw corporation,14,epcotcrenshaw.com/,"Epcot Crenshaw Corporation in West Chester, PA 19382 ...",56,chamberofcommerce.com/west-chester-pa/45683147-epcot-crenshaw-corporation,85,5,2,1,0,0
epcot crenshaw corporation,14,epcotcrenshaw.com/,Epcot Crenshaw Corporation - Manta.com,38,manta.com/c/mtb9sh7/epcot-crenshaw-corporation,58,6,2,1,0,0
epcot crenshaw corporation,14,epcotcrenshaw.com/,Cheyney University Announces Formation of Institute for ...,59,cheyney.edu/CU_News/18_07_31_Cheyney-Announces-Institute-For-Contemporary-African-American-Experience.aspx,118,7,0,1,0,0
epcot crenshaw corporation,14,epcotcrenshaw.com/,Cheyney University launches two institutes as part of ...,57,whyy.org/articles/cheyney-university-launches-two-institutes-as-part-of-schools-reinvention/,100,8,0,1,0,0
epcot crenshaw corporation,14,epcotcrenshaw.com/,"Epcot Crenshaw Corporation in West Chester, PA 19382 ...",56,chamberofcommerce.com/west-chester-pa/33659437-epcot-crenshaw-corporation,85,9,2,1,0,0
gen-probe incorporated,9,hologic.com/,Hologic - Official Site,23,hologic.com/,24,1,0,0,0,1
gen-probe incorporated,9,hologic.com/,Gen-Probe Incorporated: Private Company Information ...,55,bloomberg.com/research/stocks/private/snapshot.asp?privcapid=3053288,80,3,2,0,0,0
gen-probe incorporated,9,hologic.com/,Gen-Probe Incorporated | Encyclopedia.com,41,encyclopedia.com/books/politics-and-business-magazines/gen-probe-incorporated,89,4,2,0,0,0
gen-probe incorporated,9,hologic.com/,"Hologic Completes Acquisition Of Gen-Probe - Aug 1, 2012",56,investors.hologic.com/2012-08-01-Hologic-Completes-Acquisition-Of-Gen-Probe,83,5,2,1,1,0
gen-probe incorporated,9,hologic.com/,"Gen-Probe Incorporated in San Diego, CA | Company Info ...",58,bizapedia.com/ca/genprobe-incorporated.html,55,6,2,1,1,0
gen-probe incorporated,9,hologic.com/,Gen-Probe | Crunchbase,22,crunchbase.com/organization/gen-probe,49,7,2,1,1,0
gen-probe incorporated,9,hologic.com/,Gen-Probe Incorporated: CEO and Executives - Bloomberg,54,bloomberg.com/research/stocks/private/people.asp?privcapId=3053288,78,8,2,1,1,0
gen-probe incorporated,9,hologic.com/,Hologic | Careers,17,hologic.com/careers,31,10,0,1,1,0
"lexmark international, inc.",7,lexmark.com/en_us.html,"Print, secure and manage your information | Lexmark United ...",62,lexmark.com/en_us.html,34,1,1,0,0,1
"lexmark international, inc.",7,lexmark.com/en_us.html,"Lexmark International, Inc.: Private Company Information ...",60,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=30785,78,3,1,0,0,0
"lexmark international, inc.",7,lexmark.com/en_us.html,Lexmark International Inc. Company Profile | Key Contacts ...,61,hoovers.com/company-information/cs/company-profile.lexmark_international_inc.9f6c9bcea46a0256.html,109,4,1,0,0,0
"lexmark international, inc.",7,lexmark.com/en_us.html,"Lexmark International, Inc Lexmark International, Inc ...",57,walmart.com/c/brand/lexmark-international-inc-lexmark-international-inc-collection,94,5,1,0,0,0
"lexmark international, inc.",7,lexmark.com/en_us.html,Amazon.com: Lexmark International Inc.,38,amazon.com/Lexmark-International-Inc/s?page=1&rh=i%3Aaps%2Ck%3ALexmark%20International%20Inc.,105,6,1,0,0,0
"lexmark international, inc.",7,lexmark.com/en_us.html,Lexmark International Inc - Walmart.com,39,walmart.com/c/brand/lexmark-international-inc,57,7,1,0,0,0
"lexmark international, inc.",7,lexmark.com/en_us.html,LXK Stock Quote - Lexmark International Inc - Bloomberg ...,59,bloomberg.com/quote/LXK:US,38,8,1,1,0,0
"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,"Molecular Transfer, Inc. - VitaScientific.com",45,vitascientific.com/molecular-transfer-inc,53,1,2,0,1,1
"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,"Molecular Transfer, Inc.: Private Company Information ...",57,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=83715926,81,2,2,0,1,0
"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,"Molecular Transfer Inc in Gaithersburg, MD | Whitepages",55,whitepages.com/business/MD/Gaithersburg/molecular-transfer-inc/b-12f5v3q,84,5,2,0,1,0
"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,Molecular Transfer Inc. Acquires GlobalStem - Expands into ...,62,technologynetworks.com/cell-science/news/molecular-transfer-inc-acquires-globalstem-expands-into-stem-cell-and-neuroscience-research-markets-201346,159,6,2,0,2,0
"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,"Molecular Transfer, Inc. (MTI-GlobalStem) Awarded a Phase ...",61,prweb.com/releases/2016/09/prweb13676222.htm,56,7,2,0,2,0
"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,"Molecular Transfer, Inc. 401k Rating by BrightScope",51,brightscope.com/401k-rating/307358/Molecular-Transfer-Inc/311881/Molecular-Transfer-Inc-401K-Profit-Sharing-Plan/,125,8,2,0,2,0
"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,"Molecular Transfer, Inc.: CEO and Executives - Bloomberg",56,bloomberg.com/research/stocks/private/people.asp?privcapId=83715926,79,9,2,0,2,0
"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,About Us - VitaScientific.com,29,vitascientific.com/about-us.html,44,10,0,0,2,0
lifecell corporation,8,acelity.com/home,Allergan Completes LifeCell Acquisition - Allergan,50,allergan.com/news/news/allergan-successfully-completes-lifecell-acquisiti,85,1,1,0,1,0
lifecell corporation,8,acelity.com/home,LifeCell Corporation: Private Company Information - Bloomberg,61,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=30808,78,2,1,0,1,0
lifecell corporation,8,acelity.com/home,Acelity - Home,14,acelity.com/home,28,3,0,0,1,1
lifecell corporation,8,acelity.com/home,Healthcare Professional Official Site  AlloDerm SELECT ...,58,hcp.alloderm.com/,24,5,0,0,1,0
lifecell corporation,8,acelity.com/home,Allergan to Acquire Acelity L.P. Inc.s LifeCell ...,51,allergan.com/news/news/thomson-reuters/allergan-to-acquire-acelity-l-p-inc-s-lifecell-cor,101,6,1,0,2,0
lifecell corporation,8,acelity.com/home,Healthcare Professional Official Site  STRATTICE ...,52,hcp.stratticetissuematrix.com/,37,7,0,0,2,0
"asm america, inc.",11,asm.com/,ASM International - Official Site,33,asm.com/,19,1,1,0,0,1
"asm america, inc.",11,asm.com/,"ASM America, Inc.: Private Company Information - Bloomberg",58,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=7641842,80,2,2,0,0,0
"asm america, inc.",11,asm.com/,Working at ASM America: Employee Reviews | Indeed.com,53,indeed.com/cmp/Asm-America/reviews,46,3,2,0,0,0
"asm america, inc.",11,asm.com/,"ASM America's Reviews, Salaries, Interviews & Resumes ...",57,company.livecareer.com/company/asm-america,50,6,2,0,0,0
"asm america, inc.",11,asm.com/,Home [www.asm.com],18,asm.com/en/careers,29,7,1,0,0,0
"asm america, inc.",11,asm.com/,"ASM America 3440 E University Dr, Phoenix, AZ 85034 - YP.com",60,yellowpages.com/phoenix-az/mip/asm-america-466084521,64,8,2,0,0,0
"fenwal, inc.",6,fresenius-kabi.com/us/,Fenwal Controls - Kidde Fenwal,30,kidde-fenwal.com/Public/Fenwalcontrols,46,1,1,0,0,0
"fenwal, inc.",6,fresenius-kabi.com/us/,Kidde Fenwal,12,kidde-fenwal.com/,25,2,1,0,0,0
"fenwal, inc.",6,fresenius-kabi.com/us/,FENWAL products - Grainger Industrial Supply,44,grainger.com/category/fenwal/ecatalog/N-1yztc71,59,3,1,0,0,0
"fenwal, inc.",6,fresenius-kabi.com/us/,Fenwal Parts | Fenwal Controls | Fenwal Ignitor | Fenwal ...,60,parts4heating.com/Fenwal-Ignitor-Controls-s/3270.htm,64,4,1,0,0,0
"fenwal, inc.",6,fresenius-kabi.com/us/,Fenwal Controls & Fenwal Detectors : Honeywell Fenwal ...,57,mouser.com/fenwal/,30,5,1,0,1,0
"fenwal, inc.",6,fresenius-kabi.com/us/,Fenwal Parts - Fenwal Wholesale Distributor,43,parts-hvac.com/fenwal.html,34,6,1,1,1,0
"nantero, inc.",7,nantero.com/,Nantero NRAM - Memory technology that is incredibly fast!,57,nantero.com/,19,1,1,0,0,1
"nantero, inc.",7,nantero.com/,"Nantero, Inc.: Private Company Information - Bloomberg",54,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=1083480,80,3,1,0,0,0
"nantero, inc.",7,nantero.com/,Memory biz Nantero is a right Dell raiser: IT giant ...,55,theregister.co.uk/2017/05/10/nantero_gets_dell_dev_dollars/,71,4,1,0,0,0
"nantero, inc.",7,nantero.com/,Nantero - Inc.com,17,inc.com/profile/nantero,35,5,1,0,0,0
"nantero, inc.",7,nantero.com/,Nantero | Crunchbase,20,crunchbase.com/organization/nantero,47,7,1,0,0,0
"nantero, inc.",7,nantero.com/,Nantero - hbr.org,17,hbr.org/product/a/an/809031-PDF-ENG,43,8,1,0,0,0
"nantero, inc.",7,nantero.com/,"Fujitsu now making DRAM killer with 1,000x performance ...",58,computerworld.com/article/3113822/data-storage/fujitsu-touts-dram-killer-with-1000x-performance-boost.html,118,9,0,0,0,0
"princeton optronics, inc.",19,princetonoptronics.com/,Applications - ams,18,ams.com/applications,28,1,0,0,0,0
"princeton optronics, inc.",19,princetonoptronics.com/,Princeton Optronics Overview - TI.com,37,ti.com/lsds/media/documents/3d-imaging-sensors/24128_Princeton_Optronics_TOF_Illuminator_Overview_for_TI_Rev1.pdf,124,2,2,0,0,0
"princeton optronics, inc.",19,princetonoptronics.com/,VCSEL maker Princeton Optronics acquired by ams,47,laserfocusworld.com/articles/2017/03/princeton-optronics-acquired-by-ams-to-enhance-3d-sensing-ar-vr-and-automotive-applications.html,145,3,2,0,1,0
"princeton optronics, inc.",19,princetonoptronics.com/,"Princeton Optronics, Inc.: CEO and Executives - Bloomberg",57,bloomberg.com/research/stocks/private/people.asp?privcapId=736928,77,6,2,0,1,0
"princeton optronics, inc.",19,princetonoptronics.com/,"Princeton Optronics, Inc.: Private Company Information ...",58,bloomberg.com/research/stocks/private/snapshot.asp?privcapid=736928,79,7,2,0,1,0
"princeton optronics, inc.",19,princetonoptronics.com/,"Princeton Optronics 1 Electronics Dr, Trenton, NJ 08619 ...",59,yellowpages.com/trenton-nj/mip/princeton-optronics-9191715,70,8,2,0,1,0
"siemens energy, inc.",14,siemens.com/global/en/home/products/energy.html,Energy Products & Services - Siemens Global Website,51,siemens.com/global/en/home/products/energy.html,59,1,2,0,0,1
"siemens energy, inc.",14,siemens.com/global/en/home/products/energy.html,Energy Services - Building Technologies - Siemens,49,w3.usa.siemens.com/buildingtechnologies/us/en/energy-efficiency/energy-services/Pages/energy-services.aspx?sp_source=usbt100122,135,5,2,0,0,0
"siemens energy, inc.",14,siemens.com/global/en/home/products/energy.html,Energy Products & Services - siemens.com,40,siemens.com/us/en/home/products/energy.html,55,7,2,0,0,0
"ade, inc.",3,ade-usa.com/,ADEKA,5,adeka.co.jp/en/,27,1,1,0,0,0
"ade, inc.",3,ade-usa.com/,ADEKA USA - Official Site,25,adekausa.com/,24,2,1,0,0,0
"ade, inc.",3,ade-usa.com/,Food ProductsADEKA,18,adeka.co.jp/en/food/,32,3,1,0,0,0
"ade, inc.",3,ade-usa.com/,Adeka Corporation: Private Company Information - Bloomberg,58,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=8781360,80,4,1,0,0,0
"ade, inc.",3,ade-usa.com/,Adeka - Official Site,21,adeka.com/,21,5,1,0,0,0
"ade, inc.",3,ade-usa.com/,Home-Adeka Al Ghurair Additives LLC,35,adeka-alghurair.com/en/home.aspx,39,6,1,0,0,0
"ade, inc.",3,ade-usa.com/,4401:Tokyo Stock Quote - ADEKA Corp - Bloomberg Markets,55,bloomberg.com/quote/4401:JP,39,7,1,1,0,0
"ade, inc.",3,ade-usa.com/,ADEKA CORPORATION Company Profile | Key Contacts ...,52,hoovers.com/company-information/cs/company-profile.adeka_corporation.a717d43adba395f6.html,101,8,1,1,0,0
"ade, inc.",3,ade-usa.com/,ADEKA Corporation Product List supplier and distributor,55,parchem.com/specialty-chemical-supplier/adeka.aspx,62,9,1,1,0,0
"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,Advanced Bionics - Official Site,32,advancedbionics.com/,28,1,2,0,0,0
"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,"Advanced Bionics, LLC: Private Company Information - Bloomberg",62,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4307524,80,2,2,0,0,0
"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,BabyBeats Resource on the App Store - itunes.apple.com,54,itunes.apple.com/us/app/babybeats-resource/id1258901720,63,3,0,0,0,0
"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,AB CLIX on the App Store - itunes.apple.com,43,itunes.apple.com/us/app/ab-clix/id642933228,51,4,0,0,0,0
"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,"Advanced Bionics LLC in Valencia, CA | Whitepages",49,whitepages.com/business/CA/Valencia/advanced-bionics-llc/b-12bsffz,78,6,2,0,0,0
"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,"Advanced Bionics, LLC - Download.com",36,download.cnet.com/ios/advanced-bionics-llc/3260-20_4-10230376-1.html,76,7,2,0,0,0
"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,BBB Business Profile | Advanced Bionics LLC | Accreditation,59,bbb.org/losangelessiliconvalley/business-reviews/hearing-aids-parts-and-repairing/advanced-bionics-in-valencia-ca-413137/bbb-accreditation,150,8,2,0,0,0
"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,"Advanced Bionics, LLC - Valencia , CA - Business Page",53,dandb.com/businessdirectory/advancedbionicsllc-valencia-ca-23611017.html,84,9,2,0,0,0
"attagene, inc.",8,attagene.com/,Attagene,8,attagene.com/,24,1,1,0,0,1
"attagene, inc.",8,attagene.com/,Attagene Inc. | North Carolina Biotech Center,45,directory.ncbiotech.org/content/attagene-inc,51,2,1,0,0,0
"attagene, inc.",8,attagene.com/,"Attagene, Inc - rtp.org",23,rtp.org/company/attagene-inc/,41,3,1,0,0,0
"attagene, inc.",8,attagene.com/,BBB Business Profile | Attagene Inc,35,bbb.org/raleigh-durham/business-reviews/educational-research/attagene-in-morrisville-nc-90098971,108,4,1,0,0,0
"attagene, inc.",8,attagene.com/,"Attagene, Inc. - CMOCRO",23,cmocro.com/company/Attagene%2C+Inc/index.html,57,5,1,0,0,0
"attagene, inc.",8,attagene.com/,Researchers discover signatures predicting therapeutic ...,58,eurekalert.org/pub_releases/2018-09/ai-rds092118.php,64,6,0,0,0,0
"attagene, inc.",8,attagene.com/,"Attagene Inc in Morrisville, NC with Reviews - YP.com",53,yellowpages.com/morrisville-nc/attagene-inc,55,7,1,0,0,0
"attagene, inc.",8,attagene.com/,Attagene Inc.: Private Company Information - Bloomberg,54,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=272129033,82,8,1,0,0,0
avery dennison corporation,14,averydennison.com/,Avery Dennison - Official Site,30,averydennison.com/,29,1,2,0,0,1
avery dennison corporation,14,averydennison.com/,Avery Dennison Pressure Sensitive Labels & Adhesives ...,56,label.averydennison.com/,31,3,2,0,0,0
avery dennison corporation,14,averydennison.com/,Avery Dennison Corporation: Private Company Information ...,59,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=252978,79,4,2,0,0,0
avery dennison corporation,14,averydennison.com/,Home | Avery Dennison,21,printers.averydennison.com/en/home.html,46,5,2,0,0,0
avery dennison corporation,14,averydennison.com/,Home | Avery Dennison,21,rbis.averydennison.com/en/home.html,42,6,2,0,0,0
avery dennison corporation,14,averydennison.com/,Investor Overview | Avery Dennison Corporation,46,investors.averydennison.com/,39,7,2,1,0,0
avery dennison corporation,14,averydennison.com/,Products | Avery Dennison,25,printers.averydennison.com/en/home/products.html,55,8,2,1,0,0
"incube labs, llc",11,incubelabs.com/,InCube Labs - Official Site,27,incubelabs.com/,27,1,2,0,0,1
"incube labs, llc",11,incubelabs.com/,"InCube Labs, LLC: Private Company Information - Bloomberg",57,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=208149094,82,2,2,0,0,0
"incube labs, llc",11,incubelabs.com/,InCube Ventures | Home,22,incubevc.com/,25,3,1,0,0,0
"incube labs, llc",11,incubelabs.com/,"Incubelabs.com: Home - InCube Labs, LLC.",40,easycounter.com/report/incubelabs.com,49,4,2,0,0,0
"incube labs, llc",11,incubelabs.com/,"Incube Labs, LLC - San Jose , CA - Business Page",48,dandb.com/businessdirectory/incubelabsllc-sanjose-ca-9040638.html,77,6,2,0,0,0
"incube labs, llc",11,incubelabs.com/,InCube Labs - Rani Therapeutics - Oral Biotherapeutics ...,58,ranitherapeutics.com/about-us/incubelabs/,53,7,2,0,0,0
"incube labs, llc",11,incubelabs.com/,InCube Ventures | Andrew Farquharson,36,incubevc.com/team/andrew/,37,8,1,0,0,0
"element one, inc.",11,e1lab.com/,ELEMENT ONE - Monitor Factory,29,elementonescreens.com/,29,1,2,0,0,0
"element one, inc.",11,e1lab.com/,element One | Specialist in Inorganics/Metals Analyses,54,e1lab.com/,21,2,2,0,0,1
"element one, inc.",11,e1lab.com/,Element One | Bozzuto,21,bozzuto.com/apartments/stamford/ct/element-one/,59,3,2,0,0,0
"element one, inc.",11,e1lab.com/,e1 Hydrogen Generators  Element 1 Fuel Reformers,48,e1na.com/,21,4,1,0,0,0
"element one, inc.",11,e1lab.com/,Element One Hydrogen Detection,30,elem1.com/,17,6,2,0,0,0
"element one, inc.",11,e1lab.com/,"Element One Apartments - Stamford, CT 06905",43,apartmentguide.com/apartments/Connecticut/Stamford/Element-One/100029728/,85,7,2,0,0,0
"element one, inc.",11,e1lab.com/,Retractable Monitors - ELEMENT ONE,34,elementonescreens.com/products/,38,8,2,0,0,0
"element one, inc.",11,e1lab.com/,company,7,e1lab.com/company,28,9,0,1,0,0
"element one, inc.",11,e1lab.com/,"Family Portraits, Children Photography in the Denver Area",57,elementonestudio.com/,33,10,0,1,0,0
optodot corporation,7,optodot.com/,Optodot | Separators with Superior Functionality and Heat ...,61,optodot.com/,19,1,1,0,0,1
optodot corporation,7,optodot.com/,Optodot Corporation: Private Company Information - Bloomberg,60,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=8213419,80,2,1,0,0,0
optodot corporation,7,optodot.com/,LG Chem Acquires Rights to Sion Power Technology,48,sionpower.com/2016/lg-chem-acquires-rights-to-sion-power-technology/,76,5,0,0,1,0
optodot corporation,7,optodot.com/,Working at Optodot Corp | Glassdoor,35,"glassdoor.com/Overview/Working-at-Optodot-Corp-EI_IE265769.11,23.htm",80,7,1,0,1,0
optodot corporation,7,optodot.com/,Optodot Corporation: CEO and Executives - Bloomberg,51,bloomberg.com/research/stocks/private/people.asp?privcapId=8213419,78,8,1,0,1,0
optodot corporation,7,optodot.com/,Optodot Corporation | www.inknowvation.com,42,inknowvation.com/sbir/companies/optodot-corporation,63,9,1,0,1,0
"integrated dna technologies, inc.",27,idtdna.com/,Integrated DNA Technologies - Official Site,43,idtdna.com/,22,1,3,0,0,1
"integrated dna technologies, inc.",27,idtdna.com/,"Integrated DNA Technologies, Inc.: Private Company ...",54,bloomberg.com/research/stocks/private/snapshot.asp?privcapId=3678379,80,3,3,0,0,0
