,firm,firm_length,url,name_clnd,name_length,hit_url,hit_url_length,rank,matches,public,acquired_merged,outcome,Votes
549,"k-space associates, inc.",18,https://www.k-space.com/,Advanced Tools for In-Situ Thin-Film Metrology | k-Space,56,https://www.k-space.com/,24,1,2,0,0,1,10
554,kodak alaris inc.,12,https://www.kodakalaris.com/,Home | Kodak Alaris,19,https://www.kodakalaris.com/,28,1,2,0,0,1,8
562,"kulite semiconductor products, inc",29,https://www.kulite.com/,Kulite - Official Site,22,https://www.kulite.com/,23,1,1,0,0,1,9
568,"liquid x printed metals, inc.",23,http://www.liquid-x.com/,Functional Electronics Fabrication | Liquid X Printed ...,57,http://www.liquid-x.com/,24,1,3,0,0,1,8
575,"monosol, llc",7,https://www.monosol.com/,Water Soluble Film Technology | MonoSol,39,https://www.monosol.com/,24,1,1,0,0,1,7
583,"moxtek, inc.",6,http://moxtek.com/,MOXTEK Optical and X-ray Components Manufacturer,48,http://moxtek.com/,18,1,1,0,0,1,10
589,nanobio corporation,7,http://www.bluewillow.com/,BlueWillow - Official Site,26,http://www.bluewillow.com/,26,1,0,0,0,1,10
596,"nanomech, inc.",8,http://www.nanomech.com/,NanoMech - Making atoms work harder and smarter,47,http://www.nanomech.com/,24,1,1,0,0,1,8
603,"nanoridge materials, inc.",19,http://nanoridge.com/,NanoRidge,9,http://nanoridge.com/,21,1,1,0,0,1,10
609,"nanospectra biosciences, inc.",23,https://www.nanospectra.com/,nanospectra,11,https://www.nanospectra.com/,28,1,1,0,0,1,8
617,"ofs fitel, llc",9,https://www.ofsoptics.com/,OFS - Official Site,19,https://www.ofsoptics.com/,26,1,1,0,0,1,9
626,"propagation research associates, inc.",31,http://pra-corp.com/,"Propagation Research Associates, Inc.",37,http://pra-corp.com/,20,1,3,0,0,1,9
630,quantumscape corporation,12,http://www.quantumscape.com/,QuantumScape - Official Site,28,http://www.quantumscape.com/,28,1,1,0,0,1,8
637,"teledyne scientific & imaging, llc",29,http://www.teledyne-si.com/business-units/teledyne-scientific-company,Teledyne Scientific and Imaging,31,http://www.teledyne-si.com/,27,1,3,0,0,0,8
643,"wentworth laboratories, inc.",22,http://www.wentworthlabs.com/,PROBE CARDS - Wentworth Labs,28,https://www.wentworthlabs.com/,30,1,1,0,0,0,10
650,wyatt technology corporation,16,https://www.wyatt.com/,Wyatt Technology Laser Light Scattering Instrumentation,55,https://www.wyatt.com/,22,1,2,0,0,1,10
657,zygo corporation,4,https://www.zygo.com/,Zygo Corporation - Official Site,32,https://www.zygo.com/,21,1,1,0,0,1,9
659,"acell, inc.",5,https://acell.com/,ACell - Official Site,21,https://acell.com/,18,1,1,0,0,1,10
665,algenol biotech llc,15,http://algenol.com/,Algenol - Official Site,23,http://algenol.com/,19,1,1,0,0,1,9
671,"amprius, inc.",7,http://amprius.com/,Amprius: Next-Generation Lithium-Ion Batteries,46,http://amprius.com/,19,1,1,0,0,1,9
678,"autonomic materials, inc.",19,https://www.autonomicmaterials.com/,Home [www.autonomicmaterials.com],33,https://www.autonomicmaterials.com/,35,1,2,0,0,1,6
685,beryllium discovery corp.,24,http://be4.com/,Static - Beryllium Discovery,28,http://be4.com/,15,1,2,0,1,1,8
692,"cardiva medical, inc.",15,http://www.cardivamedical.com/,Cardiva Medical - Official Site,31,https://www.cardivamedical.com/,31,1,2,0,0,0,9
699,"cmc icos biologics, inc.",18,http://www.agcbio.com/,AGC) BIO - LEADING THE WAY IN INNOVATIVE CLINICAL,49,http://www.agcbio.com/,22,1,0,0,0,1,9
705,"complete genomics, inc.",17,http://www.completegenomics.com/,Complete Genomics - Official Site,33,http://www.completegenomics.com/,32,1,2,0,0,1,10
712,"confluence energy, llc",17,http://www.confluenceenergy.com/,Confluence Energy,17,http://www.confluenceenergy.com/,32,1,2,0,0,1,8
720,discoverx corporation,9,https://www.discoverx.com/home,DiscoverX Solutions for Drug Discovery,38,https://discoverx.com/home,26,1,1,0,0,0,9
728,"genisphere, llc",10,https://genisphere.com/,3DNA Nanotechnology | Genisphere,32,https://genisphere.com/,23,1,1,0,0,1,9
736,"longhorn vaccines and diagnostics, llc",33,https://www.lhnvd.com/,Longhorn Vaccines and Diagnostics,33,https://www.lhnvd.com/primemix,30,1,4,0,0,0,9
752,"new england biolabs, inc.",19,https://www.neb.com/,NEB - Official Site,19,https://www.neb.com/,20,1,0,0,0,1,9
755,"parion sciences, inc.",15,http://www.parion.com/,Parion Sciences,15,http://www.parion.com/,22,1,2,0,0,1,9
762,"teledyne scientific & imaging, llc",29,http://www.teledyne-si.com/business-units/teledyne-scientific-company,Teledyne Scientific and Imaging,31,http://www.teledyne-si.com/,27,1,3,0,0,0,8
768,zygo corporation,4,https://www.zygo.com/,Zygo Corporation - Official Site,32,https://www.zygo.com/,21,1,1,0,0,1,9
