22nd Century Limited, LLC
Digital Wind Systems, Inc.
Disney Enterprises, Inc.
Dogwood Pharmaceuticals, Inc.
Domtar Paper Company, LLC
Dongbu Hitek Co., Ltd.
Dynamic Solutions Worldwide, LLC
ENERGY ENGINEERING SYSTEMS, LLC
ENI Technology, Inc.
ESCAPE THERAPEUTICS, INC.
Easel Biotechnologies, LLC
Echogen Power Systems, LLC
Ecovative Design, LLC
Egenera, Inc.
Eisai Co., Ltd.
Elcriton, Inc.
ElectraTherm, Inc.
Electrix, Inc.
Electronic Warfare Associates, Inc.
Element One, Inc.
Elenion Technologies, LLC
Energen, Inc.
Energysolutions, LLC
Enginuity Worldwide, LLC
Englewood Lab, LLC
Ensyn Renewables, Inc.
Entech Solar, Inc.
Entegris, Inc.
Envision Solar International, Inc.
Epizyme, Inc.
Esolar, Inc.
Ethicon Endo-Surgery, Inc.
Ethox Chemicals, Inc.
Everspin Technologies, Inc.
Evri, Inc.
Express Imaging Systems, LLC
Extech/Exterior Technologies, Inc.
FHT, Inc.
FLIR Systems, Inc.
FUJIFILM Dimatix, Inc.
FULL CIRCLE BIOCHAR, INC.
Facebook, Inc.
Faurecia Interior Systems, Inc.
Fenwal, Inc.
Fezza Family Properties, LLC
Fina Technology, Inc.
First Solar, Inc.
Flextronics AP, LLC
Ford Global Technologies, Inc.
Forest Concepts, LLC
Foret Plasma Labs, LLC
Formula Plastics, Inc.
Freescale Semiconductor, Inc.
Fuji Electric Co., Ltd.
Fuji Xerox Co., Ltd.
Furukawa Electric Co., Ltd.
FutureWei Technologies, Inc.
GE Healthcare Dharmacon, Inc.
GED Intergrated Solution, Inc.
GEOTHERMAL ENERGY PROJECT, LLC
GM Global Technology Operations, Inc.
GOJO Industries, Inc.
GOSOLARLIFE, LLC
GR Intellectual Reserve, LLC
GROW ENERGY, INC.
GTherm, Inc.
Galectin Therapeutics, Inc.
GangaGen, Inc.
Gardner-Gibson, Inc.
Garland Industries, Inc.
Gemex Systems, Inc.
Genentech, Inc.
Genia Technologies, Inc.
Genisphere, LLC
Genomatica, Inc.
Genomic Health, Inc.
GeoSynFuels, LLC
George Mason Research Foundation, Inc.
Gilead Biologics, Inc.
Gilead Connecticut, Inc.
Gilead Sciences, Inc.
GlassPoint Solar, Inc.
GlaxoSmithKline Biologicals, S.A.
Global Solar Water Power Systems, Inc.
Globus Medical, Inc.
Gracenote, Inc.
Gram Power, Inc.
Graphene Technologies, Inc.
Great American Duck Races, Inc.
Green Box Batteries, LLC.
Green Solar Transportation, LLC
Greyrock Energy, Inc.
Guardian Industries, Inc.
HARMAN INTERNATIONAL INDUSTRIES, INC.
HIQ SOLAR, INC.
HM3 Energy, Inc.
HNO Greenfuels, Inc.
HRL Laboratories, LLC
HTS, Inc.
Haier US Appliance Solutions, Inc.
Halliburton Energy Services, Inc.
Handstand Innovations, LLC
Handylab, Inc.
Headway Technologies, Inc.
Heliae Development, LLC
Hewlett-Packard Development Company, L.P.
Hitachi Metals, Ltd.
Hitachi, Ltd.
Hollywood Trucks, LLC
Hon Hai Precision Industry Co., Ltd.
Honda Motor Co., Ltd.
IBC Pharmaceuticals, Inc.
IDEA TREE, LLC
III HOLDINGS 1, LLC
IMRA America, Inc.
INTEVAC, INC.
ITN Energy Systems, Inc.
Ibis Biosciences, Inc.
Ignis Innovation, Inc.
Illinois Tool Works, Inc.
Immunolight, LLC
Immunopath Profile, Inc.
InVisage Technologies, Inc.
Inaeris Technologies, LLC
Industrial Origami, Inc.
Industrial Science & Technology Network, Inc.
Industrial Solar Heating Systems, LLC
Innovalight, Inc.
Innovation Hammer, LLC
Inphenix, Inc.
Integrated DNA Technologies, Inc.
Integrated Device Technology, Inc.
Integrated Nano-Technologies, LLC
Integrated Solar Technology, LLC
Interez, Inc.
Interface Performance Materials, Inc.
Intermolecular, Inc.
Intrexon CEU, Inc.
Intuitive Surgical Operations, Inc.
Inventus Holdings, LLC
Ion Power Group, LLC
Isis Pharmaceuticals, Inc.
J. E. WHITE, LLC
Janssen Biotech, Inc.
Johnson & Johnson Consumer Companies, Inc.
Johnson & Johnson Vision Care, Inc.
Joule Unlimited Technologies, Inc.
K.S. INTERNATIONAL CO., LTD.
KAI Pharmaceuticals, Inc.
KOLO TECHNOLOGIES, INC.
KOLON INDUSTRIES, INC.
KR Design House, Inc.
Kala Pharmaceuticals, Inc.
Kamtec, LLC
Kansai Paint Co., Ltd.
Kashiv Pharma, LLC
Kinestral Technologies, Inc.
Kiverdi, Inc.
Kobe Steel, Limited
Koch Biological Solutions, LLC
Korea Kumho Petrochemical Co., Ltd.
Kulite Semiconductor Products, Inc
LAVA ENERGY SYSTEMS, INC.
LG Bionano, LLC
LG Display Co., Ltd.
LG NANOH2O, INC.
LIQUID X PRINTED METALS, INC.
LUCERA LABS, INC.
Lake Lite, Inc.
Landauer, Inc.
Laserline Mfg., Inc.
Lawrence Livermore National Security, LLC
Leap Frogg, LLC
Lehigh Technologies, LLC
Lion Copolymer Geismar, LLC
Liquidia Technologies, Inc.
Little Kids, Inc.
Livetv, LLC
Locus Energy, LLC
Longhorn Vaccines and Diagnostics, LLC
Los Alamos National Security, LLC
Lumenco, LLC
Lux Bio Group, Inc.
Lyotropic Therapeutics, Inc.
MANUFACTURING RESOURCES INTERNATIONAL, INC.
MAXLINEAR, INC.
MBC Ventures, Inc.
MCI, Inc.
MEDport, Inc.
MICROMIDAS, INC.
MICROSOFT TECHNOLOGY LICENSING, LLC
MIETAMARK GENETICS, INC.
MONTEREY RESEARCH, LLC
Ma-West, Inc.
Macronix International Co., Ltd.
Magnachip Semiconductor, Ltd.
Magnolia Optical Technologies, Inc.
Magnolia Solar, Inc.
Magnolia Solar, Inc.University of Miami
Mallinckrodt, Inc.
Manta Instruments, Inc.
Marine Polymer Technologies, Inc.
Masimo Semiconductor, Inc.
Materia, Inc.
Matrix Genetics, LLC
Matrix Odyssey, LLC
Mattson Technology, Inc.
Maxout Renewables, Inc.
McAlister Technologies, LLC
McElroy Manufacturing, Inc.
Medical Diagnostic Laboratories, LLC
Medtronic Vascular, Inc.
Meso Scale Technologies, LLC.
Metabolix, Inc.
Meyer Tool, Inc.
Micro Cooling Concepts, Inc.
MicroContinuum, Inc.
MicroLink Devices, Inc.
Microchips Biotech, Inc.
Micron Technology, Inc.
Microsurge, Inc.
Midori USA, Inc.
Midrex Technologies, Inc.
Minebea Co., Ltd.
MirTech, Inc.
Mission Product Holdings, Inc.
Mitsubishi Polyester Film, LLC
Molecular Imprints, Inc.
Molecular Rebar Design, LLC
MonoSol, LLC
Morpho, Inc.
Moxtek, Inc.
Mumetel, LLC
Murata Manufacturing Co., Ltd.
NANO CELL SYSTEMS, INC.
NANOPHTHALMICS, LLC
NCC Nano, LLC
NGK Spark Plug Co., Ltd.
NLT TECHNOLOGIES, LTD.
NXP USA, INC.
NanoLab, Inc.
NanoMech, Inc.
NanoOncology, Inc.
NanoTech Lubricants, LLC
Nanoco Technologies, Ltd.
Nanocopocia, LLC
Nanoholdings, LLC
Nanomix, Inc.
Nanoquantum Sciences, Inc.
Nanoridge Materials, Inc.
Nanospectra Biosciences, Inc.
Nanosys, Inc.
Nanotech Biomachines, Inc.
Nanotek Instruments, Inc.
Nant Holdings IP, LLC
Nantero, Inc.
Narsys, LLC
Nationwide Children's Hospital, Inc.
NetApp, Inc.
NeuMoDx Molecular, Inc.
Neumedicines, Inc.
Neural Signals, Inc.
Neutronic Perpetual Innovations, LLC
New England Biolabs, Inc.
New Technology Ventures, Inc.
Newlans, Inc.
Nexcom Technology, Inc.
Nippon Shokubai Co., Ltd.
Nissan Motor Co., Ltd.
Nissan North America, Inc.
Nokomis, Inc.
Nordic Technologies, Inc.
Northwest Biotherapeutics, Inc.
Nova Technologies, Inc.
NovaSolix, Inc.
Novellus Systems, Inc.
Novon, Inc.
Novozymes North America, Inc.
Novus Technology, Incorporated
NuOrtho Surgical, Inc.
OAS Design Group, Inc.
OFS Fitel, LLC
OPTERRA ENERGY SERVICES, INC.
OSI Optoelectronics, Inc.
OTSUKA PHARMACEUTICAL CO., LTD.
Oceanit Laboratories, Inc.
Oculus VR, LLC
Ojai Retinal Technology, LLC
OmniVision Technologies, Inc.
Opel Solar, Inc.
OrbusNeich Medical, Inc.
Ormet Circuits, Inc.
Ortho-Clinical Diagnostics, Inc.
Ostendo Technologies, Inc.
Ovonic Battery Company, Inc.
PAX Scientific, Inc.
PDF Solutions, Inc.
PELLION TECHNOLOGIES, INC.
PLYCEM USA, INC.
PNM, Inc.
POET Research, Inc
POSiFA MICROSYSTEMS, INC.
PPG Industries Ohio, Inc.
PTC Therapeutics, Inc.
Pacific Biosciences of California, Inc.
Pacific Light Technologies, Corp.
Panasonic Intellectual Property Management Co., Ltd.
Paratek Pharmaceuticals, Inc.
Pardev, LLC
Parion Sciences, Inc.
Pendar Technologies, LLC
Pentron Clinical Technologies, LLC
Performance Plants, Inc.
Perkinelmer Holdings, Inc.
PetraSolar, Inc.
Peytant Solutions, Inc.
Pharmatrophix, Inc.
Phoseon Technology, Inc.
Photon Dynamics, Inc. 
Piksel, Inc.
Pinnacle Technology, Inc.
Pioneer Energy, Inc.
Pioneer Hi-Bred International, Inc.
Pioneer Hi-Bred, Inc.
Pixelligent Technologies, LLC
Planet ATE, Inc.
Plant Sensory Systems, LLC
Plasma Tech Holdings, LLC
Plasma-Therm, Inc.
PluroGen Therapeutics, Inc.
Poly-Med, Inc.
PortaFire, Inc.
Power Integrations, Inc.
Praxair S.T. Technology, Inc.
Praxair Technology, Inc.
Precision Custom Coatings, LLC
Previvo Genetics, LLC
Princeton Optronics, Inc.
ProNAi Therapeutics, Inc.
Production Resource Group, L.L.C.
Professional Compounding Centers of America, Ltd
Propagation Research Associates, Inc.
Prosoft International, Inc.
Proton Power, Inc.
Pulse Therapeutics, Inc.
QD Vision, Inc.
QUALCOMM MEMS Technologies, Inc.
QUSWAMI, INC.
Quantapore, Inc.
Quantum Devices, Inc.
R.A. Miller Industries, Inc.
R.P. Scherer Technologies, Inc.
RADIANCE SOLAR, LLC
RES USA, LLC
RF Micro Devices, Inc.
Rapamycin Holdings, LLC
Rebellion Photonics, Inc.
Red Hat, Inc.
Redwood Systems, Inc.
Regeneron Pharmaceuticals, Inc.
Relypsa, Inc.
Renewable Algal Energy, LLC
Renewable Power Conversion, Inc.
Renmatix, Inc.
Revera, Incorporated
Revivicor, Inc.
Reynolds Technologies, Inc.
Richtek Technology Corporation, R.O.C.
Rillito Rive Solar, LLC
Rio Grande Valley Sugar Growers, Inc.
Riverbed Technology, Inc.
Roche Diabetes Care, Inc.
Rockwell Automation Technologies, Inc.
Rockwell Collins, Inc.
Roho, Inc.
Rolls-Royce North American Technologies, Inc.
Ruse Technologies, LLC
S&S X-Ray Products, Inc.
S. C. Johnson & Son, Inc. 
S.C. Johnson & Son, Inc.
SAMSUNG DISPLAY CO., LTD.
SB ENERGY, LLC
SCHOTTKY LSI, INC.
SD Technologies, LLC
SDCmaterials, Inc.
SEEK THERMAL, INC.
SELMAN AND ASSOCIATES, LTD.
SK Telecom Co., Ltd
SNS NANO FIBER TECHNOLOGY, LLC
SOL-ELECTRICA, LLC
SOLARTONIC, LLC
SOLAZYME, INC.
SPC International, LLC
SPICE SOLAR, INC.
SRG Global, Inc.
STANDARD ALCOHOL COMPANY OF AMERICA, INC.
STATS ChipPAC, Ltd.
SUMITOMO WIRING SYSTEMS, LTD.
Saint-Gobain Adfors Canada, Ltd
Saint-Gobain Ceramics & Plastics, Inc.
Samsung Corning Precision Materials Co., Ltd
Samsung Electro-Mechanics Co., Ltd.
Samsung Electronics Co., Ltd.
Samsung Electronics, Cp. Ltd.
Samsung SDI Co., Ltd.
Sangamo BioSciences, Inc.
Sanken Electric Co., Ltd.
Sanyo Electric Co., Ltd.
Sarepta Therapeutics, Inc.
Schneider Electric Solar Inverters USA, Inc.
Schneider Electric USA, Inc.
Scientific Design Company, Inc.
SeQual Technologies, Inc.
Selecta Biosciences, Inc.
Selkermetrics, LLC
Semiconductor Components Industries, L.L.C.
Semiconductor Energy Laboratory Co., Ltd.
Semprius, Inc.
Senaya, Inc.
Senga Advisors, LLC
Sensor Electronic Technology, Inc.
Sequenom, Inc.
ServiceNow, Inc.
Sharp Laboratories of America, Inc.
Shenzhen China Star Optoelectronics Technology Co., Ltd
Shin-Etsu Chemical Co., Ltd.
Shoals Technologies Group, LLC
Shubin, Inc.
Siemens Energy, Inc.
Siemens Industry, Inc.
Siemens Medical Solutions USA, Inc.
Sienna Biopharmaceuticals, Inc.
Sienna Labs, Inc.
Sierra Sciences, LLC
Sigmatel, Inc.
Sila Nanotechnologies, Inc.
Silicon Storage Technology, Inc.
Siliconware Precision Industries Co., Ltd.
Siluria Technologies, Inc.
Sima Therapeutics, Inc.
Simple Approach Systems, Inc.
Sinewatts, Inc.
Singular Bio, Inc.
Singulex, Inc.
Sinton Consulting, Inc.
Sirnaomics, Inc.
SixPoint Materials, Inc.
Skidmore, Owings & Merrill LLP
Smart Planet Technologies, Inc.
Smith & Nephew, Inc.
Solan, LLC
SolarReserve Technology, LLC
Solarmer Energy, Inc.
Solexa, Inc.
Solight Solar, Inc.
Solvay Specialty Polymers USA, LLC
SonoGene, L.L.C.
Sophoro Biotechnologies, LLC
Soraa Laser Diode, Inc.
Soraa, Inc.
St. Jude Medical, Inc.
Stablcor Technology, Inc.
Stanley Electric Co., Ltd.
Star Technology and Research, Inc.
Stratasys, Inc.
Strategic Solar Energy, LLC
Suganit Systems, Inc.
Sumitomo Electric Device Innovations, Inc.
Sumitomo Electric Industries, Ltd.
Sumitomo Rubber Industries, Ltd. 
SunEdison, Inc.
SunRun, Inc.
Suncore Photovoltaics, Incorporated
Sundrop Fuels, Inc.
Sustainable Technologies, LLC
Sweetwater Energy, Inc.
Swift Engineering, Inc.
Synaptic Research, LLC
Synopsys, Inc.
Synthetic Genomics, Inc.
Synthezyme, LLC
System Biosciences, LLC
T.H.E.M., Inc.
TECHNOLOGY RESEARCH, LLC
TECNIUM, LLC
THE BOARD INSTITUTE, INC.
THE SWEET LIVING GROUP, LLC
TOMOWAVE LABORATORIES, INC.
TP Solar, Inc.
TRI ALPHA ENERGY, INC.
TT Technologies, Inc.
Taiwan Semiconductor Manufacturing Company, Ltd.
Taiyo Ink Mfg. Co., Ltd.
Tapwave, Inc.
Tarveda Therapeutics, Inc.
Taxon Biosciences, Inc.
Tekkware, Inc.
Tela Innovations, Inc.
Teledyne Scientific & Imaging, LLC
Tensor, Inc.
Teradata US, Inc.
Terra Caloric, LLC
TerraVia Holdings, Inc.
Tersus Environmental, LLC
Tesla Nanocoatings, Inc.
Tessera Advanced Technologies, Inc.
Tessera, Inc.
TetraSun, Inc.
Texas Research International, Inc.
The Carbon Cable Company, LLC
The Charles Stark Draper Laboratory, Inc.
The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.
The Samuel Roberts Noble Foundation, Inc.
TheGreenCell, Inc.
Theraclone Sciences, Inc.
Therapeutic Proteins International, LLC
Thermo Finnigan, LLC
Thorlabs Quantum Electronics, Inc.
Thorlabs, Inc.
Tigo Energy, Inc.
Tokyo Ohka Kogyo Co., Ltd.
Toray Plastics (America), Inc.
Toshiba America Electronic Components, Inc.
Toyota Motor Engineering & Manufacturing North America, Inc.
Transilwrap Company, Inc.
Transitions Optical, Inc.
Transposagen Biopharmaceuticals, Inc.
Travis Industries, Inc.
Triple Ring Technologies, Inc.
Truckee Applied Genomics, LLC
True-Safe Technologies, Inc.
Tufts Medical Center, Inc.
Twitter, Inc.
U.S. NUTRACEUTICALS, LLC
UChicago Argonne, LLC
UT-Battelle, LLC
UWM Research Foundation, Inc.
Ube Industries, Ltd.
Universal Leaf Tobacco Co., Inc.
V35A Enterprises, LLC
VALTED, LLC
VINYLAST, INC.
VMware, Inc.
Vadient Optics, LLC
Valicor, Inc.
Varian Semiconductor Equipment Associates, Inc.
Vaxiion Therapeutics, Inc.
Ventana Medical Systems, Inc.
Veracode, Inc.
Veracyte, Inc.
Verliant Energy, Inc.
Vindico NanoBioTechnology, LLC
Virent, Inc.
Voxtel, Inc.
W&Wsens Devices, Inc.
WAFERTECH, LLC
WOVN, INC.
Warsaw Orthopedic, Inc.
Wentworth Laboratories, Inc.
WestPoint Home, Inc.
Western Digital (Fremont), LLC
Western Digital Technologies, Inc.
WiSys Technology Foundation, Inc.
Wikipad, Inc.
Wine.com, Inc.
Wireless Environment, LLC
Wizard Labs, LLC
Wostec, Inc. 032138/0242
Xyleco, Inc.
Yeda Research and Development Co., Ltd.
Yissum, Research Development Company of the Hebrew University of Jerusalem
ZENA TECHNOLOGIES, INC.
Ziptronix, Inc.
Zyvex Labs, LLC
aTyr Pharma, Inc.
adaptiveARC, Inc.
bioTheranostics, Inc.
eNow, Inc.
iBio, Inc.
k-Space Associates, Inc.
kSep Systems, LLC
nLIGHT, Inc.
nanoComposix, Inc.
3M Innovative Properties Company
646840 Alberta Ltd.
AAC Technologies Pte. Ltd.
ABB AB
ABB Research Ltd.
ABB Technology Ltd.
ABL IP Holding LLC
AC International Inc.
ACACIA RESEARCH GROUP LLC
ACUCELA INC.
ADASA INC.
ADVANCED INNOVATION CENTER LLC
AGFA-GEVAERT N.V.
ALSTOM Technology Ltd
AMERICAN BIO ENERGY CONVERTING CORP.
APPLIED MATERIALS ISRAEL LTD.
ASM IP HOLDING B.V.
ASM IP Holdings LLC
ASML Netherlands B.V.
AT&T Corporation
ATI Technologies ULC
ATOMERA INCORPORATED
AZ Electronic Materials (Luxembourg) S.A.R.L.
AbbVie Inc.
Abbott Cardiovascular Systems Inc.
Abbott Molecular Inc.
Abbott Point of Care Inc.
Access Business Group International LLC
AccuRay Corporation
Acer Incorporated
Achushnet Company
Adaptive Biotechnologies Corp.
Adeka Corporation
Adobe Systems Incorporated
Advanced Aqua Group
Aerosol Dynamics Inc.
AgroFresh Inc.
Alcatel Lucent
Algenol Biotech LLC
Alpha and Omega Semiconductor Incorporated
Altex Technologies Corporation
Amberwave Inc.
American Science and Technology Corporation
Amgen Fremont Inc.
Amgen Inc.
Andritz Inc.
Aneeve LLC
Anelva Corporation
Angstron Materials
Anlinx
Antaya Technologies Corporation
Apple Inc.
Applied Genetic Technologies Corporation
Archer Daniels Midland Company
Arkema Inc.
Arkival Technology Corp.
Armageddon Energy Inc.
Asahi Kasei Kabushiki Kaisha
Atleisure LLC
Atomic Energy Council-Institute of Nuclear Energy Research
Atotech Deutschland GmbH
Atrium Medical Corporation
Avago Technologies General IP (Singapore) Pte. Ltd.
Avant Garde Therapeutics & Technologies LLC
Avery Dennison Corporation
Avtaec Limited
B.G. Negev Technologies and Applications Ltd.
BAE Systems Information and Electronic Systems Integration Inc.
BASF
BASF Coatings GmbH
BASF Corporation 
BASF Enzymes LLC
BASF Plant Science GmbH
BASF SE
BAXALTA INCORPORATED
BCE Inc.
BERKEN ENERGY LLC
BLANC VINEYARDS L.L.C.
BOLTIER R&D
BP Corporation North America Inc.
BRIGHTLEAF TECHNOLOGIES INC.
BROADCOM CORPORATION
BROOKLYN QUANTUM WORKS
BTPATENT LLC
BTU International
Baker Hughes Incorporated
Bakersun
Banpil Photonics
Basell Polyolefine GmbH
Battelle Memorial Institute
Bausch & Lomb Incorporated
Baxter Healthcare SA
Baxter International Inc.
Bayer Cropscience AG
Bayer Materialscience LLC
Bell Helicopter Textron Inc.
Beryllium Discovery Corp.
Bi-Modal Corporation
Bigelow Aerospace
Biocon Limited
Bioneer Corporation
Biosense Webster (Israel) Ltd.
Biotta LLC
Bitrode Corporation
BlackBerry Limited
Bluestar Silicones France
Boehringer Ingelheim International GmbH
Boehringer Ingelheim Vetmedica GmbH
Bosch Energy Storage Solutions LLC
Boston Scientific Neuromodulation Corporation
Brewer Science Inc.
Bridgestone Corporation
Bristol-Myers Squibb Company
Brookhaven Science Associates LLC 
Brother International Corporation
Brother Kogyo Kabushiki Kaisha
Butamax(TM) Advanced Biofuels LLC
CAMBRIDGE ENTERPRISE LIMITED
CARBO Ceramics Inc.
CERION LLC
CLEARSIGN COMBUSTION CORPORATION
CNH Industrial America LLC
COOK MEDICAL TECHNOLOGIES LLC
COVERIS FLEXIBLES US LLC
CP KELCO APS
CPC International Inc.
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement
Cabot Corporation
Cadtrak Corporation
Callahan Cellular L.L.C.
Canon Kabushiki Kaisha
Carl Zeiss Meditec AG
Carl Zeiss Microscopy GmbH
Cbrite Inc.
Cedar Ridge Research
Celanese Corporation
Celanese International Corporation
Centre de Recherche Industrielle du Quebec
Certain-teed Corporation
Cetac Technologies Inc.
Cetus Corporation
Chevron Oronitz Company LLC
Chevron Phillips Chemical Company LP
Chevron U.S.A. Inc.
Child Laboratories Inc.
Chipmos Technologies Inc.
Chiron Corporation
Cima NanoTech Israel Ltd.
Cleanvantage LLC
Coactive Drive Corporation
Colgate-Palmolive Company
Coloplast A/S
Columbia Insurance Company
Commonwealth Scientific & Industrial Research Organization
Community Power Corporation
Conoco Inc.
ConocoPhillips Company
Conversant Intellectual Property Management Inc.
Cook Biotech Incorporated
CoolEarth Solar
Cooper Technologies Company
Corporation for National Research Initiatives
Covidien LP
Crestovo LLC
Cristal USA Inc.
Crystal Solar Inc.
Crystal Solar Incorporated
Crystalplex Corporation
Custom Electronics Inc.
Cymatics Laboratories Corp.
Cypress Semiconductor Corp.
D-Wave Systems Inc.
DECA Technologies Inc.
DEKA Products Limited Partnership
DIC Corporation
DISCOVERYBIOMED INC.
DPx Holdings B.V.
DSP Group LTD.
Dana Corporation
Danisco US Inc.
Delavau LLC
Dell Software Inc.
Denso Corporation
Deployable Space Systems
Dexerials Corporation
