Two Blades Foundation,2blades.org/
CoolEarth Solar,coolearthsolar.com/
Cool Planet Energy Systems,coolplanet.com/
Cooper Technologies Company,coopertechnologies.net/
Coriant Advanced Technology,coriant.com/
Cornell Research Foundation,cornell.edu/research/
KT Corporation,corp.kt.com/eng/
Dentsply International,corporate.dentsplysirona.com/en.html
ExxonMobil Upstream Research Company,corporate.exxonmobil.com/
ExxonMobil Research and Engineering Company,corporate.exxonmobil.com/en/energy/research-and-development
Ford Global Technologies,corporate.ford.com/innovation.html
PPG Industries Ohio,corporate.ppg.com/Home.aspx
Courtagen Life Sciences,courtagen.com/
COVERIS FLEXIBLES US LLC,coveris.com/
Chevron Phillips Chemical Company LP,cpchem.com/
CP KELCO APS,cpkelco.com/
CP Kelco U.S.,cpkelco.com/
Community Power Corporation,cpwrfcu.org/
Cedar Ridge Research,cr-res.com/
Cree,cree.com/
Crestovo LLC,crestovo.com/
Centre de Recherche Industrielle du Quebec,criq.qc.ca/fr/
Cristal USA Inc.,cristal.com/
Bayer Cropscience AG,cropscience.bayer.com/
Crossbar,crossbar-inc.com/en/
Cross Match Technologies,crossmatch.com/
Crystalplex Corporation,crystalplex.com/
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,csem.ch/
Commonwealth Scientific & Industrial Research Organization,csiro.au/
CUMMINS FILTRATION IP,cumminsfiltration.com/
Cura Vac,curavac.com/
Custom Electronics Inc.,customelec.com/#!
CYBERCITY 3D,cybercity3d.com/
CyboEnergy,cyboenergy.com/
Cypress Semiconductor Corp.,cypress.com/
Daikin Industries,daikin.com/
Dana-Farber Cancer Institute,dana-farber.org/
Dana Corporation,dana.com/
Danisco US Inc.,danisco.com/food-beverages/
Daylight Solutions,daylightsolutions.com/
Da Yu Enterprises,dayuenterprises.com/
DECA Technologies Inc.,decatechnologies.com/
Deep Science,deepscience.ai/
DEKA Products Limited Partnership,dekaresearch.com/
Delavau LLC,delavaufood.com/
Delphi Technologies,delphi.com/new-delphi-technologies
Delta Electronics,deltaww.com/
Great American Duck Races,demingduckrace.com/
Denso Corporation,denso.com/global/en/
DePuy Synthes Products,depuysynthes.com/
Dermazone Solutions,dermazone.com/
Dexerials Corporation,dexerials.jp/en/
GE Healthcare Dharmacon,dharmacon.horizondiscovery.com/
DHPC TECHNOLOGIES,dhpctech.com/
Dialight Corporation,dialight.com/
Dialogic Corporation,dialogic.com/
DIC Corporation,dictionary.com/
DiscoveRx Corporation,discoverx.com/home
DISCOVERYBIOMED INC.,discoverybiomed.com/
SAMSUNG DISPLAY CO.,displaysolutions.samsung.com/
Dolby Laboratories Licensing Corporation,dolby.com/us/en/professional/licensing.html
Domtar Paper Company,domtar.com/en
Dow Global Technologies Inc.,dow.com/en-us
Dow Technology Investments LLC,dow.com/en-us
Rohm and Haas Chemicals LLC,dow.com/en-us
Rohm and Haas Company,dow.com/en-us
Dow Corning Corporation,dow.com/en-us/dow-corning-integration
Dow AgroSciences LLC,dowagro.com/en-us/
Rohm and Haas Electronic Materials LLC,dowelectronicmaterials.com/
The Charles Stark Draper Laboratory,draper.com/
Dresser-Rand Company,dresser-rand.com/
Dr. Reddy's Laboratories Ltd.,drreddys.com/
DSP Group LTD.,dspg.com/
Deployable Space Systems,dss-space.com/
E. I. du Pont de Nemours and Company,dupont.com/
E. I. du Pont de Nemours and Company duPont Displays Inc,dupont.com/
E.I. du Pont de Nemours and Company,dupont.com/
Pioneer Hi Bred International Inc,dupont.com/corporate-functions/our-company/businesses/pioneer.html
Pioneer Hi-Bred,dupont.com/corporate-functions/our-company/businesses/pioneer.html
Pioneer Hi-Bred International,dupont.com/corporate-functions/our-company/businesses/pioneer.html
D-Wave Systems Inc.,dwavesys.com/
Dymax Corporation,dymax.com/
Dynamic Solutions Worldwide,dynatrap.com/
Easel Biotechnologies,easelbio.com/
The Eastern Co.,easterncompany.com/
Eastman Chemical Company,eastman.com/Pages/Home.aspx
Solutia Inc.,eastman.com/Pages/solutia.aspx
Eaton Corporation,eaton.com/us/en-us.html
Echogen Power Systems,echogen.com/
EchoStar Technologies LLC,echostar.com/
Ecolab Inc.,ecolab.com/
Nalco Company,ecolab.com/nalco-water
ECOSYNTHETIX LTD.,ecosynthetix.com/
Ecovative Design,ecovativedesign.com/
SolarLego Inc.,education.lego.com/en-us/products/lego-solar-panel/9667
Egenera,egenera.com/
E Ink Corporation,eink.com/
Eisai Co.,eisai.com/index.html
Express Imaging Systems,eiscallcenter.com/
ElectraTherm,electratherm.com/
Electrix,electrixillumination.com/
Electrovaya Inc.,electrovaya.com/
Element One,elementonescreens.com/
Elenion Technologies,elenion.com/
Elwha LLC,elwha.org/
Em-Tech LLC,em-techinc.com/
EMC Corporation,emcins.com/
EMD Technologies Inc.,emd-technologies.com/
Empire Technology Development LLC,empirelabauto.com/index.html
Lumenco,en.lumenco.ca/
EPCOS AG,en.tdk-electronics.tdk.com/
Energen,energen.com/
Energysolutions,energysolutions.com/
Quallion LLC,enersys.com/default.aspx?langType=1033
OPTERRA ENERGY SERVICES,engieservices.us/
Enginuity Worldwide,enginuityww.webstarts.com/
Englewood Lab,englewoodlab.com/
ENI S.p.A.,eni.com/en_IT/home.page
ENI Technology,eni.com/en_IT/innovation.page
eNow,enowenergy.com/
Ensyn Renewables,ensyn.com/
Entech Solar,entechsolutions.us/
Entegris,entegris.com/
CAMBRIDGE ENTERPRISE LIMITED,enterprise.cam.ac.uk/
InVisage Technologies,envisagenow.com/
Envisionit LLC,envisionit.com/
Envision Solar International,envisionsolar.com/
BASF Enzymes LLC,enzymes.basf.com/
Epizyme,epizyme.com/
ESCAPE THERAPEUTICS,escapetherapeutics.com/
Esolar,esolar.solar/
Ethicon Endo-Surgery,ethicon.com/
Evri,everi.com/
Evernote Corporation,evernote.com/
Everspin Technologies,everspin.com/
Evoqua Water Technologies LLC,evoqua.com/
Electronic Warfare Associates,ewa.com/
Extech/Exterior Technologies,extechinc.com/
ExxonMobil Chemical Patents Inc.,exxonmobilchemical.com/en
Faurecia Interior Systems,faurecia.com/en
Federal Signal Corporation,federalsignal.com/
FEI Company,fei.com/careers/
Ferro Corporation,ferro.com/
Fike Corporation,fike.com/
Fina Technology,finatg.com/
Finisar Corporation,finisar.com/
First Solar,firstsolar.com/
Flextronics AP,flex.com/
FLIR Systems,flir.com/
Floadia Corporation,floadia.com/
FLOW CONTROL LLC.,flowcontrol.com/
Fluidigm Corporation,fluidigm.com/
Forest Concepts,forestconcepts.com/
Formula Plastics,formulaplastics.com/
Hon Hai Precision Industry Co.,foxconn.com/
FPInnovations,fpinnovations.ca/
FRONT EDGE TECHNOLOGY INC.,frontedgetechnology.com/
Fuji Electric Co.,fujielectric.com/
FUJIFILM Corporation,fujifilm.com/
FUJIFILM Dimatix,fujifilmusa.com/products/industrial_inkjet_printheads/index.html
Fujitsu Limited,fujitsu.com/global/
Fujitsu Semiconductor Limited,fujitsu.com/jp/group/fsl/en/
Fuji Xerox Co.,fujixerox.com/eng
FULL CIRCLE BIOCHAR,fullcirclebiochar.com/
Furukawa Electric Co.,furukawa.co.jp/en/
fybr,fybr.com/
Galectin Therapeutics,galectintherapeutics.com/
Galemed Corporation,galemed.com/manager/eService/RC08-all_0225.pdf
GangaGen,gangagen.com/
Gardner-Gibson,gardner-gibson.com/
Garland Industries,garlandco.com/
Bi-Modal Corporation,gartner.com/it-glossary/bimodal
Gas Technology Institute,gastechnology.org/
GCP Applied Technologies Inc.,gcpat.com/en
GENERAL ELECTRIC COMPANY,ge.com/
GED Intergrated Solution,gedusa.com/
GE Healthcare Limited,gehealthcare.com/
Gemex Systems,gemex.com/
Genentech,gene.com/
Genesco Inc.,genescopartners.com/
Genisphere,genisphere.com/
Genomatica,genomatica.com/
Genomic Health,genomichealth.com/
GIGA SOLAR FPC,gigasolarpv.com/
Gilead Sciences,gilead.com/
Gilead Connecticut,gileadcs.org/
GlassPoint Solar,glasspoint.com/
GLIKNIK INC.,gliknik.com/
Sumitomo Electric Industries,global-sei.com/
Canon Kabushiki Kaisha,global.canon/en/index.html
Seiko Epson Corporation,global.epson.com/
TDK Corporation,global.tdk.com/corp/en/index.htm
Global Eagle Entertainment Inc.,globaleagle.com/
Global Filtration Systems,globalfiltrationsystems.com/
GLOBALFOUNDRIES Inc.,globalfoundries.com/
Global OLED Technology LLC,globaloledtech.com/
Globus Medical,globusmedical.com/
Glucan Biorenewables LLC,glucanbio.com/
GLYCON LLC,glycon.com/
GENERAL MOTORS LLC,gm.com/
GOAL ZERO LLC,goalzero.com/
GOJO Industries,gojo.com/
GOLBA LLC,golba.com/
Tanaka Kikinzoku Kogyo K.K.,gold.tanaka.co.jp/english/
G.D.O. Inc,golfdigest.co.jp/
The Goodyear Tire & Rubber Company,goodyear.com/
GOSOLARLIFE,gosolarlife.com/
GENCO SCIENCES LLC,gpen.com/
Gracenote,gracenote.com/
Grain Processing Corporation,grainprocessing.com/
Gram Power,grampower.com/about-us/
Grandis Inc.,grandis.com/
Graphene Technologies,graphenetechnologies.com/
Green Extraction Technologies,greenextractiontechnologiesllc.com/
Green Solar Transportation,greensolartransport.com/
Greyrock Energy,greyrock.com/
GROW ENERGY,growenergy.org/
GlaxoSmithKline Biologicals,gsk.com/
Global Solar Water Power Systems,gswps.com/
Gtech Corporation,gtech.co.uk/
GTherm,gtherm.net/
Guardian Industries,guardian.com/en/index.html
SunEdison Semiconductor Limited,gw-semi.com/
Hadasit Medical Research Services & Development Company Ltd.,hadasit.co.il/
Halliburton Energy Services,halliburton.com/en-US/default.html
HAMAMATSU PHOTONICS K.K.,hamamatsu.com/jp/en/index.html
HARMAN INTERNATIONAL INDUSTRIES,harman.com/
Harris Corporation,harris.com/
H R D CORPORATION,haywardrec.org/
Headway Technologies,headway.com/
Heat Seal LLC,heatsealco.com/
Heidelberger Druckmaschinen AG,heidelberg.com/
Heliae Development,heliae.com/
Helios Focus LLC,heliosfocus.com/
Henkel AG & Co. KGaA,henkel.com/
Heraeus Precious Metals North America Conshohocken LLC,heraeus.com/us/group/home/home.aspx
HGST NETHERLANDS B.V.,hgst.com/
HIQ SOLAR,hiqsolar.com/
Hitachi High-Technologies Corporation,hitachi-hightech.com/global/
Hitachi,hitachi.com/
Hitachi Metals,hitachimetals.com/
The Henry M. Jackson Foundation for the Advancement of Military Medicine,hjf.org/
HM3 Energy,hm3energy.com/
HNO Greenfuels,hnogreenfuels.com/
Hollingsworth & Vose Company,hollingsworth-vose.com/
Hollywood Trucks,hollywoodtrucksllc.com/
GEN-PROBE INCORPORATED,hologic.com/
Honda Motor Co.,honda.com/
Honeywell International Inc.,honeywell.com/
Hosiden Corporation,hosiden.com/
HOWARD INDUSTRIES,howard-ind.com/
Hoya Corporation,hoyavision.com/
Hewlett Packard Enterprise Development LP,hpe.com/us/en/home.html
HRL Laboratories,hrl.com/
HTC Corporation,htc.com/us/
HTS,htstechnologies.com/
Narsys,narsystech.com/
Texas Instruments Deutschland GmbH,ti.com/
King Electric Vehicles Inc.,king-electric.com/
FutureWei Technologies,huawei.com/us/
Humanetics Corporation,humaneticsatd.com/
Hunt Energy Enterprises LLC,huntenergyenterprises.com/
Hunter Douglas Inc.,hunterdouglas.com/
Diamond Innovations,hyperionmt.com/
Hysitron Incorporated,hysitron.com/
Hyundai Motor Company,hyundaiusa.com/
The Iams Company,iams.com/
iBio,ibioinc.com/
International Business Machines Corporation,ibm.com/us-en/
IDEALAB,idealab.com/
Ideal Power Inc.,idealpower.com/
IDEA TREE,ideatreepromos.com/
IDEX Health & Science LLC,idex-hs.com/
Integrated Device Technology,idt.com/
Integrated DNA Technologies,idtdna.com/
Ignis Innovation,ignisinnovation.com/
Innovation Hammer,ihammerllc.com/
II-VI Incorporated,ii-vi.com/
NanoOncology,iinano.org/nanooncology
Intellectual Keystone Technology LLC,ikt.us.com/
IMDS Corporation,imds-ohio.com
IMEC,imec.org/
Immunolight,immunolight.com/
Imperial Innovations Limited,imperialinnovations.co.uk/
IMRA America,imra.com/
B.G. Negev Technologies and Applications Ltd.,in.bgu.ac.il/en/bgn/Pages/default.aspx
Inaeris Technologies,inaeristech.com/
iNanoBio LLC,inanobio.com/
Incept LLC,inceptresults.com/
Incyte Holdings Corporation,incyte.com/
American Air Liquide,industry.airliquide.us/
INENTEC INC.,inentec.com/
Infineon Technologies AG,infineon.com/
Infineon Technologies Americas Corp.,infineon.com/
Infinera Corporation,infinera.com/
INFINEUM INTERNATIONAL LIMITED,infineum.com/
Innolux Corporation,innolux.com/Pages/EN/Index_EN.html
Inphenix,inphenix.com/
Instron Corporation ,instron.us/en-us?region=North%20America
Greatbatch Ltd.,integer.net/
Intel Corporation,intel.com/content/us/en/homepage.html
Interez,interez.sk/
Interface Performance Materials,interfacematerials.com/products/
Intermolecular,intermolecular.com/
INTEVAC,intevac.com/
Integrated Nano-Technologies,intpalladium.com/
IntriEnergy Inc.,intrienergy.com/#!
Intuitive Surgical Operations,intuitive.com/
Invensas Corporation,invensas.com/
Ziptronix,invensas.com/
Inventus Holdings,inventusholdings.com/
aTyr Pharma,investors.atyrpharma.com/
InView Technology Corporation,inview.tv/
INVISTA North America S.a.r.l.,invista.com/
Iogen Corporation,iogen.ca/
Isis Pharmaceuticals,ionispharma.com/
Ion Power Group,ionpowergroup.com/
Quest Diagnostics Investments Incorporated,ir.questdiagnostics.com/
Industrial Science & Technology Network,istninc.com/home.htm
International Technology Center,itc-inc.org/
ITN Energy Systems,itnes.com/
Industrial Technology Research Institute,itri.org.tw/eng/
Illinois Tool Works,itw.com/
Ivoclar Vivadent AG,ivoclarvivadent.com/
JOLED Inc.,j-oled.com/
JAC Products Inc.,jacproducts.com/
Janssen Biotech,janssen.com/
The Jackson Laboratory,jax.org/
J. E. WHITE,jewhites.com.au/
JFE STEEL CORPORATION,jfe-steel.co.jp/en/
Johnson & Johnson Vision Care,jjvision.com/
Johns Manville,jm.com/
JNC Corporation,jncwheels.com/
Johnson & Johnson Consumer Companies,jnj.com/healthcare-products/consumer
Johnson Controls Technology Company,johnsoncontrols.com/about-us/our-company
JSR Corporation,jsr.vccs.edu/
k-Space Associates,k-space.com/
Kajima Corporation,kajimausa.com/
Kala Pharmaceuticals,kalarx.com/
Kamtec,kamtec.co.uk/
Kaneka Corporation,kaneka.co.jp/en/
Kansai Paint Co.,kansai.com/
Kashiv Pharma,kashivpharma.com/
Kemira OY,kemira.com/
Kerr Corporation,kerrdental.com/
Kia Motors Corporation ,kia.com/us/en/home
Fenwal,kidde-fenwal.com/
Kimberly-Clark Worldwide,kimberly-clark.com/en-us
Kinestral Technologies,kinestral.com/
Kinetech Power Company LLC,kinetechpower.com/
KINO LLC,kinolorber.com/
Kiverdi,kiverdi.com/
KJ BIOSCIENCES LLC,kjbiosciences.com/
KLA-Tencor Corporation,kla-tencor.com/
Kobe Steel,kobelco.co.jp/english/
Koch Biological Solutions,kochbiologicalsolutions.com/
Eastman Kodak Company,kodak.com/us/en/corp/default.htm
Kodak Alaris Inc.,kodakalaris.com/
KOLO TECHNOLOGIES,kolomedical.com/
KOLON INDUSTRIES,kolonindustries.com/eng/main.asp
Kraton Polymers U.S. LLC,kraton.com/
KR Design House,krdesignhouse.com/
Kronos International Inc,kronos.com/
K.S. INTERNATIONAL CO.,ksandco.com/
KUBIX INC.,kuebix.com/
Kulite Semiconductor Products,kulite.com/
Korea Kumho Petrochemical Co.,kumhopetrochemical.lookchem.com/
Kureha Corporation,kureha.co.jp/en/
KYOCERA DOCUMENT SOLUTIONS INC.,kyoceradocumentsolutions.com/
Lake Lite,lakelite.com/
Lam Research Corporation,lamresearch.com/
Novellus Systems,lamresearch.com/
Landauer,landauer.com/
Los Alamos National Security,lansllc.com/
Laserline Mfg.,laserlinemfg.com/
LATITUDE PHARMACEUTICALS INC.,latitudepharma.com/
Lattice Semiconductor Corporation,latticesemi.com/
Leap Frogg,leapfrog.com/en-us/home
Lehigh Technologies,lehightechnologies.com/
DRS Network & Imaging Systems,leonardodrs.com/
Lextar Electronics Corp.,lextar.com/?sn=32&lang=en-US
LG Electronics Inc.,lg.com/us
LG Display Co.,lgdisplay.com/eng/main
LGS Innovations LLC,lgsinnovations.com/
LG NANOH2O,lgwatersolutions.com/en/main
Longhorn Vaccines and Diagnostics,lhnvd.com/news#!
LifeNet Health,lifenethealth.org/
Linne Industries LLC,linneindustries.com/
Lintec Corporation,lintec-global.com/
Lion Copolymer Geismar,lionelastomers.com/
LIQUID X PRINTED METALS,liquid-x.com/
Liquidia Technologies,liquidia.com/
Litron Laboratories Limited,litronlabs.com/
Little Kids,littlekidsinc.com/
Cyberonics,livanova.cyberonics.com/
Livetv,livetv.sx/enx/
Lawrence Livermore National Security,llnsllc.com/
Lockheed Martin Corporation,lockheedmartin.com/en-us/index.html
Locus Energy,locusenergy.com/
Lof Solar Corporation,lofsolar.com/
Lovelace Respiratory Research Institute,lrri.org/
