3M Innovative Properties Company,3m.com/
Celanese Corporation,celanese.com/
Celanese International Corporation,celanese.com/
CELLTRION,celltrion.com/en/main.do
Saint-Gobain Ceramics & Plastics,ceramicmaterials.saint-gobain.com/
Certain-teed Corporation,certainteed.com/
Chemtreat,chemtreat.com/
Chevron U.S.A. Inc.,chevron.com/
Christie Digital Systems,christiedigital.com/en-us/
Cisco Technology,cisco.com/
CNH Industrial America LLC,cnhindustrial.com/en-us/Pages/Homepage.aspx
Colgate-Palmolive Company,colgatepalmolive.com/en-us
Conoco Inc.,conoco.com/
Coriant Advanced Technology,coriant.com/
Cornell Research Foundation,cornell.edu/research/
KT Corporation,corp.kt.com/eng/
Dentsply International,corporate.dentsplysirona.com/en.html
ExxonMobil Upstream Research Company,corporate.exxonmobil.com/
PPG Industries Ohio,corporate.ppg.com/Home.aspx
Chevron Phillips Chemical Company LP,cpchem.com/
CP Kelco U.S.,cpkelco.com/
CP KELCO APS,cpkelco.com/
Cree,cree.com/
Commonwealth Scientific & Industrial Research Organization,csiro.au/
Cypress Semiconductor Corp.,cypress.com/
Dana-Farber Cancer Institute,dana-farber.org/
Dana Corporation,dana.com/
Danisco US Inc.,danisco.com/food-beverages/
DEKA Products Limited Partnership,dekaresearch.com/
Delphi Technologies,delphi.com/new-delphi-technologies
Denso Corporation,denso.com/global/en/
DePuy Synthes Products,depuysynthes.com/
Dialight Corporation,dialight.com/
Dolby Laboratories Licensing Corporation,dolby.com/us/en/professional/licensing.html
Domtar Paper Company,domtar.com/en
Rohm and Haas Chemicals LLC,dow.com/en-us
Rohm and Haas Company,dow.com/en-us
Dow Technology Investments LLC,dow.com/en-us
Dow Global Technologies Inc.,dow.com/en-us
Dow Corning Corporation,dow.com/en-us/dow-corning-integration
Dresser-Rand Company,dresser-rand.com/
Dr. Reddy's Laboratories Ltd.,drreddys.com/
DSP Group LTD.,dspg.com/
E. I. du Pont de Nemours and Company duPont Displays Inc,dupont.com/
Eastman Chemical Company,eastman.com/Pages/Home.aspx
Eaton Corporation,eaton.com/us/en-us.html
EchoStar Technologies LLC,echostar.com/
Ecolab Inc.,ecolab.com/
Nalco Company,ecolab.com/nalco-water
E Ink Corporation,eink.com/
Eisai Co.,eisai.com/index.html
Electrix,electrixillumination.com/
EMC Corporation,emcins.com/
Entegris,entegris.com/
Evernote Corporation,evernote.com/
Evoqua Water Technologies LLC,evoqua.com/
Federal Signal Corporation,federalsignal.com/
FEI Company,fei.com/careers/
Finisar Corporation,finisar.com/
First Solar,firstsolar.com/
FLIR Systems,flir.com/
Fluidigm Corporation,fluidigm.com/
Fujitsu Limited,fujitsu.com/global/
Fuji Xerox Co.,fujixerox.com/eng
GCP Applied Technologies Inc.,gcpat.com/en
GENERAL ELECTRIC COMPANY,ge.com/
GE Healthcare Limited,gehealthcare.com/
Genentech,gene.com/
Genomic Health,genomichealth.com/
Gilead Sciences,gilead.com/
Sumitomo Electric Industries,global-sei.com/
Global Eagle Entertainment Inc.,globaleagle.com/
GLOBALFOUNDRIES Inc.,globalfoundries.com/
Globus Medical,globusmedical.com/
GENERAL MOTORS LLC,gm.com/
GOJO Industries,gojo.com/
The Goodyear Tire & Rubber Company,goodyear.com/
GENCO SCIENCES LLC,gpen.com/
Gtech Corporation,gtech.co.uk/
Guardian Industries,guardian.com/en/index.html
SunEdison Semiconductor Limited,gw-semi.com/
HARMAN INTERNATIONAL INDUSTRIES,harman.com/
H R D CORPORATION,haywardrec.org/
Heidelberger Druckmaschinen AG,heidelberg.com/
Henkel AG & Co. KGaA,henkel.com/
Heraeus Precious Metals North America Conshohocken LLC,heraeus.com/us/group/home/home.aspx
HGST NETHERLANDS B.V.,hgst.com/
Hitachi High-Technologies Corporation,hitachi-hightech.com/global/
Hitachi,hitachi.com/
The Henry M. Jackson Foundation for the Advancement of Military Medicine,hjf.org/
GEN-PROBE INCORPORATED,hologic.com/
Honda Motor Co.,honda.com/
Honeywell International Inc.,honeywell.com/
Hoya Corporation,hoyavision.com/
Hewlett Packard Enterprise Development LP,hpe.com/us/en/home.html
Texas Instruments Deutschland GmbH,http://www.ti.com/
International Business Machines Corporation,ibm.com/us-en/
Integrated Device Technology,idt.com/
Integrated DNA Technologies,idtdna.com/
II-VI Incorporated,ii-vi.com/
IMEC,imec.org/
American Air Liquide,industry.airliquide.us/
Infineon Technologies Americas Corp.,infineon.com/
Infineon Technologies AG,infineon.com/
Infinera Corporation,infinera.com/
Innolux Corporation,innolux.com/Pages/EN/Index_EN.html
Instron Corporation ,instron.us/en-us?region=North%20America
Greatbatch Ltd.,integer.net/
Intel Corporation,intel.com/content/us/en/homepage.html
Intuitive Surgical Operations,intuitive.com/
Invensas Corporation,invensas.com/
INVISTA North America S.a.r.l.,invista.com/
Isis Pharmaceuticals,ionispharma.com/
Quest Diagnostics Investments Incorporated,ir.questdiagnostics.com/
Illinois Tool Works,itw.com/
Ivoclar Vivadent AG,ivoclarvivadent.com/
JAC Products Inc.,jacproducts.com/
Janssen Biotech,janssen.com/
Johnson & Johnson Vision Care,jjvision.com/
Johns Manville,jm.com/
Johnson & Johnson Consumer Companies,jnj.com/healthcare-products/consumer
Johnson Controls Technology Company,johnsoncontrols.com/about-us/our-company
Kemira OY,kemira.com/
Kia Motors Corporation ,kia.com/us/en/home
Fenwal,kidde-fenwal.com/
KLA-Tencor Corporation,kla-tencor.com/
Eastman Kodak Company,kodak.com/us/en/corp/default.htm
Kodak Alaris Inc.,kodakalaris.com/
Lake Lite,lakelite.com/
Novellus Systems,lamresearch.com/
Lam Research Corporation,lamresearch.com/
Los Alamos National Security,lansllc.com/
Lattice Semiconductor Corporation,latticesemi.com/
DRS Network & Imaging Systems,leonardodrs.com/
LG Electronics Inc.,lg.com/us
LG Display Co.,lgdisplay.com/eng/main
LGS Innovations LLC,lgsinnovations.com/
LifeNet Health,lifenethealth.org/
Cyberonics,livanova.cyberonics.com/
Lawrence Livermore National Security,llnsllc.com/
Lockheed Martin Corporation,lockheedmartin.com/en-us/index.html
Lumentum Operations LLC,lumentum.com/en
MATERIALS ANALYSIS TECHNOLOGY (US) CORP.,ma-tek.com/about_us.php?act=rd
Macronix International Co.,macronix.com/en-us/Pages/default.aspx
Magna International Inc.,magna.com/
MAHLE International GmbH,mahle.com/
Markel Corporation,markelcorp.com/
Masimo Semiconductor,masimosemiconductor.com/masimo-semiconductor/
Johnson Matthey PLC,matthey.com/
Maxim Integrated Products,maximintegrated.com/en.html
MAXLINEAR,maxlinear.com/
MONTEREY RESEARCH,mbari.org/
Medgenics Medical Israel Ltd.,medgenics.com/
Mediatek Inc.,mediatek.com/
MERCK SHARP & DOHME CORP.,merck.com/index.html
Meso Scale Technologies,mesoscale.com/
Michelin Recherche et Technique S.A.,michelin.com/eng
Microchip Technology Incorporated,microchip.com/
Micron Technology,micron.com/
Microsemi SoC Corporation,microsemi.com/
Milliken & Company,milliken.com/
Mitsubishi Electric Corporation,mitsubishielectric.com/
Momentive Performance Materials GmbH,momentive.com/en-US/
Momentive Performance Materials Inc.,momentive.com/en-US/
Monsanto Technology LLC,monsanto.com/products/product-stewardship/technology-use-guides/
Murata Manufacturing Co.,murata.com/
Musco Corporation,musco.com/
Nationwide Children's Hospital,nationwidechildrens.org/
NEC Corporation,nec.com/
NeoPhotonics Corporation,neophotonics.com/
NetApp,netapp.com/us/index.aspx
ABB Research Ltd.,new.abb.com
ABB Technology Ltd.,new.abb.com/about/technology
Nikon Corporation,nikon.com/
Nissan Motor Co.,nissan-global.com/EN/
Nissan North America,nissanusa.com/about/corporate-information.html
Nokia Corporation,nokia.com/
Nordson Corporation,nordson.com/
Northrop Grumman Systems Corporation,northropgrumman.com/
NCC Nano,novacentrix.com/
NOVA Chemicals (International) S.A.,novachem.com/pages/home.aspx
Novartis AG,novartis.com/
Novozymes A/S,novozymes.com/
Novozymes Inc.,novozymes.com/
Novozymes North America,novozymes.com/en/north-america
GE-Hitachi Nuclear Energy Americas LLC,nuclear.gepower.com/
Pentair Thermal Management LLC,nventthermal.com/
Nvidia Corporation,nvidia.com/page/home.html
Freescale Semiconductor,nxp.com/
NXP USA,nxp.com/
O.B.I. Inc.,obi.org/
Oculus VR,oculus.com/
OFS Fitel,ofsoptics.com/
Oki Data Corporation,oki.com/us/printing/
Olympus NDT,olympus-ims.com/en/
Omron Corporation,omron.com/
Fairchild Semiconductor Corporation,onsemi.com/
Ormat Technologies Inc.,ormat.com/en/home/a/main/
Ortho-Clinical Diagnostics,orthoclinicaldiagnostics.com/
OTSUKA PHARMACEUTICAL CO.,otsuka.co.jp/en/
OmniVision Technologies,ovt.com/
PACCAR Inc,paccar.com/
Parker-Hannifin Corporation,parker.com/
Pegatron Corporation,pegatroncorp.com/
Pfizer Inc.,pfizer.com/
The Procter & Gamble Company,pg.com/
UOP LLC,phoenix.edu/
Karsten Manufacturing Corporation,ping.com/
Pixar,pixar.com/
Saint-Gobain Performance Plastics Corporation,plastics.saint-gobain.com/
POET Research,poet.com/scotland
PolyOne Corporation,polyone.com/
Power Integrations,power.com/
PQ CORPORATION,pqcorp.com/
PTC Therapeutics,ptcbio.com/
Qiagen GmbH,qiagen.com/us/
RF Micro Devices,qorvo.com/
QUALCOMM Incorporated,qualcomm.com/
Dell Software Inc.,quest.com
Raytheon Company,raytheon.com/
Raytheon BBN Technologies Corp.,raytheon.com/ourcompany/bbn
Red Hat,redhat.com/en
Regeneron Pharmaceuticals,regeneron.com/
Renesas Electronics Corporation,renesas.com/en-us/
RES USA,res-usa.com/
Riverbed Technology,riverbed.com/
R.J. Reynolds Tobacco Company,rjrt.com/
Roche Molecular Systems,roche.com/
Rockwell Collins,rockwellcollins.com/
Rolls-Royce PLC,rolls-royce.com/
Rolls-Royce North American Technologies,rolls-royce.com/country-sites/northamerica.aspx
SABIC GLOBAL TECHNOLOGIES B.V.,sabic.com/en
SAINT-GOBAIN ABRASIFS,saint-gobain-abrasives.com/en-us
Samsung Electronics,samsung.com/us/
Sandia Corporation,sandia.gov
SanDisk Technologies LLC,sandisk.com/
SanDisk 3D LLC,sandisk.com/home/ssd/ultra-3d-ssd
Sanofi,sanofi.com/en/
Genzyme Corporation,sanofigenzyme.com/
S. C. Johnson & Son,scjohnson.com/
S.C. Johnson & Son,scjohnson.com/
Seagate Technology LLC,seagate.com/
Sumitomo Electric Device Innovations,sedi.co.jp/?version=en
ServiceNow,servicenow.com/
Shell Oil Company,shell.us/
BAXALTA INCORPORATED,shire.com/
Pansonic Corporation,shop.panasonic.com/
Sick AG,sick.com/de/en/
SICPA Holding SA,sicpa.com/
Sony Interactive Entertainment America LLC,sie.com/en/index.html
Siemens Corporation,siemens.com/global/en/home.html
Siemens Aktiengesellschaft ,siemens.com/global/en/home.html
Siemens Energy,siemens.com/global/en/home/products/energy.html
Sigma-Aldrich Co. LLC,sigmaaldrich.com/
Bluestar Silicones France,silicones.elkem.com/
St. Jude Medical,sjm.com/
SK Telecom Co.,sktelecom.com/index.html
Smith & Nephew,smith-nephew.com/
Solvay Specialty Polymers USA,solvay.com/en
Sony Corporation,sony.com/
Siliconware Precision Industries Co.,spil.com.tw/
SRG Global,srgglobal.com/
Silicon Storage Technology,sst.com/
STMicroelectronics Limited,st.com/content/st_com/en.html
STMicroelectronics S.A.,st.com/content/st_com/en.html
St. Microelectronics Inc.,st.com/content/st_com/en.html
Star Technology and Research,star-tech-inc.com/
Stora Enso Oyj,storaenso.com/
Stratasys,stratasys.com/
Sun Chemical Corporation,sunchemical.com/
SunEdison,sunedison.com/
SunRun,sunrun.com/
Sunrun South LLC,sunrun.com/
Southwest Research Institute,swri.org/
SUMITOMO WIRING SYSTEMS,sws.co.jp/en/
Osram Sylvania Inc.,sylvania.com/
Symantec Corporation,symantec.com/
Syngenta Participations AG,syngenta.com/
SYNTHOMER USA LLC,synthomer.com/
Takeda Pharmaceutical Company Limited,takeda.com/
TMC Corporation,tcm.com/
Tata Consultancy Services Limited,tcs.com/
Tyco Electronics Corporation,te.com/usa-en/home.html
TEKNOR APEX COMPANY,teknorapex.com/
Tokyo Electron Limited,tel.com/
Teradata US,teradata.com/About-Us
Thermo Finnigan,thermofisher.com/us/en/home.html
Thermo Fisher Scientific Inc.,thermofisher.com/us/en/home.html
Thorlabs Quantum Electronics,thorlabs.com/
Thorlabs,thorlabs.com/
THYSSENKRUPP INDUSTRIAL SOLUTIONS GMBH,thyssenkrupp.com/en/
Texas Instruments Incorporated,ti.com/
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,tno.nl/en/
Toray Industries Inc. ,toray.com/
Toyota Motor Engineering & Manufacturing North America,toyota.com/usa/careers/index.html
Transitions Optical,transitions.com/en-us/
TRIDONIC GMBH & CO KG,tridonic.com/com/en/
UCB Pharma S.A.,ucb.com/
UChicago Argonne,uchicagoargonnellc.org/
United Microelectronics Corp.,umc.com/
Kao Corporation,us.army.mil/
Siemens Medical Solutions USA,usa.healthcare.siemens.com/
UT-Battelle,ut-battelle.org/
United Technologies Corporation,utc.com/
Hamilton Sundstrand Corporation,utcaerospacesystems.com/
Abbott Cardiovascular Systems Inc.,vascular.abbott/us/homepage.html
Veracode,veracode.com/
VIASAT INC.,viasat.com/
WAFERTECH,wafertech.com/en/careers/
Watlow Electric Manufacturing Company,watlow.com/
Winbond Electronics Corp.,winbond.com/
Hewlett-Packard Development Company,www8.hp.com/us/en/home.html
22nd Century Limited,xxiicentury.com/
Yamaha Corporation,yamaha-motor.com/
Carl Zeiss Meditec AG,zeiss.com/meditec-ag/home.html
Carl Zeiss Microscopy GmbH,zeiss.com/microscopy/int/home.html
Zeno Semiconductor Inc,zenosemi.com/
Zoetis Services LLC,zoetis.com/products-services/
