id,organization,thes_types,hand_edited
41,"Adynxx, Inc.",Corporate,
42,"Aerogen, Inc.",Corporate,
43,"Agena Bioscience, Inc.",Corporate,
44,"Agency for Science, Technology and Research",Government,
45,"Agienic, Inc.",Corporate,
46,"Agilent Technologies, Inc.",Corporate,
47,"Agrigenetics, Inc.",Corporate,
48,"Agrivida, Inc.",Corporate,
49,"Ajinomoto Althea, Inc.",Corporate,
50,"Akron Polymer Systems, Inc.",Corporate,
51,"Alcon Research, Ltd.",Corporate,
52,"Alcotek, Inc.",Corporate,
53,"Alencon Acquisition Co., LLC.",Corporate,
54,"Alexion Pharmaceuticals, Inc.",Corporate,
55,"All Power Labs, Inc.",Corporate,
56,"Allertein Therapeutics, LLC",Corporate,
57,"Alliance for Sustainable Energy, LLC",Corporate,
58,"Allison Transmission, Inc.",Corporate,
59,"Alnylam Pharmaceuticals, Inc.",Corporate,
60,"AltaRock Energy, Inc.",Corporate,
61,"Altek, L.L.C.",Government,
62,"Altivera, LLC",Corporate,
63,"Amazon Technologies, Inc.",Corporate,
64,"Ambature, Inc.",Corporate,
65,"American Air Liquide, Inc.",Corporate,
66,"American Piledriving Equipment, Inc.",Corporate,
67,"Amicus Therapeutics, Inc.",Corporate,
68,"Amkor Technology, Inc.",Corporate,
69,"Ampio Pharmaceuticals, Inc.",Corporate,
70,"Amprius, Inc.",Corporate,
71,"Amtech Systems, LLC",Corporate,
72,"Analog Devices, Inc.",Corporate,
73,"Angaza Design, Inc.",Corporate,
74,"Angiotech Pharmaceuticals (US), Inc.",Corporate,
75,"Annam Biosciences, LLC",Corporate,
76,"Ansun Biopharma, Inc.",Corporate,
77,"Anterios, Inc.",Corporate,
78,"Applied Biosystems, LLC",Corporate,
79,"Applied Materials, Inc.",Corporate,
80,"Applied Membrane Technologies, Inc.",Corporate,
81,"Applied NanoStructured Solutions, LLC",Corporate,
82,"Applied Nanostructures, Inc.",Corporate,
83,"Applied Optoelectronics, Inc.",Corporate,
84,"Arch Biosurgery, Inc.",Corporate,
85,"Arcturus Therapeutics, Inc.",Corporate,
86,"Areesys Technologies, Inc.",Corporate,
87,"Arisaph Pharmaceuticals, Inc.",Corporate,
88,"Arizona Board of Regents, a body coporate acting for and on behalf of Arizona State University",Academic,
89,"Arizona Board of Regents, a body corporate of the State of Arizona, Acting for and on behalf of Arizona State University",Academic,
90,"Arpin Renewable Energy, LLC",Corporate,
91,"Arrowhead Center, Inc.",Corporate,
92,"Aseptia, Inc.",Corporate,
93,"Astech, Inc.",Corporate,
94,"AstenJohnson, Inc.",Corporate,
95,"Astex Pharmaceuticals, Inc.",Corporate,
96,"Atom Nanoelectronics, Inc",Corporate,
97,"Atonometrics, Inc.",Corporate,
98,"Aurora Alage, Inc.",Corporate,
99,"Aurrion, Inc.",Corporate,
100,"Aushon Biosystems, Inc.",Corporate,
101,"Auterra, Inc.",Corporate,
102,"Authenex, Inc.",Corporate,
103,"Autonomic Materials, Inc.",Corporate,
104,"Avalanche Technology, Inc.",Corporate,
105,"Avantor Performance Materials, Inc.",Corporate,
106,"Avello Bioenery, Inc.",Corporate,
107,"Avertech, Inc.",Corporate,
108,"Avon Products, Inc.",Corporate,
109,"AxioMx, Inc.",Corporate,
110,"BHA Technologies, Inc.",Corporate,
111,"BIND Therapeutics, Inc.",Corporate,
112,"BOE Technology Group Co., Ltd.",Corporate,
113,"Babcock Power Services, Inc.",Corporate,
114,"Battelle Energy Alliance, LLC",Corporate,
115,"Bechtel Hydrocarbon Technology Solutions, Inc.",Corporate,
116,"Becton, Dickinson and Company",Corporate,
117,"Beijing BOE Display Technology Co., Ltd.",Corporate,
118,"Bemis Company, Inc.",Corporate,
119,"Bend Research, Inc.",Corporate,
120,"Bestway, Inc.",Corporate,
121,"Big Belly Solar, Inc.",Corporate,
122,"Bio-Rad Laboratories, Inc.",Corporate,
123,"BioNano Genomics, Inc.",Corporate,
124,"Biocare Medical, LLC",Corporate,
125,"Biogenic Reagents Ventures, LLC",Corporate,
126,"Biological Dynamics, Inc.",Corporate,
127,"Biosphere Medical, Inc.",Corporate,
128,"Biotechnology Foundation, Inc.",Corporate,
129,"Biozoom Technologies, Inc.",Corporate,
130,"Bird-B-Gone, Inc.",Corporate,
131,"Bisco, Inc.",Corporate,
132,"Blue Sea Systems, Inc.",Corporate,
133,"Board of Regents of the Nevada System of Higher Education, on behalf of the University of Nevada, Reno",Academic,
134,"Board of Regents, University of Texas System",Academic,
135,"Board of Trustees of Michigan State University and Vahid Sendijarevice, joint ownership",Academic,
136,"Bostik, Inc.",Corporate,
137,"Boston Scientific Scimed, Inc.",Corporate,
138,"Braun Intertec Geothermal, LLC",Corporate,
139,"Bridgelux, Inc.",Corporate,
140,"Brightfield Transportation Solutions, Inc.",Corporate,
141,"Bruin Biometrics, LLC",Corporate,
142,"Buckman Laboratories International, Inc.",Corporate,
143,"Building Envelope Innovations, LLC",Corporate,
144,"CA, Inc.",Corporate,
145,"CAPAT, LLC",Corporate,
146,"CELLTRION, INC.",Corporate,
147,"CI4 Technologies, Inc.",Corporate,
148,"CMC ICOS BIOLOGICS, INC.",Corporate,
149,"CP Kelco U.S., Inc.",Corporate,
150,"CPT IP Holdings, LLC",Corporate,
151,"CUMMINS FILTRATION IP, INC.",Corporate,
152,"CYBERCITY 3D, INC",Corporate,
153,"CYKL Technology, Inc.",Corporate,
154,"Cadence Design Systems, Inc.",Corporate,
155,"Calient Technologies, Inc.",Corporate,
156,"California Industrial Facilities Resources, INC.",Corporate,
157,"Calysta, Inc.",Corporate,
158,"Cambridge Electronics, Inc.",Corporate,
159,"Canon Nanotechnologies, Inc.",Corporate,
160,"Canon U.S. Life Sciences, Inc.",Corporate,
161,"Canon, Inc. ",Corporate,
162,"Carbon Research & Development, Co.",Government,
163,"Carbon3D, Inc.",Corporate,
164,"Cardiac Pacemakers, Inc.",Corporate,
165,"Cardiva Medical, Inc.",Corporate,
166,"Carestream Health, Inc.",Corporate,
167,"Cargill, Incorporated",Government,
168,"Caribou Biosciences, Inc.",Corporate,
169,"Carver Scientific, Inc.",Corporate,
170,"Casio Computer Co., Ltd.",Corporate,
171,"Cavium, Inc.",Corporate,
172,"CellPrint IP Holding, LLC",Corporate,
173,"Cellular Research, Inc.",Corporate,
174,"Ceramatec, Inc.",Corporate,
175,"Cheil Industries, Inc.",Corporate,
176,"Chemtreat, Inc.",Corporate,
177,"Christie Digital Systems, Inc.",Corporate,
178,"Chromalox, Inc.",Corporate,
179,"Cisco Technology, Inc.",Corporate,
180,"Claret Medical, Inc.",Corporate,
181,"Clean Energy Labs, LLC",Corporate,
182,"Clean Power Research, L.L.C.",Government,
183,"Clearside Biomedical, Inc.",Corporate,
184,"Codexis, Inc.",Corporate,
185,"Coleman Cable, LLC",Corporate,
186,"Colorado Seminary, which owns and operates the University of Denver",Academic,
187,"Combined Energies, LLC",Corporate,
188,"Complete Genomics, Inc.",Corporate,
189,"Component Re-Engineering Company, Inc.",Corporate,
190,"Conexant Systems, Inc.",Corporate,
191,"Confluence Energy, LLC",Corporate,
192,"Continental Manufacturing, LLC",Corporate,
193,"Cool Planet Energy Systems, Inc.",Corporate,
194,"Copernicus Therapeutics, Inc.",Corporate,
195,"Coriant Advanced Technology, LLC",Corporate,
196,"Cornell Research Foundation, Inc.",Corporate,
197,"Courtagen Life Sciences, Inc.",Corporate,
198,"Cree, Inc.",Corporate,
199,"Crepaco, Inc.",Corporate,
200,"Cross Match Technologies, Inc.",Corporate,
201,"Crossbar, Inc.",Corporate,
202,"Cura Vac, Inc.",Corporate,
203,"Cyberonics, Inc.",Corporate,
204,"CyboEnergy, Inc.",Corporate,
205,"DCG SYSTEMS, INC.",Corporate,
206,"DHPC TECHNOLOGIES, INC.",Corporate,
207,"DNA Twopointo, Inc.",Corporate,
208,"DNA2.0, INC.",Corporate,
209,"DPD, Inc.",Corporate,
210,"DRS Network & Imaging Systems, LLC",Corporate,
211,"Da Yu Enterprises, L.L.C.",Corporate,1
212,"Daikin Industries, Ltd.",Corporate,
213,"Dana-Farber Cancer Institute, Inc.",Corporate,
214,"Daylight Solutions, Inc.",Corporate,
215,"DePuy Synthes Products, LLC",Corporate,
216,"Deep Science, LLC",Corporate,
217,"Deep Well Power, LLC",Corporate,
218,"Delphi Technologies, Inc.",Corporate,
219,"Delta Electronics, Inc.",Corporate,
220,"Dentsply International, Inc.",Corporate,
221,"Dermazone Solutions, Inc.",Corporate,
222,"Diamicron, Inc.",Corporate,
223,"Diamond Innovations, Inc.",Corporate,
224,"Digital Wind Systems, Inc.",Corporate,
225,"Disney Enterprises, Inc.",Corporate,
226,"Dogwood Pharmaceuticals, Inc.",Corporate,
227,"Domtar Paper Company, LLC",Corporate,
228,"Dongbu Hitek Co., Ltd.",Corporate,
229,"Dynamic Solutions Worldwide, LLC",Corporate,
230,"ENERGY ENGINEERING SYSTEMS, LLC",Corporate,
231,"ENI Technology, Inc.",Corporate,
232,"ESCAPE THERAPEUTICS, INC.",Corporate,
233,"Easel Biotechnologies, LLC",Corporate,
234,"Echogen Power Systems, LLC",Corporate,
235,"Ecovative Design, LLC",Corporate,
236,"Egenera, Inc.",Corporate,
237,"Eisai Co., Ltd.",Corporate,
238,"Elcriton, Inc.",Corporate,
239,"ElectraTherm, Inc.",Corporate,
240,"Electrix, Inc.",Corporate,
241,"Electronic Warfare Associates, Inc.",Corporate,
242,"Element One, Inc.",Corporate,
243,"Elenion Technologies, LLC",Corporate,
244,"Energen, Inc.",Corporate,
245,"Energysolutions, LLC",Corporate,
246,"Enginuity Worldwide, LLC",Corporate,
247,"Englewood Lab, LLC",Corporate,
248,"Ensyn Renewables, Inc.",Corporate,
249,"Entech Solar, Inc.",Corporate,
250,"Entegris, Inc.",Corporate,
251,"Envision Solar International, Inc.",Corporate,
252,"Epizyme, Inc.",Corporate,
253,"Esolar, Inc.",Corporate,
254,"Ethicon Endo-Surgery, Inc.",Corporate,
255,"Ethox Chemicals, Inc.",Corporate,
256,"Everspin Technologies, Inc.",Corporate,
257,"Evri, Inc.",Corporate,
258,"Express Imaging Systems, LLC",Corporate,
259,"Extech/Exterior Technologies, Inc.",Corporate,
260,"FHT, Inc.",Corporate,
261,"FLIR Systems, Inc.",Corporate,
262,"FUJIFILM Dimatix, Inc.",Corporate,
263,"FULL CIRCLE BIOCHAR, INC.",Corporate,
264,"Facebook, Inc.",Corporate,
265,"Faurecia Interior Systems, Inc.",Corporate,
266,"Fenwal, Inc.",Corporate,
267,"Fezza Family Properties, LLC",Corporate,
268,"Fina Technology, Inc.",Corporate,
269,"First Solar, Inc.",Corporate,
270,"Flextronics AP, LLC",Corporate,
271,"Florida State University Research Foundation, Inc",Academic,1
272,"Ford Global Technologies, Inc.",Corporate,
273,"Forest Concepts, LLC",Corporate,
274,"Foret Plasma Labs, LLC",Corporate,
275,"Formula Plastics, Inc.",Corporate,
276,"Freescale Semiconductor, Inc.",Corporate,
277,"Fuji Electric Co., Ltd.",Corporate,
278,"Fuji Xerox Co., Ltd.",Corporate,
279,"Furukawa Electric Co., Ltd.",Corporate,
280,"FutureWei Technologies, Inc.",Corporate,
281,"GE Healthcare Dharmacon, Inc.",Corporate,
282,"GED Intergrated Solution, Inc.",Corporate,
283,"GEOTHERMAL ENERGY PROJECT, LLC",Corporate,
284,"GM Global Technology Operations, Inc.",Corporate,
285,"GOJO Industries, Inc.",Corporate,
286,"GOSOLARLIFE, LLC",Corporate,
287,"GR Intellectual Reserve, LLC",Corporate,
288,"GROW ENERGY, INC.",Corporate,
289,"GTherm, Inc.",Corporate,
290,"Galectin Therapeutics, Inc.",Corporate,
291,"GangaGen, Inc.",Corporate,
292,"Gardner-Gibson, Inc.",Corporate,
293,"Garland Industries, Inc.",Corporate,
294,"Gemex Systems, Inc.",Corporate,
295,"Genentech, Inc.",Corporate,
296,"General Engineering & Research, L.L.C.",Academic,1
297,"Genia Technologies, Inc.",Corporate,
298,"Genisphere, LLC",Corporate,
299,"Genomatica, Inc.",Corporate,
300,"Genomic Health, Inc.",Corporate,
301,"GeoSynFuels, LLC",Corporate,
302,"George Mason Research Foundation, Inc.",Corporate,
303,"Gilead Biologics, Inc.",Corporate,
304,"Gilead Connecticut, Inc.",Corporate,
305,"Gilead Sciences, Inc.",Corporate,
306,"GlassPoint Solar, Inc.",Corporate,
307,"GlaxoSmithKline Biologicals, S.A.",Corporate,
308,"Global Solar Water Power Systems, Inc.",Corporate,
309,"Globus Medical, Inc.",Corporate,
310,"Gracenote, Inc.",Corporate,
311,"Gram Power, Inc.",Corporate,
312,"Graphene Technologies, Inc.",Corporate,
313,"Great American Duck Races, Inc.",Corporate,
314,"Green Box Batteries, LLC.",Corporate,
315,"Green Solar Transportation, LLC",Corporate,
316,"Greyrock Energy, Inc.",Corporate,
317,"Guardian Industries, Inc.",Corporate,
318,"HARMAN INTERNATIONAL INDUSTRIES, INC.",Corporate,
319,"HIQ SOLAR, INC.",Corporate,
320,"HM3 Energy, Inc.",Corporate,
321,"HNO Greenfuels, Inc.",Corporate,
322,"HRL Laboratories, LLC",Corporate,
323,"HTS, Inc.",Corporate,
324,"Haier US Appliance Solutions, Inc.",Corporate,
325,"Halliburton Energy Services, Inc.",Corporate,
326,"Handstand Innovations, LLC",Corporate,
327,"Handylab, Inc.",Corporate,
328,"Headway Technologies, Inc.",Corporate,
329,"Heliae Development, LLC",Corporate,
330,"Her Majesty the Queen in right of Canada, as represented by the Minister of Agriculture",Government,
331,"Hewlett-Packard Development Company, L.P.",Corporate,
332,"Hitachi Metals, Ltd.",Corporate,
333,"Hitachi, Ltd.",Corporate,
334,"Hollywood Trucks, LLC",Corporate,
335,"Hon Hai Precision Industry Co., Ltd.",Corporate,
336,"Honda Motor Co., Ltd.",Corporate,
337,"IBC Pharmaceuticals, Inc.",Corporate,
338,"IDEA TREE, LLC",Corporate,
339,"III HOLDINGS 1, LLC",Corporate,
340,"IMRA America, Inc.",Corporate,
341,"INTEVAC, INC.",Corporate,
342,"ITN Energy Systems, Inc.",Corporate,
343,"Ibis Biosciences, Inc.",Corporate,
344,"Ignis Innovation, Inc.",Corporate,
345,"Illinois Tool Works, Inc.",Corporate,
346,"Immunolight, LLC",Corporate,
347,"Immunopath Profile, Inc.",Corporate,
348,"InVisage Technologies, Inc.",Corporate,
349,"Inaeris Technologies, LLC",Corporate,
350,"Industrial Origami, Inc.",Corporate,
351,"Industrial Science & Technology Network, Inc.",Corporate,
352,"Industrial Solar Heating Systems, LLC",Corporate,
353,"Innovalight, Inc.",Corporate,
354,"Innovation Hammer, LLC",Corporate,
355,"Inphenix, Inc.",Corporate,
356,"Integrated DNA Technologies, Inc.",Corporate,
357,"Integrated Device Technology, Inc.",Corporate,
358,"Integrated Nano-Technologies, LLC",Corporate,
359,"Integrated Solar Technology, LLC",Corporate,
360,"Interez, Inc.",Corporate,
361,"Interface Performance Materials, Inc.",Corporate,
362,"Intermolecular, Inc.",Corporate,
363,"Intrexon CEU, Inc.",Corporate,
364,"Intuitive Surgical Operations, Inc.",Corporate,
365,"Inventus Holdings, LLC",Corporate,
366,"Ion Power Group, LLC",Corporate,
367,"Iowa State University Research Foundation, Inc. ",Academic,1
368,"Isis Pharmaceuticals, Inc.",Corporate,
369,"J. E. WHITE, LLC",Corporate,
370,"Janssen Biotech, Inc.",Corporate,
371,"Johnson & Johnson Consumer Companies, Inc.",Corporate,
372,"Johnson & Johnson Vision Care, Inc.",Corporate,
373,"Joule Unlimited Technologies, Inc.",Corporate,
374,"K.S. INTERNATIONAL CO., LTD.",Corporate,
375,"KAI Pharmaceuticals, Inc.",Corporate,
376,"KOLO TECHNOLOGIES, INC.",Corporate,
377,"KOLON INDUSTRIES, INC.",Corporate,
378,"KR Design House, Inc.",Corporate,
379,"Kala Pharmaceuticals, Inc.",Corporate,
380,"Kamtec, LLC",Corporate,
381,"Kansai Paint Co., Ltd.",Corporate,
382,"Kashiv Pharma, LLC",Corporate,
383,"Katholieke Universiteit Leuven, KU Leuven R&D",Academic,
384,"Kinestral Technologies, Inc.",Corporate,
385,"Kiverdi, Inc.",Corporate,
386,"Kobe Steel, Limited",Corporate,
387,"Koch Biological Solutions, LLC",Corporate,
388,"Korea Kumho Petrochemical Co., Ltd.",Corporate,
389,"Kulite Semiconductor Products, Inc",Corporate,
390,"LAVA ENERGY SYSTEMS, INC.",Corporate,
391,"LG Bionano, LLC",Corporate,
392,"LG Display Co., Ltd.",Corporate,
393,"LG NANOH2O, INC.",Corporate,
394,"LIQUID X PRINTED METALS, INC.",Corporate,
395,"LUCERA LABS, INC.",Corporate,
396,"Lake Lite, Inc.",Corporate,
397,"Landauer, Inc.",Corporate,
398,"Laserline Mfg., Inc.",Corporate,
399,"Lawrence Livermore National Security, LLC",Corporate,
400,"Leap Frogg, LLC",Corporate,
401,"Lehigh Technologies, LLC",Corporate,
402,"Lion Copolymer Geismar, LLC",Corporate,
403,"Liquidia Technologies, Inc.",Corporate,
404,"Little Kids, Inc.",Corporate,
405,"Livetv, LLC",Corporate,
406,"Locus Energy, LLC",Corporate,
407,"Longhorn Vaccines and Diagnostics, LLC",Corporate,
408,"Los Alamos National Security, LLC",Corporate,
409,"Lumenco, LLC",Corporate,
410,"Lux Bio Group, Inc.",Corporate,
411,"Lyotropic Therapeutics, Inc.",Corporate,
412,"MANUFACTURING RESOURCES INTERNATIONAL, INC.",Corporate,
413,"MAXLINEAR, INC.",Corporate,
414,"MBC Ventures, Inc.",Corporate,
415,"MCI, Inc.",Corporate,
416,"MEDport, Inc.",Corporate,
417,"MICROMIDAS, INC.",Corporate,
418,"MICROSOFT TECHNOLOGY LICENSING, LLC",Corporate,
419,"MIETAMARK GENETICS, INC.",Corporate,
420,"MONTEREY RESEARCH, LLC",Corporate,
421,"Ma-West, Inc.",Corporate,
422,"Macronix International Co., Ltd.",Corporate,
423,"Magnachip Semiconductor, Ltd.",Corporate,
424,"Magnolia Optical Technologies, Inc.",Corporate,
425,"Magnolia Solar, Inc.",Corporate,
426,"Magnolia Solar, Inc.University of Miami",Corporate,?
427,"Mallinckrodt, Inc.",Corporate,
428,"Manta Instruments, Inc.",Corporate,
429,"Marine Polymer Technologies, Inc.",Corporate,
430,"Masimo Semiconductor, Inc.",Corporate,
431,"Materia, Inc.",Corporate,
432,"Matrix Genetics, LLC",Corporate,
433,"Matrix Odyssey, LLC",Corporate,
434,"Mattson Technology, Inc.",Corporate,
435,"Maxout Renewables, Inc.",Corporate,
436,"McAlister Technologies, LLC",Corporate,
437,"McElroy Manufacturing, Inc.",Corporate,
438,"Medical Diagnostic Laboratories, LLC",Corporate,
439,"Medtronic Vascular, Inc.",Corporate,
440,"Meso Scale Technologies, LLC.",Corporate,
441,"Metabolix, Inc.",Corporate,
442,"Meyer Tool, Inc.",Corporate,
443,"Micro Cooling Concepts, Inc.",Corporate,
444,"MicroContinuum, Inc.",Corporate,
445,"MicroLink Devices, Inc.",Corporate,
446,"Microchips Biotech, Inc.",Corporate,
447,"Micron Technology, Inc.",Corporate,
448,"Microsurge, Inc.",Corporate,
449,"Midori USA, Inc.",Corporate,
450,"Midrex Technologies, Inc.",Corporate,
451,"Minebea Co., Ltd.",Corporate,
452,"MirTech, Inc.",Corporate,
453,"Mission Product Holdings, Inc.",Corporate,
454,"Mitsubishi Polyester Film, LLC",Corporate,
455,"Molecular Imprints, Inc.",Corporate,
456,"Molecular Rebar Design, LLC",Corporate,
457,"MonoSol, LLC",Corporate,
458,"Morpho, Inc.",Corporate,
459,"Moxtek, Inc.",Corporate,
460,"Mumetel, LLC",Corporate,
461,"Murata Manufacturing Co., Ltd.",Corporate,
462,"NANO CELL SYSTEMS, INC.",Corporate,
463,"NANOPHTHALMICS, LLC",Corporate,
464,"NCC Nano, LLC",Corporate,
465,"NGK Spark Plug Co., Ltd.",Corporate,
466,"NLT TECHNOLOGIES, LTD.",Corporate,
467,"NXP USA, INC.",Corporate,
468,"NXP, B.V.",Government,
469,"NanoLab, Inc.",Corporate,
470,"NanoMech, Inc.",Corporate,
471,"NanoOncology, Inc.",Corporate,
472,"NanoTech Lubricants, LLC",Corporate,
473,"Nanoco Technologies, Ltd.",Corporate,
474,"Nanocopocia, LLC",Corporate,
475,"Nanoholdings, LLC",Corporate,
476,"Nanomix, Inc.",Corporate,
477,"Nanoquantum Sciences, Inc.",Corporate,
478,"Nanoridge Materials, Inc.",Corporate,
479,"Nanospectra Biosciences, Inc.",Corporate,
480,"Nanosys, Inc.",Corporate,
481,"Nanotech Biomachines, Inc.",Corporate,
482,"Nanotek Instruments, Inc.",Corporate,
483,"Nant Holdings IP, LLC",Corporate,
484,"Nantero, Inc.",Corporate,
485,"Narsys, LLC",Corporate,
486,"Nationwide Children's Hospital, Inc.",Corporate,
487,"NetApp, Inc.",Corporate,
488,"NeuMoDx Molecular, Inc.",Corporate,
489,"Neumedicines, Inc.",Corporate,
490,"Neural Signals, Inc.",Corporate,
491,"Neutronic Perpetual Innovations, LLC",Corporate,
492,"New England Biolabs, Inc.",Corporate,
493,"New Technology Ventures, Inc.",Corporate,
494,"Newlans, Inc.",Corporate,
495,"Nexcom Technology, Inc.",Corporate,
496,"Nippon Shokubai Co., Ltd.",Corporate,
497,"Nissan Motor Co., Ltd.",Corporate,
498,"Nissan North America, Inc.",Corporate,
499,"Nokomis, Inc.",Corporate,
500,"Nordic Technologies, Inc.",Corporate,
501,"Northwest Biotherapeutics, Inc.",Corporate,
502,"Nova Technologies, Inc.",Corporate,
503,"NovaSolix, Inc.",Corporate,
504,"Novellus Systems, Inc.",Corporate,
505,"Novon, Inc.",Corporate,
506,"Novozymes North America, Inc.",Corporate,
507,"Novus Technology, Incorporated",Corporate,
508,"NuOrtho Surgical, Inc.",Corporate,
509,"OAS Design Group, Inc.",Corporate,
510,"OFS Fitel, LLC",Corporate,
511,"OPTERRA ENERGY SERVICES, INC.",Corporate,
512,"OSI Optoelectronics, Inc.",Corporate,
513,"OTSUKA PHARMACEUTICAL CO., LTD.",Corporate,
514,"Oceanit Laboratories, Inc.",Corporate,
515,"Oculus VR, LLC",Corporate,
516,"Ojai Retinal Technology, LLC",Corporate,
517,"OmniVision Technologies, Inc.",Corporate,
518,"Opel Solar, Inc.",Corporate,
519,"OrbusNeich Medical, Inc.",Corporate,
520,"Ormet Circuits, Inc.",Corporate,
521,"Ortho-Clinical Diagnostics, Inc.",Corporate,
522,"Ostendo Technologies, Inc.",Corporate,
523,"Ovonic Battery Company, Inc.",Corporate,
524,"PAX Scientific, Inc.",Corporate,
525,"PDF Solutions, Inc.",Corporate,
526,"PELLION TECHNOLOGIES, INC.",Corporate,
527,"PLYCEM USA, INC.",Corporate,
528,"PNM, Inc.",Corporate,
529,"POET Research, Inc",Corporate,
530,"POSiFA MICROSYSTEMS, INC.",Corporate,
531,"PPG Industries Ohio, Inc.",Corporate,
532,"PTC Therapeutics, Inc.",Corporate,
533,"Pacific Biosciences of California, Inc.",Corporate,
534,"Pacific Light Technologies, Corp.",Corporate,
535,"Panasonic Intellectual Property Management Co., Ltd.",Corporate,
536,"Paratek Pharmaceuticals, Inc.",Corporate,
537,"Pardev, LLC",Corporate,
538,"Parion Sciences, Inc.",Corporate,
539,"Pendar Technologies, LLC",Corporate,
540,"Pentron Clinical Technologies, LLC",Corporate,
541,"Performance Plants, Inc.",Corporate,
542,"Perkinelmer Holdings, Inc.",Corporate,
543,"PetraSolar, Inc.",Corporate,
544,"Peytant Solutions, Inc.",Corporate,
545,"Pharmatrophix, Inc.",Corporate,
546,"Phoseon Technology, Inc.",Corporate,
547,"Photon Dynamics, Inc. ",Corporate,
548,"Piksel, Inc.",Corporate,
549,"Pinnacle Technology, Inc.",Corporate,
550,"Pioneer Energy, Inc.",Corporate,
551,"Pioneer Hi-Bred International, Inc.",Corporate,
552,"Pioneer Hi-Bred, Inc.",Corporate,
553,"Pixelligent Technologies, LLC",Corporate,
554,"Planet ATE, Inc.",Corporate,
555,"Plant Sensory Systems, LLC",Corporate,
556,"Plasma Tech Holdings, LLC",Corporate,
557,"Plasma-Therm, Inc.",Corporate,
558,"PluroGen Therapeutics, Inc.",Corporate,
559,"Poly-Med, Inc.",Corporate,
560,"PortaFire, Inc.",Corporate,
561,"Power Integrations, Inc.",Corporate,
562,"Praxair S.T. Technology, Inc.",Corporate,
563,"Praxair Technology, Inc.",Corporate,
564,"Precision Custom Coatings, LLC",Corporate,
565,"Previvo Genetics, LLC",Corporate,
566,"Princeton Optronics, Inc.",Corporate,
567,"ProNAi Therapeutics, Inc.",Corporate,
568,"Production Resource Group, L.L.C.",Corporate,
569,"Professional Compounding Centers of America, Ltd",Corporate,
570,"Propagation Research Associates, Inc.",Corporate,
571,"Prosoft International, Inc.",Corporate,
572,"Proton Power, Inc.",Corporate,
573,"Pulse Therapeutics, Inc.",Corporate,
574,"QD Vision, Inc.",Corporate,
575,"QUALCOMM MEMS Technologies, Inc.",Corporate,
576,"QUSWAMI, INC.",Corporate,
577,"Quantapore, Inc.",Corporate,
578,"Quantum Devices, Inc.",Corporate,
579,"R.A. Miller Industries, Inc.",Corporate,
580,"R.P. Scherer Technologies, Inc.",Corporate,
581,"RADIANCE SOLAR, LLC",Corporate,
582,"RES USA, LLC",Corporate,
583,"RF Micro Devices, Inc.",Corporate,
584,"Rapamycin Holdings, LLC",Corporate,
585,"Rebellion Photonics, Inc.",Corporate,
586,"Red Hat, Inc.",Corporate,
587,"Redwood Systems, Inc.",Corporate,
588,"Regeneron Pharmaceuticals, Inc.",Corporate,
589,"Relypsa, Inc.",Corporate,
590,"Renewable Algal Energy, LLC",Corporate,
591,"Renewable Power Conversion, Inc.",Corporate,
592,"Renmatix, Inc.",Corporate,
593,"Revera, Incorporated",Corporate,
