firm_name,url,about_lbl,mgmt_lbl,partners_lbl,ip_lbl,about_agg_lbl,gid
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/reports-and-presentations/statutory-accounts/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/reports-and-presentations/sustainability-reports/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/shareholder-structure/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/shareholders-meeting/annual-general-meeting/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/shareholders-meeting/extraordinary-general-meeting/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/agfa-declines-indication-of-interest-by-kanteron-systems/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/agfa-gevaert-publiceert-resultaten-voor-het-derde-kwartaal-van-2018-gereglementeerde-informatie/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/agfa-gevaert-publishes-its-third-quarter-2018-results-regulated-information/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/agfa-graphics-intends-to-close-offset-printing-plate-factory-in-branchburg-new-jersey-usa/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/agfa-graphics-plant-sluiting-van-fabriek-voor-offsetdrukplaten-in-branchburg-new-jersey-usa/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/agfa-wijst-toenaderingspoging-kanteron-systems-af/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/agfas-board-of-directors-co-opts-klaus-rohrig-aoc-as-non-executive-director/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/agfas-raad-van-bestuur-coopteert-klaus-rohrig-aoc-tot-niet-uitvoerend-bestuurder/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/openbaarmaking-over-een-transparantie-kennisgeving-norges-bank-gereglementeerde-informatie-3/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/news-item/publication-of-a-transparency-notification-norges-bank-regulated-information-3/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/press/,,,,,0,11
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/support/msds/,,,,,,
Agienic,http://agienic.com/,,,,,,
Agienic,http://agienic.com/95-corporate,,,,,0,47
Agienic,http://agienic.com/about/company,1,,,,1,47
Agienic,http://agienic.com/about/management,,1,,,1,47
Agienic,http://agienic.com/about/partners,,,1,,1,47
ALGETERNAL TECHNOLOGIES,https://algeternal.com/,1,,,,1,12
Allertein Therapeutics,https://www.allergytherapeutics.com/,,,,,,
Allertein Therapeutics,https://www.allergytherapeutics.com/about-us/how-we-create-value/,1,,,,1,58
Allertein Therapeutics,https://www.allergytherapeutics.com/about-us/mission-and-vision/,1,,,,1,58
Allertein Therapeutics,https://www.allergytherapeutics.com/about-us/our-markets/,1,,,,1,58
Allertein Therapeutics,https://www.allergytherapeutics.com/about-us/overview/,1,,,,1,58
Allertein Therapeutics,https://www.allergytherapeutics.com/careers/career-vacancies/,,,,,0,58
Allertein Therapeutics,https://www.allergytherapeutics.com/investors/corporate-governance/,,,,,0,58
Allertein Therapeutics,https://www.allergytherapeutics.com/investors/corporate-governance/board-of-directors/,,1,,,1,58
Allertein Therapeutics,https://www.allergytherapeutics.com/investors/corporate-governance/our-board-and-its-committees/,1,,,,0,58
Allison Transmission,https://allisontransmission.com/,,,,,,
Allison Transmission,https://allisontransmission.com/careers/meet-our-team,,,,,0,60
Allison Transmission,https://allisontransmission.com/careers/our-values,1,,,,1,60
Allison Transmission,https://allisontransmission.com/company,1,,,,1,60
Allison Transmission,https://allisontransmission.com/company/about,1,,,,1,60
Allison Transmission,https://allisontransmission.com/company/centennial,1,,,,1,60
Allison Transmission,https://allisontransmission.com/company/centennial/future,,,,,,
Allison Transmission,https://allisontransmission.com/company/centennial/history,1,,,,,
Allison Transmission,https://allisontransmission.com/company/centennial/today,1,,,,,
Allison Transmission,https://allisontransmission.com/company/ceo-message,,,,,0,60
Allison Transmission,https://allisontransmission.com/company/certifications,,,,,0,60
Allison Transmission,https://allisontransmission.com/company/corporate-leadership,,1,,,1,60
Allison Transmission,https://allisontransmission.com/company/corporate-responsibility,,,,,,
Allison Transmission,https://allisontransmission.com/company/corporate-responsibility/causes-we-support,,,,,,
Allison Transmission,https://allisontransmission.com/company/corporate-responsibility/sustainability,,,,,,
Allison Transmission,https://allisontransmission.com/company/history-heritage,1,,,,0,60
Allison Transmission,https://allisontransmission.com/company/media-gallery,,,,,0,60
Allison Transmission,https://allisontransmission.com/company/news-article/!details/2018/11/26/agrale-mercedes-choose-allison-transmissions-for-brazil-buses,,,,,,
Allison Transmission,https://allisontransmission.com/company/newsroom,,,,,0,60
Allison Transmission,https://www.allisontransmission.com/company/news-article/!details/2016/03/02/allison-transmission-launches-redesigned-mobile-app,,,,,,
Altex Technologies Corporation,http://altextech.com/,,,,,,
Altex Technologies Corporation,http://altextech.com/about.html,1,,,,1,64
Amberwave Inc.,http://amberwave.com/,,,,,,
Amberwave Inc.,http://amberwave.com/about.html,1,,,,1,67
Amgen Fremont Inc.,https://www.amgen.com/,,,,,,
Amgen Fremont Inc.,https://www.amgen.com/about/,1,,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/about/awards-and-accolades/,1,,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/about/how-we-operate/,1,,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/about/how-we-operate/business-ethics-and-compliance/,1,,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/about/how-we-operate/corporate-governance/,1,,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/about/how-we-operate/policies-practices-and-disclosures/,1,,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/about/how-we-operate/policies-practices-and-disclosures/transparency-disclosures/donation-and-grant-recipients/,,,,,,
Amgen Fremont Inc.,https://www.amgen.com/about/leadership/,,1,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/about/mission-and-values/,1,,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/about/quick-facts/,1,,,,1,70
Amgen Fremont Inc.,https://www.amgen.com/media/featured-news/2018/11/how-amgen-svp-of-hr-lori-johnston-manages-the-companys-most-important-asset/,,,,,0,70
Amgen Fremont Inc.,https://www.amgen.com/partners/,,,1,,,
Amgen Fremont Inc.,https://www.amgen.com/science/clinical-trials/about-clinical-trials/,,,,,0,70
Amicus Therapeutics,https://www.amicusrx.com/,,,,,,
Amicus Therapeutics,https://www.amicusrx.com/about-us/,1,,,,1,71
Amicus Therapeutics,https://www.amicusrx.com/about-us/belief-statement/,1,,,,1,71
Amicus Therapeutics,https://www.amicusrx.com/about-us/contact-us/,,,,,0,71
Amicus Therapeutics,https://www.amicusrx.com/about-us/contact-us/global-locations/,,,,,0,71
Amicus Therapeutics,https://www.amicusrx.com/about-us/leadership/,,1,,,1,71
Amicus Therapeutics,https://www.amicusrx.com/about-us/message-from-bio/,,,,,0,71
Amicus Therapeutics,https://www.amicusrx.com/about-us/welcome-from-chairman-ceo/,,,,,0,71
Amicus Therapeutics,https://www.amicusrx.com/responsibility/corporate-giving/,,,,,0,71
Amtech Systems,http://amtechsystems.com/,,,,,,
Amtech Systems,http://amtechsystems.com/profile.htm,1,,,,1,74
Andritz Inc.,https://www.andritz.com/careers-en,,,,,0,76
Andritz Inc.,https://www.andritz.com/group-en,,,,,0,76
Andritz Inc.,https://www.andritz.com/group-en/about-us,1,,,,1,76
Andritz Inc.,https://www.andritz.com/group-en/about-us/andritz-worldwide,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/andritz-worldwide?location_continent=228&location_country=170&location_city=,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/andritz-worldwide?location_continent=228&location_country=172&location_city=,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/andritz-worldwide?location_continent=228&location_country=98&location_city=,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/andritz-worldwide?location_continent=66&location_country=64&location_city=,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/andritz-worldwide?location_continent=84658&location_country=84692&location_city=,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-company-boards,,1,,,1,76
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-company-boards/gr-executive-board,,1,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-company-boards/gr-supervisory-board,,1,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-compliance-startseite,1,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-compliance-startseite/gr-compliance-whistleblowing,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-history,1,,,,1,76
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-manufacturing,1,,,,1,76
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-profile-vision-strategy-goals,1,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-quality,1,,,,1,76
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-sustainability,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-sustainability/gr-economic-sustainability,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-sustainability/gr-environmental-sustainability,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/gr-sustainability/gr-social-responsibility,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/research-and-development,1,,,1,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/suppliers,,,1,,0,76
Andritz Inc.,https://www.andritz.com/group-en/about-us/suppliers/direct-material,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/suppliers/help,,,,,0,76
Andritz Inc.,https://www.andritz.com/group-en/about-us/suppliers/indirect-material,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/suppliers/portal,,,,,0,76
Andritz Inc.,https://www.andritz.com/group-en/about-us/suppliers/scoc-declaration-form,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/about-us/suppliers/terms-conditions,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/investors/corporate-bonds,,,,,0,76
Andritz Inc.,https://www.andritz.com/group-en/investors/corporate-governance,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/investors/corporate-governance/directors-dealings,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/investors/corporate-governance/disclosures-in-wiener-zeitung,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/investors/corporate-governance/notifications-stock-exchange-act,,,,,,
Andritz Inc.,https://www.andritz.com/group-en/investors/investors-downloads/company-presentation,,,,,,
Angiotech Pharmaceuticals (US),http://angiotech.com/,,,,,,
Angiotech Pharmaceuticals (US),http://angiotech.com/about,1,,,,1,79
Angiotech Pharmaceuticals (US),http://angiotech.com/about/itemlist/category/5-corporate-profile,1,,,,1,79
Angiotech Pharmaceuticals (US),http://angiotech.com/about/itemlist/category/59-come-see-us,,,,,0,79
Applied Materials,http://www.appliedmaterials.com/,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/about,1,,,,1,85
Applied Materials,http://www.appliedmaterials.com/company/about/leadership,,1,,,1,85
Applied Materials,http://www.appliedmaterials.com/company/about/our-story,1,,,,1,85
Applied Materials,http://www.appliedmaterials.com/company/applied-ventures,1,,,,0,85
Applied Materials,http://www.appliedmaterials.com/company/applied-ventures/news,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/applied-ventures/portfolio,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/applied-ventures/submissions,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/applied-ventures/team,,1,,,,
Applied Materials,http://www.appliedmaterials.com/company/careers,,,,,0,85
Applied Materials,http://www.appliedmaterials.com/company/careers/diversity,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/careers/jobs,,,,,0,85
Applied Materials,http://www.appliedmaterials.com/company/careers/university,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/careers/us-veterans,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/collaboration,,,1,,1,85
Applied Materials,http://www.appliedmaterials.com/company/collaboration/innovation-centers,,,1,,,
Applied Materials,http://www.appliedmaterials.com/company/contact,,,,,0,85
Applied Materials,http://www.appliedmaterials.com/company/contact/locations,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/corporate-responsibility,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/corporate-responsibility/community,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/corporate-responsibility/sustainability,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/investor-relations,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/investor-relations/financials,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/investor-relations/governance,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/news-media,,,,,0,85
Applied Materials,http://www.appliedmaterials.com/company/news/events,,,,,0,85
Applied Materials,http://www.appliedmaterials.com/company/news/media-center,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/news/press-releases,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/news/press-releases/2018/11/applied-materials-announces-2018-supplier-excellence-awards,,,,,,
Applied Materials,http://www.appliedmaterials.com/company/news/press-releases/2018/11/applied-materials-announces-fourth-quarter-and-fiscal-year-2018-results,,,,,,
Applied Materials,http://www.appliedmaterials.com/news/citizenship_report.html,,,,,,
Archer Daniels Midland Company,https://www.adm.com/,,,,,,
Archer Daniels Midland Company,https://www.adm.com/careers/values-vision,1,,,,1,89
Archer Daniels Midland Company,https://www.adm.com/investors/corporate-governance,,,,,0,89
Archer Daniels Midland Company,https://www.adm.com/our-company,1,,,,1,89
Archer Daniels Midland Company,https://www.adm.com/our-company/adm-facts,1,,,,1,89
Archer Daniels Midland Company,https://www.adm.com/our-company/associations,,,1,,1,89
Archer Daniels Midland Company,https://www.adm.com/our-company/community-giving,,,,,0,89
Archer Daniels Midland Company,https://www.adm.com/our-company/history,1,,,,1,89
Archer Daniels Midland Company,https://www.adm.com/our-company/procurement,1,,,,1,89
Archer Daniels Midland Company,https://www.adm.com/our-company/senior-leadership,,1,,,1,89
Archer Daniels Midland Company,https://www.adm.com/our-company/the-adm-way/code-of-conduct,,,,,0,89
Archer Daniels Midland Company,https://www.adm.com/our-company/us-political-contributions,,,,,0,89
Arkema Inc.,https://www.arkema.com/en/,,,,,,
Arkema Inc.,https://www.arkema.com/en/arkema-group/governance/executive-committee/,,1,,,1,92
Arkema Inc.,https://www.arkema.com/en/arkema-group/profile/,1,,,,1,92
Arkema Inc.,https://www.arkema.com/en/careers/working-at-arkema/career-management-/,,,,,0,92
Arkema Inc.,https://www.arkema.com/en/innovation/water-management/,,,,,0,92
Arkema Inc.,https://www.arkema.com/en/investor-relations/arkema-share/share-profile/,,,,,0,92
Arkema Inc.,https://www.arkema.com/en/investor-relations/corporate-governance/board-of-directors/,,1,,,1,92
Arkema Inc.,https://www.arkema.com/en/investor-relations/corporate-governance/compensation/,,,,,0,92
Arkema Inc.,https://www.arkema.com/en/investor-relations/corporate-governance/specialized-committees/,,,,,0,92
Arkema Inc.,https://www.arkema.com/en/social-responsibility/environmental-footprint/waste-management-reduce-recycle-reuse/,,,,,,
Arkema Inc.,https://www.arkema.com/en/social-responsibility/vision-and-strategy/,,,,,1,92
Arkema Inc.,https://www.arkema.com/en/social-responsibility/vision-and-strategy/csr-at-the-core-of-our-strategy/,,,,,,
Arkema Inc.,https://www.arkema.com/en/social-responsibility/vision-and-strategy/materiality-analysis/,,,,,1,92
Arkema Inc.,https://www.arkema.com/en/social-responsibility/vision-and-strategy/sustainable-development-goals/,,,,,,
ASML Netherlands B.V.,https://www.asml.com/asml/en/s427,,,,,,
ASML Netherlands B.V.,https://www.asml.com/company/all-our-stories/en/s223?rid=57263,,,,,0,19
ASML Netherlands B.V.,https://www.asml.com/company/company-calendar/en/s32775,,,,,0,19
ASML Netherlands B.V.,https://www.asml.com/company/faq/en/s32894,,,,,0,19
ASML Netherlands B.V.,https://www.asml.com/company/how-we-do-it/en/s277?rid=51979,1,,,,1,19
ASML Netherlands B.V.,https://www.asml.com/company/in-a-nutshell/en/s277?rid=51978,1,,,,1,19
ASML Netherlands B.V.,https://www.asml.com/company/management/en/s233,,1,,,1,19
ASML Netherlands B.V.,https://www.asml.com/company/organization/en/s277?rid=51984,1,,,,1,19
ASML Netherlands B.V.,https://www.asml.com/company/our-history/en/s277?rid=51985,1,,,,1,19
ASML Netherlands B.V.,https://www.asml.com/company/what-we-do/en/s277?rid=51981,1,,,,1,19
ASML Netherlands B.V.,https://www.asml.com/company/who-we-are/en/s277?rid=51980,1,,,,1,19
ASML Netherlands B.V.,https://www.asml.com/company/why-we-exist/en/s277?rid=51983,1,,,,1,19
ASML Netherlands B.V.,https://www.asml.com/governance/board-of-management/appointment/en/s9571?rid=9559,,,,,,
ASML Netherlands B.V.,https://www.asml.com/governance/board-of-management/composition/en/s10093?rid=9558,,1,,,,
ASML Netherlands B.V.,https://www.asml.com/governance/board-of-management/disclosure-committee/en/s9571?rid=9562,,,,,,
ASML Netherlands B.V.,https://www.asml.com/governance/board-of-management/en/s9571?rid=7335,,,,,,
ASML Netherlands B.V.,https://www.asml.com/governance/board-of-management/remuneration/en/s9571?rid=9560,,,,,,
ASML Netherlands B.V.,https://www.asml.com/governance/board-of-management/securities-holdings/en/s9571?rid=9561,,,,,,
ASML Netherlands B.V.,https://www.asml.com/governance/corporate-responsibilty/en/s9644?rid=54970,,,,,,
ASML Netherlands B.V.,https://www.asml.com/governance/corporate-structure/en/s7264?rid=9518,1,,,,,
AstenJohnson,https://www.astenjohnson.com/,,,,,,
AstenJohnson,https://www.astenjohnson.com/about/,1,,,,1,97
AstenJohnson,https://www.astenjohnson.com/about/contact/,,,,,0,97
AstenJohnson,https://www.astenjohnson.com/about/history/,1,,,,1,97
AstenJohnson,https://www.astenjohnson.com/about/leadership/,,,1,,1,97
AstenJohnson,https://www.astenjohnson.com/about/news/,,,,,0,97
AstenJohnson,https://www.astenjohnson.com/about/news/astenjohnson-asia-establishes-a-pulp-papermaking-scholarship/,,,,,0,97
AstenJohnson,https://www.astenjohnson.com/about/news/press-release-astenjohnson-announces-a-price-increase-for-paper-machine-clothing-fabrics-in-north-america-effective-november-1-2018/,,,,,0,97
AstenJohnson,https://www.astenjohnson.com/about/our-companies/,1,,,,1,97
AstenJohnson,https://www.astenjohnson.com/about/sustainability/,,,,,0,97
Atom Nanoelectronics,http://www.atomoe.com/,,,,,,
Atom Nanoelectronics,http://www.atomoe.com/about.html,1,,,,1,99
Atom Nanoelectronics,http://www.atomoe.com/team.html,,1,,,1,99
AVI BioPharma,https://www.sarepta.com/,,,,,0,25
AVI BioPharma,https://www.sarepta.com/company/board-directors,,1,,,1,25
AVI BioPharma,https://www.sarepta.com/company/locations,,,,,0,25
AVI BioPharma,https://www.sarepta.com/company/senior-leadership,,1,,,1,25
AVI BioPharma,https://www.sarepta.com/company/strategic-partnerships,,,1,,1,25
