,firm,firm_length,url,name_clnd,name_length,hit_url,hit_url_length,rank,matches,public,acquired_merged,outcome,Votes
298,"bionano genomics, inc.",16,bionanogenomics.com/,Bionano Genomics | Genome Mapping Reveals True Genome ...,57,bionanogenomics.com/,28,1,2,0,0,1,10
305,ideal power inc.,11,idealpower.com/,Ideal Power,11,idealpower.com/,26,1,2,0,0,1,10
314,"pacific biosciences of california, inc.",33,pacb.com/,Pacific Biosciences - Home - PacBio,35,pacb.com/,21,1,2,0,0,1,8
322,"cryolife, inc.",8,cryolife.com/,CryoLife - Official Site,24,cryolife.com/,25,1,1,0,0,1,11
330,"marrone bio innovations, inc.",23,marronebioinnovations.com/,Marrone Bio Innovations  BIO WITH BITE.,39,marronebioinnovations.com/,34,1,3,1,0,1,8
337,uluru inc.,5,uluruinc.info/#!,uluruinc,8,uluruinc.info/#!,28,1,1,0,0,1,7
344,"forest concepts, llc",15,forestconcepts.com/,Forest Concepts: Home,21,forestconcepts.com/,30,1,2,1,0,1,7
348,clearsign combustion corporation,20,clearsign.com/,ClearSign Combustion - Official Site,36,clearsign.com/,26,1,2,0,0,1,10
363,"ansun biopharma, inc.",15,ansunbiopharma.com/,Home - Ansun BioPharmaAnsun BioPharma,37,ansunbiopharma.com/,30,1,2,0,0,1,10
369,gliknik inc.,7,gliknik.com/,Home - Gliknik,14,gliknik.com/,23,1,1,0,0,1,10
377,heska corporation,5,heska.com/,"Accurate and reliable veterinary, point-of-care ... - Heska",59,heska.com/,22,1,1,0,0,1,8
385,"lexicon pharmaceuticals, inc.",23,lexpharma.com/,Lexicon Pharmaceuticals - NEWS,30,lexpharma.com/,25,1,2,0,0,1,10
393,"osiris therapeutics, inc.",19,osiris.com/,Osiris Therapeutics - Official Site,35,osiris.com/,22,1,2,0,0,1,10
403,"quick-med technologies, inc.",22,quickmedtech.com/,"Quick-Med Technologies, Inc. (QMDT)",35,quickmedtech.com/,29,1,3,0,0,1,10
411,"atonometrics, inc.",12,atonometrics.com/,Atonometrics | Test & Measurement for the PV Industry,53,atonometrics.com/,28,1,1,0,0,1,10
417,goal zero llc,9,goalzero.com/,Goal Zero,9,goalzero.com/,25,1,2,0,0,1,10
424,"applied nanostructures, inc.",22,appnano.com/,Appnano - Official Site,23,appnano.com/,23,1,0,0,0,1,10
429,"cavium, inc.",6,cavium.com/,Cavium - Official Site,22,cavium.com/,19,1,1,0,0,1,10
434,fluidigm corporation,8,fluidigm.com/,Fluidigm - Official Site,24,fluidigm.com/,25,1,1,0,0,1,11
440,"imra america, inc.",12,imra.com/,"IMRA America, Inc. - Official Site",34,imra.com/,21,1,2,0,0,1,9
447,"microchips biotech, inc.",18,microchipsbiotech.com/,Microchips Biotech,18,microchipsbiotech.com/,33,1,2,0,0,1,9
455,"oceanit laboratories, inc.",20,oceanit.com/,Oceanit - Official Site,23,oceanit.com/,24,1,1,0,1,1,8
463,"triple ring technologies, inc.",24,tripleringtech.com/,Triple Ring Tech - Official Site,32,tripleringtech.com/,30,1,2,0,0,1,10
469,"voxtel, inc.",6,voxtel-inc.com/,Voxtel Inc. - Official Site,27,voxtel-inc.com/,22,1,1,0,0,1,10
477,"advis, inc.",5,advis-inc.com,"Advis - Boston, MA - Inc.com",28,inc.com/profile/advis,33,3,1,0,0,0,1
483,"advis, inc.",5,advis-inc.com,Advisys - Official Site,23,advisys.com/,24,10,1,1,1,0,1
484,"biochain institute, inc.",18,biochain.com/,"BioChain Institute, Inc. | High Quality Biospecimens ...",56,biochain.com/,25,1,2,0,0,1,10
488,chemimage corporation,9,chemimage.com/,ChemImage,9,chemimage.com/,26,1,1,0,0,1,10
494,"hansen medical, inc.",14,hansenmedical.com/us/en,"Hansen Medical | Medical Robotics, Robotic Catheter",51,hansenmedical.com/us/en,30,1,2,0,0,1,10
499,"system biosciences, llc",18,systembio.com/,System Biosciences - Official Site,34,systembio.com/,26,1,2,0,0,1,10
506,"ag energy solutions, inc.",19,ag.energy/,Ag-Energy  Harvesting Residue Yield Returns,43,ag.energy/,18,1,2,0,0,1,10
513,"altarock energy, inc.",15,altarockenergy.com/,AltaRock Home - AltaRock,24,altarockenergy.com/,26,1,1,0,0,1,10
518,bitrode corporation,7,bitrode.com/,Bitrode - Official Site,23,bitrode.com/,24,1,1,0,0,1,10
524,"blue sea systems, inc.",16,bluesea.com/,Blue Sea - Official Site,24,bluesea.com/,24,1,2,0,0,1,10
540,"chromalox, inc.",9,chromalox.com/,"Chromalox, Inc. - Official Site",31,chromalox.com/,25,1,1,0,0,1,10
546,community power corporation,15,gocpc.com/,Community Power Corporation,27,gocpc.com/,21,1,2,0,0,1,10
552,crystal solar inc.,13,xtalsolar.com/,Crystal Solar,13,xtalsolar.com/,21,1,2,0,0,1,10
559,"delta electronics, inc.",17,deltaww.com/,Welcome to Delta Group,22,deltaww.com/,23,1,1,0,0,1,10
567,"echogen power systems, llc",21,echogen.com/,Echogen Power Systems - Waste Heat Recovery Power Generation,60,echogen.com/,24,1,3,0,0,1,10
575,"enow, inc.",4,enowenergy.com/,E! Entertainment - Watch Full Episodes | E! Entertainment,57,eonline.com/watch/,29,1,0,0,0,0,8
583,howard industries,17,howard-ind.com/,Howard Ind - Official Site,26,howard-ind.com/,22,1,1,0,0,1,10
591,"magnolia optical technologies, inc.",29,magnoliaoptical.com/,Magnolia Optical Technologies,29,magnoliaoptical.com/,27,1,3,0,0,1,9
598,"microlink devices, inc.",17,mldevices.com/,"MicroLink Devices, Inc. - Home",30,mldevices.com/,21,1,2,0,0,1,9
602,"pioneer energy, inc.",14,pioneerenergy.com/,Pioneer Energy | Texas Residential and Commercial ...,53,mypioneerenergy.com/,31,1,2,0,0,0,10
611,renewable opportunities inc.,23,renewableopportunitiesinc.com/,ROI : Renewable Opportunities Inc,33,renewableopportunitiesinc.com/,37,1,2,1,0,1,8
614,"renmatix, inc.",8,renmatix.com/,Renmatix - Official Site,24,renmatix.com/,20,1,1,0,0,1,10
620,"sinton consulting, inc.",17,sintoninstruments.com/,Home - Sinton Instruments,25,sintoninstruments.com/,34,1,1,0,0,1,9
624,"solarmer energy, inc.",15,solarmer.com/,Solarmer - Official Site,24,solarmer.com/,20,1,1,0,0,1,10
629,"swift engineering, inc.",17,swiftengineering.com/,Swift Engineering - Official Site,33,swiftengineering.com/,29,1,2,0,0,1,10
634,wenger corporation,6,wengercorp.com/,Wenger Corp - Official Site,27,wengercorp.com/,26,1,1,0,0,1,10
639,abbott molecular inc.,16,molecular.abbott/,Abbott Molecular | Diagnostic Assays and Instruments,52,molecular.abbott/,29,1,2,0,0,1,10
644,"advanced ceramic fibers, llc",23,acfibers.com/index.html,PRODUCT INFORMATION - Home Page,31,acfibers.com/index.html,34,1,0,0,0,1,10
651,"aurrion, inc.",7,aurrion.com/,Asurion - Official Site,23,asurion.com/,24,1,0,0,0,0,10
658,"aushon biosystems, inc.",17,aushon.com/,Aushon - Official Site,22,aushon.com/,22,1,1,0,0,1,10
666,"carver scientific, inc.",17,carversci.com/,Carver Scientific,17,carversci.com/,25,1,2,0,0,1,10
672,"complete genomics, inc.",17,completegenomics.com/,Complete Genomics - Official Site,33,completegenomics.com/,32,1,2,0,0,1,10
679,"daylight solutions, inc.",18,daylightsolutions.com/,Daylight Solutions - Official Site,34,daylightsolutions.com/,34,1,2,0,0,1,10
686,"dhpc technologies, inc.",17,dhpctech.com/,DHPC Technologies - Official Site,33,dhpctech.com/,24,1,2,0,0,1,10
693,"electronic warfare associates, inc.",29,ewa.com/,EWA - Official Site,19,ewa.com/,15,1,0,0,0,1,10
701,fike corporation,4,fike.com/,Fike - Official Site,20,fike.com/,21,1,1,0,0,1,10
707,inview technology corporation,17,inviewcorp.com/,InView Technology Corporation  Powerful Compressive ...,55,inviewcorp.com/,22,1,2,0,0,1,10
713,"k-space associates, inc.",18,k-space.com/,Advanced Tools for In-Situ Thin-Film Metrology | k-Space,56,k-space.com/,24,1,2,0,0,1,10
718,kodak alaris inc.,12,kodakalaris.com/,Home | Kodak Alaris,19,kodakalaris.com/,28,1,2,0,0,1,9
726,"kulite semiconductor products, inc",29,kulite.com/,Kulite - Official Site,22,kulite.com/,23,1,1,0,0,1,10
732,"liquid x printed metals, inc.",23,liquid-x.com/,Functional Electronics Fabrication | Liquid X Printed ...,57,liquid-x.com/,24,1,3,0,0,1,10
739,"monosol, llc",7,monosol.com/,Water Soluble Film Technology | MonoSol,39,monosol.com/,24,1,1,0,0,1,9
747,"moxtek, inc.",6,moxtek.com/,MOXTEK Optical and X-ray Components Manufacturer,48,moxtek.com/,18,1,1,0,0,1,9
753,nanobio corporation,7,bluewillow.com/,BlueWillow - Official Site,26,bluewillow.com/,26,1,0,0,0,1,10
760,"nanomech, inc.",8,nanomech.com/,NanoMech - Making atoms work harder and smarter,47,nanomech.com/,24,1,1,0,0,1,10
767,"nanoridge materials, inc.",19,nanoridge.com/,NanoRidge,9,nanoridge.com/,21,1,1,0,0,1,10
773,"nanospectra biosciences, inc.",23,nanospectra.com/,nanospectra,11,nanospectra.com/,28,1,1,0,0,1,10
781,"ofs fitel, llc",9,ofsoptics.com/,OFS - Official Site,19,ofsoptics.com/,26,1,1,0,0,1,10
790,"propagation research associates, inc.",31,pra-corp.com/,"Propagation Research Associates, Inc.",37,pra-corp.com/,20,1,3,0,0,1,9
794,quantumscape corporation,12,quantumscape.com/,QuantumScape - Official Site,28,quantumscape.com/,28,1,1,0,0,1,9
801,"teledyne scientific & imaging, llc",29,teledyne-si.com/business-units/teledyne-scientific-company,Teledyne Scientific and Imaging,31,teledyne-si.com/,27,1,3,0,0,0,9
807,"wentworth laboratories, inc.",22,wentworthlabs.com/,PROBE CARDS - Wentworth Labs,28,wentworthlabs.com/,30,1,1,0,0,1,10
814,wyatt technology corporation,16,wyatt.com/,Wyatt Technology Laser Light Scattering Instrumentation,55,wyatt.com/,22,1,2,0,0,1,10
821,zygo corporation,4,zygo.com/,Zygo Corporation - Official Site,32,zygo.com/,21,1,1,0,0,1,10
823,"acell, inc.",5,acell.com/,ACell - Official Site,21,acell.com/,18,1,1,0,0,1,10
829,acumed llc,6,acumed.net/,Acumed - Official Site,22,acumed.net/,23,1,1,0,0,1,10
834,aduro biotech,13,aduro.com/,Aduro - Official Site,21,aduro.com/,22,1,1,0,0,1,10
841,algenol biotech llc,15,algenol.com/,Algenol - Official Site,23,algenol.com/,19,1,1,0,0,1,10
847,"amprius, inc.",7,amprius.com/,Amprius: Next-Generation Lithium-Ion Batteries,46,amprius.com/,19,1,1,0,0,1,9
854,"autonomic materials, inc.",19,autonomicmaterials.com/,Home [www.autonomicmaterials.com],33,autonomicmaterials.com/,35,1,2,0,0,1,10
861,"azul systems, inc.",12,azul.com/,Azul Systems Better Java Performance Superior Java Support,58,azul.com/,21,1,2,0,0,1,10
866,"beckman coulter, inc.",15,beckmancoulter.com/,Beckman Coulter Diagnostics | Beckman Coulter,45,beckmancoulter.com/,31,1,2,1,0,1,7
871,beryllium discovery corp.,24,be4.com/,Static - Beryllium Discovery,28,be4.com/,15,1,2,0,1,1,8
878,"bio med sciences, inc.",16,silon.com/,Bio Med Sciences | Innovative Skin Products | Allentown PA,58,silon.com/,18,1,3,0,0,1,10
884,"cardiva medical, inc.",15,cardivamedical.com/,Cardiva Medical - Official Site,31,cardivamedical.com/,31,1,2,0,0,1,10
891,"celonova biosciences, inc.",20,celonova.com/celonova/,CeloNova | Celonova,19,celonova.com/celonova/,29,1,1,0,0,1,10
897,"cmc icos biologics, inc.",18,agcbio.com/,AGC) BIO - LEADING THE WAY IN INNOVATIVE CLINICAL,49,agcbio.com/,22,1,0,0,0,1,9
903,"confluence energy, llc",17,confluenceenergy.com/,Confluence Energy,17,confluenceenergy.com/,32,1,2,0,0,1,10
911,"crp, inc.",3,crpcorp.com/,crpcorp.com - CRP Incorporated,30,crpcorp.com/,24,1,1,0,0,1,9
917,"data sciences international, inc.",13,datasci.com/,Data Sci - Official Site,24,datasci.com/,24,1,1,0,0,1,10
924,"detroit r & d, inc.",13,detroitrandd.com/,"Detroit R&D: ELISA, Antibodies, Assay Manufacturer",50,detroitrandd.com/,29,1,3,0,0,1,10
930,discoverx corporation,9,discoverx.com/home,DiscoverX Solutions for Drug Discovery,38,discoverx.com/home,26,1,1,0,0,1,10
938,"eic laboratories, inc.",16,eiclabs.com/,EIC Laboratories: Home,22,eiclabs.com/,19,1,2,0,0,1,10
945,"enzo life sciences, inc.",18,enzolifesciences.com/,Enzo Life Sciences - Official Site,34,enzolifesciences.com/,32,1,3,0,0,1,10
952,flexcell international corporation,8,flexcellint.com/,Flexcell International Corporation,34,flexcellint.com/,27,1,1,0,0,1,10
959,"gene therapy systems, inc.",20,genlantis.com/,Genlantis - Official Site,25,genlantis.com/,25,1,0,0,0,1,10
966,"genisphere, llc",10,genisphere.com/,3DNA Nanotechnology | Genisphere,32,genisphere.com/,23,1,1,0,0,1,10
974,genome international corporation,6,genome.com/,Genome International Corp.,26,genome.com/,23,1,1,0,0,1,10
979,"jrw bioremediation, llc",18,jrwbioremediation.com/,JRW Bioremediation - Official Site,34,jrwbioremediation.com/,33,1,2,0,0,1,10
984,"kinetic systems, inc.",15,kineticsystems.com/,"Kinetic Systems, Inc.",21,kineticsystems.com/,30,1,2,0,0,1,10
991,"lifespan biosciences, inc.",20,lsbio.com/,LSBio - Official Site,21,lsbio.com/,22,1,0,0,0,1,10
998,"longhorn vaccines and diagnostics, llc",33,lhnvd.com/,Longhorn Vaccines and Diagnostics,33,lhnvd.com/primemix,30,1,4,0,0,0,10
1006,lonza inc.,5,lonza.com/,Lonza - Official Site,21,lonza.com/,22,1,1,0,0,1,10
1012,lynntech inc.,8,lynntech.com/,Lynntech Inc.,13,lynntech.com/,21,1,1,0,0,1,10
1025,"munirem environmental, llc",21,munirem.com/,Munirem Environmental  Fast and safe chemical remediation ...,61,munirem.com/,20,1,2,0,0,1,10
1030,"nd industries, inc.",13,ndindustries.com/,ND Industries - Advanced Fastening & Sealing Technologies,57,ndindustries.com/,29,1,2,0,0,1,10
1039,"netbio, inc.",6,ande.com/,ANDE: Rapid DNA for a Safer World,33,ande.com/,21,1,0,0,0,1,10
1046,"new england biolabs, inc.",19,neb.com/,NEB - Official Site,19,neb.com/,20,1,0,0,0,1,10
1049,"north wind, inc.",10,northwindgrp.com/,North Wind,10,northwindgrp.com/,25,1,2,0,0,1,10
1055,novici biotech llc,14,novicibiotech.com/,"Optimized Gene and Protein Libraries, Product Development ...",61,novicibiotech.com/,30,1,0,0,0,1,7
1061,"nugen technologies, inc.",18,nugen.com/,NuGEN: Sample preparation solutions for NGS and microarrays,59,nugen.com/,22,1,1,0,0,1,10
1067,"parion sciences, inc.",15,parion.com/,Parion Sciences,15,parion.com/,22,1,2,0,0,1,10
1074,protein sciences corporation,16,proteinsciences.com/,Protein Sciences - Official Site,32,proteinsciences.com/,31,1,2,0,0,1,10
1080,"ribomed biotechnologies, inc.",23,ribomed.com/,Ribomed | Superior Bisulfite Free DNA Methylation Detection,59,ribomed.com/,19,1,1,0,0,1,10
1087,superior graphite co.,20,superiorgraphite.com/,Superior Graphite: Advanced Electro-Thermal Treatment ...,57,superiorgraphite.com/,29,1,2,0,0,1,10
1093,"transgenex nanobiotech, inc.",22,transgenex.com/,transgenex.com,14,transgenex.com/,26,1,1,0,0,1,10
1097,treventis corporation,9,treventis.com/,Home - TREVENTIS Corporation,28,treventis.com/,22,1,1,0,0,1,10
1104,"triton systems, inc.",14,tritonsystems.com/,Triton Systems - Technology Innovators,38,tritonsystems.com/,25,1,2,0,1,1,7
1110,ultramet,8,ultramet.com/,Ultramet - Advanced Material Solutions for Extreme ...,54,ultramet.com/,21,1,1,0,0,1,8
