firm,lookup_firm,firm_length,name_clnd,name_length,manual_fix,hit_url,hit_url_length,rank,matches,public,acquired_merged,Votes,Group,nano,green,synbio,count_all_ind,max_emps,size_state
Nutech Ventures,Nutech Ventures,15,NUtech Ventures - Official Site,31,,nutechventures.org/,30,1,2,0,0,5,938,1,0,0,1,16,FirmSize.SMALL_FIRM
Pentron Clinical Technologies,Pentron Clinical Technologies,29,Dental Supplies - Dental Products | Pentron,43,,pentron.com/,24,1,1,0,0,5,994,1,0,0,1,15,FirmSize.SMALL_FIRM
PolyPlus Battery Company,PolyPlus Battery Company,24,Home - PolyPlus,15,,polyplus.com/,20,1,1,0,0,5,1023,0,0,1,1,17,FirmSize.SMALL_FIRM
ADVANCED INNOVATION CENTER LLC,ADVANCED INNOVATION CENTER,26,Advanced Innovation Center,26,,aicchile.com/en/,23,1,3,0,0,5,16,0,1,0,1,16,FirmSize.SMALL_FIRM
Ambature,Ambature,8,"Ambature | Clean, Inexpensive and Abundant Electricity",54,,ambature.com/,20,1,1,0,0,5,103,1,0,0,1,18,FirmSize.SMALL_FIRM
Calysta,Calysta,7,Calysta - Official Site,23,,calysta.com/,19,1,1,1,0,5,280,0,1,1,2,18,FirmSize.SMALL_FIRM
Formula Plastics,Formula Plastics,16,Formula Plastics Inc.,21,,formulaplastics.com/,27,1,2,0,0,5,506,0,1,0,1,18,FirmSize.SMALL_FIRM
Nthdegree Technologies Worldwide Inc.,Nthdegree Technologies Worldwide,32,NthDegree | Nth-Light | Printing the Impossible,47,,ndeg.com/,21,1,1,0,0,5,936,1,0,0,1,19,FirmSize.SMALL_FIRM
Smart Planet Technologies,Smart Planet Technologies,25,Smart Planet Technologies,25,,smartplanettech.com/,32,1,3,0,0,5,1218,1,0,0,1,18,FirmSize.SMALL_FIRM
Ansun Biopharma,Ansun Biopharma,15,Ansun BioPharma - Official Site,31,,ansunbiopharma.com/,30,1,2,0,0,5,124,0,0,1,1,21,FirmSize.SMALL_FIRM
Cima NanoTech Israel Ltd.,Cima NanoTech Israel,20,Cima NanoTech,13,,cimananotech.com/,24,1,2,0,0,5,317,1,0,0,1,18,FirmSize.SMALL_FIRM
Courtagen Life Sciences,Courtagen Life Sciences,23,www.courtagen.com,17,,courtagen.com/,25,1,1,0,0,5,348,0,0,1,1,16,FirmSize.SMALL_FIRM
Deployable Space Systems,Deployable Space Systems,24,Deployable Space Systems,24,,dss-space.com/,25,1,3,0,0,5,393,0,1,0,1,19,FirmSize.SMALL_FIRM
Em-Tech LLC,Em-Tech,7,"Emtech, Inc.",12,,em-techinc.com/,26,1,2,0,0,5,450,0,1,1,2,10,FirmSize.SMALL_FIRM
Genisphere,Genisphere,10,3DNA Nanotechnology | Genisphere,32,,genisphere.com/,23,1,1,0,0,5,551,0,0,1,1,19,FirmSize.SMALL_FIRM
Molecular Rebar Design,Molecular Rebar Design,22,Molecular Rebar Design : The amazing potential of carbon ...,60,,molecularrebar.com/,30,1,3,0,0,5,849,1,0,0,1,18,FirmSize.SMALL_FIRM
Nanoholdings,Nanoholdings,12,nH2 - We invent and commercialise,33,,nh2.com/,20,1,0,1,0,5,885,1,0,0,1,18,FirmSize.SMALL_FIRM
Parion Sciences,Parion Sciences,15,Parion Sciences,15,,parion.com/,22,1,2,0,0,5,988,0,0,1,1,19,FirmSize.SMALL_FIRM
Pyrexar Medical Inc.,Pyrexar Medical,15,Pyrexar Medical- Hyperthermia products treat cancer,51,,pyrexar.com/,24,1,2,0,0,5,1040,1,0,0,1,18,FirmSize.SMALL_FIRM
Aushon Biosystems,Aushon Biosystems,17,Aushon - Official Site,22,,aushon.com/,22,1,1,0,0,5,158,1,0,0,1,20,FirmSize.SMALL_FIRM
Bird-B-Gone,Bird-B-Gone,11,Bird B Gone | Leader in Bird Control & Bird Deterrent Products,62,,birdbgone.com/,26,1,3,0,0,5,229,0,1,0,1,19,FirmSize.SMALL_FIRM
Sirnaomics,Sirnaomics,10,"Sirnaomics, Inc. - Advancing RNAi Therapeutics",46,,new.sirnaomics.com/,26,1,1,0,0,5,1215,0,0,1,1,20,FirmSize.SMALL_FIRM
WiSys Technology Foundation,WiSys Technology Foundation,27,Home - WiSys Technology Foundation,34,,wisys.org/,22,1,3,0,0,5,1450,1,1,0,2,21,FirmSize.SMALL_FIRM
Bruin Biometrics,Bruin Biometrics,16,Bruin Biometrics,16,1,bruinbiometrics.com/us/,38,1,2,0,0,5,250,1,0,0,1,24,FirmSize.SMALL_FIRM
Echogen Power Systems,Echogen Power Systems,21,Echogen Power Systems - Waste Heat Recovery Power Generation,60,,echogen.com/,24,1,3,0,0,5,437,0,1,0,1,20,FirmSize.SMALL_FIRM
LATITUDE PHARMACEUTICALS INC.,LATITUDE PHARMACEUTICALS,24,LATITUDE Pharmaceuticals,24,,latitudepharma.com/,26,1,2,0,0,5,744,1,0,0,1,23,FirmSize.SMALL_FIRM
Pulse Therapeutics,Pulse Therapeutics,18,Pulse Therapeutics | Magnetically-Enhanced Diffusion (MED),58,,pulsetherapeutics.com/,34,1,2,0,1,5,1039,1,0,0,1,33,FirmSize.SMALL_FIRM
Gemex Systems,Gemex Systems,13,GemEx - Official Site,21,,gemex.com/,18,1,1,0,0,5,547,1,0,0,1,22,FirmSize.SMALL_FIRM
PELLION TECHNOLOGIES,PELLION TECHNOLOGIES,20,Pellion Tech - Official Site,28,,pelliontech.com/,27,1,1,0,0,5,969,0,0,1,1,22,FirmSize.SMALL_FIRM
Quantapore,Quantapore,10,Quantapore Inc | Reading the human genome,41,,quantapore.com/,23,1,1,0,1,5,1048,1,0,0,1,26,FirmSize.SMALL_FIRM
Wentworth Laboratories,Wentworth Laboratories,22,Welcome | PROBE CARDS - Wentworth Labs,38,,wentworthlabs.com/,30,1,1,0,0,5,1446,1,0,0,1,23,FirmSize.SMALL_FIRM
DNA2.0,DNA20,5,ATUM | Bioengineering Solutions,31,,atum.bio/,21,1,0,0,0,5,373,0,0,1,1,33,FirmSize.SMALL_FIRM
Dynamic Solutions Worldwide,Dynamic Solutions Worldwide,27,DynaTrap 3-Way Insect Control | DynaTrap,40,,dynatrap.com/,21,1,0,0,0,5,415,0,1,0,1,23,FirmSize.SMALL_FIRM
fybr,fybr,4,Home - Fybr,11,,fybr.com/,17,1,1,1,0,5,1482,0,1,0,1,23,FirmSize.SMALL_FIRM
GTherm,GTherm,6,GTherm | Environmentally-Sound Thermal Process Innovations ...,62,,gtherm.net/,18,1,1,0,0,5,539,0,1,0,1,24,FirmSize.SMALL_FIRM
NuOrtho Surgical,NuOrtho Surgical,16,"NuOrtho Surgical, Inc. | Homepage",33,,nuortho.com/,19,1,2,0,0,5,937,0,0,1,1,22,FirmSize.SMALL_FIRM
CLEARSIGN COMBUSTION CORPORATION,CLEARSIGN COMBUSTION,20,ClearSign Combustion - Official Site,36,,clearsign.com/,26,1,2,0,0,5,261,1,0,0,1,24,FirmSize.SMALL_FIRM
CoolEarth Solar,CoolEarth Solar,15,Cool Earth Solar - Official Site,32,,coolearthsolar.com/,30,1,1,0,0,5,342,0,1,0,1,24,FirmSize.SMALL_FIRM
ElectraTherm,ElectraTherm,12,ElectraTherm,12,,electratherm.com/,25,1,1,0,0,5,443,0,1,0,1,24,FirmSize.SMALL_FIRM
FLOW CONTROL LLC.,FLOW CONTROL,12,Flow Control - Official Site,28,,flowcontrol.com/,28,1,2,0,0,5,480,0,1,0,1,10,FirmSize.SMALL_FIRM
Heat Seal LLC,Heat Seal,9,"HEAT SEAL - Industrial Packaging Machinery, Food Service ...",60,,heatsealco.com/,27,1,2,0,0,5,604,1,0,0,1,11,FirmSize.SMALL_FIRM
Microchips Biotech,Microchips Biotech,18,Microchips Biotech,18,,microchipsbiotech.com/,33,1,2,0,0,5,834,1,0,0,1,23,FirmSize.SMALL_FIRM
Pendar Technologies,Pendar Technologies,19,Pendar Technologies,19,,pendar.com/,22,1,2,0,1,5,992,1,0,0,1,25,FirmSize.SMALL_FIRM
Sundrop Fuels,Sundrop Fuels,13,"Sundrop Fuels, Inc",18,,sundropfuels.com/,28,1,2,0,0,5,1270,0,1,0,1,24,FirmSize.SMALL_FIRM
Electrovaya Inc.,Electrovaya,11,Electrovaya - Official Site,27,,electrovaya.com/,23,1,1,0,0,5,446,1,0,0,1,37,FirmSize.SMALL_FIRM
Kamtec,Kamtec,6,Kamtec - Official Site,22,,kamtec.co.uk/,24,1,1,0,0,5,719,0,0,1,1,27,FirmSize.SMALL_FIRM
The Eastern Co.,The Eastern Co,14,The Eastern Company,19,,easterncompany.com/,30,1,3,0,0,5,1336,1,0,0,1,27,FirmSize.SMALL_FIRM
Garland Industries,Garland Industries,18,Garland Co - Official Site,26,,garlandco.com/,26,1,1,0,0,5,544,0,1,0,1,25,FirmSize.SMALL_FIRM
Xyleco,Xyleco,6,"Xyleco, Inc. | Leading the Sustainable Industrial Revolution",60,,xyleco.com/,23,1,1,0,0,5,1462,0,1,0,1,23,FirmSize.SMALL_FIRM
BRIGHTLEAF TECHNOLOGIES INC.,BRIGHTLEAF TECHNOLOGIES,23,Brightleaf Power,16,,brightleafpower.com/,31,1,1,0,0,5,189,0,1,0,1,31,FirmSize.SMALL_FIRM
Great American Duck Races,Great American Duck Races,25,Great American Duck Race - Official Site,40,,demingduckrace.com/,31,1,3,0,0,5,576,0,1,0,1,28,FirmSize.SMALL_FIRM
Extech/Exterior Technologies,Extech/Exterior Technologies,28,Extech / Exterior Technologies Inc. - Official Site,51,,extechinc.com/,22,1,3,0,0,5,473,0,1,0,1,29,FirmSize.SMALL_FIRM
ITN Energy Systems,ITN Energy Systems,18,ITN Energy Systems - Official Site,34,,itnes.com/,17,1,3,0,1,5,643,1,0,0,1,28,FirmSize.SMALL_FIRM
Angstron Materials,Angstron Materials,18,Global Graphene Group - Advanced Graphene Materials,51,,theglobalgraphenegroup.com/,39,1,1,0,0,5,121,1,0,0,1,30,FirmSize.SMALL_FIRM
X DEVELOPMENT LLC,X DEVELOPMENT,13,Development - X,15,,x.org/wiki/Development/,35,1,2,0,0,5,1458,0,1,0,1,30,FirmSize.SMALL_FIRM
Arpin Renewable Energy,Arpin Renewable Energy,22,Arpin Group - Official Site,27,,arpingroup.com/,27,1,1,0,0,5,143,1,1,0,2,29,FirmSize.SMALL_FIRM
Envision Solar International,Envision Solar,14,Envision Solar,14,,envisionsolar.com/,29,1,2,0,0,5,460,0,1,0,1,28,FirmSize.SMALL_FIRM
Sweetwater Energy,Sweetwater Energy,17,Sweetwater Energy | Better Sugars. Better Results.,50,,sweetwater.us/,21,1,2,0,0,5,1278,0,1,0,1,29,FirmSize.SMALL_FIRM
Tarveda Therapeutics,Tarveda Therapeutics,20,Tarveda - Official Site,23,,tarveda.com/,23,1,1,0,0,5,1312,1,0,0,1,29,FirmSize.SMALL_FIRM
Vorbeck Materials Corporation,Vorbeck Materials,17,Vorbeck | Global Leader in Graphene Products & Solutions,56,,vorbeck.com/,20,1,1,0,0,5,1431,1,0,0,1,28,FirmSize.SMALL_FIRM
Agrivida,Agrivida,8,Agrivida,8,,agrivida.com/,20,1,1,0,0,5,83,0,1,1,2,31,FirmSize.SMALL_FIRM
AROG PHARMACEUTICALS,AROG PHARMACEUTICALS,20,"Arog Pharamaceuticals, Inc - Official Site",42,,arogpharmaceuticals.com/,36,1,1,0,0,5,33,0,0,1,1,28,FirmSize.SMALL_FIRM
Ensyn Renewables,Ensyn Renewables,16,Ensyn - Official Site,21,,ensyn.com/,21,1,1,1,0,5,457,0,1,0,1,33,FirmSize.SMALL_FIRM
Ignis Innovation,Ignis Innovation,16,AMOLED Displays | IGNIS Innovation,34,,ignisinnovation.com/,31,1,2,0,0,5,646,1,1,0,2,32,FirmSize.SMALL_FIRM
Nanomix,Nanomix,7,Nanmix - Breakthrough Detection Solutions with the ...,54,,nano.com/,20,1,0,0,0,5,886,1,0,0,1,31,FirmSize.SMALL_FIRM
QuantumScape Corporation,QuantumScape,12,QuantumScape - Official Site,28,,quantumscape.com/,29,1,1,0,0,5,1051,1,0,0,1,33,FirmSize.SMALL_FIRM
Princeton Optronics,Princeton Optronics,19,ams Start - ams,15,,ams.com/,16,1,0,0,0,5,1031,1,0,0,1,31,FirmSize.SMALL_FIRM
Biological Dynamics,Biological Dynamics,19,Biological Dynamics - Official Site,35,,biologicaldynamics.com/,31,1,2,0,0,5,222,1,0,0,1,34,FirmSize.SMALL_FIRM
Ideal Power Inc.,Ideal Power,11,Ideal Power,11,,idealpower.com/,26,1,2,0,0,5,645,1,0,0,1,29,FirmSize.SMALL_FIRM
Sun Drilling Products Corporation,Sun Drilling Products,21,Drilling Fluid Additives - Sun Drilling Products Corporation,60,,sundrilling.com/,27,1,3,0,0,5,1261,1,0,0,1,33,FirmSize.SMALL_FIRM
System Biosciences,System Biosciences,18,System Biosciences - Official Site,34,,systembio.com/,26,1,2,0,0,5,1287,0,0,1,1,35,FirmSize.SMALL_FIRM
DNA Twopointo,DNA Twopointo,13,ATUM | Bioengineering Solutions,31,,atum.bio/,21,1,0,0,0,5,372,0,0,1,1,33,FirmSize.SMALL_FIRM
NANOBIO CORPORATION,NANOBIO,7,BlueWillow - Official Site,26,,bluewillow.com/,26,1,0,0,0,5,862,1,0,0,1,33,FirmSize.SMALL_FIRM
Inphenix,Inphenix,8,Superluminescent Diodes - INPHENIX,34,,inphenix.com/,24,1,1,0,0,5,666,1,0,0,1,32,FirmSize.SMALL_FIRM
Marine Polymer Technologies,Marine Polymer Technologies,27,Innovative Medical Solutions | Marine Polymer Technologies ...,62,,marinepolymer.com/,25,1,3,0,0,5,807,1,0,0,1,35,FirmSize.SMALL_FIRM
RADIANCE SOLAR,RADIANCE SOLAR,14,Solar Power Solutions at Every Scale - Radiance Solar,53,,radiancesolar.com/,26,1,2,0,0,5,1056,0,1,0,1,33,FirmSize.SMALL_FIRM
Sensor Electronic Technology,Sensor Electronic Technology,28,"Sensor Electronic Technology, Inc. (SETi)",41,,s-et.com/,16,1,3,0,0,5,1177,1,0,0,1,36,FirmSize.SMALL_FIRM
ECOSYNTHETIX LTD.,ECOSYNTHETIX,12,Welcome to EcoSynthetix | EcoSynthetix,38,,ecosynthetix.com/,24,1,1,0,0,5,421,1,0,0,1,30,FirmSize.SMALL_FIRM
NanoMech,NanoMech,8,NanoMech Inc. - Official Site,29,,nanomech.com/,24,1,1,0,0,5,880,1,0,0,1,34,FirmSize.SMALL_FIRM
Pinnacle Technology,Pinnacle Technology,19,Pinnacle Technology | Staffing and Technology Solutions,55,,pinnacle-technology.com/,31,1,2,1,0,5,1008,1,0,0,1,37,FirmSize.SMALL_FIRM
Deep Science,Deep Science,12,Active Video Monitoring | Deep Science,38,,deepscience.ai/,22,1,2,0,0,5,385,1,0,0,1,34,FirmSize.SMALL_FIRM
Rebellion Photonics,Rebellion Photonics,19,Rebellion Photonics - Official Site,35,,rebellionphotonics.com/,31,1,2,0,0,5,1064,1,0,0,1,41,FirmSize.SMALL_FIRM
Renmatix,Renmatix,8,Renmatix - Official Site,24,,renmatix.com/,20,1,1,0,0,5,1074,0,1,0,1,39,FirmSize.SMALL_FIRM
Yissum,Yissum,6,yissum.co.il - Technology Transfer & IP company Hebrew ...,58,,yissum.co.il/,24,1,1,0,0,5,1466,1,0,1,2,40,FirmSize.SMALL_FIRM
Blue Sea Systems,Blue Sea Systems,16,Blue Sea - Official Site,24,,bluesea.com/,24,1,2,0,0,5,233,0,1,0,1,44,FirmSize.SMALL_FIRM
iBio,iBio,4,IBio - Home,11,,ibioinc.com/,24,1,1,0,0,5,1483,0,0,1,1,40,FirmSize.SMALL_FIRM
All Power Labs,All Power Labs,14,All Power Labs - Official Site,30,,allpowerlabs.com/,28,1,3,0,0,5,93,0,1,0,1,43,FirmSize.SMALL_FIRM
R.A. Miller Industries,RA Miller Industries,20,RAMI | Loud & Clear,19,,rami.com/,21,1,1,0,0,5,1053,1,0,0,1,43,FirmSize.SMALL_FIRM
Selas Heat Technology Company LLC,Selas Heat Technology Company,29,Selas Heat Technology - Industrial Burners and Combustion ...,61,,selas.com/,22,1,3,0,0,5,1166,1,0,0,1,43,FirmSize.SMALL_FIRM
Voxtel,Voxtel,6,Voxtel Inc. - Official Site,27,,voxtel-inc.com/,22,1,1,0,0,5,1432,1,0,0,1,43,FirmSize.SMALL_FIRM
Marathon Equipment Company,Marathon Equipment Company,26,Marathon Equipment - Official Site,34,,marathonequipment.com/,34,1,2,0,0,5,805,0,1,0,1,44,FirmSize.SMALL_FIRM
Pixelligent Technologies,Pixelligent Technologies,24,Pixelligent | Advanced Materials for Optical Applications ...,61,,pixelligent.com/,28,1,1,0,0,5,1014,1,0,0,1,39,FirmSize.SMALL_FIRM
Amprius,Amprius,7,Amprius: Next-Generation Lithium-Ion Batteries,46,,amprius.com/,19,1,1,0,0,5,113,0,0,1,1,44,FirmSize.SMALL_FIRM
Hysitron Incorporated,Hysitron,8,Hysitron - Nanomechanical Test Instruments,42,,hysitron.com/,25,1,1,0,0,5,627,1,0,0,1,44,FirmSize.SMALL_FIRM
Basell Polyolefine GmbH,Basell Polyolefine,18,LyondellBasell - Official Site,30,,lyondellbasell.com/,31,1,1,0,0,5,198,1,0,0,1,49,FirmSize.SMALL_FIRM
Claret Medical,Claret Medical,14,Claret Medical,14,,claretmedical.com/,30,1,2,0,0,5,319,1,0,0,1,44,FirmSize.SMALL_FIRM
Owens-Brockway Glass Container Inc.,Owens-Brockway Glass Container,30,Owens-Illinois - Official Site,30,,o-i.com/,19,1,1,0,0,5,965,1,0,0,1,49,FirmSize.SMALL_FIRM
Solar Junction Corporation,Solar Junction,14,Solar Junction - Official Site,30,,sj-solar.com/,24,1,2,0,0,5,1225,1,1,0,2,46,FirmSize.SMALL_FIRM
Avertech,Avertech,8,AVERTECH SYSTEM PTE LTD,23,,avertech.com.sg/,27,1,1,0,0,5,167,0,1,0,1,47,FirmSize.SMALL_FIRM
Community Power Corporation,Community Power,15,Welcome to Community Powered Federal Credit Union - Be a ...,60,,cpwrfcu.org/,20,1,2,0,0,5,331,0,1,0,1,15,FirmSize.SMALL_FIRM
KOLO TECHNOLOGIES,KOLO TECHNOLOGIES,17,Kolo Medical,12,,kolomedical.com/,27,1,1,0,0,5,709,1,0,0,1,15,FirmSize.SMALL_FIRM
McAlister Technologies,McAlister Technologies,22,McAllister Technical Services  UHV Equipment,44,,mcallister.com/,23,1,0,0,0,5,816,1,1,0,2,45,FirmSize.SMALL_FIRM
Photon Dynamics,Photon Dynamics,15,Orbotech - Official Site,24,,orbotech.com/,25,1,0,1,0,5,1006,1,0,0,1,25,FirmSize.SMALL_FIRM
Headway Technologies,Headway Technologies,20,"TDK Headway Technologies, Inc.",30,,headway.com/,19,1,2,0,0,5,603,1,0,0,1,15,FirmSize.SMALL_FIRM
Fike Corporation,Fike,4,Fike - Official Site,20,,fike.com/,21,1,1,0,0,5,496,1,0,0,1,17,FirmSize.SMALL_FIRM
II-VI Incorporated,II-VI,5,II-VI Incorporated | Materials That Matter,42,,ii-vi.com/,22,1,2,0,0,5,633,1,0,0,1,10,FirmSize.SMALL_FIRM
Alencon Acquisition Co.,Alencon Acquisition Co,22,Utility Scale Solar | Solar Power System | Alencon Systems,58,,alenconsystems.com/,26,1,2,0,0,5,90,0,1,0,1,13,FirmSize.SMALL_FIRM
SABIC GLOBAL TECHNOLOGIES B.V.,SABIC GLOBAL TECHNOLOGIES BV,28,SABIC - Home,12,,sabic.com/en,24,1,1,0,0,5,1106,1,0,1,2,15,FirmSize.SMALL_FIRM
Clean Energy Labs,Clean Energy Labs,17,Clean Energy Labs,17,,cleanenergylabs.com/,27,1,3,0,0,5,320,1,0,0,1,26,FirmSize.SMALL_FIRM
nanoComposix,nanoComposix,12,"nanoComposix  Precisely engineered, highly characterized",56,,nanocomposix.com/,25,1,1,0,0,5,1490,1,0,0,1,40,FirmSize.SMALL_FIRM
POSiFA MICROSYSTEMS,POSiFA MICROSYSTEMS,19,Posifa Micro System Technology - MEMS Vacuum Sensors,52,,posifamicrosystems.com/,34,1,1,0,0,5,975,1,0,0,1,48,FirmSize.SMALL_FIRM
Gilead Connecticut,Gilead Connecticut,18,Gilead Community Services - Official Site,41,,gileadcs.org/,20,1,1,0,0,5,560,0,0,1,1,0,FirmSize.UNDEFINED
SOL-ELECTRICA,SOL-ELECTRICA,13,Sol Electrica Inc.,18,,sol-electrica.com/,25,1,2,0,0,5,1124,0,1,0,1,0,FirmSize.UNDEFINED
Microsurge,Microsurge,10,MicroSurge - Talc USA,21,,talcusa.com/microsurge/,35,1,1,0,0,5,837,1,0,0,1,0,FirmSize.UNDEFINED
Cura Vac,Cura Vac,8,Curavac | Therapeutic Vaccines for Autoimmune Diseases,54,,curavac.com/,23,1,2,0,0,5,359,0,0,1,1,0,FirmSize.UNDEFINED
Pardev,Pardev,6,Rapid Prototyping - pardev.com,30,,pardev.com/,22,1,1,0,0,5,987,0,1,0,1,0,FirmSize.UNDEFINED
Unity Semiconductor Corporation,Unity Semiconductor,19,UnitySCSemiconductor Metrology and Inspection | UnitySC,55,,unity-sc.com/,24,1,2,0,0,5,1404,1,0,0,1,0,FirmSize.UNDEFINED
Beryllium Discovery Corp.,Beryllium Discovery Corp,24,Static - Beryllium Discovery,28,,be4.com/,15,1,2,0,1,5,212,0,0,1,1,0,FirmSize.UNDEFINED
NanoLab,NanoLab,7,Marvell Nanofabrication Laboratory,34,1,nano-lab.com/,29,1,0,1,0,5,879,1,0,0,1,0,FirmSize.UNDEFINED
Adlens Beacon,Adlens Beacon,13,Adlens US - Official Site,25,,adlens.com/,19,1,1,0,0,5,65,1,0,0,1,0,FirmSize.UNDEFINED
AFMODEL,AFMODEL,7,AF Models UK | Find out how AF Models can help you to ...,57,,afmodels.com/,21,1,0,0,0,5,17,0,1,0,1,0,FirmSize.UNDEFINED
Agienic,Agienic,7,Agienic Antimicrobials,22,,agienic.com/,23,1,1,0,0,5,80,1,0,0,1,0,FirmSize.UNDEFINED
Allertein Therapeutics,Allertein Therapeutics,22,Home | Allergy Therapeutics PLC,31,,allergytherapeutics.com/,36,1,1,0,0,5,94,1,0,0,1,0,FirmSize.UNDEFINED
Areesys Technologies,Areesys Technologies,20,areesys - CIGS Solar,20,,areesys.com/,23,1,1,0,0,5,138,1,0,0,1,0,FirmSize.UNDEFINED
Avtaec Limited,Avtaec Limited,14,AVTEC - Official Site,21,,avtec.in/,21,1,0,0,0,5,170,0,0,1,1,0,FirmSize.UNDEFINED
Biogenic Reagents Ventures,Biogenic Reagents Ventures,26,Biogenic Reagents,17,,biogenicreagents.com/,28,1,2,0,0,5,221,0,1,0,1,0,FirmSize.UNDEFINED
Cleanvantage LLC,Cleanvantage,12,biovantage.dk,13,,biovantage.dk/,21,1,0,0,0,5,321,0,1,1,2,0,FirmSize.UNDEFINED
Biotechnology Foundation,Biotechnology Foundation,24,California Biotech Foundation,29,,cabiotech.org/,22,1,1,0,0,5,226,0,1,1,2,0,FirmSize.UNDEFINED
CellPrint IP Holding,CellPrint IP Holding,20,CellPrint Biotechnology | Precision analytics to advance ...,60,,cellprintbiotechnology.com/,35,1,1,0,0,5,300,0,0,1,1,0,FirmSize.UNDEFINED
Crestovo LLC,Crestovo,8,Crestovo,8,,crestovo.com/,24,1,1,0,0,5,352,1,0,0,1,0,FirmSize.UNDEFINED
Da Yu Enterprises,Da Yu Enterprises,17,Da Yu Protein Sciences - Da Yu Enterprises,42,,dayuenterprises.com/,27,1,3,0,0,5,378,0,0,1,1,0,FirmSize.UNDEFINED
GOSOLARLIFE,GOSOLARLIFE,11,GoSolarLife - Solar Products that really work - for those ...,61,,gosolarlife.com/,27,1,1,0,0,5,534,0,1,0,1,0,FirmSize.UNDEFINED
IntriEnergy Inc.,IntriEnergy,11,intrienergy-inc,15,,intrienergy.com/#!,29,1,1,0,0,5,681,1,0,0,1,0,FirmSize.UNDEFINED
Kiverdi,Kiverdi,7,Kiverdi - Official Site,23,,kiverdi.com/,24,1,1,0,0,5,734,0,1,1,2,0,FirmSize.UNDEFINED
MIETAMARK GENETICS,MIETAMARK GENETICS,18,Metamark - A leader in comprehensive urology cancer care,56,,metamarkgenetics.com/,28,1,0,1,0,5,793,0,0,1,1,0,FirmSize.UNDEFINED
Nanocopocia,Nanocopocia,11,Nanocopoeia,11,,nanocopoeia.com/,24,1,0,0,0,5,884,1,0,0,1,0,FirmSize.UNDEFINED
NANOPHTHALMICS,NANOPHTHALMICS,14,NanoHome - nanophthalmics.com,29,,nanophthalmics.com/,30,1,1,0,0,5,864,1,0,0,1,0,FirmSize.UNDEFINED
Optodot Corporation,Optodot,7,Optodot | Separators with Superior Functionality and Heat ...,61,,optodot.com/,19,1,1,0,0,5,956,1,0,0,1,0,FirmSize.UNDEFINED
Peytant Solutions,Peytant Solutions,17,Peytant Solutions,17,,peytant.com/,23,1,2,0,0,5,999,0,0,1,1,0,FirmSize.UNDEFINED
Qualsig Inc.,Qualsig,7,QUALSIG - Home,14,,qualsig.com/,23,1,1,0,0,5,1047,1,0,0,1,0,FirmSize.UNDEFINED
Selkermetrics,Selkermetrics,13,"SelkerMetrics, LLC.",19,,selkermetrics.com/,25,1,1,0,1,5,1168,1,0,0,1,0,FirmSize.UNDEFINED
Solar-Tectic LLC,Solar-Tectic,12,Solar-Tectic LLC  Photovoltaic and Display Applications,55,,solartecticllc.com/,30,1,2,0,0,5,1226,0,1,0,1,0,FirmSize.UNDEFINED
E. Tech Incorporation,E Techorporation,16,Terra Tech Corp. (TRTC),23,,terratechcorp.com/,30,1,1,0,0,5,419,0,1,1,2,0,FirmSize.UNDEFINED
UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.,UNISANTIS ELECTRONICS SINGAPORE PTE,35,Unisantis,9,,unisantis.com/,25,1,1,0,0,5,1391,1,0,0,1,0,FirmSize.UNDEFINED
Energen,Energen,7,Energen - Official Site,23,,energen.com/,23,1,1,0,0,5,453,1,1,0,2,390,FirmSize.US_MEDIUM_FIRM
Crystal Solar Inc.,Crystal Solar,13,Crystal Solar,13,,xtalsolar.com/,21,1,2,0,0,5,356,1,1,0,2,0,FirmSize.US_MEDIUM_FIRM
Crystal Solar Incorporated,Crystal Solar,13,Crystal Solar,13,,xtalsolar.com/,21,1,2,0,0,5,357,1,1,0,2,0,FirmSize.US_MEDIUM_FIRM
Ford Global Technologies,Ford Global Technologies,24,Innovation - Ford Corporate,27,,corporate.ford.com/innovation.html,42,1,1,0,0,5,503,1,1,0,2,482,FirmSize.US_MEDIUM_FIRM
ADMA Products,ADMA Products,13,Home [www.admaproducts.com],27,,admaproducts.com/#!,31,1,2,0,0,5,14,1,0,0,1,291,FirmSize.US_MEDIUM_FIRM
Easel Biotechnologies,Easel Biotechnologies,21,"Easel Biotechnologies, LLC. | Pioneering strategies to ...",58,,easelbio.com/,24,1,2,1,0,5,432,0,0,1,1,311,FirmSize.US_MEDIUM_FIRM
The Iams Company,The Iams Company,16,Iams - Official Site,20,,iams.com/,21,1,1,0,0,5,1340,1,0,0,1,300,FirmSize.US_MEDIUM_FIRM
Medical Diagnostic Laboratories,Medical Diagnostic Laboratories,31,"Home | Medical Diagnostic Laboratories, L.L.C.",46,,mdlab.com/,21,1,3,0,0,5,820,0,0,1,1,358,FirmSize.US_MEDIUM_FIRM
PLYCEM USA,PLYCEM USA,10,Allura USA - Official Site,26,,allurausa.com/,22,1,1,0,0,5,971,0,0,1,1,250,FirmSize.US_MEDIUM_FIRM
Avalanche Technology,Avalanche Technology,20,Home | Avalanche Technology,27,,avalanche-technology.com/,36,1,2,0,0,5,163,1,0,0,1,320,FirmSize.US_MEDIUM_FIRM
