firm name,url,LinkedIn employees,LinkedIn url,LinkedIn matched name,jaro-winkler distance result
W&Wsens Devices,wwsensdevices.com/,13,https://www.linkedin.com/company/sensing-devices-limited,SENSING DEVICES LIMITED,21
WOVN,wovns.com/,31,https://www.linkedin.com/company/mayur-wovens-pvt-ltd,Mayur Wovens Pvt Ltd,20
Wikipad,wikipad.com/,15,https://www.linkedin.com/company/wikipad,Gamevice,8
eNow,enowenergy.com/,12,https://www.linkedin.com/company/enow-inc-,"eNow, Inc.",6
Apple Inc.,apple.com/,193331,https://www.linkedin.com/company/apple/jobs,Apple: Jobs,6
Biotta LLC,biottajuices.com/,28,https://www.linkedin.com/company/biotta-ag,Biotta AG,3
CAMBRIDGE ENTERPRISE LIMITED,enterprise.cam.ac.uk/,62,https://www.linkedin.com/company/cambridge-enterprise,Cambridge Enterprise,25
Chevron Oronitz Company LLC,oronite.com/,,,,
DEKA Products Limited Partnership,dekaresearch.com/,551,https://www.linkedin.com/company/deka-research-&-development,DEKA Research & Development,26
DIC Corporation,dictionary.com/,7,https://www.linkedin.com/company/urban-dictionary,Urban Dictionary,16
ENI S.p.A.,eni.com/en_IT/home.page,24,https://www.linkedin.com/company/eni-s.p.a,Eni S.P.A,6
Eastman Kodak Company,kodak.com/us/en/corp/default.htm,8702,https://www.linkedin.com/company/eastman-kodak,Eastman Kodak Company,0
Georgia-Pacific Gypsum LLC,buildgp.com/georgia-pacific-gypsum,15022,https://www.linkedin.com/company/georgia-pacific-llc,Georgia-Pacific LLC,6
H R D CORPORATION,haywardrec.org/,595,https://www.linkedin.com/company/zw-hr-consulting-singapore,ZW HR Consulting,16
Heidelberger Druckmaschinen AG,heidelberg.com/,2779,https://www.linkedin.com/company/heidelberg,Heidelberger Druckmaschinen AG,0
Hollingsworth & Vose Company,hollingsworth-vose.com/,14,https://www.linkedin.com/company/hollingsworth-&-vose,Hollingsworth & Vose,8
Hoya Corporation,hoyavision.com/,1102,https://www.linkedin.com/company/hoya-vision-care,Hoya Vision Care,12
IMEC,imec.org/,2593,https://www.linkedin.com/company/imec,imec,4
JX Nippon Mining & Metals Corporation,nmm.jx-group.co.jp/english/,8,https://www.linkedin.com/company/jx-nippon-mining-metals-usa-inc,"JX Nippon Mining & Metals, USA. Inc.",11
KINO LLC,kinolorber.com/,37,https://www.linkedin.com/company/kino-lorber-incorporated,"Kino Lorber, Incorporated",24
Kaneka Corporation,kaneka.co.jp/en/,174,https://www.linkedin.com/company/kaneka-belgium-nv,Kaneka Belgium NV,11
Kerr Corporation,kerrdental.com/,417,https://www.linkedin.com/company/kerr-corporation,Kerr Corporation,12
Kureha Corporation,kureha.co.jp/en/,15,https://www.linkedin.com/company/kureha-america,Kureha America,8
L-3 Communications Cincinnati Electronics Corporation,cinele.com/,202,https://www.linkedin.com/company/l-3-cincinnati-electronics,L3 Cincinnati Electronics,38
Lextar Electronics Corp.,lextar.com/?sn=32&lang=en-US,210,https://www.linkedin.com/company/lextar-electronics,Lextar Electronics,5
Life Technologies Corporation,thermofisher.com/us/en/home.html,27,https://www.linkedin.com/company/life-search-technologies,Life Search Technologies,18
Lintec Corporation,lintec-global.com/,9,https://www.linkedin.com/company/lintec-linnhoff-germany-gmbh,LINTEC & LINNHOFF Germany GmbH,29
Magna International Inc.,magna.com/,25366,https://www.linkedin.com/company/magna-international,Magna International,14
Mainstream Engineering Corp.,mainstream-engr.com/,88,https://www.linkedin.com/company/mainstream-engineering-corporation,Mainstream Engineering Corporation,7
Markel Corporation,markelcorp.com/,2344,https://www.linkedin.com/company/markel-corporation,Markel,0
Medgenics Medical Israel Ltd.,medgenics.com/,2001,https://www.linkedin.com/pub/dir/reem/miari,Reem Miari - Head of Gene Therapy Department - ATVIO Biotech ...,59
Nippon Chemi-Con Corporation,chemi-con.co.jp/e/index.html,72,https://www.linkedin.com/company/united-chemi-con-inc-,United Chemi-Con Inc.,11
Nokia Technologies Oy,nokia.com/,,https://www.linkedin.com/company/nokia,Nokia,16
Rhodia Operations,solvay.com/en/search/products,31,https://www.linkedin.com/company/rhodia-operations,RHODIA OPERATIONS,14
SAINT-GOBAIN ABRASIFS,saint-gobain-abrasives.com/en-us,4075,https://www.linkedin.com/company/saint-gobain-abrasives,Saint-Gobain Abrasives,17
Seetron Inc.,seetron.com/index.html,,,,
Siemens Aktiengesellschaft ,siemens.com/global/en/home.html,216615,https://www.linkedin.com/company/siemens,Siemens,19
Sola U.S.A. Inc.,sola.at/,6,https://www.linkedin.com/company/new-life-usa,New Life USA,12
St. Microelectronics Inc.,st.com/content/st_com/en.html,20762,https://www.linkedin.com/company/stmicroelectronics,STMicroelectronics,18
TRANE INTERNATIONAL INC.,trane.com/index.aspx,,https://www.linkedin.com/company/damuth-trane,Damuth Trane,12
Thermo Fisher Scientific Inc.,thermofisher.com/us/en/home.html,38630,https://www.linkedin.com/company/thermo-fisher-scientific,Thermo Fisher Scientific,0
Toda Kogyo Corporation,todakogyo.co.jp/english/,5,https://www.linkedin.com/company/toda-kogyo-europe-gmbh,Toda Kogyo Europe GmbH,12
Toray Industries Inc. ,toray.com/,692,https://www.linkedin.com/company/toray-industries-inc-,"Toray Industries, Inc.",6
UTC FIRE & SECURITY CORPORATION,ccs.utc.com/ccs/en/worldwide/,2289,https://www.linkedin.com/company/utc-fire-&-security,UTC Fire & Security,10
UVIC INDUSTRY PARTNERSHIPS INC.,uvic.ca/research/partner/index.php,3,https://www.linkedin.com/company/hightechu,HighTechU,25
VERLASE TECHNOLOGIES LLC,verlase.com/,2,https://www.linkedin.com/company/verlase-technologies-llc,VerLASE Technologies LLC,17
Weatherford Canada Partnership,weatherford.com/,76,https://www.linkedin.com/company/weatherford-canada-partnership,Weatherford Canada Partnership,0
Wenger Corporation,wengercorp.com/,13,https://www.linkedin.com/company/hepp-wenger-ryffel-ag,Hepp Wenger Ryffel AG,20
Yamaha Corporation,yamaha-motor.com/,1590,https://www.linkedin.com/company/yamaha-motor-corporation-usa,"Yamaha Motor Corporation, USA",23
AVOGY,nexgenpowersystems.com/,5,https://www.linkedin.com/company/avogy-inc,Avogy,4
Advanced Cell Technology,astellas.us/therapeutic/rnd/airm.aspx,37,https://www.linkedin.com/company/ocata-therapeutics,Ocata Therapeutics,23
Altivera,altabira.com/,26,https://www.linkedin.com/company/credit-risk-solutions,"Credit Risk Solutions, part of the Computershare Group",54
Applied Membrane Technologies,appliedmembranetech.com/,31,https://www.linkedin.com/company/applied-membranes-inc,"Applied Membranes, Inc.",13
Avantor Performance Materials,avantorinc.com/,,https://www.linkedin.com/jobs/view/943102250?trk=d...salary...,"AVANTOR PERFORMANCE MATERIALS, INC. hiring Customer ...",50
Canon U.S. Life Sciences,canon-biomedical.com/online/portal/vp7,31,https://www.linkedin.com/company/canon-us-life-sciences,Canon U.S. Life Sciences,17
Dana-Farber Cancer Institute,dana-farber.org/,5261,https://www.linkedin.com/company/dana-farber-cancer-institute,Dana-Farber Cancer Institute,0
ENI Technology,eni.com/en_IT/innovation.page,3,https://www.linkedin.com/company/enitechnology,Energy Intelligence Technologies,30
Electrix,electrixillumination.com/,787,https://www.linkedin.com/company/electrix,Electrix,0
Evri,everi.com/,156,https://www.linkedin.com/company/global-cash-access,Global Cash Access,18
Flextronics AP,flex.com/,,https://www.linkedin.com/pub/dave-drissen/4/5b0/b03,Dave Drissen - Customer Satisfaction & Quality manager ...,58
Hon Hai Precision Industry Co.,foxconn.com/,222,https://www.linkedin.com/company/hon-hai-precision,Hon Hai Precision,12
Koch Biological Solutions,kochbiologicalsolutions.com/,47,https://www.linkedin.com/company/mendel-biological-solutions,Mendel Biological Solutions,26
Narsys,http://www.narsystech.com/,6,https://www.linkedin.com/company/narsys-llc,FocalCast,9
Nissan North America,nissanusa.com/about/corporate-information.html,35036,https://www.linkedin.com/company/nissan-motor-corporation,Nissan Motor Corporation,14
Novozymes North America,novozymes.com/en/north-america,5144,https://www.linkedin.com/company/novozymes,Novozymes,14
STANDARD ALCOHOL COMPANY OF AMERICA,standardalcohol.com/#!,11,https://www.linkedin.com/company/renewable-technology-partners,Standard Alcohol,32
Sanken Electric Co.,sanken-ele.co.jp/en/index.php,18,https://www.linkedin.com/company/sanken-electric-co-ltd,Sanken Electric Co Ltd,4
Solan,salon.com/,31,https://www.linkedin.com/school/bahra-university-solan/,"Bahra University, Solan",23
Taiyo Ink Mfg. Co.,taiyo-hd.co.jp/en/group/ink/,22,https://www.linkedin.com/company/taiyo-america-inc-,"Taiyo America, Inc.",13
The Henry M. Jackson Foundation for the Advancement of Military Medicine,hjf.org/,1355,https://www.linkedin.com/company/hjfmilmed/jobs,The Henry M. Jackson Foundation for the Advancement of Military ...,60
Transposagen Biopharmaceuticals,transposagenbio.com/,5,https://www.linkedin.com/company/transposagen-biopharmaceuticals,Transposagen Biopharmaceuticals,0
Ube Industries,ube-ind.co.jp/ube/en/index.html,108,https://www.linkedin.com/company/ube-industries-ltd-,"UBE Industries, Ltd.",8
Warsaw Orthopedic,mywarsaw.net/,,https://www.linkedin.com/company/igniteortho,Ignite Orthopedics,7
3M Innovative Properties Company,3m.com/,59176,https://www.linkedin.com/company/3m,3M,30
ASM IP Holdings LLC,asm.com/,257,https://www.linkedin.com/company/mapper-lithography,Mapper,15
Abbott Point of Care Inc.,pointofcare.abbott/us/en/home,227,https://www.linkedin.com/company/abbott-point-of-care-canada-limited,Abbott Point of Care Canada Limited,15
Achushnet Company,acushnetgolf.com/,,https://www.linkedin.com/company/acushnet-company,Acushnet Company,15
Adaptive Biotechnologies Corp.,adaptivebiotech.com/,274,https://www.linkedin.com/company/adaptive-biotechnologies-corp-,Adaptive Biotechnologies Corp.,1
Adeka Corporation,adeka.co.jp/en/,25,https://www.linkedin.com/company/adeka-singapore,ADEKA Singapore,14
CARBO Ceramics Inc.,carboceramics.com/about/about-carbo,372,https://www.linkedin.com/company/carbo-ceramics-inc-,CARBO,9
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,csem.ch/,469,https://www.linkedin.com/company/csem,CSEM,80
Carl Zeiss Meditec AG,zeiss.com/meditec-ag/home.html,2379,https://www.linkedin.com/company/carl-zeiss-meditec,Carl Zeiss Meditec AG,0
Centre de Recherche Industrielle du Quebec,criq.qc.ca/fr/,27,https://www.linkedin.com/company/sous-traitance-industrielle-qu-bec-stiq-,STIQ,42
Child Laboratories Inc.,nationwidechildrens.org/specialties/laboratory-services,10,https://www.linkedin.com/company/utlabschool,Priscilla Pond Flawn Child and Family Laboratory,47
Colgate-Palmolive Company,colgatepalmolive.com/en-us,24143,https://www.linkedin.com/company/colgate-palmolive,Colgate-Palmolive,8
Commonwealth Scientific & Industrial Research Organization,csiro.au/,5349,https://www.linkedin.com/company/csiro,CSIRO,57
Danisco US Inc.,danisco.com/food-beverages/,3047,https://www.linkedin.com/company/danisco,DuPont Nutrition & Health,24
Denso Corporation,denso.com/global/en/,10406,https://www.linkedin.com/company/denso,DENSO,4
E. I. du Pont de Nemours and Company duPont Displays Inc,dupont.com/,33678,https://www.linkedin.com/company/dupont,DuPont,50
Elwha LLC,elwha.org/,105,https://www.linkedin.com/company/lower-elwha-klallam-tribe,Lower Elwha Klallam Tribe,24
ExxonMobil Upstream Research Company,corporate.exxonmobil.com/,60945,https://www.linkedin.com/company/exxonmobil,ExxonMobil,26
G.D.O. Inc,golfdigest.co.jp/,38,https://www.linkedin.com/company/golf-digest-online-inc,"Golf Digest Online, Inc",22
GOLBA LLC,golba.com/,6,https://www.linkedin.com/company/paulina-golba-music,Golba Music,10
Global Filtration Systems,globalfiltrationsystems.com/,7,https://www.linkedin.com/company/global-filtration-inc-,"Global Filtration, Inc.",8
Grandis Inc.,grandis.com/,8,https://www.linkedin.com/company/grandiscompany,Grandis,0
HGST NETHERLANDS B.V.,hgst.com/,4959,https://www.linkedin.com/company/hgst-a-western-digital-company,"HGST, a Western Digital brand",25
Hitachi High-Technologies Corporation,hitachi-hightech.com/global/,566,https://www.linkedin.com/company/hitachi-high-technologies-america,Hitachi High Technologies America,9
Incept LLC,inceptresults.com/,129,https://www.linkedin.com/company/incept,Incept,0
KYOCERA DOCUMENT SOLUTIONS INC.,kyoceradocumentsolutions.com/,167,https://www.linkedin.com/company/kyocera-document-solutions-australasia,Kyocera Document Solutions Australasia,33
Maxim Integrated Products,maximintegrated.com/en.html,6870,https://www.linkedin.com/company/maxim-integrated,Maxim Integrated,9
Momentive Performance Materials GmbH,momentive.com/en-US/,3219,https://www.linkedin.com/company/momentive,Momentive,22
Momentive Performance Materials Inc.,momentive.com/en-US/,3219,https://www.linkedin.com/company/momentive,Momentive,22
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,tno.nl/en/,3848,https://www.linkedin.com/company/tno,TNO,75
Nestec S. A.,nestle.com/,115,https://www.linkedin.com/company/nestec-inc.,"NESTEC, Inc.",11
Nikon Corporation,nikon.com/,527,https://www.linkedin.com/company/nikon-precision-inc-,Nikon Precision Inc.,15
Oracle International Corporation,oracle.com/index.html,4,https://www.linkedin.com/company/oracleusersgroup,All India Oracle Users Group (AIOUG),36
Quest Diagnostics Investments Incorporated,ir.questdiagnostics.com/,20133,https://www.linkedin.com/company/quest-diagnostics,Quest Diagnostics,12
Roche Molecular Systems,roche.com/,69461,https://www.linkedin.com/company/roche,Roche,18
SK Hynix Inc.,skhynix.com/eng/index.jsp,353,https://www.linkedin.com/company/sk-hynix-memory-solutions-inc-,SK hynix memory solutions inc.,23
Silicon Space Technology Corp.,voragotech.com/,3,https://www.linkedin.com/company/silicon-space-technology,Silicon Space Technology,5
Simbol Inc.,symbols.com/,3,https://www.linkedin.com/company/simbol-commercial,Simbol Commercial,11
VINDICO NANOBIO TECHNOLOGY INC.,vindicoat.com/,3,https://www.linkedin.com/company/vindico-nanobiotechnology-inc.,"Vindico NanoBioTechnology, Inc.",27
Waters Technologies Corporation,waters.com/waters/home.htm?locale=en_US,34,https://www.linkedin.com/company/safbonwater,SafBon Water Technology,21
Zoetis Services LLC,zoetis.com/products-services/,7151,https://www.linkedin.com/company/zoetis,Zoetis Inc.,8
Abraxis Bioscience,,204,https://www.linkedin.com/company/abraxis-bioscience,Abraxis BioScience,1
Agrigenetics,,437,https://www.linkedin.com/company/jk-agri-genetics-limited,JK Agri Genetics Limited,23
Arch Biosurgery,,,,,
Arisaph Pharmaceuticals,,10,https://www.linkedin.com/company/arisaph-pharmaceuticals-inc-,"Arisaph Pharmaceuticals, Inc.",6
Bend Research,capsugel.com/locations/bend-oregon-usa,230,https://www.linkedin.com/company/bend-research,"Bend Research, a division of Capsugel",24
Biosphere Medical,merit.com/interventional-oncology-spine/embolotherapy/,52,https://www.linkedin.com/company/biosphere-medical-inc.,"Biosphere Medical, Inc.",6
Delphi Technologies,delphi.com/new-delphi-technologies,2577,https://www.linkedin.com/company/delphitechnologies,Delphi Technologies,0
Dentsply International,corporate.dentsplysirona.com/en.html,6197,https://www.linkedin.com/company/dentsplysirona/jobs,Dentsply Sirona: Jobs,13
Entech Solar,entechsolutions.us/,15,https://www.linkedin.com/company/entech-solar,Entech solar,1
FUJIFILM Dimatix,fujifilmusa.com/products/industrial_inkjet_printheads/index.html,407,https://www.linkedin.com/company/fujifilm-dimatix-inc-,"FUJIFILM Dimatix, Inc.",6
Fenwal,kidde-fenwal.com/,977,https://www.linkedin.com/company/fenwal-inc-a-fresenius-kabi-company,"Fenwal, Inc., a Fresenius Kabi Company",32
Fezza Family Properties,,,https://www.linkedin.com/userp/title/affiliate/allentown,Affiliate in Allentown,22
GR Intellectual Reserve,,1,https://www.linkedin.com/userp/title/lawyer/sumter,Lawyer in Sumter,23
Hewlett-Packard Development Company,www8.hp.com/us/en/home.html,73632,https://www.linkedin.com/company/hp,HP,34
Intrexon CEU,,17,https://www.linkedin.com/userp/title/senior-scientist-at-oxitec-ltd,Top 25 Senior Scientist profiles at Oxitec Ltd,46
KOLON INDUSTRIES,kolonindustries.com/eng/main.asp,376,https://www.linkedin.com/company/kolon-industries-inc,"Kolon Industries, Inc",18
