22nd Century Limited	xxiicentury.com/
BASF Corporation 	basf.com/
BASF Enzymes LLC	enzymes.basf.com/
BASF Plant Science GmbH	agriculture.basf.com/us/en.html
BASF SE	basf.com/
BAXALTA INCORPORATED	shire.com/
BERKEN ENERGY LLC	berkenenergy.com/
BP Corporation North America Inc.	bp.com/en_us/bp-us.html
BRIGHTLEAF TECHNOLOGIES INC.	brightleafpower.com/
BROADCOM CORPORATION	broadcom.com/
Baker Hughes Incorporated	bhge.com/
Banpil Photonics	banpil.com/
Basell Polyolefine GmbH	lyondellbasell.com/
Battelle Memorial Institute	battelle.org/
Bausch & Lomb Incorporated	bausch.com/
Baxter Healthcare SA	baxter.com/
Baxter International Inc.	baxter.com/
Bayer Cropscience AG	cropscience.bayer.com/
Bayer Materialscience LLC	bayer.com/
Bell Helicopter Textron Inc.	bellflight.com/
Beryllium Discovery Corp.	be4.com/
Bigelow Aerospace	bigelowaerospace.com/
Biocon Limited	biocon.com/
Bioneer Corporation	us.bioneer.com/
Biosense Webster (Israel) Ltd.	biosensewebster.com/
Bitrode Corporation	bitrode.com/
BlackBerry Limited	blackberry.com/
Bluestar Silicones France	silicones.elkem.com/
Boehringer Ingelheim International GmbH	boehringer-ingelheim.com/
Boehringer Ingelheim Vetmedica GmbH	bi-vetmedica.com/
Brewer Science Inc.	brewerscience.com/
Bridgestone Corporation	bridgestone.com/
Bristol-Myers Squibb Company	bms.com/
Brother International Corporation	brother-usa.com/
Butamax(TM) Advanced Biofuels LLC	butamax.com/
CLEARSIGN COMBUSTION CORPORATION	clearsign.com/
COOK MEDICAL TECHNOLOGIES LLC	cookmedical.com/
COVERIS FLEXIBLES US LLC	coveris.com/
CP KELCO APS	cpkelco.com/
Cabot Corporation	cabotcorp.com/
Cbrite Inc.	cbriteinc.com/
Cedar Ridge Research	cr-res.com/
Celanese Corporation	celanese.com/
Celanese International Corporation	celanese.com/
Certain-teed Corporation	certainteed.com/
Cetac Technologies Inc.	teledynecetac.com/
Chevron Phillips Chemical Company LP	cpchem.com/
Chevron U.S.A. Inc.	chevron.com/
Chipmos Technologies Inc.	chipmos.com/index-en.aspx
Cima NanoTech Israel Ltd.	cimananotech.com/
Cleanvantage LLC	biovantage.dk/
Coactive Drive Corporation	coactivehs.com/team/
Coloplast A/S	coloplast.us/
Columbia Insurance Company	colinsgrp.com/site/
Community Power Corporation	cpwrfcu.org/
Conoco Inc.	conoco.com/
ConocoPhillips Company	conocophillips.com/
Cook Biotech Incorporated	cookbiotech.com/
CoolEarth Solar	coolearthsolar.com/
Cooper Technologies Company	coopertechnologies.net/
Crestovo LLC	crestovo.com/
Cristal USA Inc.	cristal.com/
Crystal Solar Inc.	xtalsolar.com/
Crystal Solar Incorporated	xtalsolar.com/
Crystalplex Corporation	crystalplex.com/
Custom Electronics Inc.	customelec.com/#!
Cypress Semiconductor Corp.	cypress.com/
D-Wave Systems Inc.	dwavesys.com/
DECA Technologies Inc.	decatechnologies.com/
DISCOVERYBIOMED INC.	discoverybiomed.com/
DSP Group LTD.	dspg.com/
Dana Corporation	dana.com/
Delavau LLC	delavaufood.com/
Deployable Space Systems	dss-space.com/
Dexerials Corporation	dexerials.jp/en/
Dialight Corporation	dialight.com/
Dialogic Corporation	dialogic.com/
DiscoveRx Corporation	discoverx.com/home
Dow AgroSciences LLC	dowagro.com/en-us/
Dow Global Technologies Inc.	dow.com/en-us
Dr. Reddy's Laboratories Ltd.	drreddys.com/
Dresser-Rand Company	dresser-rand.com/
Dymax Corporation	dymax.com/
E Ink Corporation	eink.com/
E. I. du Pont de Nemours and Company	dupont.com/
E. Tech Incorporation	terratechcorp.com/
E.I. du Pont de Nemours and Company	dupont.com/
ECOSYNTHETIX LTD.	ecosynthetix.com/
EMD Technologies Inc.	emd-technologies.com/
EPCOS AG	en.tdk-electronics.tdk.com/
EXOS LLC	teamexos.com/
Eastman Chemical Company	eastman.com/Pages/Home.aspx
EchoStar Technologies LLC	echostar.com/
Ecolab Inc.	ecolab.com/
Electrovaya Inc.	electrovaya.com/
Em-Tech LLC	em-techinc.com/
Envisionit LLC	envisionit.com/
Evernote Corporation	evernote.com/
Evoqua Water Technologies LLC	evoqua.com/
ExxonMobil Chemical Patents Inc.	exxonmobilchemical.com/en
FEI Company	fei.com/careers/
FLOW CONTROL LLC.	flowcontrol.com/
FPInnovations	fpinnovations.ca/
FRONT EDGE TECHNOLOGY INC.	frontedgetechnology.com/
FUJIFILM Corporation	fujifilm.com/
Fairchild Semiconductor Corporation	onsemi.com/
FastCAP Systems Corporation	nanoramic.com/
Federal Signal Corporation	federalsignal.com/
Ferro Corporation	ferro.com/
Fianium Ltd.	nktphotonics.com/
Fike Corporation	fike.com/
Finisar Corporation	finisar.com/
Floadia Corporation	floadia.com/
Fluidigm Corporation	fluidigm.com/
Fujitsu Limited	fujitsu.com/global/
GCP Applied Technologies Inc.	gcpat.com/en
GE Healthcare Limited	gehealthcare.com/
GEN-PROBE INCORPORATED	hologic.com/
GENCO SCIENCES LLC	gpen.com/
GENERAL ELECTRIC COMPANY	ge.com/
GENERAL MOTORS LLC	gm.com/
GIGA SOLAR FPC	gigasolarpv.com/
GLIKNIK INC.	gliknik.com/
GLOBALFOUNDRIES Inc.	globalfoundries.com/
GOAL ZERO LLC	goalzero.com/
Gas Technology Institute	gastechnology.org/
Genesco Inc.	genescopartners.com/
Genzyme Corporation	sanofigenzyme.com/
Gestion Ultra International Inc.	luminultra.com/
Global Eagle Entertainment Inc.	globaleagle.com/
