Name,patent_pattern,rd_pattern,product_pattern,trial_pattern,demo_pattern,manufacturing_pattern,venture_pattern,investment_pattern,university_pattern,partnership_pattern,greenness_pattern,customization_pattern,awards_pattern,membership_pattern,customer_pattern
AstenJohnson,0,2,5,3,4,36,3,1,12,13,11,9,1,2,9
Southwest Research Institute,0,24,4,15,14,59,5,2,13,1,1,2,2,8,14
Crystal Solar,1,0,1,2,2,3,0,0,0,0,0,1,1,0,1
Hoya,0,4,5,1,1,9,0,2,0,10,3,18,3,0,12
Nationwide Children's Hospital,0,55,16,2,1,6,1,10,10,38,2,3,11,11,2
SEEK THERMAL,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
Microchip Technology,1,11,21,7,5,6,3,5,0,8,2,28,2,3,24
MCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NanoTech Lubricants,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
DIC,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Avtaec Limited,0,1,0,0,0,9,0,1,0,2,0,4,4,0,4
FUJIFILM Dimatix,1,20,1,15,5,24,4,4,0,5,15,2,0,0,2
SunEdison,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Atonometrics,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
Lux Bio Group,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Conoco,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2
Nanocopocia,0,11,5,0,0,9,1,0,4,1,1,0,0,2,0
CMC ICOS BIOLOGICS,0,28,4,6,9,47,0,2,18,5,4,11,1,2,16
AVI BioPharma,2,71,12,2,4,10,6,22,66,26,0,0,12,49,0
NanoLab,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MonoSol,0,6,12,11,11,17,1,1,0,20,7,21,11,4,23
Avon Products,2,11,11,11,12,18,0,8,0,1,0,3,1,0,4
Brother,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsubishi Polyester Film,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEIKO NPC,0,2,10,0,1,8,0,3,1,1,0,1,5,1,1
Transitions Optical,0,3,13,1,3,10,0,3,2,12,10,5,2,7,9
Bausch & Lomb,1,59,24,58,54,26,9,17,27,23,8,12,45,32,14
The Paymaster,0,1,2,3,3,8,0,1,0,3,0,6,1,5,15
Schlumberger Technology,6,106,41,34,37,185,48,20,14,66,10,46,11,20,53
MAXLINEAR,0,10,21,12,4,41,9,6,19,23,2,5,1,3,6
Unifrax I,0,1,4,6,0,25,1,2,0,5,9,6,0,0,5
ACell,3,15,10,1,1,17,1,4,18,0,0,1,1,4,1
H R D,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0
Infineon Technologies AG,0,39,43,50,51,116,19,32,7,102,58,31,17,21,41
LG NANOH2O,1,0,1,1,3,5,0,2,0,2,0,0,8,0,0
Nordson,0,1,1,5,5,1,1,1,0,1,0,1,0,1,0
Sustainable Technologies,0,1,1,1,1,4,0,0,0,3,2,0,2,0,2
Cadence Design Systems,2,64,51,58,82,187,19,23,48,42,12,109,19,24,91
Parion Sciences,3,52,0,9,4,6,2,0,22,12,0,0,5,8,0
Nokia,0,6,0,6,7,0,1,2,0,3,7,3,2,0,7
Midori USA,2,5,1,0,0,5,0,1,4,0,2,0,2,1,0
Humanetics,1,48,30,143,139,147,7,15,6,34,1,48,24,10,40
OLYMPUS,1,2,8,6,3,9,0,3,6,39,0,8,12,10,9
SunPower,5,18,8,3,0,26,11,16,20,5,16,3,10,7,3
Fenwal,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Centre de Recherche Industrielle du Quebec,0,0,0,3,3,1,0,1,0,1,0,0,0,0,1
Mitsubishi Metal,0,99,98,31,12,167,33,68,13,94,120,18,13,159,20
Shin-Etsu Chemical Co,2,37,16,2,2,49,6,10,0,7,2,12,4,1,12
Lovelace Respiratory Research Institute,0,15,3,13,8,2,1,4,6,2,1,0,6,0,0
Marathon Equipment Company,0,0,0,0,0,8,0,0,0,2,3,5,0,1,5
Sysmex,0,3,1,0,0,1,0,2,0,1,2,0,1,0,0
Linne Industries,0,8,7,3,1,20,0,3,5,0,4,1,2,10,5
Syngenta Participations AG,48,169,99,43,59,184,23,45,50,246,224,67,14,81,61
Autonomic Materials,0,10,0,1,68,6,0,4,2,0,0,0,0,1,0
Janssen Biotech,0,3,3,7,6,2,0,0,8,4,2,0,1,1,0
Biotta,0,4,7,2,2,32,0,0,0,2,0,1,2,0,6
PLEX,1,10,24,5,1,21,8,4,6,11,0,8,2,3,11
Authenex,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0
CERION,3,37,29,5,2,45,11,20,15,21,2,17,6,14,8
AFMODEL,0,0,119,0,1,2,1,0,0,0,0,0,0,1,3
Sick AG,5,41,27,14,7,65,2,10,22,11,7,9,20,8,8
The Goodyear Tire & Rubber Company,0,1,81,0,2,14,0,7,1,12,0,41,42,18,38
Carver Scientific,1,10,2,0,1,2,2,0,4,1,4,0,0,0,1
Mitsubishi Electric,4,58,80,52,43,160,20,19,4,46,73,20,45,17,24
GOLBA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2
Novozymes A|S,0,5,3,2,1,4,1,1,0,8,16,10,0,0,12
Kinestral Technologies,2,3,3,0,0,6,1,5,10,1,8,0,0,0,2
Basell Polyolefine,2,12,90,29,44,91,18,57,3,30,9,11,22,7,12
Finisar,4,17,23,4,11,59,11,13,19,20,9,9,13,5,11
Amprius,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0
Altivera,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Cleanvantage,2,6,4,7,18,23,1,6,3,5,1,1,2,0,1
Babcock Power Services,2,4,13,0,0,43,4,4,16,4,4,13,2,2,16
FUJIFILM,6,42,17,22,10,28,9,18,9,32,24,3,28,3,7
Lake Lite,0,0,6,1,1,2,0,0,0,0,0,3,0,3,4
Aurrion,0,21,29,4,2,32,15,41,55,32,0,55,38,23,82
Adtran,1,1,0,0,2,2,0,1,1,6,2,3,0,0,3
KR Design House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litron Laboratories Limited,0,10,1,2,4,0,0,2,0,0,0,0,2,0,1
FLIR Systems,1,6,24,10,11,19,0,4,1,33,5,13,4,8,17
Eastman Chemical Company,0,17,27,16,22,66,19,16,15,40,39,17,59,23,21
Johnson Matthey PLC,1,11,5,6,4,22,0,18,0,5,23,28,0,5,29
POET Research,3,15,3,6,1,25,0,1,0,0,12,0,1,0,0
GE-Hitachi Nuclear Energy Americas,0,22,8,20,10,34,1,9,4,26,7,13,32,1,13
TMC,0,0,1,2,2,0,0,0,0,0,0,0,0,4,0
Boehringer Ingelheim Vetmedica,0,17,3,7,9,8,2,0,2,8,0,6,6,2,6
SixPoint Materials,0,10,0,1,0,6,0,0,6,0,1,0,5,0,0
Quantum Materials,5,23,2,4,2,38,0,4,12,7,4,0,11,6,1
Tufts Medical Center,2,140,33,35,22,15,4,16,108,74,3,3,65,48,5
Sumitomo Electric Industries,2,33,52,20,28,87,6,11,1,19,10,12,7,11,12
Optodot,13,10,2,6,5,10,0,2,2,6,0,0,1,1,0
FULL CIRCLE BIOCHAR,2,18,5,0,0,14,5,9,12,1,6,2,0,3,0
Triple Ring Technologies,0,12,3,2,0,5,0,1,0,2,0,0,0,1,4
KT,0,34,39,25,29,25,13,17,9,55,71,67,28,33,66
Ion Power Group,10,18,4,4,4,13,0,2,7,2,5,0,8,2,0
LIQUID X PRINTED METALS,0,5,0,2,2,13,1,6,20,5,1,3,4,7,2
Lehigh Technologies,0,4,0,1,0,4,0,0,0,0,3,5,0,0,5
Tokyo Electron Limited,5,30,31,16,15,66,35,5,5,29,9,4,37,17,5
Ideal Power,3,4,3,1,1,9,0,4,4,0,3,4,1,1,4
INTEVAC,0,2,7,4,3,29,0,1,0,8,0,13,0,6,13
DHPC TECHNOLOGIES,1,6,3,2,2,17,1,1,2,0,0,8,2,0,8
Everspin Technologies,1,1,8,4,2,15,0,3,0,9,0,0,0,1,0
ALSTOM Technology,1,8,13,4,4,13,3,10,1,28,16,15,2,6,13
SOLAZYME,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
DSP Group,2,15,6,3,2,21,0,10,1,21,0,17,4,8,22
Battelle Memorial Institute,0,82,13,18,17,27,3,7,8,10,13,1,8,8,5
Revera,0,36,16,21,24,6,9,43,5,59,27,1,14,20,6
Sumitomo Rubber Industries,0,5,9,11,6,20,0,1,0,2,0,2,0,1,2
LGS Innovations,6,105,7,12,8,74,30,28,71,24,0,34,24,32,33
Epizyme,0,39,11,6,2,6,7,14,33,39,2,0,4,7,2
Federal Signal,0,1,3,5,1,6,0,4,0,0,1,3,2,0,3
Instron,0,47,23,220,219,33,3,3,7,10,2,17,2,3,16
Solight Solar,0,0,3,2,2,1,0,0,0,0,0,1,0,0,0
PDF Solutions,0,0,5,4,6,15,0,4,5,0,0,0,0,0,1
Combined Energies,1,4,2,0,0,6,0,0,1,2,2,0,1,1,0
Zygo,3,2,13,10,12,44,2,1,0,2,2,5,0,3,2
Molecular Rebar Design,10,9,0,0,0,18,1,1,12,6,0,2,12,8,3
Alencon Acquisition Co,1,0,3,0,1,2,0,0,0,2,1,0,0,1,0
Blue Sea Systems,0,0,11,0,1,9,4,0,0,7,1,9,7,1,4
BERKEN ENERGY,1,0,0,0,0,8,0,0,0,0,2,0,0,0,0
Calysta,8,49,12,19,1,54,20,55,40,24,35,4,12,20,11
Semprius,2,4,22,9,11,53,2,6,0,2,8,2,2,0,3
Micron Technology,0,8,14,31,17,26,4,5,1,14,8,14,1,10,16
Koch Biological Solutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExxonMobil Upstream Research Company,3,120,134,46,80,271,16,103,39,101,46,24,17,18,31
ASTUTE MEDICAL,7,1,2,4,8,6,0,0,0,0,0,1,0,1,1
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,6,166,35,124,118,67,3,10,21,71,66,5,2,13,16
DuPont Teijin Films US Limited Partnership,0,5,7,4,3,13,0,0,0,9,2,12,1,0,12
Evoqua Water Technologies,0,1,43,5,3,5,0,0,0,8,1,10,2,7,11
Christie Digital Systems,3,1,19,8,17,19,1,5,1,17,6,27,18,3,26
Power Integrations,4,2,7,12,12,5,2,8,2,5,19,4,4,2,6
Sanuvox Technologies,1,3,7,1,1,5,0,1,0,0,2,0,0,0,0
Akron Polymer Systems,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0
Astech,1,0,2,1,1,0,0,0,0,0,0,2,2,0,2
ITN Energy Systems,1,36,11,2,0,45,3,7,12,18,3,2,3,3,1
ATOMERA,4,5,0,0,1,16,1,3,8,0,0,0,0,0,0
NANO CELL SYSTEMS,1,0,1,1,0,4,0,0,0,2,0,0,0,0,0
Teradata US,1,8,12,2,3,18,5,13,9,26,6,38,10,4,40
Ecolab,4,10,12,10,6,76,4,6,1,22,32,60,4,2,57
Little Kids,0,1,1,1,0,2,0,1,0,0,0,0,1,0,0
Cree,26,4,21,5,7,37,2,6,1,51,11,3,2,0,3
MATERIALS ANALYSIS TECHNOLOGY (US) CORP,0,30,13,24,13,21,1,5,2,8,1,10,7,0,10
Egenera,1,5,49,2,3,18,1,4,8,50,2,19,5,5,26
United Technologies,0,19,5,4,5,16,3,13,3,11,5,12,0,23,12
Suganit Systems,2,8,1,0,0,11,0,0,2,1,11,0,0,0,0
VERLASE TECHNOLOGIES,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0
Tosoh,1,1,7,3,2,32,5,8,0,3,2,3,0,5,5
Buckman Laboratories,0,4,10,5,4,16,0,1,0,6,2,20,0,4,18
TDK,1,34,59,20,7,78,9,5,3,8,10,20,2,15,22
Robert Bosch,4,139,55,21,19,120,6,16,12,84,106,14,8,29,19
Vascular BioSciences,4,25,7,6,3,20,2,6,29,4,0,0,20,7,0
Nanospectra Biosciences,0,10,2,1,2,1,0,5,3,6,0,0,0,0,0
Valicor,1,1,2,8,2,14,0,0,0,0,5,2,0,0,2
Locus Energy,4,2,2,1,1,3,5,9,0,1,0,5,1,0,8
L-3 Communications Cincinnati Electronics,0,2,1,3,3,6,0,0,1,1,0,0,0,1,0
RJ Reynolds Tobacco Company,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0
MERCK SHARP & DOHME CORP,14,662,58,201,126,206,18,112,117,261,53,24,55,98,29
DRS Network & Imaging Systems,1,22,8,17,11,27,10,10,37,10,9,13,15,6,16
Atom Nanoelectronics,2,20,5,1,1,19,1,6,3,6,1,1,5,2,3
Intermolecular,1,8,4,9,3,9,1,1,7,13,1,11,1,0,12
GLIKNIK,4,28,19,7,4,7,3,20,20,9,0,0,4,12,0
St Microelectronics,13,50,42,44,23,184,38,9,9,59,50,66,3,15,68
Andritz,3,39,28,8,37,66,9,15,3,109,24,28,2,23,24
Scientific Design Company,0,3,0,0,0,9,0,0,0,2,0,0,0,0,6
Interface Performance Materials,0,18,8,20,12,62,1,4,0,5,0,17,2,1,14
BP North America,0,1,2,3,3,26,1,26,0,4,9,2,0,0,2
Courtagen Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCED INNOVATION CENTER,0,3,9,3,1,3,0,0,0,6,0,0,0,0,0
Ecovative Design,0,58,4,11,6,49,9,3,33,3,6,0,7,9,0
Ambature,4,17,3,5,5,10,2,10,13,3,6,0,0,4,1
CP KELCO APS,0,8,5,4,0,21,0,5,0,3,7,18,1,0,21
Praxair ST Technology,0,55,14,23,11,48,7,30,6,80,106,50,15,14,49
WCA Group,0,0,0,0,0,2,0,1,0,3,0,1,0,0,3
VIASAT,0,2,2,6,3,6,0,1,1,6,0,9,4,0,14
Innolux,0,10,14,14,4,45,5,7,19,8,21,16,48,4,18
SUNSALUTER,0,11,1,0,0,10,0,3,13,4,10,0,2,7,0
Pinnacle Technology,0,22,1,3,3,0,1,0,0,1,0,9,0,0,18
Novus Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
