organization,organization_clnd,thes_types, employees
"Immunolight, LLC",Immunolight,Corporate,2
"Integrated Solar Technology, LLC",Integrated Solar Technology,Corporate,2
"KR Design House, Inc.",KR Design House,Corporate,2
"LAVA ENERGY SYSTEMS, INC.",LAVA ENERGY SYSTEMS,Corporate,2
"Livetv, LLC",Livetv,Corporate,2
"Lux Bio Group, Inc.",Lux Bio Group,Corporate,2
"Magnolia Solar, Inc.",Magnolia Solar,Corporate,2
"Matrix Genetics, LLC",Matrix Genetics,Corporate,2
"Mattson Technology, Inc.",Mattson Technology,Corporate,2
"Micro Cooling Concepts, Inc.",Micro Cooling Concepts,Corporate,2
"NanoOncology, Inc.",NanoOncology,Corporate,2
"Pharmatrophix, Inc.",Pharmatrophix,Corporate,2
"Plant Sensory Systems, LLC",Plant Sensory Systems,Corporate,2
"PortaFire, Inc.",PortaFire,Corporate,2
"S&S X-Ray Products, Inc.",S&S X-Ray Products,Corporate,2
"SOL-ELECTRICA, LLC",SOL-ELECTRICA,Corporate,2
"Senga Advisors, LLC",Senga Advisors,Corporate,2
"Sinton Consulting, Inc.",Sinton Consulting,Corporate,2
"Sophoro Biotechnologies, LLC",Sophoro Biotechnologies,Corporate,2
"Terra Caloric, LLC",Terra Caloric,Corporate,2
"True-Safe Technologies, Inc.",True-Safe Technologies,Corporate,2
Anlinx,Anlinx,Corporate,2
BROOKLYN QUANTUM WORKS,BROOKLYN QUANTUM WORKS,Corporate,2
Monarch Power Corp,Monarch Power Corp,Corporate,2
Soliton Lasers,Soliton Lasers,Corporate,2
Sun Synchrony,Sun Synchrony,Corporate,2
"Magnolia Solar, Inc.University of Miami",Magnolia Solar,Corporate,2
"Ablexis, LLC",Ablexis,Corporate,3
"Alliance for Sustainable Energy, LLC",Alliance for Sustainable Energy,Corporate,3
"Astech, Inc.",Astech,Corporate,3
"Avello Bioenery, Inc.",Avello Bioenery,Corporate,3
"Building Envelope Innovations, LLC",Building Envelope Innovations,Corporate,3
"Disney Enterprises, Inc.",Disney Enterprises,Corporate,3
"ENI Technology, Inc.",ENI Technology,Corporate,3
"Ford Global Technologies, Inc.",Ford Global Technologies,Corporate,3
"Foret Plasma Labs, LLC",Foret Plasma Labs,Corporate,3
"GROW ENERGY, INC.",GROW ENERGY,Corporate,3
"HM3 Energy, Inc.",HM3 Energy,Corporate,3
"HTS, Inc.",HTS,Corporate,3
"MicroContinuum, Inc.",MicroContinuum,Corporate,3
"Nanoquantum Sciences, Inc.",Nanoquantum Sciences,Corporate,3
"Neural Signals, Inc.",Neural Signals,Corporate,3
"Neutronic Perpetual Innovations, LLC",Neutronic Perpetual Innovations,Corporate,3
"New Technology Ventures, Inc.",New Technology Ventures,Corporate,3
"OAS Design Group, Inc.",OAS Design Group,Corporate,3
"SOLARTONIC, LLC",SOLARTONIC,Corporate,3
"Synthezyme, LLC",Synthezyme,Corporate,3
"THE SWEET LIVING GROUP, LLC",THE SWEET LIVING GROUP,Corporate,3
"TP Solar, Inc.",TP Solar,Corporate,3
"Tensor, Inc.",Tensor,Corporate,3
"Vindico NanoBioTechnology, LLC",Vindico NanoBioTechnology,Corporate,3
Total Marketing Services,Total Marketing Services,Corporate,3
"Sumitomo Rubber Industries, Ltd. ",Sumitomo Rubber Industries,Corporate,3
"Wostec, Inc. 032138/0242",Wostec,Corporate,3
"ADMA Products, Inc.",ADMA Products,Corporate,4
"Adynxx, Inc.",Adynxx,Corporate,4
"Annam Biosciences, LLC",Annam Biosciences,Corporate,4
"Anterios, Inc.",Anterios,Corporate,4
"Elcriton, Inc.",Elcriton,Corporate,4
"Enginuity Worldwide, LLC",Enginuity Worldwide,Corporate,4
"Genia Technologies, Inc.",Genia Technologies,Corporate,4
"GeoSynFuels, LLC",GeoSynFuels,Corporate,4
"Gracenote, Inc.",Gracenote,Corporate,4
"Graphene Technologies, Inc.",Graphene Technologies,Corporate,4
"Industrial Solar Heating Systems, LLC",Industrial Solar Heating Systems,Corporate,4
"LUCERA LABS, INC.",LUCERA LABS,Corporate,4
"Lyotropic Therapeutics, Inc.",Lyotropic Therapeutics,Corporate,4
"Magnolia Optical Technologies, Inc.",Magnolia Optical Technologies,Corporate,4
"Microsurge, Inc.",Microsurge,Corporate,4
"Morpho, Inc.",Morpho,Corporate,4
"Nanotech Biomachines, Inc.",Nanotech Biomachines,Corporate,4
"Nokomis, Inc.",Nokomis,Corporate,4
"Nordic Technologies, Inc.",Nordic Technologies,Corporate,4
"PluroGen Therapeutics, Inc.",PluroGen Therapeutics,Corporate,4
"Renewable Power Conversion, Inc.",Renewable Power Conversion,Corporate,4
"Senaya, Inc.",Senaya,Corporate,4
"SixPoint Materials, Inc.",SixPoint Materials,Corporate,4
"Solight Solar, Inc.",Solight Solar,Corporate,4
"Suganit Systems, Inc.",Suganit Systems,Corporate,4
"Tekkware, Inc.",Tekkware,Corporate,4
"ZENA TECHNOLOGIES, INC.",ZENA TECHNOLOGIES,Corporate,4
Cooper Technologies Company,Cooper Technologies Company,Corporate,4
Green Extraction Technologies,Green Extraction Technologies,Corporate,4
Research Triangle Institute,Research Triangle Institute,Corporate,4
SUNSALUTER,SUNSALUTER,Corporate,4
Sanuvox Technologies,Sanuvox Technologies,Corporate,4
"ALGETERNAL TECHNOLOGIES, LLC",ALGETERNAL TECHNOLOGIES,Corporate,5
"AVI BioPharma, Inc.",AVI BioPharma,Corporate,5
"AVOGY, INC.",AVOGY,Corporate,5
"Copernicus Therapeutics, Inc.",Copernicus Therapeutics,Corporate,5
"HNO Greenfuels, Inc.",HNO Greenfuels,Corporate,5
"Ibis Biosciences, Inc.",Ibis Biosciences,Corporate,5
"MBC Ventures, Inc.",MBC Ventures,Corporate,5
"Ovonic Battery Company, Inc.",Ovonic Battery Company,Corporate,5
"Perkinelmer Holdings, Inc.",Perkinelmer Holdings,Corporate,5
"Planet ATE, Inc.",Planet ATE,Corporate,5
"Proton Power, Inc.",Proton Power,Corporate,5
"Renewable Algal Energy, LLC",Renewable Algal Energy,Corporate,5
"SPICE SOLAR, INC.",SPICE SOLAR,Corporate,5
"Stablcor Technology, Inc.",Stablcor Technology,Corporate,5
"THE BOARD INSTITUTE, INC.",THE BOARD INSTITUTE,Corporate,5
"TT Technologies, Inc.",TT Technologies,Corporate,5
"Transposagen Biopharmaceuticals, Inc.",Transposagen Biopharmaceuticals,Corporate,5
"Vaxiion Therapeutics, Inc.",Vaxiion Therapeutics,Corporate,5
"Verliant Energy, Inc.",Verliant Energy,Corporate,5
NOVA PANGAEA TECHNOLOGIES LIMITED,NOVA PANGAEA TECHNOLOGIES LIMITED,Corporate,5
"ADVANCED CERAMIC FIBERS, LLC",ADVANCED CERAMIC FIBERS,Corporate,6
"API Intellectual Property Holdings, LLC",API Intellectual Property Holdings,Corporate,6
"Atom Nanoelectronics, Inc",Atom Nanoelectronics,Corporate,6
"Brightfield Transportation Solutions, Inc.",Brightfield Transportation Solutions,Corporate,6
"Cura Vac, Inc.",Cura Vac,Corporate,6
"Express Imaging Systems, LLC",Express Imaging Systems,Corporate,6
"Ion Power Group, LLC",Ion Power Group,Corporate,6
"Nanotek Instruments, Inc.",Nanotek Instruments,Corporate,6
"Narsys, LLC",Narsys,Corporate,6
"Pardev, LLC",Pardev,Corporate,6
"Rapamycin Holdings, LLC",Rapamycin Holdings,Corporate,6
"Redwood Systems, Inc.",Redwood Systems,Corporate,6
"Reynolds Technologies, Inc.",Reynolds Technologies,Corporate,6
"Taxon Biosciences, Inc.",Taxon Biosciences,Corporate,6
"Tufts Medical Center, Inc.",Tufts Medical Center,Corporate,6
Coloplast A/S,Coloplast A/S,Corporate,6
IDEALAB,IDEALAB,Corporate,6
Industrial Technology Research Institute,Industrial Technology Research Institute,Corporate,6
Ricoh Company Limited,Ricoh Company Limited,Corporate,6
Two Blades Foundation,Two Blades Foundation,Corporate,6
"540 Grid Solutions, LLC",540 Grid Solutions,Corporate,7
"Easel Biotechnologies, LLC",Easel Biotechnologies,Corporate,7
"Handstand Innovations, LLC",Handstand Innovations,Corporate,7
"Leap Frogg, LLC",Leap Frogg,Corporate,7
"Longhorn Vaccines and Diagnostics, LLC",Longhorn Vaccines and Diagnostics,Corporate,7
"Nexcom Technology, Inc.",Nexcom Technology,Corporate,7
"Propagation Research Associates, Inc.",Propagation Research Associates,Corporate,7
"SD Technologies, LLC",SD Technologies,Corporate,7
"SNS NANO FIBER TECHNOLOGY, LLC",SNS NANO FIBER TECHNOLOGY,Corporate,7
"Strategic Solar Energy, LLC",Strategic Solar Energy,Corporate,7
"TOMOWAVE LABORATORIES, INC.",TOMOWAVE LABORATORIES,Corporate,7
"The Carbon Cable Company, LLC",The Carbon Cable Company,Corporate,7
"Theraclone Sciences, Inc.",Theraclone Sciences,Corporate,7
"VINYLAST, INC.",VINYLAST,Corporate,7
Cedar Ridge Research,Cedar Ridge Research,Corporate,7
Global Filtration Systems,Global Filtration Systems,Corporate,7
Kabushikikaisha Toshiba,Kabushikikaisha Toshiba,Corporate,7
"Atonometrics, Inc.",Atonometrics,Corporate,8
"Auterra, Inc.",Auterra,Corporate,8
"Ethicon Endo-Surgery, Inc.",Ethicon Endo-Surgery,Corporate,8
"Global Solar Water Power Systems, Inc.",Global Solar Water Power Systems,Corporate,8
"Lumenco, LLC",Lumenco,Corporate,8
"Manta Instruments, Inc.",Manta Instruments,Corporate,8
"Metabolix, Inc.",Metabolix,Corporate,8
"Nanoridge Materials, Inc.",Nanoridge Materials,Corporate,8
"Simple Approach Systems, Inc.",Simple Approach Systems,Corporate,8
"Tessera, Inc.",Tessera,Corporate,8
"Wizard Labs, LLC",Wizard Labs,Corporate,8
"Ziptronix, Inc.",Ziptronix,Corporate,8
Banpil Photonics,Banpil Photonics,Corporate,8
TRITON MICROTECHNOLOGIES,TRITON MICROTECHNOLOGIES,Corporate,8
The Babcock & Wilcox Company,The Babcock & Wilcox Company,Corporate,8
"Pacific Light Technologies, Corp.",Pacific Light Technologies,Corporate,8
"ATC Technologies, LLC",ATC Technologies,Corporate,9
"ATTOSTAT, INC.",ATTOSTAT,Corporate,9
"Aurrion, Inc.",Aurrion,Corporate,9
"BHA Technologies, Inc.",BHA Technologies,Corporate,9
"BIND Therapeutics, Inc.",BIND Therapeutics,Corporate,9
"CI4 Technologies, Inc.",CI4 Technologies,Corporate,9
"Cellular Research, Inc.",Cellular Research,Corporate,9
"Continental Manufacturing, LLC",Continental Manufacturing,Corporate,9
"Green Box Batteries, LLC.",Green Box Batteries,Corporate,9
"Inaeris Technologies, LLC",Inaeris Technologies,Corporate,9
"LIQUID X PRINTED METALS, INC.",LIQUID X PRINTED METALS,Corporate,9
"Midori USA, Inc.",Midori USA,Corporate,9
"Taiwan Semiconductor Manufacturing Company, Ltd.",Taiwan Semiconductor Manufacturing Company,Corporate,9
"Wireless Environment, LLC",Wireless Environment,Corporate,9
"adaptiveARC, Inc.",adaptiveARC,Corporate,9
Roche Innovation Center Copenhagen A/S,Roche Innovation Center Copenhagen A/S,Corporate,9
"Accuri Cytometers, Inc.",Accuri Cytometers,Corporate,10
"Arisaph Pharmaceuticals, Inc.",Arisaph Pharmaceuticals,Corporate,10
"Arrowhead Center, Inc.",Arrowhead Center,Corporate,10
"Dermazone Solutions, Inc.",Dermazone Solutions,Corporate,10
"Handylab, Inc.",Handylab,Corporate,10
"MICROMIDAS, INC.",MICROMIDAS,Corporate,10
"Nanospectra Biosciences, Inc.",Nanospectra Biosciences,Corporate,10
"PAX Scientific, Inc.",PAX Scientific,Corporate,10
"Singular Bio, Inc.",Singular Bio,Corporate,10
"TECHNOLOGY RESEARCH, LLC",TECHNOLOGY RESEARCH,Corporate,10
"Tapwave, Inc.",Tapwave,Corporate,10
International Technology Center,International Technology Center,Corporate,10
Kimberly-Clark Worldwide,Kimberly-Clark Worldwide,Corporate,10
The Iams Company,The Iams Company,Corporate,10
"Autonomic Materials, Inc.",Autonomic Materials,Corporate,11
"Carver Scientific, Inc.",Carver Scientific,Corporate,11
"Forest Concepts, LLC",Forest Concepts,Corporate,11
"Medical Diagnostic Laboratories, LLC",Medical Diagnostic Laboratories,Corporate,11
"Mumetel, LLC",Mumetel,Corporate,11
"STANDARD ALCOHOL COMPANY OF AMERICA, INC.",STANDARD ALCOHOL COMPANY OF AMERICA,Corporate,11
"Semprius, Inc.",Semprius,Corporate,11
"Solarmer Energy, Inc.",Solarmer Energy,Corporate,11
"Tessera Advanced Technologies, Inc.",Tessera Advanced Technologies,Corporate,11
"Zyvex Labs, LLC",Zyvex Labs,Corporate,11
GIGA SOLAR FPC,GIGA SOLAR FPC,Corporate,11
Vascular BioSciences,Vascular BioSciences,Corporate,11
"Advanced Water Technology, Inc.",Advanced Water Technology,Corporate,12
"Aurora Alage, Inc.",Aurora Alage,Corporate,12
"Integrated Nano-Technologies, LLC",Integrated Nano-Technologies,Corporate,12
"Nova Technologies, Inc.",Nova Technologies,Corporate,12
"Performance Plants, Inc.",Performance Plants,Corporate,12
"Previvo Genetics, LLC",Previvo Genetics,Corporate,12
"Revivicor, Inc.",Revivicor,Corporate,12
"Sustainable Technologies, LLC",Sustainable Technologies,Corporate,12
"TECNIUM, LLC",TECNIUM,Corporate,12
"TetraSun, Inc.",TetraSun,Corporate,12
"eNow, Inc.",eNow,Corporate,12
Gula Consulting Limited Liability Company,Gula Consulting Limited Liability Company,Corporate,12
ZON,ZON,Corporate,12
"Production Resource Group, L.L.C.",Production Resource Group,Corporate,12
"Acorn Technologies, Inc.",Acorn Technologies,Corporate,13
"Authenex, Inc.",Authenex,Corporate,13
"CYBERCITY 3D, INC",CYBERCITY 3D,Corporate,13
"Hollywood Trucks, LLC",Hollywood Trucks,Corporate,13
"Maxout Renewables, Inc.",Maxout Renewables,Corporate,13
"Neumedicines, Inc.",Neumedicines,Corporate,13
"PNM, Inc.",PNM,Corporate,13
"SDCmaterials, Inc.",SDCmaterials,Corporate,13
"Suncore Photovoltaics, Incorporated",Suncore Photovoltaics,Corporate,13
"Tersus Environmental, LLC",Tersus Environmental,Corporate,13
"W&Wsens Devices, Inc.",W&Wsens Devices,Corporate,13
"Applied Biosystems, LLC",Applied Biosystems,Corporate,14
"Confluence Energy, LLC",Confluence Energy,Corporate,14
"Landauer, Inc.",Landauer,Corporate,14
"Ruse Technologies, LLC",Ruse Technologies,Corporate,14
"Tesla Nanocoatings, Inc.",Tesla Nanocoatings,Corporate,14
Hollingsworth & Vose Company,Hollingsworth & Vose Company,Corporate,14
"AltaRock Energy, Inc.",AltaRock Energy,Corporate,15
"Component Re-Engineering Company, Inc.",Component Re-Engineering Company,Corporate,15
"Entech Solar, Inc.",Entech Solar,Corporate,15
"Innovalight, Inc.",Innovalight,Corporate,15
"MirTech, Inc.",MirTech,Corporate,15
"Northwest Biotherapeutics, Inc.",Northwest Biotherapeutics,Corporate,15
"Ormet Circuits, Inc.",Ormet Circuits,Corporate,15
"Solexa, Inc.",Solexa,Corporate,15
"Tela Innovations, Inc.",Tela Innovations,Corporate,15
"Wikipad, Inc.",Wikipad,Corporate,15
"k-Space Associates, Inc.",k-Space Associates,Corporate,15
Gas Technology Institute,Gas Technology Institute,Corporate,15
"Skidmore, Owings & Merrill LLP",Skidmore,Corporate,15
"Akron Polymer Systems, Inc.",Akron Polymer Systems,Corporate,16
"Ampio Pharmaceuticals, Inc.",Ampio Pharmaceuticals,Corporate,16
"Cambridge Electronics, Inc.",Cambridge Electronics,Corporate,16
"ESCAPE THERAPEUTICS, INC.",ESCAPE THERAPEUTICS,Corporate,16
"GE Healthcare Dharmacon, Inc.",GE Healthcare Dharmacon,Corporate,16
"HIQ SOLAR, INC.",HIQ SOLAR,Corporate,16
"Industrial Origami, Inc.",Industrial Origami,Corporate,16
Rima Enterprises,Rima Enterprises,Corporate,16
"AxioMx, Inc.",AxioMx,Corporate,17
"Element One, Inc.",Element One,Corporate,17
"Intrexon CEU, Inc.",Intrexon CEU,Corporate,17
"Pentron Clinical Technologies, LLC",Pentron Clinical Technologies,Corporate,17
"Roche Diabetes Care, Inc.",Roche Diabetes Care,Corporate,17
"Sierra Sciences, LLC",Sierra Sciences,Corporate,17
"Synaptic Research, LLC",Synaptic Research,Corporate,17
Corporation for National Research Initiatives,Corporation for National Research Initiatives,Corporate,17
Litron Laboratories Limited,Litron Laboratories Limited,Corporate,17
Nutech Ventures,Nutech Ventures,Corporate,17
PolyPlus Battery Company,PolyPlus Battery Company,Corporate,17
"Ambature, Inc.",Ambature,Corporate,18
"Calysta, Inc.",Calysta,Corporate,18
"Facebook, Inc.",Facebook,Corporate,18
"Formula Plastics, Inc.",Formula Plastics,Corporate,18
"Smart Planet Technologies, Inc.",Smart Planet Technologies,Corporate,18
Canon Kabushiki Kaisha,Canon Kabushiki Kaisha,Corporate,18
"APPLIED SUNSHINE, LLC",APPLIED SUNSHINE,Corporate,19
"Ansun Biopharma, Inc.",Ansun Biopharma,Corporate,19
"Courtagen Life Sciences, Inc.",Courtagen Life Sciences,Corporate,19
"Delta Electronics, Inc.",Delta Electronics,Corporate,19
"Genisphere, LLC",Genisphere,Corporate,19
"MICROSOFT TECHNOLOGY LICENSING, LLC",MICROSOFT TECHNOLOGY LICENSING,Corporate,19
"Molecular Rebar Design, LLC",Molecular Rebar Design,Corporate,19
"Nanoholdings, LLC",Nanoholdings,Corporate,19
"Novon, Inc.",Novon,Corporate,19
"Parion Sciences, Inc.",Parion Sciences,Corporate,19
Deployable Space Systems,Deployable Space Systems,Corporate,19
WADHAM ENERGY LP,WADHAM ENERGY LP,Corporate,19
"Aushon Biosystems, Inc.",Aushon Biosystems,Corporate,20
"Bird-B-Gone, Inc.",Bird-B-Gone,Corporate,20
"Energysolutions, LLC",Energysolutions,Corporate,20
"Joule Unlimited Technologies, Inc.",Joule Unlimited Technologies,Corporate,20
"Sirnaomics, Inc.",Sirnaomics,Corporate,20
"WestPoint Home, Inc.",WestPoint Home,Corporate,20
"WiSys Technology Foundation, Inc.",WiSys Technology Foundation,Corporate,20
"Alcotek, Inc.",Alcotek,Corporate,21
"Bruin Biometrics, LLC",Bruin Biometrics,Corporate,21
"Echogen Power Systems, LLC",Echogen Power Systems,Corporate,21
"Precision Custom Coatings, LLC",Precision Custom Coatings,Corporate,21
"Pulse Therapeutics, Inc.",Pulse Therapeutics,Corporate,21
Swagelok Company,Swagelok Company,Corporate,21
"Gemex Systems, Inc.",Gemex Systems,Corporate,22
"PELLION TECHNOLOGIES, INC.",PELLION TECHNOLOGIES,Corporate,22
"Quantapore, Inc.",Quantapore,Corporate,22
"Wentworth Laboratories, Inc.",Wentworth Laboratories,Corporate,22
"Dynamic Solutions Worldwide, LLC",Dynamic Solutions Worldwide,Corporate,23
"GTherm, Inc.",GTherm,Corporate,23
"NuOrtho Surgical, Inc.",NuOrtho Surgical,Corporate,23
fybr,fybr,Corporate,23
"ElectraTherm, Inc.",ElectraTherm,Corporate,24
"Microchips Biotech, Inc.",Microchips Biotech,Corporate,24
"Pendar Technologies, LLC",Pendar Technologies,Corporate,24
"Rillito Rive Solar, LLC",Rillito Rive Solar,Corporate,24
"Sundrop Fuels, Inc.",Sundrop Fuels,Corporate,24
CoolEarth Solar,CoolEarth Solar,Corporate,24
HOWARD INDUSTRIES,HOWARD INDUSTRIES,Corporate,24
POLAR LIGHT TECHNOLOGIES AB,POLAR LIGHT TECHNOLOGIES AB,Corporate,24
"Diamond Innovations, Inc.",Diamond Innovations,Corporate,25
"Kamtec, LLC",Kamtec,Corporate,25
"Altivera, LLC",Altivera,Corporate,26
"Garland Industries, Inc.",Garland Industries,Corporate,26
"Xyleco, Inc.",Xyleco,Corporate,26
"GlaxoSmithKline Biologicals, S.A.",GlaxoSmithKline Biologicals,Corporate,26
"ALF OPERATING PARTNERS, LTD.",ALF OPERATING PARTNERS,Corporate,27
"Travis Industries, Inc.",Travis Industries,Corporate,27
Centre de Recherche Industrielle du Quebec,Centre de Recherche Industrielle du Quebec,Corporate,27
"Bisco, Inc.",Bisco,Corporate,28
"Extech/Exterior Technologies, Inc.",Extech/Exterior Technologies,Corporate,28
"Great American Duck Races, Inc.",Great American Duck Races,Corporate,28
"ITN Energy Systems, Inc.",ITN Energy Systems,Corporate,28
"KAI Pharmaceuticals, Inc.",KAI Pharmaceuticals,Corporate,28
Angstron Materials,Angstron Materials,Corporate,28
"PLYCEM USA, INC.",PLYCEM USA,Corporate,29
"Arpin Renewable Energy, LLC",Arpin Renewable Energy,Corporate,30
"Ojai Retinal Technology, LLC",Ojai Retinal Technology,Corporate,30
"Quantum Devices, Inc.",Quantum Devices,Corporate,30
"STATS ChipPAC, Ltd.",STATS ChipPAC,Corporate,30
"Sweetwater Energy, Inc.",Sweetwater Energy,Corporate,30
"Tarveda Therapeutics, Inc.",Tarveda Therapeutics,Corporate,30
LORDO AMERICA,LORDO AMERICA,Corporate,30
"AROG PHARMACEUTICALS, INC.",AROG PHARMACEUTICALS,Corporate,31
"Agrivida, Inc.",Agrivida,Corporate,31
"Applied Membrane Technologies, Inc.",Applied Membrane Technologies,Corporate,31
"Diamicron, Inc.",Diamicron,Corporate,31
"Ensyn Renewables, Inc.",Ensyn Renewables,Corporate,31
"NanoTech Lubricants, LLC",NanoTech Lubricants,Corporate,31
"Solan, LLC",Solan,Corporate,31
"WOVN, INC.",WOVN,Corporate,31
Rhodia Operations,Rhodia Operations,Corporate,31
"Advanced Technology Materials, Inc.",Advanced Technology Materials,Corporate,32
"Avalanche Technology, Inc.",Avalanche Technology,Corporate,32
"Greyrock Energy, Inc.",Greyrock Energy,Corporate,32
"Ignis Innovation, Inc.",Ignis Innovation,Corporate,32
"Nanomix, Inc.",Nanomix,Corporate,32
"Angiotech Pharmaceuticals (US), Inc.",Angiotech Pharmaceuticals (US),Corporate,33
"Biological Dynamics, Inc.",Biological Dynamics,Corporate,33
"Princeton Optronics, Inc.",Princeton Optronics,Corporate,33
"System Biosciences, LLC",System Biosciences,Corporate,33
"AMPT, LLC",AMPT,Corporate,34
"DNA Twopointo, Inc.",DNA Twopointo,Corporate,34
"III HOLDINGS 1, LLC",III HOLDINGS 1,Corporate,34
"Inphenix, Inc.",Inphenix,Corporate,34
"Marine Polymer Technologies, Inc.",Marine Polymer Technologies,Corporate,34
"Advanced Silicon Group, Inc.",Advanced Silicon Group,Corporate,35
